UniqueRef,DATE OF TRANSACTION,MERCHANT CATEGORY,MERCHANT CATEGORY DESC,AMOUNT,SortFunction
MODGPC27,01-Apr-11,General Retail and Wholesale       ," GIFT, CARD, NOVELTY STORES",£500.00,27
MODGPC28,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"£1,068.78",28
MODGPC29,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,£940.84,29
MODGPC30,01-Apr-11,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,"£1,404.00",30
MODGPC31,01-Apr-11,General Retail and Wholesale       , HOUSEHOLD APPLIANCE STORES,£715.54,31
MODGPC32,01-Apr-11,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,£799.20,32
MODGPC33,01-Apr-11,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,"£6,871.25",33
MODGPC34,01-Apr-11,General Retail and Wholesale       , SPORTING GOODS STORES,£676.50,34
MODGPC35,01-Apr-11,General Retail and Wholesale       , SPORTS/RIDING APPAREL STORES,£540.00,35
MODGPC36,01-Apr-11,General Retail and Wholesale       , SPORTS/RIDING APPAREL STORES,£571.14,36
MODGPC37,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"£1,275.76",37
MODGPC38,01-Apr-11,General Retail and Wholesale       , SPORTING GOODS STORES,"£3,196.80",38
MODGPC39,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"£3,945.31",39
MODGPC40,01-Apr-11,General Retail and Wholesale       , ELECTRONICS STORES,"£1,645.43",40
MODGPC41,01-Apr-11,General Retail and Wholesale       , SPORTING GOODS STORES,£687.06,41
MODGPC42,01-Apr-11,General Retail and Wholesale       , COMBINATION CATALOG & RETAIL,"£1,771.89",42
MODGPC43,01-Apr-11,General Retail and Wholesale       , MUSIC STORES/PIANOS,"£7,194.00",43
MODGPC44,01-Apr-11,General Retail and Wholesale       , MUSIC STORES/PIANOS,"£8,971.20",44
MODGPC45,01-Apr-11,General Retail and Wholesale       , SPORTS/RIDING APPAREL STORES,"£1,469.01",45
MODGPC46,01-Apr-11,General Retail and Wholesale       , DISCOUNT STORES,£767.45,46
MODGPC47,01-Apr-11,General Retail and Wholesale       , DISCOUNT STORES,£978.72,47
MODGPC48,01-Apr-11,General Retail and Wholesale       , DISCOUNT STORES,£651.64,48
MODGPC49,01-Apr-11,General Retail and Wholesale       , COMBINATION CATALOG & RETAIL,"£1,800.00",49
MODGPC50,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,£830.59,50
MODGPC51,01-Apr-11,General Retail and Wholesale       , MUSIC STORES/PIANOS,"£1,000.00",51
MODGPC52,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"£7,236.79",52
MODGPC53,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"£3,185.16",53
MODGPC54,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"£4,607.16",54
MODGPC55,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"£1,742.69",55
MODGPC56,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,£716.52,56
MODGPC57,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,£631.86,57
MODGPC58,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"£1,580.76",58
MODGPC59,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"£5,042.64",59
MODGPC60,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"£2,056.74",60
MODGPC61,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"£6,074.72",61
MODGPC62,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"£5,211.00",62
MODGPC63,01-Apr-11,Leisure Activities                 , RECREATION SERVICES,"£1,045.32",63
MODGPC64,01-Apr-11,Mail and Courier Services          , POSTAGE STAMPS,£950.00,64
MODGPC65,01-Apr-11,Mail and Courier Services          , POSTAGE STAMPS,"£1,964.78",65
MODGPC66,01-Apr-11,Mail Order / Direct Selling        , OTHER DIRECT MARKETERS,£550.80,66
MODGPC67,01-Apr-11,Mail Order / Direct Selling        , CATALOG MERCHANT,"£1,164.19",67
MODGPC68,01-Apr-11,Mail Order / Direct Selling        , CONTINUITY/SUBSCRIPTION MERCHT,"£4,527.50",68
MODGPC69,01-Apr-11,Mail Order / Direct Selling        , OTHER DIRECT MARKETERS,"£1,018.61",69
MODGPC70,01-Apr-11,Mail Order / Direct Selling        , OTHER DIRECT MARKETERS,"£1,332.00",70
MODGPC71,01-Apr-11,Medical Supplies and Services      , DENTAL/LAB/MED EQUIPMENT,£648.00,71
MODGPC72,01-Apr-11,Miscellaneous Industrial/Commercial, TOOL HIRE,"£1,260.07",72
MODGPC73,01-Apr-11,Miscellaneous Industrial/Commercial, HARDWARE EQUIPMENT/SUPPLIES,£725.63,73
MODGPC74,01-Apr-11,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,£577.90,74
MODGPC75,01-Apr-11,Miscellaneous Industrial/Commercial, NON-DURABLE GOODS - DEFAULT,£519.89,75
MODGPC76,01-Apr-11,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,"£10,480.00",76
MODGPC77,01-Apr-11,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,"£3,660.00",77
MODGPC78,01-Apr-11,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,£513.58,78
MODGPC79,01-Apr-11,Miscellaneous Industrial/Commercial, CHEMICALS/ALLIED PRODS - DEF,"£6,223.97",79
MODGPC80,01-Apr-11,Miscellaneous Industrial/Commercial, COMMERCIAL EQUIPMENT - DEFAULT,"£1,975.44",80
MODGPC81,01-Apr-11,Miscellaneous Industrial/Commercial, COMMERCIAL EQUIPMENT - DEFAULT,£967.44,81
MODGPC82,01-Apr-11,Miscellaneous Industrial/Commercial, COMMERCIAL EQUIPMENT - DEFAULT,£600.21,82
MODGPC83,01-Apr-11,Miscellaneous Industrial/Commercial, COMMERCIAL EQUIPMENT - DEFAULT,"£1,332.48",83
MODGPC84,01-Apr-11,"Office Stationery, Equipment and Su", STATIONERY STORES,£552.00,84
MODGPC85,01-Apr-11,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,"£1,299.60",85
MODGPC86,01-Apr-11,"Office Stationery, Equipment and Su", STATIONERY STORES,"£2,268.00",86
MODGPC87,01-Apr-11,"Office Stationery, Equipment and Su", STATIONERY STORES,"£4,345.12",87
MODGPC88,01-Apr-11,Print and Advertising              , MISC PUBLISHING & PRINTING,"£2,036.85",88
MODGPC89,01-Apr-11,Print and Advertising              , MISC PUBLISHING & PRINTING,"£1,442.50",89
MODGPC90,01-Apr-11,Professional Services              , VETERINARY SERVICES,£736.45,90
MODGPC91,01-Apr-11,Professional Services              , MGMT/CONSULT/PUBLIC REL SER,"£1,380.00",91
MODGPC92,01-Apr-11,"Hotels, Restaurants and Bars               ", BARS/TAVERNS/LOUNGES/DISCOS,£712.50,92
MODGPC93,01-Apr-11,"Hotels, Restaurants and Bars               ", RESTAURANTS,£525.00,93
MODGPC94,01-Apr-11,"Hotels, Restaurants and Bars               ", RESTAURANTS,£732.00,94
MODGPC95,01-Apr-11,"Hotels, Restaurants and Bars               ", RESTAURANTS,£697.00,95
MODGPC96,01-Apr-11,"Hotels, Restaurants and Bars               ", RESTAURANTS,"£2,953.17",96
MODGPC97,01-Apr-11,Telecommunication Services         , TELECOMMUNICATION SERVICES,£586.71,97
MODGPC98,01-Apr-11,Telecommunication Services         , TELECOMMUNICATION SERVICES,"£4,340.79",98
MODGPC99,01-Apr-11,Telecommunication Services         , TELECOMMUNICATION EQUIPMENT,£811.80,99
MODGPC100,01-Apr-11,Telecommunication Services         , TELECOMMUNICATION SERVICES,"£3,000.00",100
MODGPC101,01-Apr-11,Telecommunication Services         , TELECOMMUNICATION SERVICES,£550.87,101
MODGPC102,01-Apr-11,Telecommunication Services         , TELECOMMUNICATION SERVICES,"£3,000.00",102
MODGPC103,01-Apr-11,Training and Educational           , TRADE/VOCATIONAL SCHOOLS,"£1,242.00",103
MODGPC104,01-Apr-11,Training and Educational           , TRADE/VOCATIONAL SCHOOLS,£690.00,104
MODGPC105,01-Apr-11,Training and Educational           , TRADE/VOCATIONAL SCHOOLS,"£1,353.60",105
MODGPC106,01-Apr-11,Training and Educational           , CORRESPONDENCE SCHOOLS,"£1,007.67",106
MODGPC107,01-Apr-11,Training and Educational           , SCHOOLS - DEFAULT,£522.00,107
MODGPC108,01-Apr-11,Training and Educational           , SCHOOLS - DEFAULT,£862.68,108
MODGPC109,01-Apr-11,Training and Educational           , SCHOOLS - DEFAULT,"£2,758.80",109
MODGPC110,01-Apr-11,Training and Educational           , SCHOOLS - DEFAULT,£874.66,110
MODGPC111,01-Apr-11,"Vehicles, Servicing and Spares     ", AUTOMOTIVE PARTS STORES,£618.00,111
MODGPC112,01-Apr-11,"Vehicles, Servicing and Spares     ", AUTOMOTIVE PARTS STORES,£651.60,112
MODGPC113,01-Apr-11,"Vehicles, Servicing and Spares     ", AUTOMOTIVE PARTS STORES,£840.00,113
MODGPC114,01-Apr-11,"Vehicles, Servicing and Spares     ", MISC AUTO DEALERS - DEFAULT,£951.66,114
MODGPC115,01-Apr-11,"Vehicles, Servicing and Spares     ", MISC AUTO DEALERS - DEFAULT,£949.44,115
MODGPC116,01-Apr-11,"Vehicles, Servicing and Spares     ", AUTO SERVICE SHOPS/NON DEALER,"£1,319.32",116
MODGPC117,01-Apr-11,"Vehicles, Servicing and Spares     ", CAR & TRUCK DEALERS/USED ONLY,"£1,052.40",117
MODGPC118,01-Apr-11,"Vehicles, Servicing and Spares     ", AUTO SERVICE SHOPS/NON DEALER,"£2,280.00",118
MODGPC119,01-Apr-11,"Vehicles, Servicing and Spares     ", AUTO SERVICE SHOPS/NON DEALER,"£5,529.54",119
MODGPC120,02-Apr-11,Books and Periodicals              , BOOK STORES,"£1,840.00",120
MODGPC121,02-Apr-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,£502.10,121
MODGPC122,03-Apr-11,"Hotels, Restaurants and Bars               ", BARS/TAVERNS/LOUNGES/DISCOS,£573.70,122
MODGPC123,04-Apr-11,Auto Rental                        ,Auto Rental                        ,£638.40,123
MODGPC124,04-Apr-11,Auto Rental                        ,Auto Rental                        ,"£1,205.57",124
MODGPC125,04-Apr-11,Auto Rental                        ,Auto Rental                        ,"£3,574.37",125
MODGPC126,04-Apr-11,Auto Rental                        ,Auto Rental                        ,"£1,619.78",126
MODGPC127,04-Apr-11,Auto Rental                        ,Auto Rental                        ,£550.92,127
MODGPC128,04-Apr-11,Books and Periodicals              , BOOK STORES,£894.00,128
MODGPC129,04-Apr-11,Building Materials                 , CONSTRUCTION MATERIALS - DEF,"£2,948.66",129
MODGPC130,04-Apr-11,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"£4,454.21",130
MODGPC131,04-Apr-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"£1,303.16",131
MODGPC132,04-Apr-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,£680.40,132
MODGPC133,04-Apr-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"£1,826.88",133
MODGPC134,04-Apr-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,£766.92,134
MODGPC135,04-Apr-11,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,£519.90,135
MODGPC136,04-Apr-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,£514.98,136
MODGPC137,04-Apr-11,Building Services                  , SPEC CONTRACTORS - DEFAULT,£666.46,137
MODGPC138,04-Apr-11,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"£1,807.75",138
MODGPC139,04-Apr-11,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,"£1,714.80",139
MODGPC140,04-Apr-11,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,£859.90,140
MODGPC141,04-Apr-11,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"£1,197.00",141
MODGPC142,04-Apr-11,General Retail and Wholesale       , MUSIC STORES/PIANOS,"£4,486.80",142
MODGPC143,04-Apr-11,General Retail and Wholesale       , MUSIC STORES/PIANOS,"£4,393.33",143
MODGPC144,04-Apr-11,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,£722.02,144
MODGPC145,04-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,£921.89,145
MODGPC146,04-Apr-11,General Retail and Wholesale       , HOUSEHOLD APPLIANCE STORES,£717.44,146
MODGPC147,04-Apr-11,General Retail and Wholesale       , MEN/BOYS CLOTHING/ACC STORES,"£1,910.64",147
MODGPC148,04-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"£1,617.00",148
MODGPC149,04-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,£616.16,149
MODGPC150,04-Apr-11,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"£1,195.74",150
MODGPC151,04-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,£655.20,151
MODGPC152,04-Apr-11,General Retail and Wholesale       , SPORTING GOODS STORES,"£9,751.80",152
MODGPC153,04-Apr-11,General Retail and Wholesale       , SHOE STORES,"£1,215.48",153
MODGPC154,04-Apr-11,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"£3,513.00",154
MODGPC155,04-Apr-11,General Retail and Wholesale       , MISC SPECIALTY RETAIL,£522.34,155
MODGPC156,04-Apr-11,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,"£1,395.60",156
MODGPC157,04-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"£10,071.60",157
MODGPC158,04-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,£600.00,158
MODGPC159,04-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"£2,885.22",159
MODGPC160,04-Apr-11,General Retail and Wholesale       , MUSIC STORES/PIANOS,"£5,545.20",160
MODGPC161,04-Apr-11,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"£1,457.45",161
MODGPC162,04-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"£2,659.97",162
MODGPC163,04-Apr-11,General Retail and Wholesale       , SPORTS/RIDING APPAREL STORES,"£1,199.40",163
MODGPC164,04-Apr-11,General Retail and Wholesale       , MISC HOME FURNISHING SPECIALTY,"£2,134.80",164
MODGPC165,04-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"£1,393.70",165
MODGPC166,04-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,£974.34,166
MODGPC167,04-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,£817.96,167
MODGPC168,04-Apr-11,General Retail and Wholesale       , ARTIST/CRAFT SHOPS,"£1,264.03",168
MODGPC169,04-Apr-11,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,"£1,062.00",169
MODGPC170,04-Apr-11,General Retail and Wholesale       , ELECTRONICS STORES,"£5,420.82",170
MODGPC171,04-Apr-11,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"£4,049.06",171
MODGPC172,04-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,£754.49,172
MODGPC173,04-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"£1,192.01",173
MODGPC174,04-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"£4,314.96",174
MODGPC175,04-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"£6,796.20",175
MODGPC176,04-Apr-11,General Retail and Wholesale       , RECORD STORES,£877.79,176
MODGPC177,04-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"£8,554.80",177
MODGPC178,04-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"£6,764.92",178
MODGPC179,04-Apr-11,General Retail and Wholesale       , SPORTING GOODS STORES,£672.75,179
MODGPC180,04-Apr-11,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"£3,546.00",180
MODGPC181,04-Apr-11,Leisure Activities                 , THEATRICAL PRODUCERS,£674.91,181
MODGPC182,04-Apr-11,Leisure Activities                 , BOAT DEALERS,£683.88,182
MODGPC183,04-Apr-11,Leisure Activities                 , BOAT DEALERS,"£2,916.00",183
MODGPC184,04-Apr-11,Leisure Activities                 , MEMBER CLUBS/SPORT/REC/GOLF,"£1,098.20",184
MODGPC185,04-Apr-11,Leisure Activities                 , BOAT DEALERS,£642.40,185
MODGPC186,04-Apr-11,Mail and Courier Services          , POSTAGE STAMPS,£780.00,186
MODGPC187,04-Apr-11,Mail and Courier Services          , POSTAGE STAMPS,£829.63,187
MODGPC188,04-Apr-11,Mail and Courier Services          , POSTAGE STAMPS,"£1,131.04",188
MODGPC189,04-Apr-11,Mail Order / Direct Selling        , OTHER DIRECT MARKETERS,"£1,274.88",189
MODGPC190,04-Apr-11,Mail Order / Direct Selling        , OTHER DIRECT MARKETERS,£959.33,190
MODGPC191,04-Apr-11,Mail Order / Direct Selling        , OTHER DIRECT MARKETERS,"£1,838.12",191
MODGPC192,04-Apr-11,Medical Supplies and Services      , HEARING AID/SALES/SERVICE,£588.00,192
MODGPC193,04-Apr-11,Medical Supplies and Services      , HEARING AID/SALES/SERVICE,£588.00,193
MODGPC194,04-Apr-11,Medical Supplies and Services      , ORTHOPEDIC GOODS,£732.61,194
MODGPC195,04-Apr-11,Medical Supplies and Services      , MED/HEALTH SERVICES - DEF,"£4,980.00",195
MODGPC196,04-Apr-11,Medical Supplies and Services      , MED/HEALTH SERVICES - DEF,"£4,265.00",196
MODGPC197,04-Apr-11,Miscellaneous Industrial/Commercial, HARDWARE EQUIPMENT/SUPPLIES,"£1,616.88",197
MODGPC198,04-Apr-11,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,£715.00,198
MODGPC199,04-Apr-11,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,"£3,105.50",199
MODGPC200,04-Apr-11,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,£556.80,200
MODGPC201,04-Apr-11,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,"£6,201.00",201
MODGPC202,04-Apr-11,Miscellaneous Industrial/Commercial, COMMERCIAL EQUIPMENT - DEFAULT,"£1,536.60",202
MODGPC203,04-Apr-11,Miscellaneous Industrial/Commercial, TOOL HIRE,"£4,981.20",203
MODGPC204,04-Apr-11,Miscellaneous Industrial/Commercial, NON-DURABLE GOODS - DEFAULT,£648.00,204
MODGPC205,04-Apr-11,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,"£2,910.42",205
MODGPC206,04-Apr-11,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,"£2,007.36",206
MODGPC207,04-Apr-11,Miscellaneous Industrial/Commercial, TOOL HIRE,£715.12,207
MODGPC208,04-Apr-11,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,£680.40,208
MODGPC209,04-Apr-11,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,£685.04,209
MODGPC210,04-Apr-11,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"£4,487.40",210
MODGPC211,04-Apr-11,"Office Stationery, Equipment and Su", STATIONERY STORES,£921.02,211
MODGPC212,04-Apr-11,"Office Stationery, Equipment and Su", STATIONERY STORES,£566.58,212
MODGPC213,04-Apr-11,"Office Stationery, Equipment and Su", STATIONERY STORES,£730.94,213
MODGPC214,04-Apr-11,"Office Stationery, Equipment and Su", STATIONERY STORES,£899.24,214
MODGPC215,04-Apr-11,"Office Stationery, Equipment and Su", STATIONERY STORES,£796.80,215
MODGPC216,04-Apr-11,"Office Stationery, Equipment and Su", STATIONERY STORES,"£1,507.56",216
MODGPC217,04-Apr-11,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,"£1,232.19",217
MODGPC218,04-Apr-11,Print and Advertising              , MISC PUBLISHING & PRINTING,"£1,035.00",218
MODGPC219,04-Apr-11,Print and Advertising              , MISC PUBLISHING & PRINTING,£514.18,219
MODGPC220,04-Apr-11,Print and Advertising              , MISC PUBLISHING & PRINTING,"£2,344.61",220
MODGPC221,04-Apr-11,Print and Advertising              , MISC PUBLISHING & PRINTING,£725.58,221
MODGPC222,04-Apr-11,Print and Advertising              , MISC PUBLISHING & PRINTING,"£4,961.30",222
MODGPC223,04-Apr-11,Professional Services              , PROFESSIONAL SERVICES - DEF,"£55,000.00",223
MODGPC224,04-Apr-11,Professional Services              , MGMT/CONSULT/PUBLIC REL SER,£597.07,224
MODGPC225,04-Apr-11,Professional Services              , ARCHITECTURAL/ENG/SURVEY,£578.52,225
MODGPC226,04-Apr-11,Professional Services              , ARCHITECTURAL/ENG/SURVEY,"£4,716.00",226
MODGPC227,04-Apr-11,Professional Services              , PROFESSIONAL SERVICES - DEF,£989.00,227
MODGPC228,04-Apr-11,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"£1,830.70",228
MODGPC229,04-Apr-11,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"£1,485.00",229
MODGPC230,04-Apr-11,Training and Educational           , BUSINESS/SECRETARIAL SCHOOL,"£2,836.80",230
MODGPC231,04-Apr-11,"Vehicles, Servicing and Spares     ", AUTO SERVICE SHOPS/NON DEALER,"£1,802.64",231
MODGPC232,04-Apr-11,"Vehicles, Servicing and Spares     ", AUTO SERVICE SHOPS/NON DEALER,£512.46,232
MODGPC233,04-Apr-11,"Vehicles, Servicing and Spares     ", AUTOMOTIVE PARTS STORES,£826.72,233
MODGPC234,04-Apr-11,"Vehicles, Servicing and Spares     ", AUTO SERVICE SHOPS/NON DEALER,£880.20,234
MODGPC235,04-Apr-11,"Vehicles, Servicing and Spares     ", AUTOMOTIVE TIRE STORES,£660.00,235
MODGPC236,04-Apr-11,"Vehicles, Servicing and Spares     ", CAR & TRUCK DEALERS/NEW/USED,£633.60,236
MODGPC237,04-Apr-11,"Vehicles, Servicing and Spares     ", CAR & TRUCK DEALERS/NEW/USED,£630.00,237
MODGPC238,05-Apr-11,Auto Rental                        ,Auto Rental                        ,£765.60,238
MODGPC239,05-Apr-11,Auto Rental                        ,Auto Rental                        ,"£3,517.18",239
MODGPC240,05-Apr-11,Auto Rental                        ,Auto Rental                        ,£525.00,240
MODGPC241,05-Apr-11,Auto Rental                        ,Auto Rental                        ,£792.29,241
MODGPC242,05-Apr-11,Auto Rental                        ,Auto Rental                        ,£672.00,242
MODGPC243,05-Apr-11,Auto Rental                        ,Auto Rental                        ,£723.55,243
MODGPC244,05-Apr-11,Auto Rental                        ,Auto Rental                        ,£566.57,244
MODGPC245,05-Apr-11,Auto Rental                        ,Auto Rental                        ,£723.55,245
MODGPC246,05-Apr-11,Auto Rental                        ,Auto Rental                        ,£623.64,246
MODGPC247,05-Apr-11,Auto Rental                        ,Auto Rental                        ,£723.55,247
MODGPC248,05-Apr-11,Auto Rental                        ,Auto Rental                        ,"£2,018.03",248
MODGPC249,05-Apr-11,Auto Rental                        ,Auto Rental                        ,"£3,000.00",249
MODGPC250,05-Apr-11,Books and Periodicals              , NEWS DEALERS/NEWSSTANDS,£502.80,250
MODGPC251,05-Apr-11,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,£518.96,251
MODGPC252,05-Apr-11,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,£689.37,252
MODGPC253,05-Apr-11,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"£1,560.54",253
MODGPC254,05-Apr-11,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"£2,337.36",254
MODGPC255,05-Apr-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"£1,167.60",255
MODGPC256,05-Apr-11,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,£669.15,256
MODGPC257,05-Apr-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,£831.37,257
MODGPC258,05-Apr-11,Building Services                  , SPEC CONTRACTORS - DEFAULT,"£6,802.50",258
MODGPC259,05-Apr-11,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,"£2,252.16",259
MODGPC260,05-Apr-11,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,£644.56,260
MODGPC261,05-Apr-11,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"£1,361.37",261
MODGPC262,05-Apr-11,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,£747.00,262
