Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,Transaction number,Amount in Sterling,Grant?,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,AVON & SOMERSET POLICE AUTHORITY,,5000164445,"2,334,700.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,AVON FIRE AUTHORITY,,5000164446,"817,881.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,BARKING & DAGENHAM LB,,5000164451,"3,847,942.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,BARNSLEY MBC,,5000164455,"3,975,685.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,BEDFORDSHIRE POLICE AUTH,,5000164468,"1,061,933.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,BEDS & LUTON FIRE & RESCUE SERVICE,,5000164467,"394,763.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,BIRMINGHAM CITY CNCL,,5000164473,"25,079,982.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,BLACKBURN WITH DARWEN BC,,5000164477,"2,995,302.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,BLACKPOOL BC,,5000164479,"3,135,552.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,BOLTON MBC,,5000164482,"4,645,991.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,BRADFORD MBC,,5000164490,"9,937,171.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,BRENT LB,,5000164496,"6,019,971.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,BUCKINGHAMSHIRE CC,,5000164515,"2,411,286.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,BUCKS & MILTON KEYNES FIRE AUTH,,5000164514,"379,904.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,BURY MBC,,5000164519,"2,460,534.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,CALDERDALE MBC,,5000164520,"2,988,848.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,CAMBRIDGESHIRE COUNTY CNCL,,5000164526,"4,359,262.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,CAMBRIDGESHIRE POLICE AUT,,5000164525,"1,077,894.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,CAMBS & PETERBOROUGH FIRE AUTHORITY,,5000164524,"474,286.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,CHESHIRE FIRE AUTHORITY,,5000164545,"677,391.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,CHESHIRE POLICE AUTHORITY,,5000164546,"1,931,487.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,CLEVELAND FIRE AUTHORITY,,5000164561,"734,956.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,CLEVELAND POLICE AUTHORITY,,5000164562,"1,678,661.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,CO DURHAM & DARLINGTON FIRE AND RES,,5000164608,"477,102.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,CORNWALL COUNCIL,,5000165170,"7,875,380.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,COVENTRY CITY CNCL,,5000164571,"5,743,248.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,CUMBRIA COUNTY CNCL,,5000164579,"5,752,173.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,CUMBRIA POLICE AUTHORITY,,5000164580,"1,310,831.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,DARLINGTON BC,,5000164584,"1,497,512.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,DERBY CITY CNCL,,5000164589,"4,104,261.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,DERBYSHIRE COUNTYCOUNCIL,,5000164593,"7,464,909.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,DERBYSHIRE FIRE AUTHORITY,,5000164591,"654,056.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,DERBYSHIRE POLICE AUTHORITY,,5000164592,"1,663,308.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,DEVON & CORNWALL POLICE A,,5000164596,"2,622,644.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,DEVON & SOMERSET FIRE & RESCUE SERV,,5000164598,"1,120,991.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,DEVON COUNTY CNCL,,5000164597,"6,744,806.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,DONCASTER MBC,,5000164599,"5,259,053.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,DORSET COUNTY CNCL,,5000164601,"2,373,292.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,DORSET FIRE AUTHORITY,,5000164602,"394,893.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,DORSET POLICE AUTHORITY,,5000164603,"762,984.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,DUDLEY MBC,,5000164607,"4,648,571.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,DURHAM COUNTY COUNCIL,,5000165172,"8,543,421.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,DURHAM POLICE AUTHORITY,,5000164609,"1,610,131.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,EAST RIDING OF YORKS,,5000164626,"3,720,650.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,EAST SUSSEX COUNTY CNCL,,5000164630,"4,274,856.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,EAST SUSSEX FIRE AUTHORITY,,5000164631,"501,973.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,ENFIELD LB,,5000164641,"4,754,627.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,ESSEX COUNTY CNCL,,5000164648,"10,294,383.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,ESSEX FIRE AUTHORITY,,5000164649,"1,172,530.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,ESSEX POLICE AUTHORITY,,5000164650,"2,383,553.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,GATESHEAD MBC,,5000164664,"3,842,656.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,GLOUCESTERSHIRE COUNTY CNCL,,5000164670,"5,001,299.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,GLOUCESTERSHIRE POLICE AUTHORITY,,5000164671,"811,173.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,GREATER LONDON AUTHORITY,,5000164667,"32,577,710.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,GREATER LONDON AUTHORITY-FIRE,,5000165162,"9,131,271.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,GREATER MANCHESTER FIRE,,5000164797,"2,473,793.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,GREATER MANCHESTER POL AUTH,,5000164798,"7,983,704.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,GREENWICH LB,,5000164678,"6,023,704.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,HALTON BC,,5000164684,"2,431,728.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,HAMPSHIRE COUNTY COUNCIL,,5000164690,"6,736,282.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,HAMPSHIRE FIRE & RESCUE AUTHORITY,,5000164691,"1,064,305.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,HAMPSHIRE POLICE AUTHORITY,,5000164692,"2,695,515.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,HARINGEY LB,,5000164696,"5,559,539.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,HARROW LB,,5000164702,"2,544,463.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,HARTLEPOOL BOROUGH COUNCIL,,5000164706,"1,887,138.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,HEREFORD WORCESTER FIRE BRIGADE,,5000164713,"377,616.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,HEREFORDSHIRE DISTRICT COUNCIL,,5000164715,"2,183,980.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,HERTFORDSHIRE CONTY CNCL,,5000164717,"7,282,849.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,HERTFORDSHIRE POLICE AUTH,,5000164716,"1,615,388.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,HULL CITY COUNCIL,,5000164754,"5,657,546.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,HUMBERSIDE FIRE & RESCUE SERVICE,,5000164730,"929,810.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,HUMBERSIDE POLICE,,5000164731,"2,015,173.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,ISLE OF WIGHT CNCL,,5000164736,"2,307,492.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,ISLES OF SCILLY COUNCIL,,5000164740,"94,303.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,KENT & MEDWAY TOWNS FIRE AUTHORITY,,5000164747,"1,031,110.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,KENT COUNTY CNCL,,5000164746,"11,465,407.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,KENT POLICE AUTHORITY,,5000164748,"2,961,759.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,KIRKLEES MBC,,5000164758,"5,776,631.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,KNOWSLEY MBC,,5000164759,"4,291,778.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,LANCASHIRE COMBINED FIRE AUTHORITY,,5000164764,"1,134,015.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,LANCASHIRE COUNTY CNCL,,5000164763,"12,107,482.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,LANCASHIRE POLICE AUTHORITY,,5000164765,"3,365,291.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,LEICESTER CITY CNCL,,5000164770,"6,888,558.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,LEICESTERSHIRE COUNTY CNCL,,5000164774,"3,948,323.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,LEICESTERSHIRE POLICE AUTHORITY,,5000164773,"1,740,837.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,LEICS LEICESTERSHIRE RUTLAND CFA,,5000164772,"660,791.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,LEWISHAM LB,,5000164777,"6,769,301.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,LINCOLNSHIRE COUNTY CNCL,,5000164784,"7,668,288.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,LINCOLNSHIRE POLICE AUTH,,5000164783,"893,116.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,LIVERPOOL CITY COUNCIL,,5000164786,"12,337,683.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,LONDON BOROUGH OF HACKNEY,,5000164683,"8,161,818.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,LONDON BOROUGH OF LAMBETH,,5000164762,"8,011,396.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,LONDON BOROUGH OF NEWHAM,,5000164834,"7,979,614.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,LONDON BOROUGH OF REDBRIDGE,,5000164899,"3,667,857.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,LUTON BC,,5000164787,"3,307,710.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,MERSEYSIDE FIRE & RESCUE SERVICE,,5000164807,"1,520,527.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,MERSEYSIDE POLICE AUTH,,5000164808,"4,843,371.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,MIDDLESBROUGH BC,,5000164818,"3,132,973.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORFOLK COUNTY COUNCIL,,5000164835,"9,322,652.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORFOLK POLICE AUTHORITY,,5000164836,"1,201,936.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORTH TYNESIDE MBC,,5000164854,"3,285,455.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORTH YORKSHIRE CC,,5000164857,"4,435,830.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORTH YORKSHIRE FIRE & RESCUE AUTH,,5000164858,"442,868.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORTH YORKSHIRE POLICE AUTHORITY,,5000164859,"1,150,489.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORTHAMPTONSHIRE COUNTY COUNCIL,,5000164862,"6,114,613.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORTHAMPTONSHIRE POLICE AUTH,,5000164863,"1,045,479.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORTHUMBERLAND,,5000165174,"4,682,847.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORTHUMBRIA POLICE AUTH,,5000164864,"4,597,148.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,NOTTINGHAM CITY COUNCIL,,5000164868,"6,705,419.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,NOTTINGHAMSHIRE COUNTY CNCL,,5000164869,"7,210,705.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,NOTTINGHAMSHIRE POLICE AU,,5000164871,"2,069,142.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,NOTTS & CITY NOTTINGHAM FIRE AUTH,,5000164870,"821,253.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,OLDHAM MBC,,5000164878,"4,441,777.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,OXFORDSHIRE CC,,5000164882,"4,432,506.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,PLYMOUTH CITY CNCL,,5000164887,"4,075,846.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,REDCAR & CLEVELAND BOROUGH COUNCIL,,5000164901,"2,467,129.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,ROCHDALE MBC,,5000164913,"4,192,518.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,ROTHERHAM MBC,,5000164922,"4,469,154.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,ROYAL BERKSHIRE FIRE AUTHORITY,,5000164469,"536,369.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,SALFORD CITY CNCL,,5000164936,"4,921,346.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,SANDWELL MBC,,5000164937,"6,767,060.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,SEFTON MBC,,5000164943,"4,581,693.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,SHEFFIELD CITY CNCL,,5000164949,"10,293,334.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,SHROPSHIRE & WREKIN FIRE AUTHORITY,,5000164953,"271,488.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,SHROPSHIRE COUNCIL,,5000165176,"3,456,133.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,SOMERSET COUNTY CNCL,,5000164958,"4,722,716.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,SOUTH TYNESIDE COUNCIL,,5000164987,"3,267,654.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,SOUTH YORKSHIRE FIRE & CD,,5000164989,"1,207,446.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,SOUTH YORKSHIRE P A,,5000164990,"3,429,602.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,SOUTHEND ON SEA BC,,5000164994,"2,322,687.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,ST HELENS MBC,,5000165003,"3,302,065.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,STAFFORDSHIRE  FIRE & RESCUE SERV,,5000165008,"672,712.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,STAFFORDSHIRE COUNTY CNCL,,5000165007,"6,342,784.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,STAFFORDSHIRE POLICE AUTHORITY,,5000165011,"1,775,401.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,STOKE ON TRENT CITY COUNCIL,,5000165019,"4,719,610.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,SUFFOLK COUNTY CNCL,,5000165024,"6,722,445.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,SUFFOLK POLICE AUTHORITY,,5000165027,"989,220.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,SUNDERLAND DC,,5000165028,"5,736,629.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,SURREY COUNTY CNCL,,5000165030,"5,531,607.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,SURREY POLICE AUTHORITY,,5000165033,"1,279,500.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,SUSSEX POLICE AUTHORITY,,5000165034,"2,389,389.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,TAMESIDE MBC,,5000165041,"3,872,407.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,THAMES VALLEY POLICE AUTHORITY,,5000165059,"3,243,709.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,TORBAY BC,,5000165069,"2,264,947.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,TYNE & WEAR FIRE AUTHORITY,,5000165078,"1,168,013.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,W YORKSHIRE FIRE & RESCUE AUTH,,5000165127,"1,894,567.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,WALSALL MBC,,5000165086,"4,974,830.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,WALTHAM FOREST LB,,5000165088,"4,569,246.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,WANDSWORTH LB,,5000165089,"5,539,858.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,WARWICKSHIRE COUNTY CNCL,,5000165095,"3,894,208.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,WARWICKSHIRE POLICE AUTHORITY,,5000165096,"729,321.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,WEST MERCIA POLICE AUTH,,5000165119,"1,888,972.00",Yes,
Communities & Local Government,DCLG,01/06/2011,National Non Domestic Rates (NNDR) Payments,Localism,WEST MIDLANDS FIRE & CIVIL DEFENCE,,5000165120,"2,653,681.00",Yes,
