Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs (£),,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs (£),,,Grand Total paybill/staffing (payroll and non-payroll) costs (£),Comments and notes
,,,Admin officers/admin assistants,,Executive Officers,,Higher Executive Officers/Senior Executive Officers,,Grade 6/7,,Senior Civil Service,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary (£),Allowances (£),Non-consolidated performance payments (£),Overtime (£),Employer pension contributions (£),Employer national insurance contributions (£),Total paybill for payroll staff (£),"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors (£)","Total cost of consultants/
consultancy (£)",Total non-payroll (CCL) staff costs (£),,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Science & Technology Facilities Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,
Skills Funding Agency,Executive Agency,"Department for Business, Innovation & Skills",170,161.8554054,583,562.5797297,623,606.2013514,158,157.472973,53,52.20540541,26,24.09459459,"1,613","1,564",12,12,,,108,108,,,120,120,"1,733","1,684","5,228,722.97","168,884.86",0,"1,293.58","1,057,332.40","505,099.69","6,961,333.50","228,282.00",,"228,282.00","7,189,615.50",
South East England Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,
South West of England Regional Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,
Student Loans Company Ltd,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",1427,1319.8,558,529.96,83,80.53333,9,9,8,8,7,1.04,"2,092","1,948",155,155,0,0,25,25,3,3,183,183,"2,275","2,131","3,485,161.96","71,067.60","13,356.83","253,174.04","270,577.50","294,766.63","4,388,104.56","240,477.00","40,799.00","281,276.00","4,669,380.56",
Technology Strategy Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,
UK Commission for Employment & Skills,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,
UK Intellectual Property Office,Executive Agency,"Department for Business, Innovation & Skills",255,224.76,206,197.15,197,190.99,217,204.55,25,25,,,900,842,1,1,,,15,15,,,16,16,916,858,"2,084,854.00","74,741.00","3,467.00","30,762.00","433,161.00","170,872.00","2,797,857.00","397,335.00","1,260.00","398,595.00","3,196,452.00",
UK Space Agency,Executive Agency,"Department for Business, Innovation & Skills",1,1,5,5,10,9.6,13,12.8,4,4,,,33,32,,,,,1,1,,,1,1,34,33,"46,514.00",,,,"9,244.00","4,436.00","60,194.00","4,000.00",,"4,000.00","64,194.00",
United Kingdom Atomic Energy Authority,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",60,55.66,75,71.15,295,290.96,102,99.9,10,9.6,16,16,558,543,6,6,0,0,380,380,0,0,386,386,944,929,"1,753,337.00",,"62,171.00","43,829.00","270,277.00","167,547.00","2,297,161.00","1,320,497.00",,"1,320,497.00","3,617,658.00",Allowances are included within Salary Costs. Performance Payments are accrued through the year for payment once a year.
Yorkshire Forward,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,
