05-Nov-10

GOVERNMENT TRANSPARENCY AGENDA - HQLF TLB 'DOWN ASPECT' DATA SHEET



























Dept,Org,Unit,Comd,Div,Appt,Reporting SCS post reference,Grade,Payscale Minimum,Payscale Maximum,"Generic 
job title",Number of such posts in FTE
,,,,,,,MILITARY SUPPORT FUNCTION (BAND D),"?23,427.00","?27,937.00",,8
,,,,,,,SKILL ZONE 1,"?14,644.00","?16,482.00",,162
,,,,,,,SKILL ZONE 2,"?16,002.00","?18,010.00",,177.5
,,,,,,,SKILL ZONE 3,"?17,486.00","?18,551.00",,149
,,,,,,,Total,,,,1060.5

MOD,MOD,LF TLB,JHC,,Comd JHC,1596792,OF5,"?81,310.00","?89,408.00",Odiham & Aldergrove Station Comd,2
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",4
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",28
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",53
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,10
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",7
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",42
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",56
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,134
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,119
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,126
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,113
,,,,,,,Total,,,,694

,,,,,,,AVIATION OFFICER 2,"?37,819.00","?42,565.00",,2
,,,,,,,BAND B2,"?47,942.00","?57,245.00",,1
,,,,,,,BAND C1,"?35,648.00","?42,565.00",,4
,,,,,,,BAND C2,"?29,258.00","?34,936.00",,26
,,,,,,,BAND D,"?23,427.00","?27,973.00",,36.5
,,,,,,,BAND D TTO,"?23,427.00","?27,973.00",,1
,,,,,,,BAND E1,"?17,835.00","?20,676.00",,122
,,,,,,,BAND E2,"?15,168.00","?17,584.00",,84
,,,,,,,CIVILIAN MEDICAL PRACTITIONER (GMC),"?65,071.00","?77,303.00",,3
,,,,,,,MILITARY SUPPORT FUNCTION (BAND C1),"?35,648.00","?42,565.00",,2
,,,,,,,MILITARY SUPPORT FUNCTION (BAND C2),"?29,258.00","?34,936.00",,11
