05-Nov-10

GOVERNMENT TRANSPARENCY AGENDA - HQLF TLB 'DOWN ASPECT' DATA SHEET



























Dept,Org,Unit,Comd,Div,Appt,Reporting SCS post reference,Grade,Payscale Minimum,Payscale Maximum,"Generic 
job title",Number of such posts in FTE
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,6
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,19
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,24
,,,,,,,OF1,"?24,615.00","?32,703.00",Staff Officer,1
,,,,,,,OR9,"?38,600.00","?46,753.00","Staff Assistant, Warrant Officer Technical",20
,,,,,,,OR8,"?36,049.00","?43,252.00","Staff Assistant, Warrant Officer Technical",45
,,,,,,,OR7,"?33,223.00","?42,044.00","Staff Sergeant, Mil Clerk",80
,,,,,,,OR6,"?30,013.00","?36,929.00","Sergeant, Mil Clerk",167
,,,,,,,OR4,"?26,405.00","?33,182.00","Corporal, Mil Clerk",83
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,5
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,454

MOD,MOD,LF TLB,GS,CGS,Army Inspector,1173817,OF5,"?81,310.00","?89,408.00",AD,2
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,6
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,10
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,0
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00","Team Member, Inspector",2
,,,,,,,OR8,"?36,049.00","?43,252.00",,0
,,,,,,,OR7,"?33,223.00","?42,044.00",,0
,,,,,,,OR6,"?30,013.00","?36,929.00",,0
,,,,,,,OR4,"?26,405.00","?33,182.00",,0
,,,,,,,OR3,"?20,582.00","?28,939.00",,0
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,20

MOD,MOD,LF TLB,GS,ACGS,BGS,1174823,OF5,"?81,310.00","?89,408.00",AD,6
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,15
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,11
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,4
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00",Staff assistants,4
,,,,,,,OR8,"?36,049.00","?43,252.00","Staff assistant, office mgr, RQMS",3
,,,,,,,OR7,"?33,223.00","?42,044.00",Staff assistant,1
,,,,,,,OR6,"?30,013.00","?36,929.00",Military HR Spec,1
,,,,,,,OR4,"?26,405.00","?33,182.00","PA, clerks, Mil HR Spec",7
,,,,,,,OR3,"?20,582.00","?28,939.00","Mil HR Spec, supply NCO",2
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,54

MOD,MOD,LF TLB,GS,ACGS,BES(A),1170393,OF5,"?81,310.00","?89,408.00",AD,3
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,5
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,7
,,,,,,,OF2,"?37,916.00","?45,090.00",,0
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00",Staff assistant,1
,,,,,,,OR8,"?36,049.00","?43,252.00",,0
,,,,,,,OR7,"?33,223.00","?42,044.00",,0
,,,,,,,OR6,"?30,013.00","?36,929.00",,0
,,,,,,,OR4,"?26,405.00","?33,182.00",,0
,,,,,,,OR3,"?20,582.00","?28,939.00",,0
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,16

MOD,MOD,LF TLB,GS,ACGS,Director M&C,1574502,OF5,"?81,310.00","?89,408.00",AD,2
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1 ,3
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,10
,,,,,,,OF2,"?37,916.00","?45,090.00","SO3, OC CCT",13
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00",Photographer,2
,,,,,,,OR8,"?36,049.00","?43,252.00",Media op ,3
,,,,,,,OR7,"?33,223.00","?42,044.00",Media op ,1
,,,,,,,OR6,"?30,013.00","?36,929.00",Media op ,9
,,,,,,,OR4,"?26,405.00","?33,182.00",,16
,,,,,,,OR3,"?20,582.00","?28,939.00",,
,,,,,,,OR2,"?17,015.00","?26,405.00",,
,,,,,,,Total,,,,59

MOD,MOD,LF TLB,HQLF,COS,D Plans,1601318,OF5,"?81,310.00","?89,408.00",AD,4
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,11
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,34
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,2
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00","Staff Assitant, Warrant Officer Technical",10
,,,,,,,OR8,"?36,049.00","?43,252.00","Staff Assitant, Warrant Officer Technical",26
,,,,,,,OR7,"?33,223.00","?42,044.00","Staff Sergeant, Mil Clerk",14
,,,,,,,OR6,"?30,013.00","?36,929.00",,0
,,,,,,,OR4,"?26,405.00","?33,182.00",,0
,,,,,,,OR3,"?20,582.00","?28,939.00",,0
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,101

MOD,MOD,LF TLB,HQLF,COS,HQLF HYPERION Team Leader,1248517,OF5,"?81,310.00","?89,408.00",COS,1
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,1
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,1
,,,,,,,OF2,"?37,916.00","?45,090.00",,0
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00",,0
,,,,,,,OR8,"?36,049.00","?43,252.00",,0
,,,,,,,OR7,"?33,223.00","?42,044.00",,0
,,,,,,,OR6,"?30,013.00","?36,929.00",,0
,,,,,,,OR4,"?26,405.00","?33,182.00",,0
,,,,,,,OR3,"?20,582.00","?28,939.00",,0
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,3

MOD,MOD,LF TLB,CFA,HQ,Chief of Staff Field Army,1601441,OF5,"?81,310.00","?89,408.00",,0
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,1
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,2
,,,,,,,OF2,"?37,916.00","?45,090.00",,0
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00",,0
,,,,,,,OR8,"?36,049.00","?43,252.00",Staff Assistant,1
,,,,,,,OR7,"?33,223.00","?42,044.00",,0
,,,,,,,OR6,"?30,013.00","?36,929.00",,0
,,,,,,,OR4,"?26,405.00","?33,182.00",Mil Clerk,1
,,,,,,,OR3,"?20,582.00","?28,939.00",,0
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,5

MOD,MOD,LF TLB,CFA,HQ,D Commitments,1601488,OF5,"?81,310.00","?89,408.00",AD,2
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,2
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,10
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,7
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00","Staff Assistant, Warrant Officer Technical",1
,,,,,,,OR8,"?36,049.00","?43,252.00",,0
,,,,,,,OR7,"?33,223.00","?42,044.00",,0
,,,,,,,OR6,"?30,013.00","?36,929.00","Staff Sergeant, Mil Clerk",3
,,,,,,,OR4,"?26,405.00","?33,182.00","Sergeant, Mil Clerk",2
,,,,,,,OR3,"?20,582.00","?28,939.00","Corporal, Mil Clerk",2
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,29

MOD,MOD,LF TLB,CFA,1 Div,Comd 4 Mech Bde,1169362,OF5,"?81,310.00","?89,408.00",,0
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",7
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",55
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",137
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,79
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",17
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",91
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",138
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,283
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,664
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,801
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,1749
,,,,,,,Total,,,,4021

MOD,MOD,LF TLB,CFA,1 Div,Comd 7 Armd Brigade,1167986,OF5,"?81,310.00","?89,408.00",,1
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",5
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",42
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",107
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,60
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",18
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",85
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",116
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,254
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,562
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,682
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,1399
,,,,,,,Total,,,,3331

MOD,MOD,LF TLB,CFA,1 Div,Comd 20 Armd Brigade,1169246,OF5,"?81,310.00","?89,408.00",,1
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",6
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",43
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",107
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,60
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",18
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",87
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",116
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,257
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,564
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,684
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,1398
,,,,,,,Total,,,,3341

MOD,MOD,LF TLB,CFA,1 Div,Comd Arty 1 (UK) Armd Div,1229309,OF5,"?81,310.00","?89,408.00",,0
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",4
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",28
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",87
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,35
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",8
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",69
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",68
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,226
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,391
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,490
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,686
,,,,,,,Total,,,,2092

MOD,MOD,LF TLB,CFA,3 Div,Comd 1 Mech Brigade,1223786,OF5,"?81,310.00","?89,408.00",,0
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",5
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",43
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",108
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,64
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",16
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",77
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",118
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,238
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,575
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,676
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,1441
,,,,,,,Total,,,,3361

MOD,MOD,LF TLB,CFA,3 Div,Comd 12 Mech Bde,1140683,OF5,"?81,310.00","?89,408.00",,0
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",7
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",57
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",143
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,84
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",16
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",102
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",138
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,300
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,73
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,891
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,1981
,,,,,,,Total,,,,3792

MOD,MOD,LF TLB,CFA,3 Div,Comd 19 Light Brigade,1215776,OF5,"?81,310.00","?89,408.00",,0
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",5
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",42
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",97
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,49
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",13
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",70
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",97
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,206
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,485
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,628
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,1419
,,,,,,,Total,,,,3111

MOD,MOD,LF TLB,CFA,3 Div,Comd Arty 3 (UK) Div,1172331,OF5,"?81,310.00","?89,408.00",,0
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",3
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",20
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",69
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,30
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",6
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",46
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",54
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,167
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,304
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,341
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,537
,,,,,,,Total,,,,1577

MOD,MOD,LF TLB,CFA,Th Tps,Comd 8 Force Engineer Brigade,1242034,OF5,"?81,310.00","?89,408.00",,6
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",16
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",95
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",177
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,32
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",46
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",113
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",302
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,312
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,446
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,725
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,877
,,,,,,,Total,,,,3147

MOD,MOD,LF TLB,CFA,Th Tps,"Comd 1 Sig Bde, Chief G6 ARRC",1260044,OF5,"?81,310.00","?89,408.00",,1
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",8
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",42
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",68
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,34
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",26
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",52
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",107
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,196
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,358
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,422
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,573
,,,,,,,Total,,,,1887

MOD,MOD,LF TLB,CFA,Th Tps,Comd 2 (National Communictaions) Signals Brigade ,1149069,OF5,"?81,310.00","?89,408.00",,0
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",1
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",17
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",47
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,5
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",10
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",23
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",96
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,90
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,158
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,185
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,44
,,,,,,,Total,,,,676

MOD,MOD,LF TLB,CFA,Th Tps,Comd 11 Signals Brigade,1266346,OF5,"?81,310.00","?89,408.00",,0
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",4
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",30
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",61
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,24
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",31
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",79
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",136
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,242
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,418
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,371
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,407
,,,,,,,Total,,,,1803

MOD,MOD,LF TLB,CFA,Th Tps,Comd 101 Logistics Brigade,1484098,OF5,"?81,310.00","?89,408.00",,0
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",5
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",43
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",90
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,42
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",22
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",63
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",121
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,183
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,404
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,485
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,701
,,,,,,,Total,,,,2159

MOD,MOD,LF TLB,CFA,Th Tps,Comd 102 Logistics Bde,1167141,OF5,"?81,310.00","?89,408.00",,0
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",5
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",44
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",90
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,46
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",21
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",62
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",120
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,191
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,436
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,607
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,849
,,,,,,,Total,,,,2471

,,,,LEC,,,LEC,,,,18

MOD,MOD,LF TLB,CFA,Th Tps,Comd 104 Logistics Brigade,1217095,OF5,"?81,310.00","?89,408.00",,0
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",4
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",44
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",73
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,41
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",24
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",75
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",119
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,210
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,371
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,464
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,803
,,,,,,,Total,,,,2228

MOD,MOD,LF TLB,CFA,Th Tps,Comd 2 Medical Brigade,1523140,OF5,"?81,310.00","?89,408.00",,1
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",18
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",44
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",38
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,18
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",14
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",35
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",60
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,68
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,108
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,70
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,92
,,,,,,,Total,,,,566

MOD,MOD,LF TLB,JHC,HQ,Deputy Comd Joint Helicopter Command,1599388,OF5,"?81,310.00","?89,408.00",AD,1
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",18
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",47
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",58
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,11
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",12
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",41
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",48
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,127
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,122
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,165
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,215
,,,,,,,Total,,,,865

MOD,MOD,LF TLB,JHC,HQ,Director Development & Director Army Avn,1596498,OF5,"?81,310.00","?89,408.00",,
,,,,,,,OF4,"?67,032.00","?77,617.00",,
,,,,,,,OF3,"?47,760.00","?57,200.00",,
,,,,,,,OF2,"?37,916.00","?45,090.00",,
,,,,,,,OF1,"?24,615.00","?32,703.00",,
,,,,,,,OR9,"?38,600.00","?46,753.00",,
,,,,,,,OR8,"?36,049.00","?43,252.00",,
,,,,,,,OR7,"?33,223.00","?42,044.00",,
,,,,,,,OR6,"?30,013.00","?36,929.00",,
,,,,,,,OR4,"?26,405.00","?33,182.00",,
,,,,,,,OR3,"?20,582.00","?28,939.00",,
,,,,,,,OR2,"?17,015.00","?26,405.00",,
,,,,,,,Total,,,,0

MOD,MOD,LF TLB,JHC,,Comd 16 Air Assault Brigade,1221027,OF5,"?81,310.00","?89,408.00",,2
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",31
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",96
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",290
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,113
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",42
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",205
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",318
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,719
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,1159
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,1499
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,2624
,,,,,,,Total,,,,7098

MOD,MOD,LF TLB,FDT,HQ,Chief of Staff Force Development and Training,1591929,OF5,"?81,310.00","?89,408.00",,0
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,1
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,1
,,,,,,,OF2,"?37,916.00","?45,090.00",,0
