Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (�) ,VAT Registration Number
FCO,FCO,23-Sep-11,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11043, 203.07 ,
FCO,FCO,23-Sep-11,Electricity Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11043," 2,367.73 ",
FCO,FCO,23-Sep-11,Water Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11043, 300.30 ,
FCO,FCO,23-Sep-11,Gas Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11043, 21.00 ,
FCO,FCO,23-Sep-11,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11043, 574.31 ,
FCO,FCO,23-Sep-11,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11043, 423.63 ,
FCO,FCO,23-Sep-11,Waste Disposal,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11043, 4.04 ,
FCO,FCO,06-Sep-11,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,OFFICE OF THE SURVEYOR GENERAL OF THE FEDERATION,100004086, 78.75 ,
FCO,FCO,06-Sep-11,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,OFFICE OF THE SURVEYOR GENERAL OF THE FEDERATION,100004086, 9.84 ,
FCO,FCO,06-Sep-11,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,OFFICE OF THE SURVEYOR GENERAL OF THE FEDERATION,100004086," 27,443.64 ",
FCO,FCO,06-Sep-11,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,OFFICE OF THE SURVEYOR GENERAL OF THE FEDERATION,100004086, 55.12 ,
FCO,FCO,12-Sep-11,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,BASILWIZI TRUST,700002176," 29,870.76 ",
FCO,FCO,21-Sep-11,IT/IS Consultancy,DG CENTRAL GROUP,KPMG LLP,1026388," 13,005.00 ",
FCO,FCO,21-Sep-11,IT/IS Consultancy,DG CENTRAL GROUP,KPMG LLP,1026388," 11,180.00 ",
FCO,FCO,21-Sep-11,IT/IS Consultancy,DG CENTRAL GROUP,KPMG LLP,1026388," 10,710.00 ",
FCO,FCO,21-Sep-11,IT/IS Consultancy,DG CENTRAL GROUP,KPMG LLP,1026388," 19,380.00 ",
FCO,FCO,21-Sep-11,IT/IS Consultancy,DG CENTRAL GROUP,KPMG LLP,1026388," 12,240.00 ",
FCO,FCO,21-Sep-11,IT/IS Consultancy,DG CENTRAL GROUP,KPMG LLP,1026388," 13,760.00 ",
FCO,FCO,21-Sep-11,IT/IS Consultancy,DG CENTRAL GROUP,KPMG LLP,1026388," 18,060.00 ",
FCO,FCO,21-Sep-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,KPMG LLP,1026388," 7,650.00 ",
FCO,FCO,21-Sep-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,KPMG LLP,1026388," 16,065.00 ",
FCO,FCO,21-Sep-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,KPMG LLP,1026388," 8,400.00 ",
FCO,FCO,21-Sep-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,KPMG LLP,1026388," 14,190.00 ",
FCO,FCO,21-Sep-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,KPMG LLP,1026388," 18,920.00 ",
FCO,FCO,21-Sep-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,KPMG LLP,1026388," 14,152.50 ",
FCO,FCO,21-Sep-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,KPMG LLP,1026388," 17,200.00 ",
FCO,FCO,21-Sep-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,KPMG LLP,1026388," 16,830.00 ",
FCO,FCO,21-Sep-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,KPMG LLP,1026388," 11,475.00 ",
FCO,FCO,21-Sep-11,Overseas Duty Travel,DG CENTRAL GROUP,KPMG LLP,1026388," 1,258.77 ",
FCO,FCO,21-Sep-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,KPMG LLP,1026388," 44,895.25 ",
FCO,FCO,27-Sep-11,IT/IS Consultancy,DG CENTRAL GROUP,KPMG LLP,1026796," 15,730.00 ",
FCO,FCO,27-Sep-11,IT/IS Consultancy,DG CENTRAL GROUP,KPMG LLP,1026796," 9,180.00 ",
FCO,FCO,27-Sep-11,IT/IS Consultancy,DG CENTRAL GROUP,KPMG LLP,1026796," 15,300.00 ",
FCO,FCO,27-Sep-11,IT/IS Consultancy,DG CENTRAL GROUP,KPMG LLP,1026796," 18,920.00 ",
FCO,FCO,27-Sep-11,IT/IS Consultancy,DG CENTRAL GROUP,KPMG LLP,1026796," 13,005.00 ",
FCO,FCO,27-Sep-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,KPMG LLP,1026796," 6,630.00 ",
