Minister,Date,Name of External Organisation,Purpose of meeting
"Minister of State (Trade and Investment), Lord Green","October, 2011",Royal Bank Scotland,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","October, 2011","ARM Ltd, Barclays Capital, British Pig Association, British Telecom, Diageo, Faith Products Ltd, GlaxoSmithKlein, Scotch Whisky Association, Shell International Ltd, Standard Chartered Capital Markets Ltd, Tesco Plc, Waitrose Plc",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","October, 2011",Hutchinson Whampoa ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","October, 2011",WilliamsF1,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","October, 2011",EADS UK Ltd,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","November, 2011","Burberry, Tesco Plc, University of Warwick, Rolls-Royce Group Plc, McKinsey & Company, Royal Dutch Shell Plc, Barclays Bank Plc, Brunswick Group LLP, Finmeccanica UK, University College London,  Newell and Sorrell",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","November, 2011",IBM UK and Ireland,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","November, 2011",De Beers Group,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","November, 2011",Royal Bank of Scotland ,To discuss banking and the economy 
"Minister of State (Trade and Investment), Lord Green","November, 2011",The Bar Association,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","November, 2011",BrunswickGroup LLP,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","November, 2011",British Telecom ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","November, 2011",BAE systems,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","November, 2011",The Law Society,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","November, 2011",China Britain Business Council,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","November, 2011",British Venture Capital Association,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","November, 2011",Confederation of British Industry,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","November, 2011",Chamber of Shipping,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","November, 2011",Egyptian – Britain Business Council,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","November, 2011",Sizewell B,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","December, 2011","Lord Mayor of London, Altra Capital, Aon, Arup, Bank of New York Mellon, Berwin Leighton, BlackRock, British Land, Credit Suisse, Deloitte, Ernst & Young, Gatehouse Bank, HSBC, Invesco Perpetual, Lazard Asset Management, Macquarie, Norton Rose, Post Office Pension Fund, PricewaterhouseCoopers, SMBC Capital, TheCityUK, UBS, William Knight and Associates, Withers",To discuss investment
"Minister of State (Trade and Investment), Lord Green","December, 2011",BAE systems,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","December, 2011",J C Bamford Excavators Ltd,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","December, 2011",Standard Chartered Bank,"To discuss finance, trade and investment"
"Minister of State (Trade and Investment), Lord Green","December, 2011",Etihad Airways,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","December, 2011","Centre Forum, Bloomberg",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","December, 2011",Guardian Glass,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","December, 2011",Mercedes-Benz UK Limited,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","December, 2011",3M,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","December, 2011",Mitsui & Co Europe Ltd,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","December, 2011",PricewaterhouseCoopers LLP,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","December, 2011","World Wildlife Fund UK, Campaign Against Arms Trade, Jubilee Debt Campaign",To discuss trade
"Minister of State (Trade and Investment), Lord Green","December, 2011",Royal Dutch Shell Plc,To discuss trade and investment
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","October, 2011","Harvey Nash, Career SOS, Guide Public Affairs, Penningtons Solicitors, MIC Hotel & Conference Centre, Burrell Architects, The Quay People, Crofton Design, Hays",To discuss employment relations
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","October, 2011",Business Improvement Districts,To discuss business
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","October, 2011",Trades Union Congress ,Regular meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","October, 2011","British Beer and Pub Association, Enterprise Inns, Punch",To discuss competition and consumer affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","October, 2011",Royal Mail Pension Plan Trustees,To discuss postal affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","October, 2011","Employee Ownership Association, Hull, School Trends, Make, Field Fisher, Waterhouse LLP, Circle, Baxi Partnership",To discuss corporate governance
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","October, 2011","Barclaycard, Centrica, Call Credit, Information Group, Nectar, Mastercard, Visa, O2, E.On, NPower, Three, Bill Monitor, ",To discuss consumer affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","October, 2011",Initiative for a Competitive Online Marketplace ,To discuss competition
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","October, 2011",Post Office Limited ,To discuss postal affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","October, 2011","Communication Workers Union, Unite",Regular meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","November, 2011",Post Office Limited,To discuss postal affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","November, 2011",Tesco,To discuss employment relations and competition
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","November, 2011",Northern Ireland Fire Brigades Union,To discuss employment relations
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","November, 2011",Which?,To discuss consumer affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","November, 2011","Cosmetic, Toiletry and Perfumery Association, National Centre for the Replacement, Refinement and Reduction of Animals in Research ",To discuss consumer affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","November, 2011","Capital for Enterprise Ltd, Open Knowledge Foundation, mySociety, European Commission, Greater London Authority ",To discuss transparency
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","November, 2011","Greene King, Shepherd Neame, Independent Family Brewers of Britain, Batemans, JW Less, Youngs",To discuss competition and consumer affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","November, 2011","APPG for Family Business, Institute for Family Business",To discuss corporate governance
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","November, 2011",Communication Workers Union,Regular meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","November, 2011",PayPoint,To discuss postal affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","November, 2011",Campaign for Real Ale ,To discuss competition and consumer affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","November, 2011","Office of Fair Trading, High Court, Competition Appeals Tribunal, Civil Justice Council, Confederation of British Industry, Which?, Retail Motor Industry Federation, Law Society, City of London Law Society, Competition Law Association, Joint Working Party on Competition, Competition Pro Bono Scheme",To discuss competition
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","November, 2011",Post Office Limited,Regular meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","November, 2011","Costcutter Supermarkets Group, Musgrave Retail Partners, One Stop Stores, Scottish Grocers’ Federation, SPARK UK, Tates Ltd, Post Office Limited, Association of Convenience Stores, The Co-operative Group, Martin McColl Ltd, ",To discuss postal affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","November, 2011",Association of Professional Staffing Companies ,To discuss employment relations
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","November, 2011",Trades Union Congress,Regular meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","November, 2011",Association of Licensed Multiple Retailers,To discuss competition and consumer affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","November, 2011",Confederation of British Industry,To discuss employment relations
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","November, 2011",Warwickshire and Northamptonshire Air Ambulance,To discuss social enterprise
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","November, 2011",Professional Oversight Board,To discuss corporate governance
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","November, 2011",Citizens Advice,To discuss consumer affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","November, 2011","Teranet, Macquarie Group",To discuss business
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","November, 2011",National Federation of Sub Postmasters London Regional Council,Regular meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","November, 2011",National Federation of Sub Postmasters,To discuss postal affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","November, 2011",Citizens Advice,To discuss consumer affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","November, 2011",Co-operatives UK,To discuss business
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","December, 2011",British Beer & Pub Association,To consumer and competition policy
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","December, 2011",Trades Union Congress,To discuss employment relations
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","December, 2011",Consumer Focus,To discuss consumer affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","December, 2011",Financial Reporting Council,To discuss corporate governance
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","December, 2011","Alternative Dispute Resolution Group, Conflict Management Plus Resolution, Conflict Resolution Centre, Consensio, Globis, Greater London and East Anglia Mediation LLP, Mediation at Work, People Resolutions, Prutton Partnership, Steve Hindmarsh Mediation, Total Conflict Management, Centre for Effective Dispute Resolution, Chartered Institute of Personnel and Development ",To discuss employment relations
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","October, 2011",Motion Picture Association,General catch up
