Department Family,Entity,Date,Expense type,Expense Area,Supplier,Transaction Number,Amount
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/10/2010,External Legal Advice and Services,Business Group-Advanced Manufacturing Industries,HERBERT SMITH LLP,1009493,29730.66
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/10/2010,External Legal Advice and Services,Business Group-Advanced Manufacturing Industries,HERBERT SMITH LLP,1009692,14100
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/10/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Business Group-Advanced Manufacturing Industries,ADECCO UK LTD,1010163,680.1
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/10/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Business Group-Advanced Manufacturing Industries,ADECCO UK LTD,1010164,562.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/10/2010,Mobile Call Charges,Business Group-Advanced Manufacturing Industries,VODAFONE LTD,1010218,-0.47
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/10/2010,Hotels Overseas,Business Group-Advanced Manufacturing Industries,"Personal Expense, name witheld",10273815,715.32
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/10/2010,Cash Expenditure during the Year - Other Programme Provisions,Business Group-Advanced Manufacturing Industries,HUGHES CARLISLE LAW LTD,1008065,4225
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/10/2010,Cash Expenditure during the Year - Other Programme Provisions,Business Group-Advanced Manufacturing Industries,HUGHES CARLISLE LAW LTD,1008785,3640
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/10/2010,Cash Expenditure during the Year - Other Programme Provisions,Business Group-Advanced Manufacturing Industries,MCKEOWNS SOLICITORS LTD,1008787,8464.02
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/10/2010,New Investments,Business Group-Advanced Manufacturing Industries,AIRBUS OPERATIONS LTD,1008982,19726619.88
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/10/2010,Outsourced Programme Management Services,Business Group-Advanced Manufacturing Industries,INSTITUTE OF MATERIALS MINERALS & MINING,1009037,64625
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/10/2010,Mileage Allowances (Programme),Business Group-Advanced Manufacturing Industries,RICHARD PARRY-JONES,1008786,599.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/10/2010,Air Fares  - Overseas (Programme),Business Group-Advanced Manufacturing Industries,CHELSEA SEXTON,1009055,1569.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/10/2010,Conference and Exhibition Services (Programme),Business Group-Advanced Manufacturing Industries,CHELSEA SEXTON,1009055,2983.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/10/2010,Grants - Statutory - Current - Other,Business Group-Advanced Manufacturing Industries,CENEX,1009185,54079.46
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/10/2010,Publications (Programme),Business Group-Advanced Manufacturing Industries,OFF HIGHWAY RESEARCH,1009379,8250
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/10/2010,Sponsorship Support,Business Group-Advanced Manufacturing Industries,VEHICLE CERTIFICATION AGENCY,1008883,60000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/10/2010,Independent Experts,Business Group-Advanced Manufacturing Industries,CARTMAN DOT ORG LTD,1008893,2824.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/10/2010,Independent Experts,Business Group-Advanced Manufacturing Industries,BRIAN JONES,1008922,2518.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/10/2010,Enforcement,Business Group-Advanced Manufacturing Industries,NATIONAL MEASUREMENT OFFICE,1009421,225000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/10/2010,Technical Support,Business Group-Advanced Manufacturing Industries,VEHICLE CERTIFICATION AGENCY,1008401,40000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/10/2010,Technical Support,Business Group-Advanced Manufacturing Industries,NATIONAL MEASUREMENT OFFICE,1009640,75000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/10/2010,New Investments,Business Group-Advanced Manufacturing Industries,GKN AEROSPACE SERVICES LTD,1009452,10000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/10/2010,Outsourced Programme Management Services,Business Group-Advanced Manufacturing Industries,PETER CALLIAFAS,1008511,1250
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/10/2010,Grants - Statutory - Current - Other,Business Group-Advanced Manufacturing Industries,VEHICLE CERTIFICATION AGENCY,1010172,255000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/10/2010,External Training,Business Group-Business Competitiveness - Secretariat/GRU,AIMS4CHANGE LTD,1008264,-60
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/10/2010,External Training,Business Group-Business Competitiveness - Secretariat/GRU,DOD'S PARLIAMENTARY COMMUNICATIONS LTD (WESTMINSTER EXPLAINED),1008751,2750
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/10/2010,External Training,Business Group-Business Competitiveness - Secretariat/GRU,DOD'S PARLIAMENTARY COMMUNICATIONS LTD (WESTMINSTER EXPLAINED),1008752,2750
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/10/2010,External Training,Business Group-Business Competitiveness - Secretariat/GRU,SDLC SOLUTIONS LIMITED,1008998,3123
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/10/2010,Professional Training,Business Group-Business Competitiveness - Secretariat/GRU,"Personal Expense, name witheld",10273560,778
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/10/2010,Professional Training,Business Group-Business Competitiveness - Secretariat/GRU,"Personal Expense, name witheld",10273728,562.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/10/2010,Capital Grants - Other,Business Group-Business Competitiveness - Secretariat/GRU,SCIENCE & TECHNOLOGY FACILITIES COUNCIL,1007906,6021603
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/10/2010,Secondees (not paid directly),Business Group-Business Environment and Growth Directorate,KPMG LLP,1008335,6952.09
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/10/2010,Economic Consultancy & Research,Business Group-Business Environment and Growth Directorate,CELS BUSINESS SERVICES LTD,1009519,36930
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/10/2010,Capital Grants - Other,Business Group-Business Environment and Growth Directorate,SCOTTISH ENTERPRISE,1010245,12584.88
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/10/2010,Capital Grants - Other,Business Group-Business Environment and Growth Directorate,SCOTTISH ENTERPRISE,1010245,290928.01
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/10/2010,Capital Grants - Other,Business Group-Economic Development Directorate,YORKSHIRE FORWARD,1008298,600000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/10/2010,London Development Agency - Current Statutory Grant,Business Group-Economic Development Directorate,THE LONDON DEVELOPMENT AGENCY LTD,1008655,18130000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/10/2010,Grant in Aid - Current -Other,Business Group-Economic Development Directorate,ADVANTAGE WEST MIDLANDS,1008657,4000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/10/2010,Grant in Aid - Current -Other,Business Group-Economic Development Directorate,EAST OF ENGLAND DEVELOPMENT AGENCY (EEDA),1008659,6000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/10/2010,Grant in Aid - Current -Other,Business Group-Economic Development Directorate,EAST MIDLANDS DEVELOPMENT AGENCY,1008660,6000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/10/2010,Grant in Aid - Current -Other,Business Group-Economic Development Directorate,SOUTH EAST ENGLAND DEVELOPMENT AGENCY,1008661,7000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/10/2010,Grant in Aid - Current -Other,Business Group-Economic Development Directorate,SOUTH WEST OF ENGLAND REGIONAL DEVELOPMENT AGENCY,1008662,14000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/10/2010,Grant in Aid - Current -Other,Business Group-Economic Development Directorate,YORKSHIRE FORWARD,1008663,10000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/10/2010,Grant in Aid - Current -Other,Business Group-Economic Development Directorate,ONE NORTH EAST,1008665,8000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/10/2010,Grant in Aid - Current -Other,Business Group-Economic Development Directorate,NORTHWEST REGIONAL DEVELOPMENT AGENCY,1008666,12000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/10/2010,Capital Grants - Other,Business Group-Economic Development Directorate,YORKSHIRE FORWARD,1008504,600000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/10/2010,Grants - Non Statutory - Current - Other,Business Group-Information Economy,ONE NORTH EAST,1009486,217265.45
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/10/2010,Capital Grants - Other,Business Group-Information Economy,ONE NORTH EAST,1009486,551277.59
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/10/2010,Capital Grants - Other,Business Group-Information Economy,ONE NORTH EAST,1010412,1315602.62
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/10/2010,Purchase of Completed Research,Business Group-Information Economy,DTG TESTING LTD,1008352,39900
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/10/2010,Purchase of Completed Research,Business Group-Information Economy,ALAN FELLOWS ASSOCIATES LTD,1009048,533
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/10/2010,Contributions (Programme),Business Group-Information Economy,REGISTERED DIGITAL INSTALLER LICENSING BODY,1009225,15000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/10/2010,UK Subscriptions,Business Group-Information Economy,ENDERS ANALYSIS LTD,1008537,3000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/10/2010,Contributions (Programme),Business Group-Information Economy,INTELLECT,1009005,80000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/10/2010,Non-GIA Funding of Bodies (Departmental and Non-Departmental),Business Group-Information Economy,OFCOM,1010242,19719
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/10/2010,Non-GIA Funding of Bodies (Departmental and Non-Departmental),Business Group-Information Economy,OFCOM,1010239,6168378
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/10/2010,Non-GIA Funding of Bodies (Departmental and Non-Departmental),Business Group-Information Economy,OFCOM,1010240,19091000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/10/2010,Non-GIA Funding of Bodies (Departmental and Non-Departmental),Business Group-Information Economy,OFCOM,1010241,1233246
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/10/2010,Other External Recruitment Costs (Staff),Business Group-Information Economy,ANALYSYS MASON LTD,1008543,839
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/10/2010,Other External Recruitment Costs (Staff),Business Group-Information Economy,ANALYSYS MASON LTD,1008543,8296
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/10/2010,Other External Recruitment Costs (Staff),Business Group-Information Economy,PINSENT MASONS LLP,1008939,13546.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/10/2010,Leadership & People Management Training,Business Group-Information Economy,STUART WILKINSON,1009076,1308.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/10/2010,Other Staff Costs,Business Group-Information Economy,DEPARTMENT FOR CULTURE MEDIA AND SPORT,1009633,12718.56
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/10/2010,Other External Recruitment Costs (Staff),Business Group-Information Economy,PREDICTABLE NETWORK SOLUTIONS LTD,1009846,7500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/10/2010,Other UK T&S,Business Group-Information Economy,"Personal Expense, name witheld",10273639,590.02
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/10/2010,Hotels Overseas,Business Group-Information Economy,"Personal Expense, name witheld",10273696,518.13
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/10/2010,Contributions (Programme),Business Group-Information Economy,UNIVERSITY OF ABERTAY DUNDEE,1008700,353142
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/10/2010,Capital Grants - Other,Business Group-Information Economy,HPC WALES LTD,1008891,2500000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/10/2010,Publications (Programme),Business Group-Information Economy,CULLEN INTERNATIONAL SA,1008091,20874.92
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/10/2010,Grants - Statutory - Current - Other,Business Group-Information Economy,UK PPE KTN LTD (PHOTONICS & PLASTIC ELECTRONICS KTN),1008168,5000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/10/2010,Purchase of  Advertising and Publicity (Programme),Business Group-Information Economy,NATIONAL MICROELECTRONICS INSTITUTE,1010190,3000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/10/2010,Grants - Statutory - Current - Other,Business Group-Information Economy,UK ELECTRONICS ALLIANCE LTD,1010195,3948
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/10/2010,Capital Grants - Other,Business Group-Life Sciences,STEVENAGE BIOSCIENCE PARK,1010246,348695
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/10/2010,Capital Grants - Other,"Business Group-Solutions for Business, Low Carbon & Services",ONE NORTH EAST,1008535,49701.08
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/10/2010,Capital Grants - Other,"Business Group-Solutions for Business, Low Carbon & Services",Department of Energy & Climate Change,1009495,288583.31
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/10/2010,Capital Grants - Other,"Business Group-Solutions for Business, Low Carbon & Services",SOUTH WEST OF ENGLAND REGIONAL DEVELOPMENT AGENCY,1008772,2179774.19
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/10/2010,Capital Grants - Other,"Business Group-Solutions for Business, Low Carbon & Services",ONE NORTH EAST,1008532,241821.14
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/10/2010,Secondees (not paid directly),"Business Group-Solutions for Business, Low Carbon & Services",INDEPENDENT POWER CORPORATION plc,1008847,2937.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/10/2010,Technical Advice / Services & Support,"Business Group-Solutions for Business, Low Carbon & Services",DELOITTE LLP,1009517,9600
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/10/2010,Hire of Agency Staff (Professional/Management),"Business Group-Solutions for Business, Low Carbon & Services",CONSTRUCTION INDUSTRY COUNCIL,1010230,11759.16
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/10/2010,Training (Agencies),"Business Group-Solutions for Business, Low Carbon & Services",NATIONAL SCHOOL OF GOVERNMENT,1010273,3750
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/10/2010,Capital Grants - Other,"Business Group-Solutions for Business, Low Carbon & Services",UNIVERSITY OF SHEFFIELD,1009479,616939
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/10/2010,GPC New Procedures,Corporate Centre,BARCLAYS BANK PLC,1008833,16258.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/10/2010,Board Members National Insurance Deductions (Suspense Account),Corporate Centre,HMRC,1009425,97533.72
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/10/2010,Board Members National Insurance Deductions (Suspense Account),Corporate Centre,HM REVENUE & CUSTOMS,1009539,8116.01
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/10/2010,Board Members National Insurance Deductions (Suspense Account),Corporate Centre,HM REVENUE & CUSTOMS,1009540,14656
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/10/2010,BIS Tax Deductions,Corporate Centre,HM REVENUE & CUSTOMS,1009543,531.23
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/10/2010,Recoveries Account,Corporate Centre,Department of Energy & Climate Change,1009682,1035.18
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/10/2010,Overseas Advances,Corporate Centre,"Personal Expense, name witheld",10273286,600
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/10/2010,Board Members Tax Deductions (Suspense Account),Corporate Centre,"Personal Expense, name witheld",10273395,-720
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/10/2010,Board Members National Insurance Deductions (Suspense Account),Corporate Centre,"Personal Expense, name witheld",10273395,-169.47
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/10/2010,Board Members National Insurance Deductions (Suspense Account),Corporate Centre,"Personal Expense, name witheld",10273395,-145.64
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/10/2010,Detached Duty Advances,Corporate Centre,"Personal Expense, name witheld",10273526,670
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/10/2010,BIS Tax Deductions,Corporate Centre,"Personal Expense, name witheld",10273875,-28.68
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/10/2010,BIS Tax Deductions,Corporate Centre,"Personal Expense, name witheld",10273876,-19.16
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/10/2010,BIS Tax Deductions,Corporate Centre,"Personal Expense, name witheld",10273878,-33.55
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/10/2010,BIS Tax Deductions,Corporate Centre,"Personal Expense, name witheld",10273879,-30.92
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/10/2010,BIS Tax Deductions,Corporate Centre,"Personal Expense, name witheld",10273880,-38.92
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/10/2010,BIS Tax Deductions,Corporate Centre,"Personal Expense, name witheld",10273881,-34.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/10/2010,BIS Tax Deductions,Corporate Centre,"Personal Expense, name witheld",10273882,-54.11
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/10/2010,BIS Tax Deductions,Corporate Centre,"Personal Expense, name witheld",10273883,-37.28
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/10/2010,BIS Tax Deductions,Corporate Centre,"Personal Expense, name witheld",10273884,-31
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/10/2010,BIS Tax Deductions,Corporate Centre,"Personal Expense, name witheld",10273885,-13.45
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/10/2010,BIS Tax Deductions,Corporate Centre,"Personal Expense, name witheld",10273886,-37.43
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/10/2010,BIS Tax Deductions,Corporate Centre,"Personal Expense, name witheld",10273887,-45.99
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/10/2010,BIS Tax Deductions,Corporate Centre,"Personal Expense, name witheld",10273888,-37.72
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/10/2010,BIS Tax Deductions,Corporate Centre,"Personal Expense, name witheld",10273889,-48.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/10/2010,BIS Tax Deductions,Corporate Centre,"Personal Expense, name witheld",10273890,-7.01
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/10/2010,BIS Tax Deductions,Corporate Centre,"Personal Expense, name witheld",10273891,-10.01
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/10/2010,BIS Tax Deductions,Corporate Centre,"Personal Expense, name witheld",10273892,-23.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/10/2010,Detached Duty Advances,Corporate Centre,"Personal Expense, name witheld",10273898,670
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/10/2010,Grant in Aid - Current -Other,Fair Markets Group Summary-Consumer and Competition Policy,CITIZENS ADVICE BUREAU,1009439,5603295
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/10/2010,Grant in Aid - Current -Other,Fair Markets Group Summary-Consumer and Competition Policy,SCOTTISH ASSOCIATION CITIZENS ADVICE BUREAUX,1009351,711529
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/10/2010,Grant in Aid - Current -Other,Fair Markets Group Summary-Consumer and Competition Policy,SCOTTISH ASSOCIATION CITIZENS ADVICE BUREAUX,1009351,42000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/10/2010,Grants - Non Statutory - Current - Other,Fair Markets Group Summary-Consumer and Competition Policy,CARDIFF COUNTY COUNCIL,1009477,126401.07
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/10/2010,Grants - Non Statutory - Current - Other,Fair Markets Group Summary-Consumer and Competition Policy,CARDIFF COUNTY COUNCIL,1009478,46422.41
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/10/2010,Grants - Non Statutory - Current - Other,Fair Markets Group Summary-Consumer and Competition Policy,CARDIFF COUNTY COUNCIL,1009478,217611.3
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/10/2010,Grants - Non Statutory - Current - Other,Fair Markets Group Summary-Consumer and Competition Policy,BIRMINGHAM CITY COUNCIL,1009732,421868
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/10/2010,Grant in Aid - Current -Other,Fair Markets Group Summary-Consumer and Competition Policy,COMPETITION SERVICE,1008089,1041000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/10/2010,Grants - Non Statutory - Current - Other,Fair Markets Group Summary-Consumer and Competition Policy,EETSA LTD,1009638,100000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/10/2010,Grants - Non Statutory - Current - Other,Fair Markets Group Summary-Consumer and Competition Policy,NEWPORT CITY COUNCIL,1010371,8997.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/10/2010,Grants - Non Statutory - Current - Other,Fair Markets Group Summary-Consumer and Competition Policy,EETSA LTD,1009602,46471.51
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/10/2010,Grants - Non Statutory - Current - Other,Fair Markets Group Summary-Consumer and Competition Policy,EETSA LTD,1009602,54167
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/10/2010,Grants - Non Statutory - Current - Other,Fair Markets Group Summary-Consumer and Competition Policy,EETSA LTD,1009602,54167
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/10/2010,Grants - Non Statutory - Current - Other,Fair Markets Group Summary-Consumer and Competition Policy,SOLIHULL METROPOLITAN BOROUGH COUNCIL,1009786,9194.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/10/2010,Grants - Non Statutory - Current - Other,Fair Markets Group Summary-Consumer and Competition Policy,SOLIHULL METROPOLITAN BOROUGH COUNCIL,1009786,22849.99
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/10/2010,Grants - Non Statutory - Current - Other,Fair Markets Group Summary-Consumer and Competition Policy,SOLIHULL METROPOLITAN BOROUGH COUNCIL,1009786,23000
