ALB,Public Sector Procurement Expenditure Survey Category ,Supplier,Net Amount £
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,B & D CROFT BUILDING & CIVIL ENGINEERS LTD,"44,020.55"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,BAILEY INTERNATIONAL STEEPLEJACK CO LTD,"2,973.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,BALDWIN LANDSCAPING,"185,228.23"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,BARCHAM TREES PLC,"23,086.90"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,BARRATT HOMES LTD,"3,864.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,BARTON GRANGE LANDSCAPES,"90,409.10"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,BENCHMARQ LTD,"1,850.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,BERNHARD'S NURSERIES,"5,602.80"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,BES CONTRACTS LTD,"87,591.23"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,BETHELL CONSTRUCTION LTD,"31,627.78"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,BIRCH BROTHERS (KIDDERMINSTER) LTD,"8,073.90"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,BLAKEDOWN LANDSCAPES (SE) LIMITED,"12,384.56"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,BRAMBLEDOWN LANDSCAPES LTD,815.19
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,BTCV,"19,287.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,BUCKINGHAM GROUP CONTRACTING LTD,"60,981.37"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,BURLEIGH STONE,"8,462.59"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,BUSBY LANDSCAPES,"9,586.98"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,C.M.A. (NEMESIS) LTD,"6,680.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,CANTILLON LTD,"198,970.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,CARTWRIGHT LANDSCAPES,"207,648.55"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,CASWELL ENVIRONMENTAL SERVICES LTD,"8,395.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,CED LTD,"31,840.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,CEDARDALE ARBORICULTURAL SPECIALISTS,"6,101.43"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,C-ELECT ASSOCIATES LIMITED,"88,574.68"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,CHARLTON DRAINAGE LTD,"17,647.42"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,CHEETHAM HILL CONSTRUCTION LTD,"355,307.39"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,CIRIA,"70,000.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,CITY ESTATE SERVICES LTD,"43,641.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,CIVIC TREES,"11,645.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,COBALT HOUSING LIMITED,"3,642.15"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,COMBINED ENERGY SOLUTIONS LTD,"23,108.49"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,COMPLETE GROUND MANAGEMENT LTD,"142,839.62"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,COMPLETE TREE CARE LTD,"9,792.87"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,COMPLETE WEED CONTROL LTD,"1,500.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,CONNICK TREE CARE LONDON LTD,"31,574.10"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,CONSERVE A TREE LTD,"55,948.03"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,CONTINENTAL LANDSCAPES - GREENHAND,"11,618.10"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,CONTINENTAL SPORTS LTD,"2,174.60"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,CORMACK & FRANKLIN TREE CARE LTD,"12,355.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,COSMO SERVICES UK LTD,"103,451.63"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,COTTSWAY,"320,000.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,COUNTRYWIDE GROUNDS MAINTENANCE LTD,"21,500.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,CPS FACILITIES & MAINTENANCE SERVICES,"77,535.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,CRH FENCING T/A HERAS READY FENCE,"5,660.50"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,CRISPIN AND BORST LIMITED,"3,463.75"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,CRONSHAW ELECTRICAL LTD,"15,861.71"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,CRUSO & WILKIN,"109,629.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,D & B RUDD & SON LTD,"5,900.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,DEEDMAN TROPICAL PLANT HIRE COMPANY,"8,518.52"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,DELTA SYSTEMS (UK) LTD,810
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,DEMO ONE LTD,"126,682.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,DRYAD TREE SPECIALISTS LTD,"7,890.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,E.G. SWINGLER & SONS,"78,771.52"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,E.SCAPES,"26,999.91"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,EARTHWORKS SERVICES,"2,117.40"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,EDF Energy Limited,"779,122.22"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,ELMBRIDGE TREE SERVICES LTD,720
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,ENER.G COMBINED POWER,"71,737.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,ENGLISH COUNTRY GARDENERS,"8,688.08"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,ENGLISH LANDSCAPES LIMITED,"39,306.96"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,ENTERPRISE MANAGED SERVICES (BPS) LIMITED,"8,605.50"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,ERITH CONTRACTORS LTD,"461,343.52"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,ESL PROJECTS LIMITED,"6,783.22"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,EVERLAST WATERPROOFING LTD,"84,202.02"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,F J MORRIS CONTRACTING LTD,"99,128.46"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,FACTORY PLANT ASSOCIATED LTD,750
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,FIRST BASE CENTRAL LIMITED,"60,000.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,FITZGERALD CONTRACTORS LTD,"3,523.92"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,FLETCHERS (TREES) LTD,"12,159.45"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,Foundations,"40,198.24"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,FOXLEYS LTD,"71,054.74"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,FROSTS LANDSCAPE CONSTRUICTION LIMITED,"436,440.85"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,Fulcrum Infrastructure Services Limited,928
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,G R MINTON & SONS,"113,340.40"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,G. FRY DEMOLITION LTD,"14,706.01"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,G.P.S. (ENVIROMENTAL) LTD,"4,150.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,GARDNER LTD,"13,608.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,GEOTRON UK LTD,"1,916.20"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,Gladstone MRM Ltd,"180,075.65"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,GLENDALE COUNTRYSIDE,"11,402.08"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,GLENDALE NORTH,"9,097.10"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,GOODMAN MANN BROOMHALL,"7,900.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,GORDON CARIS,"1,250.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,GRACE LANDSCAPES LTD,"2,778.90"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,GRANTHAMS SIGNS,"4,653.35"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,Green Works,"3,727.48"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,GROUND CONTROL LIMITED,"115,216.88"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,HALES CONTRACTORS,"128,054.03"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,HALL CONSTRUCTION SERVICES LTD,"15,745.52"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,HAMMONDS CLIENT ACCOUNT,750
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,HAMPTON BROOK ESTATES LTD,"6,655.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,HARLITE INSTALLATIONS LTD,"1,595.80"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,HASMEAD PLC,"108,565.75"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,HAWKRIDGE CSS LTD,"2,354.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,HAZ INDUSTRIAL SERVICES LIMITED,"12,523.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,HEARD LIMITED,"25,000.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,HIGHWAY CONSTRUCTION SERVICES,"7,740.51"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,HMG 5018,"2,195.28"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,HOLBORN ASPHALTE CO LTD,635
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,HORNIGOLD HAULAGE LTD,"3,000.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,HORTECH LTD,"12,109.33"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,HUMPHRIES DEMOLITION LTD,"36,466.77"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,INDUSTRIAL LANDSCAPES,"9,988.50"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,INVIRON LIMITED,"9,008.29"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,ISG JACKSON LTD,"104,242.50"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,ISIS CONSTRUCTION & PROPERTY MAINTENANCE,"25,459.55"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,J BREHENY CONTRACTORS LTD,"972,774.11"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,J C B GARDEN/ LANDSCAPE LTD,"1,800.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,J L HILL,"58,422.05"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,J MACMASTER DEMOLITION LTD,"7,150.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,J ROBSHAW,680
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,J V HOUGH,"19,363.55"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,J W OUSBY & SON LTD,"206,945.14"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,J. BREHENY CONTRACTORS LTD,"435,409.23"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,JJ GALLAGHER LIMITED,"14,485.79"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,JLES,"2,580.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,JPM PROPERTY MAINTENANCE,"1,513.16"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,Junction K,"45,079.75"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,JV Gardening,"20,099.27"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,K & M CONSTRUCTION LIMITED,"6,376.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,K R JONES AND SONS LTD,977.42
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,KEHOE CONTRACTORS LTD,"53,217.87"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,KENT SWEEPERS LTD,660
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,KIER SHEFFIELD LLP,"12,530.86"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,LANCASHIRE TEACHING HOSPITALS,"33,086.33"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,LAND STRUCTURE LTD,"25,145.26"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,LAND UNIT CONSTRUCTION LTD,"161,783.41"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,LANDSCAPE CONTRACT SERVICES,"3,725.10"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,LAURENCE CROW LTD,"1,800.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,LCM LTD,"1,029.50"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,LES HAWKINS & SONS,"11,730.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,LIBERTY LIVING PLC,624.29
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,LIFT-RITE ENGINEERING SERVICES,"2,350.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,LIGHTMAIN COMPANY LIMITED,"2,000.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,LIONVERGE CIVILS LIMITED,"55,000.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,LODGE PARK CONSTRUCTION LTD,"72,771.70"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,LODGE PARK LIMITED,"36,225.42"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,LOURD PROPERTY MAINTENANCE,"4,830.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,LOVE & STILEMAN LIMITED,960
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,LOWTHER FORESTRY GROUP,"13,521.75"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,LUMSDEN & CARROLL CONSTRUCTION LTD,"34,091.55"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,LUTON BUILDING COMPANY LTD,709.97
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,MAIN GROUP,"7,809.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,MANOR & CASTLE DEVELOPMENT TRUST LTD,"5,000.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,MARTINS PLANT,"202,135.30"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,MAY GURNEY INFRASTRUCTURE SERVICES,"310,519.01"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,MCPHILLIPS (WELLINGTON) LTD,"72,064.19"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,MEARON REFURBISHMENT & DECORATION LTD,"5,096.87"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,MEARS LTD,"4,390.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,MGL DEMOLITION LTD,692.28
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,MIDLAND LANDSCAPING LTD,"142,906.48"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,MILETREE CONSTRUCTION,"893,182.10"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,MILLSTONE LANDSCAPES LIMITED,"14,635.84"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,MILTON KEYNES PARKS TRUST LTD,"37,220.68"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,Mitie Landscapes,"1,629.72"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,MUSKETEERS GROUP LTD,"9,570.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,NATIONWIDE ASBESTOS CONTRACTORS LIMITED,"1,645.38"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,NEAL LANDSCAPES,"41,757.95"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,NORTH EAST AUTOMATION LTD,"1,890.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,NORWEST HOLST LIMITED,"1,874.60"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,OLIVERS TREE SERVICES LTD,"4,406.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,P J CAREY (CONTRACTORS) LTD,"242,847.33"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,P.H.S. ENGINEERING,"1,025.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,PANATTA SPORT,"7,949.19"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,PAPICO LIMITED,"17,851.94"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,PETER COX PROPERTY SERVICES LTD,"2,967.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,PETER O'DELL GROUNDWORK CONTRACTORS LTD,"251,193.79"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,PETERBOROUGH TREE SERVICES LTD,"8,297.68"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,PHIL GOTTSCHALK,"8,950.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,PIERROT ENVIRONMENTAL LTD,"3,175.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,PLANSCAPE CONTRACTORS,"10,260.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,PLUS DEVELOPMENT,"57,053.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,PTL-LLP,"39,500.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,PUMP SUPPLIES LIMITED,"1,624.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,QUAYSTONE CONSTRUCTION LIMITED,"349,496.80"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,R B SERVICES,"1,670.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,R D LANDSCAPES LTD,"146,534.43"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,R KINGE PROPERTY MAINTENANCE LTD,"80,409.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,RACH COLLING,"18,160.05"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,RALLEY LTD,"55,324.66"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,REDRUTH GLASS COMPANY,"1,112.80"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,RHEDIN LTD,"8,759.99"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,RICHARD ASHFORD LTD,"3,222.74"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,ROADMARK LTD,"1,176.91"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,ROBERT DE GREY,"10,000.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,ROBERT KENT SERVICES,"30,822.73"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,ROLTON GROUP LTD,675
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,ROMFORD INSULATION LTD,"12,500.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,ROTUNDA CONSTRUCTION,"35,441.27"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,ROYSTON LTD,"32,863.50"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,RUTLAND OIL,"12,363.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,S & V (PLAY AREA &) LANDSCAPE MAINTEANCE LTD,"130,605.82"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,S.J.S IRRIGATION,"6,418.34"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,SALIX HOMES,"5,000.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,SAPIENT UK LIMITED,"110,450.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,SCQ,899.38
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,Seawise,"1,000.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,SEYMOUR (CIVIL ENGINEERING CONTRACTORS) LTD,"16,315.44"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,SHEPHERD GILMOUR ENVIROMENT LIMITED,"13,028.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,SHS LTD,"49,808.46"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,Sigma-Aldrich Company Ltd.,"3,213.11"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,SIMON TRANTER LANDSCAPE CONTRACTORS,"51,477.50"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,SITE FENCING LTD,"1,464.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,SLP VEGETATION SOLUTIONS,"30,251.36"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,SMITH CONSTRUCTION GROUP LTD,"1,887,701.43"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,SOLIHULL LANDSCAPES LIMITED,"75,865.18"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,SONES LANDSCAPES,"77,473.05"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,SOUTHERN LANDSCAPE & CONSTRUCTION LTD,"10,004.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,SSE Power Distribution,719
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,STAN FOWLER (BUILDERS) LIMITED,"2,790.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,SUSTAINABLE HOMES,"5,978.61"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,SWINBURNE HORTICULTURAL SERVICES,"37,072.77"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,TAG LIMITED,"1,149.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,TANK CLEANING SERVICES LTD,"3,950.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,TEAM MAINTENANCE SERVICES LTD,"2,340.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,TECHNOGYM UK LTD,"17,679.80"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,TELFORD SITE SERVICES,"18,135.94"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,THOMPSON ESTATE MAINTENANCE,"55,540.93"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,TILHILL FORESTRY LIMITED,"11,117.37"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,TOLENT CONSTRUCTION LTD,"37,226.66"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,TRADING SPACES (PORTABLE ACCOMMODATION) LTD,"7,780.17"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,TRIM-A-TREE,"30,697.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,TRIPLE SHIELD MAINTENANCE LIMITED,"2,680.24"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,TRUEFORM,"45,358.20"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,TRUST FOR URBAN ECOLOGY,"123,340.55"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,TUNBRIDGE WELLS ROOFING LTD,"3,668.91"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,TURNEY LANDSCAPES LTD,"75,250.26"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,TWIN SERVICES LIMITED,920
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,UPRIGHT SCAFFOLD,"2,319.98"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,UPTON MILL FARM LIMITED,"3,405.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,VOLKER STEVIN,"52,257.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,W A P LAWTON & SON LTD,"223,236.01"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,W J KENT TREE SURGEONS LTD,"12,730.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,W T JENKINS LTD,865.5
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,W. A. FAIRHURST & PARTNERS,"515,823.62"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,WELDLAG (PRESTON) LTD,"1,309.25"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,WELDON PLANT LTD,"18,436.89"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,WHEELERS ELECTRICAL,"16,211.93"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,WILBYTREE SURGEONS LTD,"15,335.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,WILLIAM PYE LTD,"9,093.80"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,WINGATE ELECTRICAL PLC,"19,930.52"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,WREFORD LTD,"1,790.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,WRENCO (CONTRACTORS) LTD,"1,384.63"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,WYEVALE LANDSCAPES,"2,700.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,X-ACT SECURITY LTD,"16,442.40"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,ZENITH DEVELOPMENT PARTNERSHIP LTD,"137,488.45"
Home & Communities Agency,CATERING,AMEY COMMUNITY LTD,"7,658.22"
Home & Communities Agency,CATERING,Bar Sandwich,"2,326.20"
Home & Communities Agency,CATERING,BAXTER STOREY LTD,"1,789.00"
Home & Communities Agency,CATERING,BON VIVEUR,"7,881.50"
Home & Communities Agency,CATERING,BRUNCHES,"9,071.11"
Home & Communities Agency,CATERING,Buffets for Business,"1,504.20"
Home & Communities Agency,CATERING,CONCEPT BUFFETS LIMITED,874.7
Home & Communities Agency,CATERING,CONVEX LEISURE,500
Home & Communities Agency,CATERING,CREATIVE FLAVOURS CATERING LTD,651.3
Home & Communities Agency,CATERING,CUTTING EDGE FOODSERVICE EQUIPMENT,670.42
Home & Communities Agency,CATERING,DIGBY TROUT RESTAURANTS,"14,750.00"
Home & Communities Agency,CATERING,EAT YOUR HEART OUT,"2,729.45"
