ALB Code,Public Sector Procurement Expenditure Survey Category ,Supplier,Net Amount £
Tenants Services Authority,OPERATIONAL SERVICES,SOLACE,674.48
Tenants Services Authority,OPERATIONAL SERVICES,SOPRA GROUP LTD,"96,802.27"
Tenants Services Authority,OPERATIONAL SERVICES,SPALDING GOOBEY ASSOCIATES,"4,035.50"
Tenants Services Authority,OPERATIONAL SERVICES,SPECIALIST RECRUITMENT SERVICES LTD,782.00
Tenants Services Authority,OPERATIONAL SERVICES,STERIA SERVICES LIMITED,"30,962.63"
Tenants Services Authority,OPERATIONAL SERVICES,SYSTEM CONCEPTS,820.42
Tenants Services Authority,OPERATIONAL SERVICES,TENANT PARTICIPATION ADVISORY SERVICE,"3,802.79"
Tenants Services Authority,OPERATIONAL SERVICES,TFPL LTD,"4,985.25"
Tenants Services Authority,OPERATIONAL SERVICES,THE NEWSPAPER LICENSING AGENCY LTD,"1,631.33"
Tenants Services Authority,OPERATIONAL SERVICES,THE WORK FOUNDATION,"4,846.88"
Tenants Services Authority,OPERATIONAL SERVICES,THISTLE HOTEL EXETER,"1,071.00"
Tenants Services Authority,OPERATIONAL SERVICES,TNS UK LTD,"403,246.06"
Tenants Services Authority,OPERATIONAL SERVICES,TOTAL CONFLICT MANAGEMENT SOLUTIONS LTD,"1,173.00"
Tenants Services Authority,OPERATIONAL SERVICES,TOTAL RECRUITMENT SPECIALISTS LTD,"8,993.00"
Tenants Services Authority,OPERATIONAL SERVICES,TRIBAL CONSULTING LTD,"19,031.34"
Tenants Services Authority,OPERATIONAL SERVICES,TROWERS & HAMLINS,"1,485.95"
Tenants Services Authority,OPERATIONAL SERVICES,TSA DIRECT DEBIT,"9,069.40"
Tenants Services Authority,OPERATIONAL SERVICES,UNIVERSITY OF CAMBRIDGE,"310,991.01"
Tenants Services Authority,OPERATIONAL SERVICES,UNIVERSITY OF ST ANDREWS,"232,992.00"
Tenants Services Authority,OPERATIONAL SERVICES,VALUATION OFFICE AGENCY ADMINISTRATION,"3,060.00"
Tenants Services Authority,OPERATIONAL SERVICES,VMA SEARCH AND SELECTION LTD,"6,994.01"
Tenants Services Authority,OPERATIONAL SERVICES,WIGTHE WHITEHALL & INDUSTRY GROUP),"8,788.56"
Tenants Services Authority,OPERATIONAL SERVICES,WORDLINK,"1,821.00"
Tenants Services Authority,POST AND COURIER,CITY SPRINT,"2,355.97"
Tenants Services Authority,POST AND COURIER,MISCO,"1,231.90"
Tenants Services Authority,POST AND COURIER,NEOPOST LTD,"4,024.44"
Tenants Services Authority,POST AND COURIER,ORBITAL RESPONSE AND FULFILMENT,"2,614.09"
Tenants Services Authority,POST AND COURIER,PINK EXPRESS LTD,"23,647.12"
Tenants Services Authority,POST AND COURIER,PITNEY BOWES - POSTAGE BY PHONE,"11,031.05"
Tenants Services Authority,POST AND COURIER,ROYAL MAIL GROUP PLC,"2,580.21"
Tenants Services Authority,PRINT,ADDED VALUE HRM LTD,"1,610.00"
Tenants Services Authority,PRINT,CHARLESWORTH GROUP,"2,985.00"
Tenants Services Authority,PRINT,CHARTERED INSTITUTE OF HOUSING,635.38
Tenants Services Authority,PRINT,CIPFA,718.46
Tenants Services Authority,PRINT,CISION UK LIMITED,"3,278.65"
Tenants Services Authority,PRINT,COPYRIGHT LICENSING AGENCY LTD,"4,002.13"
Tenants Services Authority,PRINT,HOUSEMARK LIMITED,"11,858.95"
Tenants Services Authority,PRINT,JAI NEWS,"2,823.10"
Tenants Services Authority,PRINT,LEXISNEXIS UK,"12,238.01"
Tenants Services Authority,PRINT,PRACTICAL LAW COMPANY LTD,"1,759.50"
Tenants Services Authority,PRINT,REED BUSINESS INFORMATION LTD,"2,203.63"
Tenants Services Authority,PRINT,SOCIAL HOUSING,"1,310.00"
Tenants Services Authority,PRINT,THE STATIONERY OFFICE LTD,"1,073.00"
Tenants Services Authority,PRINT,THOMSON REUTERS (LEGAL) LTD,"1,620.39"
Tenants Services Authority,PRINT,TSA DIRECT DEBIT,"21,805.83"
Tenants Services Authority,PRINT,WISEWORK LTD,"4,887.50"
Tenants Services Authority,PRINT,WORDLINK,985.00
Tenants Services Authority,PROMOTION,BOXUK,"9,450.22"
Tenants Services Authority,PROMOTION,BROADWATER TRAINING LTD,"1,086.01"
Tenants Services Authority,PROMOTION,CHARLESWORTH GROUP,"1,420.14"
Tenants Services Authority,PROMOTION,CHESTERFIELD MAYFAIR HOTEL,"1,228.31"
Tenants Services Authority,PROMOTION,EMAP PUBLIC SECTOR LIMITED,"3,690.06"
Tenants Services Authority,PROMOTION,END 2 END PRODUCTIONS,"1,000.00"
Tenants Services Authority,PROMOTION,ENGAGE GROUP,"96,688.84"
Tenants Services Authority,PROMOTION,FIRST COLOUR LIMITED,"82,355.68"
Tenants Services Authority,PROMOTION,KEYLOGO,"1,065.48"
Tenants Services Authority,PROMOTION,MILL GROUP PRODUCTIONS LTD,"21,149.20"
Tenants Services Authority,PROMOTION,MWLPRINT GROUP LTD,"63,270.00"
Tenants Services Authority,PROMOTION,NOVOTEL LONDON PADDINGTON,"7,100.00"
Tenants Services Authority,PROMOTION,OCEAN MEDIA GROUP LTD,"24,923.82"
Tenants Services Authority,PROMOTION,ORBITAL RESPONSE AND FULFILMENT,"17,717.37"
Tenants Services Authority,PROMOTION,POGO CREATIVE MARKETING LTD,"10,618.13"
Tenants Services Authority,PROMOTION,REDHOUSE LANE,"2,645.12"
Tenants Services Authority,PROMOTION,ROBERT HORNE GROUP,"4,172.24"
Tenants Services Authority,PROMOTION,SPY DESIGN AND PUBLISHING LTD,"7,008.58"
Tenants Services Authority,PROMOTION,THE STATIONERY OFFICE LTD,"11,336.70"
Tenants Services Authority,PROMOTION,TSA DIRECT DEBIT,"3,753.25"
Tenants Services Authority,RECORDS STORAGE,CROWN RECORDS MANAGEMENT LTD,"9,753.59"
Tenants Services Authority,RECORDS STORAGE,PHS TEACRATE,"2,476.30"
Tenants Services Authority,RECORDS STORAGE,WOLVERHAMPTON SCIENCE PARK LTD,"1,737.51"
Tenants Services Authority,RECORDS STORAGE,WORKSTATION,"19,066.60"
Tenants Services Authority,SOFTWARE,ACCOUNTIS EUROPE LTD,818.26
Tenants Services Authority,SOFTWARE,ALFAPEOPLE CRM,"2,122.16"
Tenants Services Authority,SOFTWARE,BOXUK,"11,282.31"
Tenants Services Authority,SOFTWARE,BUSINESS OBJECTS (UK) LTD,"56,686.86"
Tenants Services Authority,SOFTWARE,CLEARSWIFT LIMITED,"17,549.07"
Tenants Services Authority,SOFTWARE,COMPUTACENTER LTD,"45,777.80"
Tenants Services Authority,SOFTWARE,DATALINE SOFTWARE LTD,"1,731.45"
Tenants Services Authority,SOFTWARE,ESRI (UK) LTD,"1,857.25"
Tenants Services Authority,SOFTWARE,MISCO,"32,137.09"
Tenants Services Authority,SOFTWARE,NCC SERVICES LIMITED,738.01
Tenants Services Authority,SOFTWARE,ORACLE CORPORATION UK LTD,"15,383.90"
Tenants Services Authority,SOFTWARE,QUEST SOFTWARE (UK) LTD,"5,353.31"
Tenants Services Authority,SOFTWARE,SAGE (UK) LTD,"4,581.76"
Tenants Services Authority,SOFTWARE,SCC,"9,568.22"
Tenants Services Authority,SOFTWARE,SOFTLINK EUROPE LIMITED,"2,478.94"
Tenants Services Authority,SOFTWARE,SOFTWARE BOX LTD,"83,916.46"
Tenants Services Authority,SOFTWARE,SPSS UK LTD,872.45
Tenants Services Authority,SOFTWARE,TSA DIRECT DEBIT,740.07
Tenants Services Authority,SYSTEMS DELIVERY,BRITISH TELECOMMUNICATIONS PLC,"31,978.89"
Tenants Services Authority,SYSTEMS DELIVERY,CABLE & WIRELESS,"299,701.90"
Tenants Services Authority,SYSTEMS DELIVERY,TSA DIRECT DEBIT,"20,454.28"
Tenants Services Authority,TECHNICAL SERVICES,4-5 GRAY'S INN SQUARE,"18,472.26"
Tenants Services Authority,TECHNICAL SERVICES,DEVONSHIRES,"53,927.81"
Tenants Services Authority,TECHNICAL SERVICES,DOUGHTY STREET CHAMBERS,"4,365.18"
Tenants Services Authority,TECHNICAL SERVICES,KNOX CROPPER,"4,789.75"
Tenants Services Authority,TECHNICAL SERVICES,LANDMARK CHAMBERS,"2,181.09"
Tenants Services Authority,TECHNICAL SERVICES,PINSENT MASONS,"3,046.88"
Tenants Services Authority,TECHNICAL SERVICES,PTSCONSULTING (UK) LTD,"18,825.68"
Tenants Services Authority,TECHNICAL SERVICES,THIRTY NINE ESSEX STREET,"18,181.50"
Tenants Services Authority,TECHNICAL SERVICES,TROWERS & HAMLINS,"54,817.99"
Tenants Services Authority,TELECOMS,BRITISH TELECOMMUNICATIONS PLC,"125,328.96"
Tenants Services Authority,TELECOMS,BTCONFERENCING,"2,660.81"
Tenants Services Authority,TELECOMS,CABLE & WIRELESS,"14,639.11"
Tenants Services Authority,TELECOMS,VODAFONE LTD,"28,810.70"
Tenants Services Authority,TELECOMS,WINDSOR TELECOM PLC,"1,197.44"
Tenants Services Authority,WATER,UNITED UTILITIES,"1,930.96"
Tenants Services Authority,#,ALLAN SMYTH AUDIO VISUAL,"10,307.77"
Tenants Services Authority,#,BRINTEX EVENTS,"14,403.51"
Tenants Services Authority,#,CENTURY PROJECTS LTD T/A PARAMOUNT,"3,112.10"
Tenants Services Authority,#,CHESTERFIELD MAYFAIR HOTEL,861.47
Tenants Services Authority,#,DISCOUNT DISPLAYS,716.03
Tenants Services Authority,#,EQUINOX DESIGN LIMITED,"55,216.42"
Tenants Services Authority,#,EXPOTEL HOTEL RESERVATIONS,"6,961.13"
Tenants Services Authority,#,FOREMARKE EXHIBITIONS LTD,"5,723.03"
Tenants Services Authority,#,HILTON MANCHESTER DEANSGATE,"3,691.04"
Tenants Services Authority,#,HOUSING 21,531.65
Tenants Services Authority,#,LOCAL GOVERNMENT ASSOCIATION,782.00
Tenants Services Authority,#,LONDON COUNCILS,"1,000.00"
Tenants Services Authority,#,OCEAN MEDIA GROUP LTD,"14,597.30"
Tenants Services Authority,#,ORIENTAL,782.00
Tenants Services Authority,#,RENAISSANCE MANCHESTER HOTEL,"3,801.20"
Tenants Services Authority,#,RESERVATION HIGHWAY LIMITED,"8,255.00"
Tenants Services Authority,#,TAROE,"8,575.36"
Tenants Services Authority,#,TENANT PARTICIPATION ADVISORY SERVICE,"29,028.50"
