"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Profession"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","S - Skills (BS)","SCS1-01-06-06","G6-D","52215","67714","Senior Policy Adviser","3","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","S - Skills (BS)","SCS1-01-06-06","G7-D","43129","55882","Senior Policy Adviser","3","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","S - Skills (BS)","SCS1-01-06-06","HEO-B","23570","32866","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","S - Skills (BS)","SCS1-01-06-06","HEO-D","25152","33027","Policy Adviser","3.76","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","S - Skills (BS)","SCS1-01-06-06","SEO-D","30885","40917","Policy Adviser","1.83","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","S - Skills (BS)","SCS1-01-06-07","EA-D","16517","22126","Team Support","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","S - Skills (BS)","SCS1-01-06-07","EO-D","20133","27281","Personal Assistant","2","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","S - Skills (BS)","SCS1-01-06-07","EO-D","20133","27281","Policy Adviser","1.81","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","S - Skills (BS)","SCS1-01-06-07","G6-B","50043","67313","Senior Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","S - Skills (BS)","SCS1-01-06-07","G6-D","52215","67714","Senior Policy Adviser","3.79","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","S - Skills (BS)","SCS1-01-06-07","G7-D","43129","55882","Senior Policy Adviser","2.68","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","S - Skills (BS)","SCS1-01-06-07","G7-D","43129","55882","Senior Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","S - Skills (BS)","SCS1-01-06-07","HEO-D","25152","33027","Policy Adviser","4.92","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","S - Skills (BS)","SCS1-01-06-07","SEO-D","30885","40917","Policy Adviser","1.86","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","S - Skills (BS)","SCS1-01-06-07","SEO-D","30885","40917","Senior Information Officer","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","GSD - Government Skills Directorate (BS)","SCS1-01-07-01","EO-D","20133","27281","Policy Adviser","2","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","GSD - Government Skills Directorate (BS)","SCS1-01-07-01","G7-D","43129","55882","Senior Policy Adviser","3.9","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","GSD - Government Skills Directorate (BS)","SCS1-01-07-01","HEO-D","25152","33027","Policy Adviser","0.83","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","GSD - Government Skills Directorate (BS)","SCS1-01-07-01","SEO-D","30885","40917","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","GSD - Government Skills Directorate (BS)","SCS1-01-07-02","G7-D","43129","55882","Senior Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","GSD - Government Skills Directorate (BS)","SCS1-01-07-02","HEO-D","25152","33027","Policy Adviser","0.89","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","GSD - Government Skills Directorate (BS)","SCS1-01-07-02","SEO-D","30885","40917","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","GSD - Government Skills Directorate (BS)","SCS1-01-07-03","G7-D","43129","55882","Senior Policy Adviser","2","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","GSD - Government Skills Directorate (BS)","SCS1-01-07-04","G7-D","43129","55882","Senior Policy Adviser","4","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","GSD - Government Skills Directorate (BS)","SCS1-01-07-04","HEO-D","25152","33027","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","GSD - Government Skills Directorate (BS)","SCS1-01-07-04","SEO-D","30885","40917","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","OLS - Office for Life Sciences (BS)","SCS1-01-08-01","EO-B","18763","27023","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","OLS - Office for Life Sciences (BS)","SCS1-01-08-01","EO-D","20133","27281","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","OLS - Office for Life Sciences (BS)","SCS1-01-08-01","G7-B","40686","55562","Senior Policy Adviser","3","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","OLS - Office for Life Sciences (BS)","SCS1-01-08-01","G7-D","43129","55882","Senior Policy Adviser","2","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","OLS - Office for Life Sciences (BS)","SCS1-01-08-01","HEO-B","23570","32866","Policy Adviser","3.93","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","OLS - Office for Life Sciences (BS)","SCS1-01-08-01","SEO-B","28741","40701","Policy Adviser","3","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AD - Analysis Directorate","SCS1-02-01-01","AO-B","16325","21869","Team Support","1.09","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AD - Analysis Directorate","SCS1-02-01-01","G6-B","50043","67313","Senior Economic Adviser","1.79","Economics"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AD - Analysis Directorate","SCS1-02-01-01","G6-B","50043","67313","Senior Principal Research Officer","1","Operational Research"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AD - Analysis Directorate","SCS1-02-01-01","G7-B","40686","55562","Economic Adviser","4.89","Economics"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AD - Analysis Directorate","SCS1-02-01-01","G7-B","40686","55562","Senior Research Officer","2","Operational Research"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AD - Analysis Directorate","SCS1-02-01-01","G7-B","40686","55562","Senior Research Officer","1","Operational Research"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AD - Analysis Directorate","SCS1-02-01-01","HEO-B","23570","32866","Economist","2","Economics"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AD - Analysis Directorate","SCS1-02-01-01","HEO-B","23570","32866","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AD - Analysis Directorate","SCS1-02-01-01","HEO-D","25152","33027","Economist","1","Economics"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AD - Analysis Directorate","SCS1-02-01-01","SEO-B","28741","40701","Operational Research Analyst","1","Operational Research"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AD - Analysis Directorate","SCS1-02-01-01","SEO-B","28741","40701","Senior Research Officer","3","Operational Research"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AD - Analysis Directorate","SCS1-02-01-02","AO-B","16325","21869","Team Support","2","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AD - Analysis Directorate","SCS1-02-01-02","EO-B","18763","27023","Statistical Officer","1","Statisticians"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AD - Analysis Directorate","SCS1-02-01-02","G6-B","50043","67313","Senior Statistician","2","Statisticians"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AD - Analysis Directorate","SCS1-02-01-02","G7-B","40686","55562","Senior Research Officer","1","Operational Research"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AD - Analysis Directorate","SCS1-02-01-02","G7-B","40686","55562","Statistical Officer","3.8","Statisticians"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AD - Analysis Directorate","SCS1-02-01-02","HEO-B","23570","32866","Statistical Support Officer","1","Statisticians"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AD - Analysis Directorate","SCS1-02-01-02","HEO-B","23570","32866","Statistical Officer","3","Statisticians"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AD - Analysis Directorate","SCS1-02-01-02","HEO-B","23570","32866","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AD - Analysis Directorate","SCS1-02-01-02","HEO-B","23570","32866","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-01","EO-B","18763","27023","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-01","G6-B","50043","67313","Senior Policy Adviser","2","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-01","G7-B","40686","55562","Senior Policy Adviser","5","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-01","G7-B","40686","55562","Senior Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-01","HEO-B","23570","32866","Policy Adviser","6","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-02","G6-B","50043","67313","Senior Policy Adviser","2","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-02","G7-B","40686","55562","Senior Policy Adviser","3","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-02","HEO-B","23570","32866","Policy Adviser","3","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-03","EO-B","18763","27023","Policy Adviser","2","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-03","G6-B","50043","67313","Economist","1","Economics"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-03","G6-B","50043","67313","Senior Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-03","G7-B","40686","55562","Economist","4","Economics"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-03","G7-B","40686","55562","Senior Policy Adviser","1.79","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-03","G7-D","43129","55882","Senior Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-03","HEO-B","23570","32866","Assistant Economist","2","Economics"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-03","HEO-B","23570","32866","Policy Adviser","2","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-04","EO-B","18763","27023","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-04","G6-B","50043","67313","Senior Policy Adviser","0.97","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-04","G7-B","40686","55562","Senior Policy Adviser","3.69","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-04","HEO-B","23570","32866","Policy Adviser","3","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-05","AO-B","16325","21869","Team Support","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-05","EO-B","18763","27023","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-05","G7-B","40686","55562","Economist","2","Economics"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-05","G7-B","40686","55562","Senior Policy Adviser","4","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-05","HEO-B","23570","32866","Assistant Economist","1","Economics"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-05","HEO-B","23570","32866","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-05","HEO-B","23570","32866","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-06","AO-B","16325","21869","Team Support","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-06","EO-B","18763","27023","Personal Assistant","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-06","EO-B","18763","27023","Policy Adviser","2.8","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-06","G6-B","50043","67313","Senior Policy Adviser","3","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-06","G7-B","40686","55562","Senior Policy Adviser","3","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-06","HEO-B","23570","32866","Policy Adviser","3.59","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-07","EO-B","18763","27023","Policy Adviser","3","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-07","G6-B","50043","67313","Senior Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-07","G6-B","50043","67313","Senior Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-07","G6-D","52215","67714","Senior Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-07","G7-B","40686","55562","Senior Policy Adviser","2.92","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-07","G7-D","43129","55882","Senior Policy Adviser","1.81","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","BR - Better Regulation","SCS1-02-02-07","HEO-B","23570","32866","Policy Adviser","4","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ESG - Economics Strategy and Growth","SCS1-02-04-01","G7-B","40686","55562","Senior Policy Adviser","2","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ESG - Economics Strategy and Growth","SCS1-02-04-01","G7-D","43129","55882","Senior Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ESG - Economics Strategy and Growth","SCS1-02-04-02","AO-B","16325","21869","Personal Assistant","1","Operational Delivery"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ESG - Economics Strategy and Growth","SCS1-02-04-02","G6-B","50043","67313","Senior Policy Adviser","2","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ESG - Economics Strategy and Growth","SCS1-02-04-02","G7-B","40686","55562","Economic Adviser","2","Economics"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ESG - Economics Strategy and Growth","SCS1-02-04-02","G7-B","40686","55562","Senior Policy Adviser","2","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ESG - Economics Strategy and Growth","SCS1-02-04-02","HEO-B","23570","32866","Economist","4.5","Economics"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ESG - Economics Strategy and Growth","SCS1-02-04-02","HEO-B","23570","32866","Policy Adviser","2","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ESG - Economics Strategy and Growth","SCS1-02-04-03","G6-B","50043","67313","Senior Policy Adviser","1","Economics"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ESG - Economics Strategy and Growth","SCS1-02-04-03","G7-B","40686","55562","Economic Adviser","2","Economics"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ESG - Economics Strategy and Growth","SCS1-02-04-03","G7-B","40686","55562","Senior Economic Adviser","1","Economics"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ESG - Economics Strategy and Growth","SCS1-02-04-03","G7-B","40686","55562","Senior Policy Adviser","3","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ESG - Economics Strategy and Growth","SCS1-02-04-03","G7-B","40686","55562","Statistical Officer","1","Statisticians"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ESG - Economics Strategy and Growth","SCS1-02-04-03","HEO-B","23570","32866","Economist","2","Economics"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ESG - Economics Strategy and Growth","SCS1-02-04-03","HEO-B","23570","32866","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ESG - Economics Strategy and Growth","SCS1-02-04-04","EO-D","20133","27281","Personal Assistant","1","Operational Delivery"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ESG - Economics Strategy and Growth","SCS1-02-04-04","G7-B","40686","55562","Senior Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ESG - Economics Strategy and Growth","SCS1-02-04-04","HEO-B","23570","32866","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ESG - Economics Strategy and Growth","SCS1-02-04-05","G6-D","52215","67714","Senior Policy Adviser","1.79","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ESG - Economics Strategy and Growth","SCS1-02-04-05","G7-B","40686","55562","Senior Policy Adviser","2","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ESG - Economics Strategy and Growth","SCS1-02-04-05","G7-D","43129","55882","Senior Policy Adviser","3.59","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ESG - Economics Strategy and Growth","SCS1-02-04-05","HEO-B","23570","32866","Policy Adviser","2","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ESG - Economics Strategy and Growth","SCS1-02-04-05","HEO-D","25152","33027","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","AA-B","13605","18617","File Manager - File store","8","Knowledge and Information Management (KIM)"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","AO-B","16325","21869","Assistant Information and Records Management Analyst","1.56","Knowledge and Information Management (KIM)"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","AO-B","16325","21869","Assistant Information Specialist","1","Knowledge and Information Management (KIM)"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","AO-B","16325","21869","File Store Supervisor","1","Knowledge and Information Management (KIM)"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","AO-B","16325","21869","Personal Assistant","0.94","Operational Delivery"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","AO-B","16325","21869","Personnel Security Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","AO-B","16325","21869","Programme Office Support","1","Operational Delivery"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","AO-B","16325","21869","Secure File Administator","1","Operational Delivery"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","AO-B","16325","21869","Special Documents Manager - security","1","Knowledge and Information Management (KIM)"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","AO-B","16325","21869","Special Documents Officer - Security","1","Knowledge and Information Management (KIM)"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","EO-B","18763","27023","File Store Operation Manager","1","Knowledge and Information Management (KIM)"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","EO-B","18763","27023","Freedom of Information Adviser","1","Knowledge and Information Management (KIM)"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","EO-B","18763","27023","Group Support Officer","1","Operational Delivery"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","EO-B","18763","27023","Information Services Analyst","4.61","Knowledge and Information Management (KIM)"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","EO-B","18763","27023","Project Support Officer","1","Operational Delivery"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","EO-B","18763","27023","Information Manager","8.33","Knowledge and Information Management (KIM)"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","G7-B","40686","55562","Business Analyst","3","Information Technology"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","G7-B","40686","55562","Communications Manager","1","Communications"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","G7-B","40686","55562","Departmental Counter Fraud Officer","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","G7-B","40686","55562","Senior Policy Adviser","1","Knowledge and Information Management (KIM)"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","G7-B","40686","55562","Information Manager","1","Knowledge and Information Management (KIM)"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","G7-B","40686","55562","Not In Post","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","G7-B","40686","55562","Project Manager","1","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","G7-B","40686","55562","Senior Information Manager","1","Knowledge and Information Management (KIM)"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","G7-B","40686","55562","Project Manager","1","Information Technology"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","G7-B","40686","55562","Project Manager","1","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","G7-D","43129","55882","Departmental IT Security Officer","1","Information Technology"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","G7-D","43129","55882","Project Manager","1","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","HEO-B","23570","32866","Data Protection Officer","1","Knowledge and Information Management (KIM)"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","HEO-B","23570","32866","File Store Manager","1","Knowledge and Information Management (KIM)"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","HEO-B","23570","32866","Information Manager","4.63","Knowledge and Information Management (KIM)"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","HEO-B","23570","32866","Freedom Of Information Act Officer","1","Knowledge and Information Management (KIM)"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","HEO-B","23570","32866","Information Manager","0.81","Knowledge and Information Management (KIM)"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","HEO-B","23570","32866","Information and Content Manager","1","Knowledge and Information Management (KIM)"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","HEO-B","23570","32866","Information Manager","1","Knowledge and Information Management (KIM)"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","HEO-B","23570","32866","Information Services Manager - MATRIX","0.79","Knowledge and Information Management (KIM)"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","HEO-B","23570","32866","Project Manager","1","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","HEO-B","23570","32866","Security Manager","0.83","Operational Delivery"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","HEO-B","23570","32866","Senior Information and Records Management Analyst","1","Knowledge and Information Management (KIM)"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","HEO-B","23570","32866","Special Documents Manager - security","1","Knowledge and Information Management (KIM)"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","IntMan","0","0","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","SEO-B","28741","40701","Information Architecture Specialist","1","Information Technology"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","SEO-B","28741","40701","Security Policy Framework Manager","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","SEO-B","28741","40701","Information Manager","2","Knowledge and Information Management (KIM)"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-01","SEO-B","28741","40701","Project Manager","1","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-02","AA-B","13605","18617","Messenger","8","Operational Delivery"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-02","AA-B","13605","18617","Porter","2","Property and asset management"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-02","AO-B","16325","21869","Furniture Storeman","1","Property and asset management"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-02","AO-B","16325","21869","Porter","1","Property and asset management"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-02","AO-B","16325","21869","Post Room Superviser","3","Operational Delivery"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-02","AO-B","16325","21869","Reprographics Operator","8","Operational Delivery"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-02","EO-B","18763","27023","Data Manager","1","Knowledge and Information Management (KIM)"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","CD - Commercial Directorate","SCS1-03-01-02","EO-B","18763","27023","Helpdesk Adviser - HR Online","2","Information Technology"
