Transaction Date,Transaction Reference,Merchant,Total
13/09/2011,308767616,Carlson Wagonlit Travel UK Limited,1154.8
14/09/2011,308989593,Carlson Wagonlit Travel UK Limited,693.9
16/09/2011,309572079,Carlson Wagonlit Travel UK Limited,509.63
16/09/2011,309576295,Carlson Wagonlit Travel UK Limited,753.7
16/09/2011,309576296,Carlson Wagonlit Travel UK Limited,830.7
20/09/2011,309992302,Carlson Wagonlit Travel UK Limited,614.4
20/09/2011,309992882,Carlson Wagonlit Travel UK Limited,893.4
20/09/2011,309990051,Carlson Wagonlit Travel UK Limited,998.63
21/09/2011,310216511,Carlson Wagonlit Travel UK Limited,1539.53
23/09/2011,310759841,Carlson Wagonlit Travel UK Limited,612.2
23/09/2011,310759843,Carlson Wagonlit Travel UK Limited,612.2
23/09/2011,310759840,Carlson Wagonlit Travel UK Limited,847.63
23/09/2011,310759842,Carlson Wagonlit Travel UK Limited,847.63
26/09/2011,310978803,Carlson Wagonlit Travel UK Limited,5284.73
26/09/2011,310978805,Carlson Wagonlit Travel UK Limited,5284.73
27/09/2011,311221350,Carlson Wagonlit Travel UK Limited,2274.73
28/09/2011,311449425,Carlson Wagonlit Travel UK Limited,925.33
28/09/2011,311449426,Carlson Wagonlit Travel UK Limited,925.33
28/09/2011,311449424,Carlson Wagonlit Travel UK Limited,2056.33
30/09/2011,312025803,Carlson Wagonlit Travel UK Limited,608.13
30/09/2011,312022385,Carlson Wagonlit Travel UK Limited,787.03
30/09/2011,312024377,Carlson Wagonlit Travel UK Limited,1261.1
04/07/2011,Ref Barclaycard Statement 5 August 2011,EC Group,9469.41
08/07/2011,Ref Barclaycard Statement 5 August 2011,EC Group,2962.68
22/07/2011,Ref Barclaycard Statement 5 August 2011,EC Group,586.63
22/07/2011,Ref Barclaycard Statement 5 August 2011,EC Group,9600
12/08/2011,Ref Barclaycard Statement 5 September 2011,EC Group,1625.68
01/09/2011,Ref Barclaycard Statement 5 September 2011,EC Group,9770.91
26/09/2011,Ref Barclaycard Statement 5 October 2011,EC Group,9471.57
09/09/2011,Ref Barclaycard Statement 5 October 2011,EC Group,759.06
