Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Total
Ministry of Defence,Ministry of Defence,05/04/2011,Estate management,Defence Infrastructure Organisation ,Nordrhein-Westfalen,JHQR001199,29850.12
Ministry of Defence,Ministry of Defence,05/04/2011,Estate management,Defence Infrastructure Organisation ,Nordrhein-Westfalen,PBAB000998,26280.7
Ministry of Defence,Ministry of Defence,05/04/2011,Estate management,Defence Infrastructure Organisation ,Nordrhein-Westfalen,PBBA001002,28721.05
Ministry of Defence,Ministry of Defence,05/04/2011,Estate management,Defence Infrastructure Organisation ,Nordrhein-Westfalen,PBBA001034,95736.84
Ministry of Defence,Ministry of Defence,05/04/2011,Estate management,Defence Infrastructure Organisation ,Nordrhein-Westfalen,PBBA001045,66640.35
Ministry of Defence,Ministry of Defence,05/04/2011,Estate management,Land Forces,HOLDFAST TRAINING SERVICES LTD,777587,2920492.63
Ministry of Defence,Ministry of Defence,05/04/2011,Fees for professional services,Land Forces,ELAN COMPUTING LTD,777570,29500
Ministry of Defence,Ministry of Defence,05/04/2011,Fees for professional services,Land Forces,HONEYBEERECRUITMENT.COM LTD,777588,68928.21
Ministry of Defence,Ministry of Defence,05/04/2011,Fees for professional services,Land Forces,L.A. INTERNATIONAL COMPUTER  CONSULTANTS LIMITED,777604,172737
Ministry of Defence,Ministry of Defence,05/04/2011,Fees for professional services,Land Forces,SYSTEMS CONSULTANTS SERVICES  LIMITED,777667,19555
Ministry of Defence,Ministry of Defence,05/04/2011,General services and support,Defence Equipment & Support,DM SYSTEMS AND TEST LIMITED,777564,8715
Ministry of Defence,Ministry of Defence,05/04/2011,General services and support,Defence Equipment & Support,MARSHALL OF CAMBRIDGE AEROSPACE LIMITED,777617,1107552.87
Ministry of Defence,Ministry of Defence,05/04/2011,General services and support,Defence Equipment & Support,THALES ATM LIMITED,777670,72839.34
Ministry of Defence,Ministry of Defence,05/04/2011,General services and support,Defence Equipment & Support,ULTRA ELECTRONICS LIMITED,777682,26621
Ministry of Defence,Ministry of Defence,05/04/2011,Interest paid PFIs and finance leases,Defence Equipment & Support,FALCON SUPPORT SERVICES LIMITED,777575,226430.46
Ministry of Defence,Ministry of Defence,05/04/2011,IT and communication services,Air Command,IBM UNITED KINGDOM LIMITED,777592,6134.24
Ministry of Defence,Ministry of Defence,05/04/2011,IT and communication services,Air Command,L.A. INTERNATIONAL COMPUTER  CONSULTANTS LIMITED,777604,10360
Ministry of Defence,Ministry of Defence,05/04/2011,IT and communication services,Air Command,XMA LTD,777690,1966.46
Ministry of Defence,Ministry of Defence,05/04/2011,IT and communication services,Central TLB,LOGICA UK LIMITED,777608,29183.91
Ministry of Defence,Ministry of Defence,05/04/2011,IT and communication services,Defence Equipment & Support,BEARINGPOINT LIMITED,777538,60749.6
Ministry of Defence,Ministry of Defence,05/04/2011,IT and communication services,Defence Equipment & Support,BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,777542,248705
Ministry of Defence,Ministry of Defence,05/04/2011,IT and communication services,Defence Equipment & Support,CAPGEMINI UK PLC,777547,712051.21
Ministry of Defence,Ministry of Defence,05/04/2011,IT and communication services,Defence Equipment & Support,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,777589,7444.5
Ministry of Defence,Ministry of Defence,05/04/2011,IT and communication services,Defence Equipment & Support,L.A. INTERNATIONAL COMPUTER  CONSULTANTS LIMITED,777604,80409.76
Ministry of Defence,Ministry of Defence,05/04/2011,IT and communication services,Defence Equipment & Support,SYSTEMS CONSULTANTS SERVICES  LIMITED,777667,10606
Ministry of Defence,Ministry of Defence,05/04/2011,IT and communication services,Defence Equipment & Support,TRUSTMARQUE SOLUTIONS LIMITED,777678,5356
Ministry of Defence,Ministry of Defence,05/04/2011,IT and communication services,Defence Equipment & Support,VEGA CONSULTING SERVICES LTD,777684,23306.94
Ministry of Defence,Ministry of Defence,05/04/2011,IT and communication services,Defence Equipment & Support,XMA LTD,777690,433.33
Ministry of Defence,Ministry of Defence,05/04/2011,IT and communication services,Land Forces,HOLDFAST TRAINING SERVICES LTD,777587,177812.9
Ministry of Defence,Ministry of Defence,05/04/2011,IT and communication services,Land Forces,L.A. INTERNATIONAL COMPUTER  CONSULTANTS LIMITED,777604,5880
Ministry of Defence,Ministry of Defence,05/04/2011,Medical treatment & stores and welfare services.,Air Command,CASTLEROCK RECRUITMENT GROUP LIMITED,777551,4862.24
Ministry of Defence,Ministry of Defence,05/04/2011,Medical treatment & stores and welfare services.,Air Command,HONEYBEERECRUITMENT.COM LTD,777588,2331
Ministry of Defence,Ministry of Defence,05/04/2011,Medical treatment & stores and welfare services.,Land Forces,CASTLEROCK RECRUITMENT GROUP LIMITED,777551,2649
Ministry of Defence,Ministry of Defence,05/04/2011,Medical treatment & stores and welfare services.,Land Forces,HOLDFAST TRAINING SERVICES LTD,777587,566.69
Ministry of Defence,Ministry of Defence,05/04/2011,Medical treatment & stores and welfare services.,Land Forces,HONEYBEERECRUITMENT.COM LTD,777588,18191.85
Ministry of Defence,Ministry of Defence,05/04/2011,Property leases,Defence Equipment & Support,FALCON SUPPORT SERVICES LIMITED,777575,1594867.69
Ministry of Defence,Ministry of Defence,05/04/2011,Property leases,Navy Command,FALCON SUPPORT SERVICES LIMITED,777575,11811.99
Ministry of Defence,Ministry of Defence,05/04/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,FALCON SUPPORT SERVICES LIMITED,777575,145496.04
Ministry of Defence,Ministry of Defence,05/04/2011,Purchase of information and communications technology,Defence Equipment & Support,BEARINGPOINT LIMITED,777538,128895.6
Ministry of Defence,Ministry of Defence,05/04/2011,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,777502,45453.98
Ministry of Defence,Ministry of Defence,05/04/2011,Purchase of inventory and services ,Air Command,LYRECO UK LTD,777611,11979.37
Ministry of Defence,Ministry of Defence,05/04/2011,Purchase of inventory and services ,Air Command,XMA LTD,777690,26087.76
Ministry of Defence,Ministry of Defence,05/04/2011,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,777502,2474.67
Ministry of Defence,Ministry of Defence,05/04/2011,Purchase of inventory and services ,Central TLB,HENRY SCHEIN UK HOLDINGS LIMITED,777586,-2642.65
Ministry of Defence,Ministry of Defence,05/04/2011,Purchase of inventory and services ,Central TLB,LYRECO UK LTD,777611,2895.89
Ministry of Defence,Ministry of Defence,05/04/2011,Purchase of inventory and services ,Central TLB,XMA LTD,777690,16522
Ministry of Defence,Ministry of Defence,05/04/2011,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,777502,23809.54
Ministry of Defence,Ministry of Defence,05/04/2011,Purchase of inventory and services ,Command Joint Operations,LYRECO UK LTD,777611,481.03
Ministry of Defence,Ministry of Defence,05/04/2011,Purchase of inventory and services ,Command Joint Operations,XMA LTD,777690,8189.02
Ministry of Defence,Ministry of Defence,05/04/2011,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,777502,39912.19
Ministry of Defence,Ministry of Defence,05/04/2011,Purchase of inventory and services ,Defence Equipment & Support,ALLAERO LIMITED,777511,56263.82
Ministry of Defence,Ministry of Defence,05/04/2011,Purchase of inventory and services ,Defence Equipment & Support,ANIXTER LIMITED,777518,53992.28
Ministry of Defence,Ministry of Defence,05/04/2011,Purchase of inventory and services ,Defence Equipment & Support,BABCOCK INTERNATIONAL GROUP PLC,777525,176750.99
Ministry of Defence,Ministry of Defence,05/04/2011,Purchase of inventory and services ,Defence Equipment & Support,BABCOCK MARINE (ROSYTH) LTD,777528,112198.02
Ministry of Defence,Ministry of Defence,05/04/2011,Purchase of inventory and services ,Defence Equipment & Support,JOSEPH GLEAVE & SON LTD,777603,62292.78
Ministry of Defence,Ministry of Defence,05/04/2011,Purchase of inventory and services ,Defence Equipment & Support,LYRECO UK LTD,777611,5567.17
Ministry of Defence,Ministry of Defence,05/04/2011,Purchase of inventory and services ,Defence Equipment & Support,METAL PRODUCTS (ARDEN) LIMITED,777619,50535.6
Ministry of Defence,Ministry of Defence,05/04/2011,Purchase of inventory and services ,Defence Equipment & Support,UNITED TOOL DISTRIBUTORS LTD,777683,72710.95
Ministry of Defence,Ministry of Defence,05/04/2011,Purchase of inventory and services ,Defence Equipment & Support,XMA LTD,777690,29086.75
Ministry of Defence,Ministry of Defence,05/04/2011,Purchase of inventory and services ,Defence Infrastructure Organisation ,LYRECO UK LTD,777611,966.64
Ministry of Defence,Ministry of Defence,05/04/2011,Purchase of inventory and services ,Defence Infrastructure Organisation ,XMA LTD,777690,2943.88
Ministry of Defence,Ministry of Defence,05/04/2011,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,777502,77054.3
Ministry of Defence,Ministry of Defence,05/04/2011,Purchase of inventory and services ,Land Forces,LYRECO UK LTD,777611,38399.96
Ministry of Defence,Ministry of Defence,05/04/2011,Purchase of inventory and services ,Land Forces,XMA LTD,777690,71049.02
Ministry of Defence,Ministry of Defence,05/04/2011,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,777502,3233.51
Ministry of Defence,Ministry of Defence,05/04/2011,Purchase of inventory and services ,Navy Command,LYRECO UK LTD,777611,3657.97
Ministry of Defence,Ministry of Defence,05/04/2011,Purchase of inventory and services ,Navy Command,XMA LTD,777690,1774.27
Ministry of Defence,Ministry of Defence,05/04/2011,"Purchase of major spares armaments, medical & general stores",Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,777563,2391.8
Ministry of Defence,Ministry of Defence,05/04/2011,Rent and rates,Defence Infrastructure Organisation ,BimA,Ap1,3519795.6
Ministry of Defence,Ministry of Defence,05/04/2011,Rental of plant and machinery,Defence Equipment & Support,BARLOWORLD HANDLING LTD,777537,29857
Ministry of Defence,Ministry of Defence,05/04/2011,Research and development,Defence Equipment & Support,LOCKHEED MARTIN UK INTEGRATED SYSTEMS AND SOLUTIONS LIMITED,777606,32160.9
Ministry of Defence,Ministry of Defence,05/04/2011,"Transporation of personnel, freight and travel expenses",Defence Equipment & Support,CITYSPRINT (UK) LIMITED,777556,25455.36
Ministry of Defence,Ministry of Defence,05/04/2011,"Transporation of personnel, freight and travel expenses",Land Forces,CITYSPRINT (UK) LIMITED,777556,43274.5
Ministry of Defence,United Kingdom Hydrographic Office,05/04/2011,Assets under construction,ICT Delivery Business Group,ESRI UK Ltd,2000053612,25960
Ministry of Defence,Ministry of Defence,06/04/2011,Design services and minor equipment purchases,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,777749,-706.54
Ministry of Defence,Ministry of Defence,06/04/2011,Design services and minor equipment purchases,Defence Equipment & Support,IBM UNITED KINGDOM LIMITED,777972,38849.53
Ministry of Defence,Ministry of Defence,06/04/2011,Design services and minor equipment purchases,Defence Equipment & Support,PHOENIX STRATEGIC LTD,778193,8500
Ministry of Defence,Ministry of Defence,06/04/2011,Design services and minor equipment purchases,Defence Equipment & Support,THE FIRE PROTECTION ASSOCIATION,778321,30765
Ministry of Defence,Ministry of Defence,06/04/2011,Design services and minor equipment purchases,Defence Equipment & Support,UNITED STATES GOVERNMENT,2000011272,3428571.43
Ministry of Defence,Ministry of Defence,06/04/2011,Design services and minor equipment purchases,Land Forces,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,777749,-107.9
Ministry of Defence,Ministry of Defence,06/04/2011,Design services and minor equipment purchases,Land Forces,LAERDAL MEDICAL LTD,778009,44447.63
Ministry of Defence,Ministry of Defence,06/04/2011,Energy conservation and environmental charges.,Central TLB,RWE SUPPLY & TRADING SWITZERLAND SA,3000005364,220193.88
Ministry of Defence,Ministry of Defence,06/04/2011,Estate management,Air Command,SERCO LIMITED,778261,9316.64
Ministry of Defence,Ministry of Defence,06/04/2011,Estate management,Air Command,TURNER FACILITIES MANAGEMENT LTD,778340,26749.35
Ministry of Defence,Ministry of Defence,06/04/2011,Estate management,Central TLB,ISS MEDICLEAN LIMITED,777981,27413.06
Ministry of Defence,Ministry of Defence,06/04/2011,Estate management,Central TLB,SERCO LIMITED,778261,57577.97
Ministry of Defence,Ministry of Defence,06/04/2011,Estate management,Command Joint Operations,VEOLIA ES (UK) LIMITED,778358,401.45
Ministry of Defence,Ministry of Defence,06/04/2011,Estate management,Defence Equipment & Support,VEOLIA ES (UK) LIMITED,778358,35795
Ministry of Defence,Ministry of Defence,06/04/2011,Estate management,Defence Infrastructure Organisation ,ISS MEDICLEAN LIMITED,777981,49456.79
Ministry of Defence,Ministry of Defence,06/04/2011,Estate management,Defence Infrastructure Organisation ,OBERFINANZDIREKTION MUENSTER,5000053898,119612.39
Ministry of Defence,Ministry of Defence,06/04/2011,Estate management,Defence Infrastructure Organisation ,OBERFINANZDIREKTION NIEDERSACHSEN,5000053899,66877.55
Ministry of Defence,Ministry of Defence,06/04/2011,Estate management,Defence Infrastructure Organisation ,SCHNEIDER ELECTRIC LTD,778253,1838
Ministry of Defence,Ministry of Defence,06/04/2011,Estate management,Defence Infrastructure Organisation ,SVO VERTRIEB GMBH,5000053915,178.07
Ministry of Defence,Ministry of Defence,06/04/2011,Estate management,Defence Infrastructure Organisation ,TURNER FACILITIES MANAGEMENT LTD,778340,159354.74
Ministry of Defence,Ministry of Defence,06/04/2011,Estate management,Defence Infrastructure Organisation ,ZETTEC,5000053926,27236.47
Ministry of Defence,Ministry of Defence,06/04/2011,Estate management,Land Forces,ISS MEDICLEAN LIMITED,777981,6364.79
Ministry of Defence,Ministry of Defence,06/04/2011,Estate management,Land Forces,VEOLIA ES (UK) LIMITED,778358,330
Ministry of Defence,Ministry of Defence,06/04/2011,Externally delivered education and training.,Central TLB,QINETIQ LIMITED,778219,4821
Ministry of Defence,Ministry of Defence,06/04/2011,Externally delivered education and training.,Defence Equipment & Support,CRANFIELD UNIVERSITY,777851,5400
Ministry of Defence,Ministry of Defence,06/04/2011,Externally delivered education and training.,Land Forces,INTUITION PUBLISHING LIMITED,777979,23012
Ministry of Defence,Ministry of Defence,06/04/2011,Externally delivered education and training.,Land Forces,MORCLEAN LIMITED,778060,31538.4
Ministry of Defence,Ministry of Defence,06/04/2011,Externally delivered education and training.,Land Forces,REMPLOY LIMITED,778227,95200
Ministry of Defence,Ministry of Defence,06/04/2011,Fees for professional services,Central TLB,IBM UNITED KINGDOM LIMITED,777972,775875
Ministry of Defence,Ministry of Defence,06/04/2011,Fees for professional services,Central TLB,LOGICA UK LIMITED,778023,103064.39
Ministry of Defence,Ministry of Defence,06/04/2011,Fees for professional services,Central TLB,LOGICA UK LIMITED,778024,330
Ministry of Defence,Ministry of Defence,06/04/2011,Fees for professional services,Central TLB,SERCO LIMITED,778261,26967.93
Ministry of Defence,Ministry of Defence,06/04/2011,Fees for professional services,Defence Equipment & Support,IBM UNITED KINGDOM LIMITED,777972,199582.4
Ministry of Defence,Ministry of Defence,06/04/2011,Fees for professional services,Defence Equipment & Support,LOGICA UK LIMITED,778023,51912.11
Ministry of Defence,Ministry of Defence,06/04/2011,Fees for professional services,Land Forces,HONEYBEERECRUITMENT.COM LTD,777964,19432.38
Ministry of Defence,Ministry of Defence,06/04/2011,Fees for professional services,Land Forces,LOGICA UK LIMITED,778023,1872.03
Ministry of Defence,Ministry of Defence,06/04/2011,Fees for professional services,Land Forces,PARITY SOLUTIONS LTD,778181,5460
Ministry of Defence,Ministry of Defence,06/04/2011,Fees for professional services,Land Forces,THE ARMY CADET FORCE ASSOCIATION,778317,311000
Ministry of Defence,Ministry of Defence,06/04/2011,Food and clothing,Central TLB,ISS MEDICLEAN LIMITED,777981,92320.03
Ministry of Defence,Ministry of Defence,06/04/2011,Food and clothing,Defence Equipment & Support,COMPASS SERVICES (U.K.) LIMITED,777843,93973.84
Ministry of Defence,Ministry of Defence,06/04/2011,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,778217,1606208.11
Ministry of Defence,Ministry of Defence,06/04/2011,Food and clothing,Defence Equipment & Support,SERCO LIMITED,778261,23602.45
Ministry of Defence,Ministry of Defence,06/04/2011,Food and clothing,Defence Equipment & Support,SODEXO LTD,778275,30459.47
Ministry of Defence,Ministry of Defence,06/04/2011,Food and clothing,Defence Infrastructure Organisation ,ISS MEDICLEAN LIMITED,777981,179998.86
Ministry of Defence,Ministry of Defence,06/04/2011,General services and support,Air Command,SOUTHERN ELECTRIC CONTRACTINGLIMITED,778292,35191.94
Ministry of Defence,Ministry of Defence,06/04/2011,General services and support,Defence Equipment & Support,STS DEFENCE LIMITED,778304,22105.31
Ministry of Defence,Ministry of Defence,06/04/2011,Grants to Reserves Forces and Cadets Association,Land Forces,THE ARMY CADET FORCE ASSOCIATION,778317,694502.17
Ministry of Defence,Ministry of Defence,06/04/2011,IT and communication services,Central TLB,SERCO LIMITED,778261,137851.52
Ministry of Defence,Ministry of Defence,06/04/2011,IT and communication services,Defence Equipment & Support,BEARINGPOINT LIMITED,777768,271953.4
Ministry of Defence,Ministry of Defence,06/04/2011,IT and communication services,Defence Equipment & Support,IBM UNITED KINGDOM LIMITED,777972,154967.72
Ministry of Defence,Ministry of Defence,06/04/2011,IT and communication services,Defence Equipment & Support,SERCO LIMITED,778261,70792.06
Ministry of Defence,Ministry of Defence,06/04/2011,IT and communication services,Land Forces,PARITY SOLUTIONS LTD,778181,9800
Ministry of Defence,Ministry of Defence,06/04/2011,IT and communication services,Land Forces,POWELL CONTRACTS LTD,778204,30691.2
Ministry of Defence,Ministry of Defence,06/04/2011,Medical treatment & stores and welfare services.,Air Command,HONEYBEERECRUITMENT.COM LTD,777964,145.29
Ministry of Defence,Ministry of Defence,06/04/2011,Medical treatment & stores and welfare services.,Central TLB,SPIRE HEALTHCARE LIMITED,778296,39609.18
Ministry of Defence,Ministry of Defence,06/04/2011,Medical treatment & stores and welfare services.,Command Joint Operations,NATS (SERVICES) LIMITED,778079,132916.66
Ministry of Defence,Ministry of Defence,06/04/2011,Medical treatment & stores and welfare services.,Defence Equipment & Support,FENTON PHARMACEUTICALS LTD,777914,502800
Ministry of Defence,Ministry of Defence,06/04/2011,Medical treatment & stores and welfare services.,Land Forces,HONEYBEERECRUITMENT.COM LTD,777964,4968.02
Ministry of Defence,Ministry of Defence,06/04/2011,Medical treatment & stores and welfare services.,Navy Command,SODEXO LTD,778275,21.78
Ministry of Defence,Ministry of Defence,06/04/2011,Payment of utilities,Defence Infrastructure Organisation ,HISTORIC SCOTLAND,2.00E+11,25039.75
Ministry of Defence,Ministry of Defence,06/04/2011,Payment of utilities,Land Forces,MABANAFT DEUTSCHLAND GMBH,5000053886,26281.92
Ministry of Defence,Ministry of Defence,06/04/2011,Payment of utilities,Land Forces,SVO VERTRIEB GMBH,5000053915,177675.44
Ministry of Defence,Ministry of Defence,06/04/2011,Payment of utilities,Land Forces,WILHELM SCHROEDER GMBH,5000053924,25705.79
Ministry of Defence,Ministry of Defence,06/04/2011,Payment of utilities,Navy Command,TOTAL GAS & POWER LIMITED,778333,21066.57
Ministry of Defence,Ministry of Defence,06/04/2011,Purchase of buildings and military equipment ,Air Command,TURNER FACILITIES MANAGEMENT LTD,778340,295449.94
Ministry of Defence,Ministry of Defence,06/04/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,LOGIC M H LTD,778022,2700
Ministry of Defence,Ministry of Defence,06/04/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,SCHNEIDER ELECTRIC LTD,778253,28136.16
Ministry of Defence,Ministry of Defence,06/04/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,TECHNOGYM U K LIMITED,778310,144194.87
Ministry of Defence,Ministry of Defence,06/04/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,OBERFINANZDIREKTION NIEDERSACHSEN,5000053899,5526.32
