"MEETINGS WITH EXTERNAL ORGANISATIONS (INCLUDING MEETINGS WITH NEWSPAPER AND OTHER MEDIA PROPRIETORS, EDITORS AND SENIOR EXECUTIVES)",,,
Minister,Date,Name of External Organisation*,Purpose of meeting
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",May-11,World Wildlife Fund,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",May-11,Campaign to Protect Rural England,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",May-11,Town and Country Planning Association,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",May-11,School for Social Entrepreneurs,Launch of report 
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",May-11,"Institution of Civil Engineers, Strategic Infrastructure Group",Localism Bill
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",May-11,Royal Town and Planning Institute,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",May-11,Campaign to Protect Rural England,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",May-11,National Farmers Union,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",May-11,Centre for Cities,Cities Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",May-11,Liverpool Primary Care Trust,Big Society
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",May-11,"Plus Dane Housing Association, Liverpool",Big Society
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",May-11,"Matthew Arnold Primary School and Dingle Lane Children Centre, Liverpool",Big Society
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",May-11,Hull\Humber Chamber of Commerce,To discuss local enterprise partnerships
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",May-11,"Goodwin Trust, Hull",To discuss local enterprise partnerships
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jun-11,Mayor of Hartlepool,To discuss Localism
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jun-11,Churches’ Legislation Advisory Service,Localism Bill
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jun-11,Royal Institution of Chartered Surveyors,Planning Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jun-11,Institute for Government,Planning Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jun-11,Community Sector Coalition,Localism Bill
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jun-11,Community Development,Localism Bill
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jun-11,Democracy Matters,Localism Bill
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jun-11,National Council for Voluntary Youth Services,Localism Bill
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jun-11,National Community Activists Network,Localism Bill
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jun-11,MiNet,Localism Bill
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jun-11,Community Development Exchange,Localism Bill
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jun-11,Duke of Edinburgh Award Scheme,Big Society
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jun-11,Local Government Association Conference,Localism Bill and Planning Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jun-11,Young Councillors’ Roundtable,To discuss local government issues.
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",May-11,Military Covenant Housing Summit,To discuss service accommodation
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",May-11,David Phipps,To discuss sheltered housing concerns.
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",May-11,Park Homes Industry Representatives,To discuss the issues and scope of the consultation.
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",May-11,Home Finance Forum,To discuss key issues affecting the UK mortgage market.
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",May-11,Graham Stuart MP and Humber Landlords Association,To discuss regulation of landlords.
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jun-11,Young Councillors’ Roundtable,To discuss local government issues.
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jun-11,"Community Land Trust (CLT) Network, NHF, East London CLT",To discuss Community Land Trusts and enfranchisement.
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jun-11,Homeless Link,To discuss welfare reform (the main issue) and the Homelessness Transition Fund.
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jun-11,"Greater London Authority, G15 and Members of Parliament representing London constituencies.",To discuss Housing Benefit 
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Apr-11,Youth4U Young Inspectors – Barking & Dagenham,To discuss how young people can contribute to building the Big Society.
"Andrew Stunell MP, Parliamentary Under-Secretary of State",May-11,Poplar HARCA & Coin Street Community Builders,To view live examples of community led regeneration
"Andrew Stunell MP, Parliamentary Under-Secretary of State",May-11,Black Country Housing Group & Accord Group,Launch local initiative on low carbon technologies
"Andrew Stunell MP, Parliamentary Under-Secretary of State",May-11,National Empty Homes Conference,Outline Governments view on Empty Homes
"Andrew Stunell MP, Parliamentary Under-Secretary of State",May-11,House Churches,One in a series of meetings with faith and non faith communities
"Andrew Stunell MP, Parliamentary Under-Secretary of State",May-11,Association of British Insurers (ABI),To discuss domestic security
"Andrew Stunell MP, Parliamentary Under-Secretary of State",May-11,Zero Carbon Hub,Carbon Compliance levels report
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Jun-11,Witton Lodge Community Association,To discuss community led regeneration
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Jun-11,Young Advisors – Waltham Forest,Discuss how young people can contribute to building the Big Society
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Jun-11,British Youth Council Interns,Discuss their experiences of working within government.
"Bob Neill MP, Parliamentary Under-Secretary of State",Apr-11,Plunkett Foundation,Community Pubs funding
"Bob Neill MP, Parliamentary Under-Secretary of State",Apr-11,Sir Terry Farrell,Thames Gateway
"Bob Neill MP, Parliamentary Under-Secretary of State",Apr-11,Suffolk and Cambridgeshire Fire & Rescue Service,Shared Services
"Bob Neill MP, Parliamentary Under-Secretary of State",Apr-11,Countryside Properties Special Projects Ltd (CPPLC),"Planning System, New Homes Bonus, Spending Review & Localism Bill"
"Bob Neill MP, Parliamentary Under-Secretary of State",Apr-11,Peoples Supermarket,DRR appeal & social enterprise
"Bob Neill MP, Parliamentary Under-Secretary of State",Apr-11,Greene King,Community Pubs
"Bob Neill MP, Parliamentary Under-Secretary of State",May-11,Retained Firefighters Union,Restructuring
"Bob Neill MP, Parliamentary Under-Secretary of State",May-11,British Institute of Inn keeping,Community Pubs
"Bob Neill MP, Parliamentary Under-Secretary of State",May-11,London Thames Gateway Development Corporation (LTGDC),Localisation of LTGDC
"Bob Neill MP, Parliamentary Under-Secretary of State",May-11,Kurdistan Civil Defence Service,Introductory Meeting
"Bob Neill MP, Parliamentary Under-Secretary of State",Jun-11,FT and Daily Mail,General discussion
"Bob Neill MP, Parliamentary Under-Secretary of State",Jun-11,Vestas,Thames Gateway Medway Estuary Superhub
"Bob Neill MP, Parliamentary Under-Secretary of State",Jun-11,East Sussex Fire and Rescue Service (FRS). Bucks FRS.,Combined Fire Authorities
"Bob Neill MP, Parliamentary Under-Secretary of State",Jun-11,Charles Wells Pub Company,Community Pub and brewing industry
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Apr-11,The British Retail Consortium,Localism Bill
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Apr-11,Ordnance Survey,Public Data Corporation
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",May-11,Roundtable meeting Violence Against Women & Girls,How local authorities and the voluntary and community sector can work closer together on violence against women and girls agenda
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",May-11,"Lord Tope, Lord Shipley, Nick Carthew",Localism Bill
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Jun-11,Meeting with Cllr Peter Box leader of Wakefield Council,European Regional Development Fund
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Jun-11,Country Land & Business Association and Hastoe Housing Association,Localism Bill
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Jun-11,Shelter,Localism Bill
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Jun-11,Federation of Small Businesses,Localism Bill
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Jun-11,TfL,Localism Bill
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Jun-11,World Wildlife Fund,Localism Bill
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Jun-11,Royal Town Planning Institute,Localism Bill
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Jun-11,Galliford Try,Localism Bill
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Jun-11,Meeting with Rt Hon Sir Alan Beith,ERDF

"*Does not normally include meetings with Government bodies such as other Government Departments and Agencies, non-departmental public bodies, Government reviewers, and representatives of devolved or foreign governments.",,,
