Minister,Date,Name of External Organisation,Purpose of meeting
"Minister of State (Universities and Science), Rt Hon David Willetts MP","October, 2010","Community Security Trust, Union of Jewish Students, Equality Challenge Unit, Universities UK",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","October, 2010",Science is Vital,To discuss Science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","October, 2010","Logica, Clyde Space, Avanti, Surrey Satellite Technology Limited, London Institute of Space and Policy, University of Leicester, University of Reading, Open University, Inmarsat, Astrium, Helical Bar",To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","October, 2010",Centre for East European Language Based Studies,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","October, 2010","Kingston University, Birkbeck University, University of Buckingham",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","October, 2010","Goldsmith’s University of London, University of Greenwich, University of East London, Birkbeck, City University, Imperial College London, London Business School, University of London, King’s College London, London School of Economics and Political Science, University College London, Association of Colleges, Newham College of Further and Higher Education, Olympic Park Legacy Company",To discuss innovation
"Minister of State (Universities and Science), Rt Hon David Willetts MP","October, 2010",Konrad Adenauer Stiftung,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","October, 2010",QinetiQ,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","October, 2010",Phoenix Wye College,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","October, 2010","PriceWaterhouseCoopers, Newcastle College",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","October, 2010",British Accreditation Council,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","October, 2010",Council for Industry and Higher Education,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","October, 2010",Action4Education,"To discuss Education, lunch provided"
"Minister of State (Universities and Science), Rt Hon David Willetts MP","November, 2010",Agricultural Biotechnology Council,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","November, 2010",Universities and Colleges Union,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","November, 2010",London Higher,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","November, 2010",University Partnerships Programme,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","November, 2010",Centre for Process Innovation,To discuss innovation
"Minister of State (Universities and Science), Rt Hon David Willetts MP","November, 2010","University of Cambridge, University College London, Aston University, GuildHE, Wellcome Trust, UK Council for International Student Affairs, English UK, Microsoft Research Cambridge, EThames Graduate School, Association of Independent Higher Education Providers, Association of Colleges",To discuss science and Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","November, 2010",3M,To discuss innovation
"Minister of State (Universities and Science), Rt Hon David Willetts MP","November, 2010",Barclays,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","November, 2010",British Standards Institute,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","November, 2010","Johnson and Johnson, Osspray, GE Healthcare, Coviden, Medtronic International, Salts Healthcare, 3M, BIVDA, Association of British Healthcare Industries, Medilink West Midlands",To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","November, 2010",1994 Group,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","November, 2010","Orbit Research, Oxford University",To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","November, 2010",National Union of Students,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","November, 2010",University Alliance,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","November, 2010","Surrey Satellite Technology Limited, Inmarsat, Atrium, Avanti","To discuss science, lunch provided"
"Minister of State (Universities and Science), Rt Hon David Willetts MP","November, 2010",General Medical Excellence Cluster,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","November, 2010",Johnson and Johnson,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","November, 2010",Business Services Association,To discuss innovation
"Minister of State (Universities and Science), Rt Hon David Willetts MP","November, 2010",Engineering UK,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","November, 2010","British Pharma Group, Association of British Pharmaceutical Industry, American Pharma Group, BioIndustry Association, Japanese Pharma Group, European Medicines Group",To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","November, 2010",Universities and Colleges Union,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","November, 2010",Rothschild,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","December, 2010","University of Cambridge, University of Edinburgh, The Royal Academy of Engineering, University of Manchester, University of Kent, University of Oxford, Royal Society, British Academy, University of Surrey, GlaxoSmithKline, ",To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","December, 2010","Office for Fair Access, GuildHE, Association of School and College Learners, Sutton Trust, University and College Admissions Service, Universities UK, National Union of Students, Association of Colleges",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","December, 2010",National Union of Students,To discuss Higher education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","December, 2010","Universities UK, University of London, University of Oxford, Cardiff School of Social Sciences, Institute of Fiscal Studies, University College London, Institute of Education",To discuss education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","December, 2010",Universities and Colleges Union,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","December, 2010",City and Guilds in India,To discuss education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","December, 2010","Logica, Surrey Satellite and Technology Limited, Astrium, Avanti, Science and Technology Funding Council, UK Space, London Institute of Space Policy and Law, University of Reading, Helical Bar",To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","December, 2010","bestCourse4me, Consumer Focus, University and College Admissions Service",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","December, 2010","Quality Assurance Agency, Universities UK, Quality in HE Group, GuildHE",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","December, 2010","BPP, Eversheds LLP, ifs School of Finance, College of Law, Laureate, Pearson, Resource Development International, British Accreditation Council, Association of Independent Higher Education Providers, Institute of Contemporary Music Performance, Warburg Pincus, Springboard4Asia",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","December, 2010","Office for Fair Access, GuildHE, Association of School and College Learners, Sutton Trust, University and College Admissions Service, Universities UK, National Union of Students, Association of Colleges",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","December, 2010","Carbon Trust, Energy Technology Institute",To discuss innovation
"Minister of State (Business and Enterprise), Mark Prisk MP","October, 2010","Aerospace, Defence, Security (Industry Trade Body)",Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","October, 2010",North West Business Leadership Team,To discuss enterprise 
"Minister of State (Business and Enterprise), Mark Prisk MP","October, 2010",Institute of Directors,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","October, 2010",Integral 2,Introductory meeting 
"Minister of State (Business and Enterprise), Mark Prisk MP","October, 2010",CBI Construction Council,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","October, 2010","Boston Scientific, Contract Chemicals, EMC Test Labs Association, Gefco, Hewlett Packard, IBM, Intellect, Microsoft, Motorola, Philips Healthcare",To discuss regulation 
"Minister of State (Business and Enterprise), Mark Prisk MP","October, 2010",Closed Loop Recycling,Introductory meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","October, 2010",Price Waterhouse Coopers,To discuss inward investment 
"Minister of State (Business and Enterprise), Mark Prisk MP","October, 2010",Oxford Innovation,To discuss economic growth 
"Minister of State (Business and Enterprise), Mark Prisk MP","October, 2010",National Micro-electronics Institute,To discuss microelectronics 
"Minister of State (Business and Enterprise), Mark Prisk MP","October, 2010",Lloyds Bank,To discuss banking
"Minister of State (Business and Enterprise), Mark Prisk MP","October, 2010","Prince’s Trust, Bright Ideas Trust, Horsesmouth, Ecademy, School for Startups, British Bankers’ Association, Timebank, Federation of Small Business, Institute of Directors, Fredericks Foundation, Chartered Management Institute, Fresh Ideas, WiRE",To discuss mentoring
"Minister of State (Business and Enterprise), Mark Prisk MP","October, 2010","Kingfisher, Sainsbury’s, County House Retail, John Lewis Partnership, Marks & Spencer, Asda, British Retail Consortium, Association of Convenience Stores, British Retail Consortium, The Co-operative Group, BHF-BSSA Group",Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","October, 2010",Airbus,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","October, 2010","Aerospace, Defence, Security (Industry Trade Body)",To discuss economic development 
"Minister of State (Business and Enterprise), Mark Prisk MP","October, 2010",British Chamber of Commerce,To discuss local enterprise partnerships
"Minister of State (Business and Enterprise), Mark Prisk MP","October, 2010",Wine & Spirit Trade Association,Introductory meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","November, 2010",Federation of Master Builders,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","November, 2010",Scottish and Southern Energy Plc.,To discuss engineering 
"Minister of State (Business and Enterprise), Mark Prisk MP","November, 2010","Sahaviriya Steel Industries, Tata Steel Europe",To discuss Teesside cast products
"Minister of State (Business and Enterprise), Mark Prisk MP","November, 2010",British Bankers Association,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","November, 2010",Shell,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","November, 2010",Beermat.biz,To discuss Project Gumption
"Minister of State (Business and Enterprise), Mark Prisk MP","November, 2010","Clarkson’s, Linklaters, Simmons and Simmons, Arups, KPMG, Michael Page, Baker Tilly, Z/Yen, Pinsent Masons, Clifford Chance, PricewaterhouseCoopers, Chime Communications,  Deloitte, Make Architects, Thomson, Reuters, Accenture","To discuss regulation, EU issues, and market access"
"Minister of State (Business and Enterprise), Mark Prisk MP","November, 2010",Rican Securities Ltd,Introductory meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","November, 2010","Winning Pitch, Connect Midlands, Grant Thornton, Finance South East, PERA.com, Oxford Innovation, Daresbury Science and Innovation Campus, Amtec, Institute of Chartered Accountants in England and Wales, British Bankers Association, Aston Business School, Confused.com, Exeter University, Institute for Manufacturing, British Business Angels Association, Coffee Republic, Skinny Candy, St Johns Innovation Centre, The Centre for Process Innovation Ltd (CPI), British Chambers of Commerce, JJ Churchill",To discuss Business Support Package
"Minister of State (Business and Enterprise), Mark Prisk MP","November, 2010",EEF: The Manufacturers’ Association,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","November, 2010",Nissan Europe,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","November, 2010",Specialist Engineering Contractors Group,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","November, 2010",Smiths Detection,To discuss security 
"Minister of State (Business and Enterprise), Mark Prisk MP","November, 2010",UK Contractors Group,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","November, 2010",Arup,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","November, 2010","Saferworld, Amnesty International, Oxfam  ",To discuss the Arms Trade Treaty
"Minister of State (Business and Enterprise), Mark Prisk MP","November, 2010",Institute of the Motor Industry,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","December, 2010",Fujitsu,To discuss inward investment
"Minister of State (Business and Enterprise), Mark Prisk MP","December, 2010",European Aeronautic Space & Defence Co (EADS),Introductory meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","December, 2010",Tata Consultancy,Introductory meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","December, 2010",Engineering UK,To discuss engineering 
"Minister of State (Business and Enterprise), Mark Prisk MP","December, 2010",Entrepreneurs Union,To discuss entrepreneurship
"Minister of State (Business and Enterprise), Mark Prisk MP","December, 2010",Association of Investment Companies,To discuss the business investment landscape
"Minister of State (Business and Enterprise), Mark Prisk MP","December, 2010",Strategic Forum for Construction,Introductory meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","December, 2010",Lotus,To discuss economic development
"Minister of State (Business and Enterprise), Mark Prisk MP","December, 2010",Confederation of British Industry,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","December, 2010",EEF: the Manufacturers’ Association,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","December, 2010",Institute of Credit Management,To discuss the investment landscape
"Minister of State (Business and Enterprise), Mark Prisk MP","December, 2010",Marine Industries Leadership Council,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","December, 2010",Airbus,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","December, 2010",Enterprise UK,Regular meeting
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","October, 2010","British Broadcasting Corporation, Chartered Management Institute, National Grid, ISS Group UK, Whitbread Hotels & Restaurants, Centure, Technology Services North West Europe, Capgemini, Wates Group ",To discuss skills
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","October, 2010",Association of Learning providers,General catch up
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","October, 2010",Peter Jones associates,To discuss Further Education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","October, 2010","Creative &  Cultural Sector Skill Council , People 1st  Sector Skill Council, Skillset  Sector Skill Council, SkillsActive Sector Skill Council",General catch up
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","October, 2010","Association of Learning Providers, Manchester Solutions, Academy of Training, GENII Engineering & Technology Training, Prospects College, JTL Training, The National Institute of Adult Continuing Education, Workers’ Educational Association, City Lit, Ruskin College, Norfolk Adult Education Services, Elatt, Holex, Westminster Adult Education Service, Croydon Adult Learning & Training, Lancashire Adult Learning, Lancashire County Council",To discuss Further Education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","October, 2010","Worldskills London 2011, UK Skills",To discuss skills
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","October, 2010","National Skills Academy for Food and Drink, Debenhams, Costain Group, City College, Norwich, Reaseheath College, Cogent Sector Skills Council ",To discuss skills
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","October, 2010","Government Skills Sector Skills Council, London Development Agency, The National Institute of Adult Continuing Education, Henshaws College,  Kensington & Chelsea College,  City College Norwich, City Lit, Fairbridge,  MiEnterprise, Prisoners’ Education Trust, Skill,  St Giles Trust, St Mungo’s",To discuss skills
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","October, 2010","RPJ Consulting Services, Gordon Murray Designs, Aston Martin, Yorkshire Forward, The Society of Motor Manufacturers and Traders, Ford of Britain, Nissan, BMW Group Plant Oxford, Caterpillar Inc, Robert Bosch UK, RDM Automotive, Honda (UK), Nissan Motor Manufacturing, Arup, Unite, Bentley Motors, General Motors UK, Leyland Trucks, Toyota Motor Europe, GKN Automotive, Jaguar Land Rover",To discuss apprenticeships
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","October, 2010",Humberside Engineering Training Association,To discuss apprenticeships
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","October, 2010","Newcastle College Group, Skelmersdale & Ormskirk College, Rosie Cooper MP",To discuss Further Education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","October, 2010",Worthing College,To discuss Further Education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","October, 2010","Prisoners Education Trust, Safe Ground, St Giles Trust, Shannon Trust",To discuss Further Education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","October, 2010","Foundation, Aided Schools and Academies National Association",To discuss Further Education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","October, 2010",Federation of Small Businesses,To discuss apprenticeships
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","October, 2010","Cemex UK,  Bentley Motors,  BBC Academy, Sodexo, G4S Secure Solutions (UK), National Grid, Mitie, BAA Airports Ltd, EDF Energy, Whitbread Group PLC, Royal Mail, Enterprise Management Services Ltd, SERCO Group PLC, Addison Lee, Business in the community ",To discuss skills
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","October, 2010",University Technical Colleges,To discuss Further Education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","October, 2010",157 Group,General catch up
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","October, 2010",Crisis,To discuss Further Education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","November, 2010",Learning and Skills Improvement service,General catch up
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","November, 2010","Universities and Colleges Union, Association of teachers and lecturers, Association of school and college leaders",General catch up
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","November, 2010","Cardiff University, Chartered Institute of Personnel and Development, Confederation of British Industry, Skills for Logistics, Institute of Professional Administrators,   Advisory, Conciliation and Arbitration Service, University of Lancaster, British Chambers of Commerce, Institute for Education, Nottingham Business School, Skillset  Sector Skill Council, Employee Engagement, Warwick Business School, UK Commission for Employment and Skills,   Institute for Employment Studies, Manchester Business School, EEF, Institute of the Motor Industry, Trades Union Congress",To discuss skills
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","November, 2010","E-skills UK Sector Skill Council, Financial Services Skills Council, GoSkills  Sector Skill Council, Institute of the Motor Industry Sector Skill Council, Lantra Sector Skill Council, Skills for Logistics Sector Skill Council, Skillsmart Retail Sector Skill Council",General catch up
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","November, 2010",National Connexions Network,To discuss Further Education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","November, 2010",Tresham College,To discuss Further Education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","November, 2010","The Royal Academy of Engineering, The Royal Society, Engineering Council, National Centre for Excellence in the Teaching of Mathematics, Gatsby Charitable Foundation",To discuss Further Education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","November, 2010","Willmott Dixon Group, Aldersgate Group, UK Centre for Economic and Environmental Development, Inland Waterways Advisory Council",To discuss skills
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","November, 2010",Indian National Skills Development Corporation,To discuss skills
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","November, 2010",Ufi/Learndirect,To discuss Further Education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","November, 2010",Learning and skills network,To discuss Further Education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","November, 2010",UK Careers Sector Strategic Forum,To discuss Further Education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","November, 2010",British Chambers of commerce,To discuss skills
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","November, 2010",Castle College,To discuss Further Education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","December, 2010",Sandwell college,To discuss Further Education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","December, 2010",Engineering UK,To discuss skills
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","December, 2010",Mark Wilkinson Furniture Limited,To discuss Further Education
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","October, 2010",National Federation of Sub Postmasters,To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","October, 2010",Which?,To discuss consumer issues
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","October, 2010",Social Enterprise London,To discuss social enterprise
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","October, 2010",Royal Mail,To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","October, 2010",Post Office Limited,To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","October, 2010","Plunkett Foundation, Co-operatives UK, Coop Group, Cobbetts, Innovation Unit, Westminster BPA, Oxford University",To discuss mutualism
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","October, 2010",Justice for Sub Postmasters Alliance,To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","October, 2010",Post Office Limited,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","October, 2010",Age UK,To discuss employment
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","October, 2010",Employers Forum on Age,To discuss employment
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","October, 2010",R3,To discuss insolvency
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","October, 2010","Post Office Limited, Sheffield Council City",To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","October, 2010",National Federation of Occupational Pensioners,To discuss employment
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","November, 2010",National Federation of Sub-Postmasters,To discuss postal issues
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","November, 2010",Royal Mail,To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","November, 2010","Amnesty UK, Friends of the Earth, Traidcraft, World Wide Fund For Nature (WWF), Trade Union Congress (TUC), Tomorrows Company, International Integrated Reporting Committee, PricewaterhouseCoopers (PWC), Chartered Institute of Management Accountants (CIMA), KPMG, Deloitte, The Quoted Companies Alliance) (QCA), Standard Chartered, Confederation of British Industry (CBI), BP, Tesco, Railpen, F&C, Fidelity, ABI & Aviva, United Utilities, Reed Elsevier, GC100",To discuss corporate governance
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","November, 2010",Co-operatives UK,To discuss mutualism
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","November, 2010","Whitehead Mann, Cranfield, McKinsey & Company, BP, Cariance, Odgers Berndtson, INZITO LLP, Saxton Bampfylde, Russell Reynolds Associates, Egon Zehnder, Zygos Partnership, Ridgeway Partners, Spencer Stuart UK Board Services, JCA Group, Heidrick & Struggles, Independent Director Search, Hanson Green",To discuss corporate governance
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","November, 2010",Royal Mail,To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","November, 2010","Social Enterprise Coalition, Circle Health, Vision Housing, Coop, Women Like Us, Investing for Good, HCT Group, Community Action Network (CAN), Development Trust Association (DTA)",To discuss corporate governance
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","December, 2010",The Fatherhood Institute,To discuss employment
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","December, 2010","Recruitment and Employment Confederations (REC), Adecco, Michael Page, Manpower, Impellam, Staffline, Ranstad, Meridian",To discuss employment
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","December, 2010",Royal Mail,To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","December, 2010",Post Office Advisory Group,To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","December, 2010",Business in The Community,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","December, 2010",Post Office Limited,To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","December, 2010",Employment Law Committee of the City of London City Society,To discuss employment
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","December, 2010","Post Office Limited, Sheffield City Council, CLG, LGA ",To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","December, 2010",Interserve,To discuss procurement
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","December, 2010","PricewaterhouseCoopers, Reed Elsevier Group plc, Hogg Robinson Group plc, Great Portland Estates plc, Man Group plc, Amlin plc, Exchanging, Barclays Bank plc, HSBC Holdings plc",To discuss corporate governance
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","October, 2010",Consumer Focus,To discuss Intellectual Property
