0,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (£) ,VAT Registration Number
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,229.74,
FCO,FCO,24-Apr-12,Waste Disposal,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,6.9,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,1.34,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,241.56,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,114.34,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,13.63,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,33.59,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,6.38,
FCO,FCO,24-Apr-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,248.29,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,155.64,
FCO,FCO,24-Apr-12,Water Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,265.28,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,28.04,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,13.79,
FCO,FCO,24-Apr-12,Waste Disposal,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,6.9,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,418.79,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,15.19,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,245.71,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,13.79,
FCO,FCO,24-Apr-12,Waste Disposal,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,6.9,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,134.2,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,13.79,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,14.37,
FCO,FCO,24-Apr-12,Waste Disposal,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,88.11,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,359.87,
FCO,FCO,24-Apr-12,Waste Disposal,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,124.14,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,117.21,
FCO,FCO,24-Apr-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,"26,432.48",
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,11.72,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,13.79,
FCO,FCO,24-Apr-12,Waste Disposal,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,6.9,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,308.22,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,64.94,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,364.07,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,13.79,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,1.34,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,329.6,
FCO,FCO,24-Apr-12,Waste Disposal,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,88.11,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,130.69,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,11.72,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,9.98,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,69.57,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,152.39,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,15.18,
FCO,FCO,24-Apr-12,Waste Disposal,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,6.9,
FCO,FCO,24-Apr-12,Waste Disposal,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,88.11,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,19.04,
FCO,FCO,24-Apr-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,88.11,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,176.6,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,105.85,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,9.12,
FCO,FCO,24-Apr-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,"24,922.06",
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,8.36,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,122.7,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,120.51,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,68.65,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,16.56,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,19.04,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,196.46,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,196.46,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,19.04,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,19.04,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,196.46,
FCO,FCO,24-Apr-12,Waste Disposal,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,6.9,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,19.04,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,81.95,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,236.47,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,301.04,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,1.34,
FCO,FCO,24-Apr-12,Waste Disposal,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,6.9,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,20.57,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,288.14,
FCO,FCO,24-Apr-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,248.29,
FCO,FCO,24-Apr-12,Waste Disposal,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,124.14,
FCO,FCO,24-Apr-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,"25,173.79",
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,113.9,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,19.04,
FCO,FCO,24-Apr-12,Electricity Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,380.56,
FCO,FCO,24-Apr-12,Waste Disposal,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,22.83,
FCO,FCO,24-Apr-12,Fuel Oil Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,380.55,
FCO,FCO,24-Apr-12,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,38.05,
FCO,FCO,24-Apr-12,Waste Disposal,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,22.83,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,38.05,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,26.64,
FCO,FCO,24-Apr-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,38.06,
FCO,FCO,24-Apr-12,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,38.06,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,199.41,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,152.22,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,184.95,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,37.29,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,6.32,
FCO,FCO,24-Apr-12,Rental Payments - non residential,DG CHANGE & DELIVERY,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,"22,016.25",
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,63.17,
FCO,FCO,24-Apr-12,Waste Disposal,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,898.12,
FCO,FCO,24-Apr-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,"40,187.24",
FCO,FCO,24-Apr-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,228.34,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,66.98,
FCO,FCO,24-Apr-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,"42,927.27",
FCO,FCO,24-Apr-12,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,"1,141.68",
FCO,FCO,24-Apr-12,Fuel Oil Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,91.33,
FCO,FCO,24-Apr-12,Fuel Oil Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,"2,587.82",
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,37.29,
FCO,FCO,24-Apr-12,Gas Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,91.33,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,38.06,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,152.22,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,380.56,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,239.24,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,91.33,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,121.78,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,57.08,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,35.01,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,57.08,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,63.17,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,175.06,
FCO,FCO,24-Apr-12,Electricity Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,"10,807.93",
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,7.61,
FCO,FCO,24-Apr-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,"49,914.37",
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,31.97,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,342.5,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,7.61,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,106.56,
FCO,FCO,24-Apr-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,"15,983.56",
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,26.64,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,152.22,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,175.06,
FCO,FCO,24-Apr-12,Gas Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,"4,490.62",
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,37.29,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,37.29,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,152.22,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,152.22,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,37.29,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,37.29,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,152.22,
FCO,FCO,24-Apr-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,913.35,
FCO,FCO,24-Apr-12,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,"1,141.68",
FCO,FCO,24-Apr-12,Waste Disposal,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,22.83,
FCO,FCO,24-Apr-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,38.05,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000172,380.56,
FCO,FCO,24-Apr-12,Electricity Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,"2,875.13",
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,30.22,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,28.84,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,94.46,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,16.9,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,24.08,
FCO,FCO,24-Apr-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,242.97,
FCO,FCO,24-Apr-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,187.38,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,3.95,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,79.01,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,0.47,
FCO,FCO,24-Apr-12,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,611.24,
FCO,FCO,24-Apr-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,187.38,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,40.41,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,27.22,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,56.1,
FCO,FCO,24-Apr-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,392.78,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,28.79,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,92.66,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,24.08,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,245.88,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,31.15,
FCO,FCO,24-Apr-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,611.24,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,85.2,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,24.13,
FCO,FCO,24-Apr-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,353.77,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,23.09,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,94.46,
FCO,FCO,24-Apr-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,360.89,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,28.89,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,24.08,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,68.09,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,35.09,
FCO,FCO,24-Apr-12,Gas Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,619.48,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,19.12,
FCO,FCO,24-Apr-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,365.38,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,24.08,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,28.89,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,94.46,
FCO,FCO,24-Apr-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,215.51,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,24.08,
FCO,FCO,24-Apr-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,166.21,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,94.46,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,9.25,
FCO,FCO,24-Apr-12,Water Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,"1,278.90",
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,24.08,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,94.46,
FCO,FCO,24-Apr-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,"53,344.30",
FCO,FCO,24-Apr-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,500.1,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,28.89,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,94.46,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,28.89,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,24.08,
FCO,FCO,24-Apr-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,183.37,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,24.08,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,128.38,
FCO,FCO,24-Apr-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,356.82,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,94.46,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,28.89,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,30.22,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,30.22,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000173,104.92,
FCO,FCO,24-Apr-12,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000174,69.4,
FCO,FCO,24-Apr-12,Water Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000174,6.96,
FCO,FCO,24-Apr-12,Electricity Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000174,"6,920.98",
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000174,15.79,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000174,21.83,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000174,10.55,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000174,158.69,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000174,52.16,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000174,57.15,
FCO,FCO,24-Apr-12,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000174,22.65,
FCO,FCO,24-Apr-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000174,6.98,
FCO,FCO,24-Apr-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000174,13.5,
FCO,FCO,24-Apr-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000174,12.03,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000174,81.76,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000174,416.79,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000174,2.5,
FCO,FCO,24-Apr-12,Water Residential,DG CHANGE & DELIVERY,ISS FACILITY SERVICES LTD FCO OP - POE,9000174,4.12,
FCO,FCO,24-Apr-12,Electricity Residential,DG CHANGE & DELIVERY,ISS FACILITY SERVICES LTD FCO OP - POE,9000174,308.91,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000174,308.91,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000174,4.12,
