ALB,Supplier,Net Amount £
Government Office ,JOHNATHAN A WATERHOUSE,"16,917.00"
Government Office ,MANAGEMENT ARCHIVES,"16,664.61"
Government Office ,RADS,"16,656.00"
Government Office ,INTERNET VIDEOCOMMUNICATIONS LTD,"16,464.96"
Government Office ,LAMBERT SMITH HAMPTON,"16,276.58"
Government Office ,KINNARPS (UK) LIMITED,"16,123.00"
Government Office ,WRAGGE & CO LLP,"15,975.07"
Government Office ,ADAS UK LTD,"15,860.00"
Government Office ,CHURCH HOUSE CONFERENCE CENTRE LTD,"15,850.29"
Government Office ,MERMAID CONFERENCE & EVENTS CTRE,"15,552.00"
Government Office ,STAIRWAY COMMUNICATION LTD,"15,490.00"
Government Office ,GEO HALLAM & SONS,"15,421.87"
Government Office ,VISION OFF DESIGN TO COMPLETION LTD,"15,409.29"
Government Office ,TAURUS PRINT & DESIGN LTD,"15,352.00"
Government Office ,Asysco PLC,"15,299.45"
Government Office ,FACTOR 21 PLC,"14,776.42"
Government Office ,MANDOLAY HOTEL,"14,744.50"
Government Office ,SCOTTISH POWER,"14,712.13"
Government Office ,OTIS LTD,"14,283.55"
Government Office ,COMPUTACENTER (UK) LTD,"14,100.00"
Government Office ,COFFEE EXCHANGE LTD,"14,072.88"
Government Office ,HEWITT ASSOCIATES LTD,"13,867.29"
Government Office ,CIPD ENTERPRISES LTD,"13,352.92"
Government Office ,MWB CONSULTANCY LTD,"13,340.00"
Government Office ,STEPHEN AUSTIN & SONS LIMITED,"13,339.00"
Government Office ,NOVARE CONSULTING LTD,"13,283.00"
Government Office ,WHITE CONSULTANTS LTD,"13,214.67"
Government Office ,IKON OFFICE SOLUTIONS PLC,"12,991.59"
Government Office ,PARENTHESIS DESIGN AND MARKETING,"12,538.23"
Government Office ,DLA PIPER RUDNICK GRAY CARY UK LLP,"12,477.61"
Government Office ,PTARMIGAN DESIGN LTD,"12,452.58"
Government Office ,PHOLA LTD,"12,161.25"
Government Office ,TEMPO GRAPHIC DESIGN LTD,"12,121.31"
Government Office ,CAPITA SYMONDS LTD,"11,908.17"
Government Office ,UTILITY METERING SOLUTIONS LTD,"11,611.97"
Government Office ,DEVELOPMENT PARTNERSHIP,"11,536.18"
Government Office ,JEAN KELLY CONSULTANCY LTD,"11,385.99"
Government Office ,CUMBRIA RURAL ENTERPRISE AGENCY,"11,212.50"
Government Office ,FOSTERS BREATHING SPACE,"11,077.86"
Government Office ,OYEZ STRAKER OFFICE SUPPLIES LTD,"10,936.69"
Government Office ,LOCALISE WEST MIDLANDS,"10,604.38"
Government Office ,GABEM MANAGEMENT LTD,"10,599.04"
Government Office ,MILLS MEDIA LIMITED,"10,589.44"
Government Office ,GREEN ENERGY UK PLC,"10,585.48"
Government Office ,SQW LTD,"10,578.00"
Government Office ,HALFORDS LTD,"10,385.00"
Government Office ,COHESIA LTD,"10,356.92"
Government Office ,NATIONAL EXHIBITION CENTRE GROUP,"10,161.40"
Government Office ,P FLEMING ELECTRICAL LTD,"10,030.00"
Government Office ,LLOYDS TSB AUTOLEASE,"9,993.69"
Government Office ,BAXTERSTOREY LTD,"9,980.77"
Government Office ,VIDEO ARTS LTD,"9,911.48"
Government Office ,ELYO SERVICES LTD,"9,866.87"
Government Office ,INSIGHT LEARNING CONSULTANCY,"9,821.00"
Government Office ,GROWING SUCCESS LTD,"9,737.08"
Government Office ,HEWLETT PACKARD LTD,"9,674.86"
Government Office ,CANNON,"9,528.22"
Government Office ,DAVID TAYLOR PARTNERSHIPS LIMITED,"9,502.93"
Government Office ,BALMORAL TRANSPORT SERVICES LTD,"9,450.20"
Government Office ,PHS GROUP LTD,"9,414.31"
Government Office ,HONEYWELL CONTROL SYSTEMS LTD,"9,412.73"
Government Office ,SHL GROUP LIMITED,"9,274.41"
Government Office ,SWIFT BUSINESS SOLUTIONS LTD,"9,232.43"
Government Office ,COUNTY CLUB,"8,969.40"
Government Office ,CONFLICT MANAGEMENT PLUS LTD,"8,953.35"
Government Office ,GOVNET COMMUNICATIONS,"8,920.46"
Government Office ,CITY INN WESTMINSTER,"8,886.21"
Government Office ,URBAN PLANTERS CHESHIRE,"8,563.49"
Government Office ,SABIEN TECHNOLOGY LTD,"8,510.00"
Government Office ,PATH NATIONAL LTD,"8,225.00"
Government Office ,LONDON REMADE,"8,225.00"
Government Office ,TRICON FOODSERVICE CONSULTANTS,"8,180.23"
Government Office ,EQUANET LTD,"8,169.26"
Government Office ,FOLIO CREATIVE COMMUNICATION LTD,"8,119.00"
Government Office ,MEETINGZONE LTD AKA GROUP300,"8,109.33"
Government Office ,MHL CORPORATE,"8,102.99"
Government Office ,TAGISH LTD,"8,083.45"
Government Office ,PITNEY BOWES FINANCE PLC,"7,841.21"
Government Office ,CW PRINT GROUP,"7,790.00"
Government Office ,ROBERT HALF LIMITED,"7,741.31"
Government Office ,ALTERNATIVE MOVERS REMOVALS & STORA,"7,725.53"
Government Office ,NEIL STEWART ASSOCIATES LTD,"7,699.70"
Government Office ,PB COACHING,"7,590.00"
Government Office ,CICADA COMMUNICATIONS LIMITED,"7,554.02"
Government Office ,STEVE HALLS & ASSOCIATES LTD,"7,550.00"
Government Office ,ACUITY TRAINING LTD,"7,478.37"
Government Office ,CRAFT SERVICES GROUP,"7,416.85"
Government Office ,BRINTEX,"7,241.32"
Government Office ,OCE IMAGISTICS (UK) LTD,"7,208.42"
Government Office ,MANX TELECOM LTD,"7,203.24"
Government Office ,SITEIMPROVE LTD,"7,128.96"
Government Office ,MELTWATER NEWS,"7,097.00"
Government Office ,FOOD CHAIN SOLUTIONS LTD,"7,050.00"
Government Office ,IT WORLD LTD,"7,050.00"
Government Office ,GLOBAL TO LOCAL LTD,"6,896.25"
Government Office ,ORANGE,"6,762.53"
Government Office ,ESRI (UK) LIMITED,"6,749.72"
Government Office ,WESTMINSTER SONUS LTD,"6,700.15"
Government Office ,WHITEBRIDGE CONSULTANCY LTD,"6,670.75"
Government Office ,CAPITA CONFERENCES,"6,622.64"
Government Office ,SWEET & MAXWELL LTD,"6,426.92"
Government Office ,RR DONNELLEY PRINT & MEDIA SERVICES,"6,387.30"
Government Office ,PHS WASTETECH,"6,351.77"
Government Office ,APPLICABLE LTD,"6,302.70"
Government Office ,CLEAR THINKING PARTNERSHIP,"6,264.33"
Government Office ,OPP LTD,"6,245.00"
Government Office ,PEEL PARTNERSHIP,"6,235.88"
Government Office ,CAPCOM LITHO LIMITED,"6,195.00"
Government Office ,SMART SECURITY SYSTEMS LTD,"6,158.88"
Government Office ,SEVERN TRENT WATER LTD,"6,125.75"
Government Office ,MOSTYN HOTEL BEST WESTERN,"6,101.00"
Government Office ,IDOX INFORMATION SERVICES LTD,"6,083.50"
Government Office ,QUIDOS,"5,909.35"
Government Office ,OFFICE DEPOT UK LTD,"5,876.83"
Government Office ,A2B LEARNING SOLUTIONS,"5,875.00"
Government Office ,AZCOM BUSINESS SOLUTIONS LTD,"5,850.00"
Government Office ,BPP PROFESSIONAL EDUCATION,"5,827.77"
Government Office ,NEW HORIZONS,"5,812.50"
Government Office ,SITCO RESILIENCE TRAINING,"5,812.50"
Government Office ,UNITED CARLTON OFFICE SYSTEMS,"5,659.18"
Government Office ,INDIGO BRAVE,"5,635.00"
Government Office ,TELOS PARTNERS LIMITED,"5,537.25"
Government Office ,TALBOT STREET CAR PARK,"5,481.56"
Government Office ,BREAKTHROUGH & BEYOND LTD,"5,228.75"
Government Office ,ARH ELECTRICAL SERVICES LTD,"5,201.90"
Government Office ,EMAP,"5,184.51"
Government Office ,BSI MANAGEMENT SYSTEMS,"5,175.00"
Government Office ,HAWK GROUP,"5,170.00"
Government Office ,DE VERE HOTEL SOUTHAMPTON,"5,137.80"
Government Office ,INSTITUTE OF INTERNAL AUDITORS,"5,089.00"
Government Office ,EON UK PLC,"5,074.86"
Government Office ,KNOWLEDGEABLE LTD,"5,038.68"
Government Office ,LESCO PRODUCTS LTD,"5,035.82"
Government Office ,RISE,"5,000.00"
Government Office ,TYNESIDE ECONOMIC DEV CO LTD,"5,000.00"
Government Office ,CFM CONSULTING LTD,"5,000.00"
Government Office ,MAYFAIR FIRE PROTECTION LTD,"4,989.27"
Government Office ,FOOD & DRINK FORUM LTD,"4,916.25"
Government Office ,DAVIDSON NICKLEN & ASSOCIATES LLP,"4,900.00"
Government Office ,AVIS RENT A CAR,"4,894.92"
Government Office ,CAPER & BERRY T/A BRENNAN,"4,874.16"
Government Office ,TOWER LEASING LTD,"4,862.00"
Government Office ,MOTT MACDONALD,"4,831.13"
Government Office ,JACK HOPEWELL LTD,"4,824.24"
Government Office ,BJL GROUP LTD,"4,750.00"
Government Office ,BRITANNIC TECHNOLOGIES LTD,"4,729.95"
Government Office ,TRIMMER CS LTD,"4,723.50"
Government Office ,SHOOSMITHS,"4,706.00"
Government Office ,FOCUS FM,"4,700.00"
Government Office ,INVESTMENT PROPERTY DATABANK,"4,700.00"
Government Office ,BOOT ROOM.COM LTD,"4,692.00"
Government Office ,OFFICE PUBLIC MGMT LTD,"4,600.00"
Government Office ,WILLOWPOINT ASSOCIATES LTD,"4,594.60"
Government Office ,TICE SEMINARS LTD,"4,571.25"
Government Office ,CULLEN SCHOLEFIELD LIMITED,"4,525.00"
Government Office ,POLO INTERIORS,"4,520.04"
Government Office ,STRESS ANGELS,"4,506.21"
Government Office ,MITIE ENGINEERING SERVICES,"4,503.05"
Government Office ,PLANT PLAN,"4,481.10"
Government Office ,CONSULTANCY CORPORATION,"4,453.25"
Government Office ,NATIONAL FARMERS UNION,"4,450.00"
Government Office ,SECURASOUND LIMITED,"4,418.77"
Government Office ,CORUS HOTEL HYDE PARK,"4,347.75"
Government Office ,THOMAS PROCTOR & SON LTD,"4,314.34"
Government Office ,ANAM CARA LIMITED,"4,305.00"
Government Office ,ATRIUM GANTRYS MAINTENCE,"4,297.53"
Government Office ,SAPPHIRES,"4,283.90"
Government Office ,CENTRE FOR PUBLIC POLICY SEMINARS,"4,280.88"
Government Office ,VISUAL IMPACT (UK) LTD,"4,268.80"
Government Office ,LEARNING PARTNERSHIP.COM CIC,"4,254.47"
Government Office ,MULTITIME SYSTEMS LTD,"4,248.10"
Government Office ,LMD LEARNING SOLUTIONS,"4,244.60"
Government Office ,LESAR UK LTD,"4,243.68"
Government Office ,K C JONES CONFERENCE & EVENTS,"4,235.38"
Government Office ,UPBEAT DESIGN,"4,227.00"
Government Office ,RELISH THE SANDWICH SHOP,"4,197.39"
Government Office ,MR D R SMETHURST,"4,162.57"
Government Office ,ONESOURCE INFORMATION SERVICES,"4,112.50"
Government Office ,CITYSPRINT (UK) LTD,"4,102.40"
Government Office ,BIRMINGHAM BLINDS AND CANOPIES,"4,065.50"
Government Office ,COMMUNISIS,"4,061.58"
Government Office ,INSPIRENATION LIMITED,"4,057.73"
Government Office ,RSE CONSULTING LTD,"4,050.00"
Government Office ,GROSVENOR CARS,"4,022.62"
Government Office ,L G CONTRACTING LTD,"4,007.75"
Government Office ,LIGHTHOUSE RESOURCE CENTRE,"4,000.00"
Government Office ,ASTRADYNE LIMITED,"3,974.30"
Government Office ,ALDWICK COURT FARM LTD,"3,973.25"
Government Office ,ROYAL MAIL,"3,912.50"
Government Office ,ULTIMA RISK MANAGEMENT,"3,894.00"
Government Office ,ASCENTIA,"3,871.50"
Government Office ,URBIS TRADING LTD,"3,790.46"
Government Office ,ROYAL TOWN PLANNING INSTITUTE,"3,785.25"
Government Office ,DLA TRAINING,"3,732.50"
Government Office ,ROBERT HORNE PAPER CO LTD,"3,722.99"
Government Office ,THAMES WATER,"3,709.37"
Government Office ,ILLUMINE LTD,"3,703.13"
Government Office ,CORBIERE EXECUTIVE CHAUFFEUR DRIVE,"3,610.00"
Government Office ,EMPLOYERS FORUM ON DISABILITY,"3,592.83"
Government Office ,FANCY A NIBBLE,"3,580.50"
Government Office ,QUESTMARK LTD,"3,560.27"
Government Office ,NINE FEET TALL LTD,"3,478.06"
Government Office ,LTT VENDING LIMITED,"3,475.88"
Government Office ,BARNETT HILL CONFERENCE CENTRE,"3,470.00"
Government Office ,CAMBRIDGE COPY STUDIO LTD,"3,460.38"
Government Office ,PERFORMANCE SOLUTION LTD,"3,444.25"
Government Office ,NCJ MEDIA LTD,"3,434.00"
Government Office ,MSR NEWSGROUP,"3,433.71"
Government Office ,EXPERIAN LTD,"3,422.89"
Government Office ,N T L,"3,368.80"
Government Office ,IKON CAPITAL PLC,"3,355.47"
Government Office ,RADISSON EDWARDIAN GRAFTON HOTEL,"3,329.60"
Government Office ,DEPENDABLE SERVICES LTD,"3,326.92"
Government Office ,URS CORPORATION LTD,"3,260.87"
Government Office ,POSTURITE,"3,255.41"
Government Office ,REGUS (UK) SOUTH LTD,"3,232.08"
Government Office ,MIW OFFICE SOLUTIONS,"3,222.54"
Government Office ,W T PARTNERSHIP - NOTTINGHAM,"3,152.99"
Government Office ,BELL CORNWELL LLP,"3,105.00"
Government Office ,CLIP DISPLAY LTD,"3,086.02"
Government Office ,AIM ACADEMY,"3,063.60"
Government Office ,CAREER VISION (GLOBAL) LTD,"3,047.85"
Government Office ,WEALDEN ADVERTISER LTD,"3,037.90"
Government Office ,BLUE RIVER DESIGN LTD,"3,025.00"
Government Office ,MISCO,"3,020.01"
Government Office ,FIRST TASTE,"2,974.76"
Government Office ,CADLINE LTD,"2,949.25"
Government Office ,RACE FOR OPPORTUNITY,"2,937.50"
Government Office ,ADSM PLC,"2,902.08"
Government Office ,BARTON PRINTING CO (M/C) LTD,"2,901.42"
Government Office ,MURKETT BROS LTD,"2,899.29"
Government Office ,RED ROSE CHAIN,"2,875.00"
Government Office ,DELL COMPUTER,"2,873.62"
Government Office ,SMITHS NEWS TRADING LIMITED,"2,869.65"
Government Office ,WIGAN MET DEV CO (PROPERTY) LTD,"2,852.08"
Government Office ,NORTH EAST RECYCLING LTD,"2,837.30"
Government Office ,ELITE CONTRACT SECURITY LTD,"2,823.26"
Government Office ,ASSESSMENT NETWORK LTD,"2,820.00"
Government Office ,RETRO CATERING LTD,"2,820.00"
Government Office ,STOCK,"2,810.00"
Government Office ,RENTOKIL INITIAL,"2,725.40"
Government Office ,MEDWAY PORTABLE BUILDINGS,"2,702.50"
Government Office ,REMARC TECHNOLOGIES,"2,695.00"
Government Office ,EMERGENCY PLANNING SOCIETY,"2,689.50"
Government Office ,EVAC CHAIR INTERNATIONAL LTD,"2,683.50"
Government Office ,DONCASTER TRAINING SERVICES,"2,680.00"
Government Office ,QUEST WORLDWIDE COLLEGES,"2,627.30"
Government Office ,ACCIDENTAL PRODUCTIONS LTD,"2,584.89"
Government Office ,HOME LEARNING COLLEGE,"2,551.49"
Government Office ,GRIFFIN SECURITY MANAGEMENT LTD,"2,530.00"
Government Office ,C I P F A,"2,526.26"
Government Office ,HISTORIC ROYAL PALACES ENTERPRISES,"2,526.25"
Government Office ,CENTRAL CONFERENCE CONSULTANTS,"2,524.15"
Government Office ,SKILLSTRAIN,"2,522.45"
Government Office ,NORTHERN BUSINESS FORUM,"2,500.00"
Government Office ,GENESYS CONFERENCING LTD,"2,474.50"
Government Office ,ENTERPRISE RENT A CAR,"2,467.85"
Government Office ,RADAR PROMOTIONS LTD (EC1V 8AF),"2,467.50"
Government Office ,CANNON DRIVER SERVICES,"2,446.00"
Government Office ,PELICAN PRESS,"2,443.00"
Government Office ,SIGNATURE AROMAS LTD,"2,439.27"
Government Office ,WESTERN POWER DISTRIBUTIONS,"2,430.15"
Government Office ,PHILPOTTS,"2,426.45"
Government Office ,ST ANDREWS NEWSAGENCY LTD,"2,422.00"
Government Office ,GATEWAY TELECOM LTD,"2,416.17"
Government Office ,MS EXECUTIVE COACHING,"2,400.00"
Government Office ,RUTH BLAKEY COMMUNICATIONS,"2,400.00"
Government Office ,PRINCIPLE PRACTICE LIMITED,"2,391.90"
Government Office ,ESTILO INTERIORS LTD,"2,373.60"
Government Office ,AQUAID LIVERPOOL,"2,366.28"
Government Office ,PARLIAMENTARY NEWS SERVICES,"2,350.00"
Government Office ,MITIE CLEANING NORTH LTD,"2,319.92"
Government Office ,MIDDLETON BURGESS LTD,"2,312.86"
Government Office ,VOCAL LTD,"2,294.23"
Government Office ,CROWN VENUE CATERING,"2,257.50"
Government Office ,WOLTERS KLUWER (UK) LTD,"2,253.91"
Government Office ,HAWLEY REFURBISHMENTS LIMITED,"2,245.01"
Government Office ,NEWSFLOW EXPRESS,"2,199.00"
Government Office ,EUROPEAN INST PUBLIC ADMINISTRATION,"2,198.32"
Government Office ,SSD UK LIMITED,"2,197.53"
Government Office ,GUARDIAN NEWS & MEDIA LTD,"2,165.45"
Government Office ,C A DAWSON,"2,148.84"
Government Office ,CARTORI LTD,"2,141.03"
Government Office ,ATHENAEUM,"2,128.75"
Government Office ,STRELLEY SYSTEMS LTD,"2,128.09"
Government Office ,SIMON BAYLIS ASSOCIATES LTD,"2,092.50"
Government Office ,LOCAL FUTURES GROUP,"2,056.25"
Government Office ,ES ENVIROSERV LTD,"2,051.50"
Government Office ,EUREST,"2,042.46"
Government Office ,NPOWER LIMITED,"2,036.88"
Government Office ,PRONTAPRINT CITY,"2,029.97"
Government Office ,SHORROCK TRICHEM,"2,026.96"
Government Office ,BURLINGTON HOTEL,"2,025.00"
Government Office ,ADVANCE SEATING DESIGNS,"2,024.70"
Government Office ,INTEC BUSINESS COLLEGES PLC,"2,022.94"
Government Office ,SG WORLD LTD,"2,019.47"
Government Office ,INTERCALL CONFERENCING SERVICES,"2,014.05"
Government Office ,INSPIRA CONSULTING LTD,"2,006.88"
Government Office ,CHUBB FIRE LTD,"2,006.77"
Government Office ,MEDIASURFACE EUROPE LTD,"2,000.00"
Government Office ,ACHIEVE BREAKTHROUGH LTD,"1,996.10"
Government Office ,DODSWORTH LIMITED,"1,994.50"
Government Office ,ACCESS WINDOW CLEANING,"1,960.00"
Government Office ,INTEGRATED FM LTD,"1,955.00"
Government Office ,PAGEONE COMMUNICATIONS LTD,"1,911.51"
Government Office ,RTBG22026 LIMITED,"1,909.35"
Government Office ,RECOGNITION EXPRESS,"1,902.79"
Government Office ,MWB BUSINESS EXCHANGE UK LTD,"1,898.60"
Government Office ,BOON EDAM LTD,"1,872.48"
Government Office ,ARMADA HOUSE CONFERENCE & EVENTS,"1,850.70"
Government Office ,MORSE,"1,850.63"
Government Office ,E E F NORTH WEST,"1,850.00"
Government Office ,PENINSULA INNOVATIONS LTD,"1,850.00"
Government Office ,THISTLE HOTEL WESTMINSTER,"1,800.00"
Government Office ,JASON BROADHURST LTD,"1,778.76"
Government Office ,JOLLY HOTEL ST ERMIN'S,"1,773.00"
Government Office ,ECLIPSE RESEARCH,"1,762.50"
Government Office ,ZEN INTERNET LTD,"1,711.93"
Government Office ,GROSVENOR VICTORIA HOTEL LTD,"1,694.25"
Government Office ,DENCO LTD,"1,683.65"
Government Office ,QUEENS HOTEL,"1,679.65"
Government Office ,STATIONERY OFFICE LTD,"1,672.09"
Government Office ,BOOKPOST LTD,"1,640.00"
Government Office ,UNIVERSAL SAFETY SYSTEMS LTD,"1,635.00"
Government Office ,CENTRE FOR PUBLIC INNOVATION,"1,625.00"
Government Office ,GEOWISE LTD,"1,624.04"
Government Office ,WELBECK HOTEL,"1,617.00"
Government Office ,DAVITT JONES BOULD LTD,"1,612.19"
Government Office ,DAYS HOTEL NOTTINGHAM,"1,611.00"
Government Office ,PAYNE SECURITY,"1,600.70"
Government Office ,CARNEGIE CONFERENCE CENTRE,"1,590.00"
Government Office ,REED BUSINESS INFORMATION,"1,573.00"
Government Office ,GBM DIGITAL TECHNOLOGIES LTD,"1,568.50"
Government Office ,ILX GROUP PLC,"1,550.00"
Government Office ,TROPICANA INTERIOR LANDSCAPING LTD,"1,547.53"
Government Office ,ALBERT HALL (NOTTINGHAM) LTD,"1,534.50"
Government Office ,BUILDING & MAINTENANCE SOLUTIONS LT,"1,530.95"
Government Office ,LONDON VOL SECTOR TRAINING,"1,500.00"
Government Office ,SPOCE PROJECT MANAGEMENT LTD,"1,495.00"
Government Office ,NOVOTEL BRISTOL CENTRE,"1,472.00"
