Minister,Date,Name of External Organisation,Purpose of meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","March, 2011",BBC News Reception,Liberal Democrat Spring Conference
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","March, 2011",Royal Mail,To discuss business
"Minister of State (Universities and Science), Rt Hon David Willetts MP","January, 2011",Academy of Medial Sciences,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","January, 2011",GlaxoSmithKline,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","January, 2011",Research in Motion,To discuss innovation
"Minister of State (Universities and Science), Rt Hon David Willetts MP","January, 2011",UK Resource Centre,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","January, 2011","Institute for Fiscal Studies, Oxford University, University of East Anglia, London School of Economics, Higher Education Funding Council for England",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","January, 2011","GuildHE, Office for Fair Access, National Union of Students, Universities UK, Association of Colleges, Association of School and College Leaders, Higher Education Funding Council for England, Student Loans Company, UCAS, The Sutton Trust",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","January, 2011","Academy of Medical Sciences, London School of Economics, Wellcome Trust, GlaxoSmithKline",To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","January, 2011",Pfizer ,To discuss business
"Minister of State (Universities and Science), Rt Hon David Willetts MP","January, 2011",Ann Mroz (THE),To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","January, 2011",Google,To discuss growth
"Minister of State (Universities and Science), Rt Hon David Willetts MP","January, 2011","Council for Independent Education, 360 Education, Alpha Plus",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","January, 2011",BioIndustry Association,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","January, 2011",Birkbeck College,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","January, 2011","Higher Education Funding Council for England, The Quality Assurance Agency for Higher Education, Association of Independent Higher Education Providers, British Accreditation Council, BPP University College of Professional Studies Limited, College of Law, Eversheds, ifs School of Finance, Institute of Contemporary Music Performance, Laureate, Pearson, Resource Development International Limited, Springboard4Asia",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","January, 2011",Cisco ,To discuss business
"Minister of State (Universities and Science), Rt Hon David Willetts MP","February, 2011",Laureate,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","February, 2011",University College London,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","February, 2011","Higher Education Policy Institute, Leicester University, Best of Bristol, Higher Education Funding Council for England, Professor Graham Gibbs, Roehampton University London, University of Bristol, Financial Times, The Quality Assurance Agency for Higher Education, Higher Education Academy, Universities UK, University of Leeds",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","February, 2011",Higher Education Academy,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","February, 2011",Moneysavingexpert.com,To discuss higher education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","February, 2011",European Space Agency,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","February, 2011",Microsoft,To discuss innovation
"Minister of State (Universities and Science), Rt Hon David Willetts MP","February, 2011",Royal College of Art,To discuss higher education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","February, 2011","ReNeuron, Amgen, UCB, Johnson and Johnson, OSspray, GlaxoSmithKline, GE Healthcare, Pfizer, Eisai, Association of British Healthcare Industries, British In Vitro Diagnostics Association, BioIndustry Association, Association of British Pharmaceutical Industries, National Health Service",To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","February, 2011",Arcadia,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","February, 2011",Buckingham University,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","February, 2011",University Vice-Chancellors,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","February, 2011","SV Life Sciences Advisers Limited Liability Partnership, Abingworth Limited Liability Partnership, NESTA Investments, Oxford Capital Partners, Scottish Equity Partners, Imperial Innovations Limited, University College London, Albion Ventures, BVCA, Finance South East, Peakdale, Xceleron, Pfizer, Apposite Capital Limited Liability Partnership, Newton Investment Management, Amadeus Capital Partners, Advent Venture Partners, Northstar Ventures, ACT Venture Capital Ltd, DFL Espirit Limited Liability Partnership, MTI Firms, WHEB Partners Limited Liability Partnership, Longbow Capital Limited Liability Partnership,, Calculus Capital Limited Liability Partnership, Aquarias Equity Partners Ltd",To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","February, 2011",Pfizer ,Introductory meeting
"Minister of State (Universities and Science), Rt Hon David Willetts MP","February, 2011",Universities Scotland,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","February, 2011",University of East Anglia,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","February, 2011",University of East Anglia,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","February, 2011",Pfizer Taskforce,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","February, 2011",Croyden College,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","February, 2011",Economic Policy Centre,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","February, 2011",Pfizer,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","February, 2011",Research Councils UK,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","February, 2011",Universities Association for Lifelong Learning,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","February, 2011",BCS Academy of Computing,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","March, 2011",Pfizer Taskforce,To discuss regional economy
"Minister of State (Universities and Science), Rt Hon David Willetts MP","March, 2011",Million+,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","March, 2011",Mark Thompson (BBC),To discuss science programming
"Minister of State (Universities and Science), Rt Hon David Willetts MP","March, 2011","Fiona Goodlee, (British Medical Journal), Phil Campbell (Nature), Marr Cockerill (Biomed Central)",to discuss science policy
"Minister of State (Universities and Science), Rt Hon David Willetts MP","March, 2011",Leadership Foundation,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","March, 2011","University of Cambridge, Liverpool University, Edinburgh University, Sheffield University",To discuss innovation
"Minister of State (Universities and Science), Rt Hon David Willetts MP","March, 2011","Higher Education Funding Council for England, Association of Colleges, 157 Group, Mixed Economy Group, Association of Learning Providers, Universities UK, Guild HE, Newcastle College Group, Somerset College, Havering College, Peter Symonds College, Anglia Ruskin University, Open University, University of Plymouth, University of Hertfordshire, University of Sheffield, City & Guilds",To discuss Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","March, 2011","Higher Education Funding Council for England, UCAS",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","March, 2011","UCAS, Higher Education Statistics Agency, Student Loans Company, Higher Education Funding Council for England",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","March, 2011","National Union of Students, Trades Union Congress, Association of Graduate Careers Advisory Service, Association of Graduate Recruiters, Higher Education Funding for England, South East England Development Agency, Universities UK, Chartered Institute of Personnel and Development, Business in the Community, Federation of Small Businesses, Technology Strategy Board, HECSU/Prospects, UK Commission for Employment and Skills, PricewaterhouseCoopers, Sheffield Hallam University, V, Sheffield University, CBI, Guild HE",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","March, 2011","Logica, SSTL, Astrium, Avanti, UKspace, London Institute of Space Policy and Law, University of Reading, Reaction Engines, University of Leicester, Open University, Clyde Space, Inmarsat, South East England Develpoment Agency, Technology Strategy Board, National Space Technology Steering Group",To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","March, 2011",Russell Group,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","March, 2011",Pfizer Taskforce,To discuss regional economy
"Minister of State (Universities and Science), Rt Hon David Willetts MP","March, 2011",Sutton Trust,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","March, 2011","University of Leicester, Higher Education Funding Council for England",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","March, 2011",United Kingdom Accreditation Service,To discuss innovation
"Minister of State (Universities and Science), Rt Hon David Willetts MP","March, 2011","Prime Minister, Sarah Butterfield, Professor Steve Cowley, Sir Mark, Sir Tim Berners-Lee, Dr Patricia Fara, Sir John Beddington, Sir David Attenborough, Lord Waldegrave and Dame Nancy Rothwell",To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","March, 2011",1994 Group,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","March, 2011",Pfizer Taskforce,To discuss regional economy
"Minister of State (Universities and Science), Rt Hon David Willetts MP","March, 2011","Academy of Medical Sciences, Wellcome Trust, Sir David Cooksey",To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","March, 2011","Wellcome Trust, UCL, Imperial College London, Loughborough University, Olympic Park Legacy Company, Technology Strategy Board",To discuss innovation
"Minister of State (Universities and Science), Rt Hon David Willetts MP","March, 2011","Aberdeen University, Higher Education Funding Council for England, Universities UK",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","March, 2011",Aerospace and Defence Security ,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","March, 2011",University of Southampton,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","March, 2011",Plymouth University,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","March, 2011","BBSRC, ESRC, British Ecological Society, The British Library, University of Salford, UCL, RLUK, Wellcome Trust, Harvard, King’s College London, Royal Society, Office of National Statistics, Society of College, National and University Libraries, Royal Society of Chemistry, IOP, Arcadia, JISC, Higher Education Funding Council for England, Publisher’s Association, Research Information Network, Key Perspectives Ltd",To discuss research
"Minister of State (Universities and Science), Rt Hon David Willetts MP","March, 2011",University of Newcastle,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","March, 2011","National Union of Students, Federation of Student Islamic Societies",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","March, 2011",Royal Society,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","March, 2011",Ipsos Mori,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","March, 2011","Royal Institute of Chartered Surveyors, Consultative Committee of Accountancy Bodies, Institute of Chartered Accountants in England and Wales, Legal Services Board, Chartered Institute of Personnel and Development, General Medical Council, Arts Council, Engineering Council, Bar Council, Royal Institute of British Architects, Engineering Council, Law Society",To discuss education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","March, 2011","Simon Singh, British Medical Journal, Nature, Biomed Central, Sense About Science, Association of British Science Writers, Royal Shrewsbury Hospital, The Times, The Guardian, Bryan Cave Limited Liability Partnership",To discuss science
"Minister of State (Business and Enterprise), Mark Prisk MP","January, 2011",The National Microelectronics Institute,To discuss growth Issues
"Minister of State (Business and Enterprise), Mark Prisk MP","January, 2011",The Business Services      Association,To discuss growth Issues
"Minister of State (Business and Enterprise), Mark Prisk MP","January, 2011",Business Angels,To discuss growth Issues
"Minister of State (Business and Enterprise), Mark Prisk MP","January, 2011",Tata Steel Europe,To discuss growth Issues
"Minister of State (Business and Enterprise), Mark Prisk MP","February, 2011",Enterprise UK,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","February, 2011",The Institute of the Motor Industry,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","February, 2011",Diageo GB,General catch Up
"Minister of State (Business and Enterprise), Mark Prisk MP","February, 2011",Industrial Bio-technology,General catch Up
"Minister of State (Business and Enterprise), Mark Prisk MP","March, 2011",Eco-build,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","March, 2011",Henley Technology,Introductory meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","March, 2011",Marshalls Aerospace,Introductory meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","March, 2011",Gillingham Football Club,General catch up
"Minister of State (Business and Enterprise), Mark Prisk MP","March, 2011","Institute of Directors, Federation of Small Business & Confederation of Business Industry",Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","March, 2011",British Chamber of Commerce,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","March, 2011",Institute of Directors,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","March, 2011",Federation of Small Business,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","March, 2011",GM Europe,General catch up
"Minister of State (Business and Enterprise), Mark Prisk MP","March, 2011",Creative Economy,Introductory meeting
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2011",The National Institute of Adult Continuing Education,General catch up
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2011",Retail Motor Industry federation,To discuss apprenticeships
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2011", Young Men's Christian Association ,To discuss apprenticeships
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2011",Kerry Foods,To discuss apprenticeships
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2011",Association of Colleges,General catch up
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2011",Birkbeck College,To discuss part-time learning
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2011",Metaswitch Networks & Data Connection Ltd,To discuss apprenticeships
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2011",Technicians Council,To discuss apprenticeships
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","February, 2011",University Council for the Education of Teachers,To discuss Further Education and teacher training
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","February, 2011",Royal British Legion,To discuss reoffending
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","February, 2011",157 Group,General catch up
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","February, 2011",National Union of Students,General catch up
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","February, 2011",National Apprenticeship Service,General catch up
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","February, 2011",The Industry Forum,To discuss skills
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","February, 2011",British Horse Racing School,To discuss apprenticeships
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","March, 2011",Fashion Retail Academy,Introductory meeting
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","March, 2011",Unison,General catch up
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","March, 2011",Mobsventures,To discuss careers
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","March, 2011","The National Institute of Adult Continuing Education Refugee Council, Fiona MacTaggart MP, Luciana Berger MP ",To discuss language
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","March, 2011",Royal National Institute for Deaf People,Introductory meeting
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","March, 2011",Heritage Craft Association ,Introductory meeting
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","March, 2011",National Apprenticeship Service,General catch up
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","March, 2011",Careers Professional task force,To discuss careers advice
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","March, 2011","Skillset, Eidos, Double Negative","To discuss science technology , engineering and maths"
"Minister of State (Trade and Investment), Lord Green","January, 2011",Hutchison Whampoa,Introductory meeting
"Minister of State (Trade and Investment), Lord Green","February, 2011",London Stock Exchange,Introductory meeting
"Minister of State (Trade and Investment), Lord Green","February, 2011",The Economist,To discuss economics
"Minister of State (Trade and Investment), Lord Green","February, 2011",HSBC,To discuss trade
"Minister of State (Trade and Investment), Lord Green","February, 2011",BAE Systems,To discuss trade
"Minister of State (Trade and Investment), Lord Green","February, 2011",University College London,To discuss trade
"Minister of State (Trade and Investment), Lord Green","February, 2011",FTI Consulting,To discuss trade
"Minister of State (Trade and Investment), Lord Green","February, 2011",Peel Group plc,To discuss trade
"Minister of State (Trade and Investment), Lord Green","March, 2011",Standard Chartered Bank,Introductory meeting
"Minister of State (Trade and Investment), Lord Green","March, 2011",Burberry,To discuss trade
"Minister of State (Trade and Investment), Lord Green","March, 2011",BT,To discuss trade
"Minister of State (Trade and Investment), Lord Green","March, 2011",Climate Change Capital,To discuss trade
"Minister of State (Trade and Investment), Lord Green","March, 2011",Federation of Small Businesses,To discuss trade
"Minister of State (Trade and Investment), Lord Green","March, 2011",TheCitytUK,To discuss trade
"Minister of State (Trade and Investment), Lord Green","March, 2011",Confederation of British Industry,To discuss trade
"Minister of State (Trade and Investment), Lord Green","March, 2011",3i,To discuss trade
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","January, 2011",RadcliffesLeBrasseur,To discuss employment relations
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","January, 2011","Radcliffes, Watson Philips & Norman, Citibase Plc, Arnold Hill, Killik & Co, JRI – Joint Replacement Instrumentation , Stork & May, RogenSi, RCapital, Science Navigation Group, British Hospitality Association",To discuss employment relations 
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","January, 2011",Trades Union Congress,To discuss employment relations
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","January, 2011",Communication Workers Union,To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","January, 2011",Edelman,To discuss corporate governance
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","January, 2011",Slivers of Time,To discuss employment relations
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","February, 2011","TowersWatson, DHL, Aon Hewitt, USS – Universities Superannuation Scheme, London Pension Authority, National Association of Pension Funds, Aviva Investors, BlackRock, Hermes, Barclays,",To discuss corporate governance
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","February, 2011",Investment Management Association,To discuss regulation
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","February, 2011","Financial Reporting Council, Financial Services Authority, Bank of England, KPMG, Deloitte, PriceWaterhouseCooper, Grant Thornton, Quoted Companies Alliance, BDO, Association of British Insurers, National Association of Pension Funds, Centrica Plc, 100 Group, Association of Chartered Certified Accountants, Institute of Chartered Accountants in England and Wales, Institute of Chartered Accountants of Scotland, Chartered Institute of Management Accountants, Institute of Chartered Secretaries and Administrators",To discuss European issues
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","February, 2011",Eldercare Group,To discuss employment relations
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","February, 2011","Local Authority Pension Fund, West Yorkshire Pension Fund, North East Scotland Pension Fund, Camden Pension Fund, Merseyside Pension Fund, West Midlands Pension Fund, PIRC Limited",To discuss corporate governance
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","February, 2011",Martin McColl Ltd,To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","February, 2011",Postcomm,To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","February, 2011",Chartered Institute of Personnel and Development,To discuss employment relations
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","February, 2011",Remuneration Consultants Group,To discuss corporate governance
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","February, 2011",British Beer and Pub Association,To discuss competition
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","February, 2011",Ascertiva,To discuss consumer issues
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","February, 2011",Trades Union Congress,To discuss employment
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","February, 2011",Equality and Human Rights Commission,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","February, 2011","Communication Workers Union, Royal Mail",To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","March, 2011",Yellowdoor,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","March, 2011",Which?,To discuss consumer issues
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","March, 2011",Migration Policy Institute,To discuss European issues
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","March, 2011",Institute of Chartered Accountants of England and Wales,To discuss corporate governance
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","March, 2011",Consumer Credit Counselling Service,To discuss consumer issues
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","March, 2011",KPMG,To discuss corporate governance
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","March, 2011",Royal Mail,To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","March, 2011",Coops UK, To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","March, 2011",Trustmark,To discuss consumer issues
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","March, 2011",CBI - Confederation of British Industry,To discuss competition issues
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","March, 2011",Association of British Travel Agents, To discuss consumer issues
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","March, 2011",Moneysavingexpert.com ,To discuss consumer issues
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","January, 2011",Royal Mail Pension Plan Trustees,To discuss Royal Mail
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","January, 2011",University of Oxford,To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","January, 2011",British Film Institute,To discuss copyright
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","January, 2011",Open Rights Group,To discuss copyright
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","January, 2011",Publishers Association,To discuss copyright and Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","January, 2011",Royal Mail,To discuss postal services
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","February, 2011",Everywoman Limited,To discuss their Modern Muse Project
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","February, 2011",Consumer Focus,Introductory meeting
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","March, 2011",Office of Communications,To discuss Postal Services
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","March, 2011",Federation Against Software Theft,To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","March, 2011","Publishers Licensing Society, British Equity Collecting Society, Copyright Licensing Agency, Newspaper Licensing Agency, Performing Rights Society for Music, Educational Recording Agency, Directors UK, Authors’ Licensing and Collecting Society, Mechanical Copyright Protection Society, Design and Artists Copyright Society, The Bridgeman Art Library Ltd, Artists Collecting Society, PPL, Motion Picture Licensing Co.",To discuss copyright
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","March, 2011",Intellect,To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","March, 2011",Motion Picture Association,To discuss Intellectual Property
