"MEETINGS WITH EXTERNAL ORGANISATIONS (INCLUDING MEETINGS WITH NEWSPAPER AND OTHER MEDIA PROPRIETORS, EDITORS AND SENIOR EXECUTIVES)",,,
Minister,Date,Name of External Organisation*,Purpose of meeting
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jun-12,"Resolution Foundation, Carr & Carr Builders Ltd, House Builders Federation, Places for People, HTA, Affinity Sutton, Persimmon, Housing Forum, Hubert C Leach, Modern Masonry Alliance, London School of Economics, First Base, Chartered Institute of Housing, London & Quadrant, Redrow, Peel Holdings (Management) Ltd, Lloyds Banking Group, CB Richard Ellis,  ",To discuss the housing market and the construction industry
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jun-12,Yellow Door,To discuss the Portas Review
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jun-12,"Registered Social Landlords Representatives  (Accent Group, Adactus Housing, Affinity Sutton, Arcadia Group, ASRA Housing Group, BPHA, Broxbourne Housing Association, Catalyst Housing, Chartered Instiute of Housing, Circle Group, Devon and Cornwall Housing Group, Ducane Housing Association, Family Mosaic, Gallions Housing Association, Gentoo Group, Green Square Group, Guinness Partnership, Hastoe Housing Association, Hereford Housing, Home Group, Housing 21, Hyde Housing Group, L&Q, Moat, New Charter Housing Trust Group, Newlon Housing Trust, Octavia Housing, Orbit Housing Group, Orwell Housing Association, Paradigm Housing Group, Paradigm Housing Group, Peabody, Plus Dane Group, Riverside Group, Sanctuary Housing Group, Swan Housing Association, Thames Valley Housing Association, Waterloo Housing Group, WM Housing Group, Yorkshire Housing)",Transparency and accountability
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Apr-12,Energy Saving Trust,To discuss energy reduction
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Apr-12,Peter Aldous MP and Waveney District Council ,Discuss Empty Homes
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Apr-12,Runnymede Trust,To discuss integration strategy
"Andrew Stunell MP, Parliamentary Under-Secretary of State",May-12,Holocaust Memorial Day Trust,Discuss Holocaust Memorial Day 2013 plans
"Andrew Stunell MP, Parliamentary Under-Secretary of State",May-12,Construction Products Association,Discuss Building Regulations Consultation
"Andrew Stunell MP, Parliamentary Under-Secretary of State",May-12,George Clarke– Government Adviser on Empty Homes,Discuss Empty Homes
"Andrew Stunell MP, Parliamentary Under-Secretary of State",May-12,Local Government Association ,Reform of Public Services
"Andrew Stunell MP, Parliamentary Under-Secretary of State",May-12,National Association for Voluntary and Community Action (NAVCA),Discuss Voluntary and Community Sector Partnership Board.
"Andrew Stunell MP, Parliamentary Under-Secretary of State",May-12,Muslim Aid,Discuss engagement with Muslim Aid
"Andrew Stunell MP, Parliamentary Under-Secretary of State",May-12,Voluntary and Community Sector Partnership Board.,Discuss engagement
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Jun-12,Building Services Research and Information Association,Discuss Building Regulations Compliance and Energy Efficiency
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Jun-12,Migration Yorkshire and Rotherham Metropolitan Borough Council,Discuss Central and Eastern European Roma
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Jun-12,Sir John Harman– Chair of the Local Housing Delivery Group who authored a report commissioned by Government on Building Standards.,Local Building Standards
"Andrew Stunell MP, Parliamentary Under-Secretary of State",,,
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Jun-12,Gypsy and Traveller Working Group,Discuss issues affecting Gypsy and Traveller Communities
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Jun-12,Youth United,Discuss Supporting Inclusion Project
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Jun-12,Somali Community Representatives,Discuss specific integration challenges faced by Somalis in the UK
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Jun-12,"Demos and University of Nottingham Dr Matthew Goodwin (University of Nottingham), Robert Ford (University of Manchester), Jamie Bartlett (Demos)",Discuss issues relating to far right extremism
"Bob Neill MP, Parliamentary Under-Secretary of State",Apr-12,Pure pages group,UK pension funds and property
"Bob Neill MP, Parliamentary Under-Secretary of State",May-12,Society of Local Authority Chief Executives(SOLACE) ,Olympic Games
"Bob Neill MP, Parliamentary Under-Secretary of State",May-12,West Midlands Ambulance Service - ,Fire Service Building in Wolverhampton
"Bob Neill MP, Parliamentary Under-Secretary of State",May-12,British Independent Retail Association (BIRA),Legal and Parliamentary Affairs Committee
"Bob Neill MP, Parliamentary Under-Secretary of State",May-12,London Chamber of Commerce & Industry (LCCI),Strategy on localism and growth.
"Bob Neill MP, Parliamentary Under-Secretary of State",,,
"Bob Neill MP, Parliamentary Under-Secretary of State",May-12,Co-ordination Agency for Fire and Rescue Aid (CAFFRA,The Mogadishu Fire Service
