Minister,Date,Name of External Organisation*,Purpose of meeting
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Jan-11,Burnley Council ,To discuss Local Govt Finance
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Jan-11,Pendle Borough Council ,To discuss Local Govt Finance
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Jan-11,Preston Council ,To discuss Local Govt Finance
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Jan-11,Lambeth Council,To discuss Local Govt Finance
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Jan-11,Solihull Council ,To discuss Local Govt Finance
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Jan-11,Worcester Council,To discuss Local Govt Finance
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Jan-11,Liverpool Council,To discuss Local Govt Finance
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Feb-11,Faith-Based Regeneration Network,Discuss Big Society Vision 
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Mar-11,Diana Awards,Meet award winners 
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Mar-11,National Secular Society,Introductory meeting 
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Mar-11,Groundwork UK; Federation of City Farms and Community Gardens; GreenSpace; Keep Britain Tidy; Tom Flood BTCV ,Green Space Stakeholder meeting
"Bob Neill MP, Parliamentary Under-Secretary of State",Jan-11,Firstfirecall (Federation of British Fire Organisations),Fire Issues
"Bob Neill MP, Parliamentary Under-Secretary of State",Jan-11,Pub is the Hub,Community Pubs
"Bob Neill MP, Parliamentary Under-Secretary of State",Jan-11,RES UK & Ireland,Wind Farms
"Bob Neill MP, Parliamentary Under-Secretary of State",Jan-11,London Pensions Fund Authority,Pensions
"Bob Neill MP, Parliamentary Under-Secretary of State",Jan-11,London Continental Railways,Thames Gateway
"Bob Neill MP, Parliamentary Under-Secretary of State",Jan-11,Punch Taverns,Community Pubs
"Bob Neill MP, Parliamentary Under-Secretary of State",Jan-11,Asian Fire Service Association,AFSA Conference report
"Bob Neill MP, Parliamentary Under-Secretary of State",Jan-11,Pocket Living,Affordable Housing
"Bob Neill MP, Parliamentary Under-Secretary of State",Jan-11,Town and Country Planning Association,Local Enterprise Partnerships & Planning on Climate Change
"Bob Neill MP, Parliamentary Under-Secretary of State",Jan-11,Taylor Wimpey and Finsbury,Burden of Regulation in the planning
"Bob Neill MP, Parliamentary Under-Secretary of State",Feb-11,Greenwich Peninsula Regeneration Limited  ,To discuss the regeneration of the Greenwich Peninsula
"Bob Neill MP, Parliamentary Under-Secretary of State",Feb-11,RTPI,Introduction Meeting
"Bob Neill MP, Parliamentary Under-Secretary of State",Feb-11,Construction Products Association,To discuss Planning issues
"Bob Neill MP, Parliamentary Under-Secretary of State",Feb-11,East Thames,To discuss the Olympic Village
"Bob Neill MP, Parliamentary Under-Secretary of State",Mar-11,Willmott Dixon Group,Local Enterprise Partnerships and Tax Increment Financing
"Bob Neill MP, Parliamentary Under-Secretary of State",Mar-11,Renewable UK,Localism Bill
"Bob Neill MP, Parliamentary Under-Secretary of State",Mar-11,Haven Gateway Partnership,To discuss Haven Gateway
"Bob Neill MP, Parliamentary Under-Secretary of State",Mar-11,ALMR,Community Pubs
"Bob Neill MP, Parliamentary Under-Secretary of State",Mar-11,Prospect,Finance
"Bob Neill MP, Parliamentary Under-Secretary of State",Mar-11,Enterprise Inns,Future of Community Pubs
