Department ,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Net Total
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1020515,691.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1020518,460.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1020520,603.65
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1020521,741.89
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1020524,732.67
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1020526,709.63
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1020528,718.85
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1020531,774.14
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1020534,746.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1020623,835.2
