Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/06/2011,Air Fares Overseas,Market and Frameworks Group - Europe and World Trade Directorates,FOREIGN AND COMMONWEALTH OFFICE (FCO),1028137,210.48
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/06/2011,Other Overseas Travel & Subsistence,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",FOREIGN AND COMMONWEALTH OFFICE (FCO),1028138,1422.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/06/2011,Other Overseas Travel & Subsistence,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",FOREIGN AND COMMONWEALTH OFFICE (FCO),1028139,88.91
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Legal Services and Advice Agency,"Legal, People & Communications Group - Legal Services",VENN GROUP LTD,1028141,1200
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Telecommunications,Finance & Commercial Group - Commercial Directorate,BRITISH TELECOMMUNICATIONS plc (BT),1028144,56.59
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/06/2011,Grants - Current - Other,Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1028145,159.31
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/06/2011,Hotels (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1028145,530.03
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/06/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1028145,7000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/06/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1028145,3721.38
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/06/2011,Subsistence Payments- Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1028145,1250
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/06/2011,Entertaining Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1028145,550
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/06/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1028146,277.93
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/06/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1028146,576.35
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/06/2011,Subsistence Payments- Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1028146,300
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/06/2011,Entertaining Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1028146,1200
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/06/2011,Hire of Conference Facilities (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1028146,147.73
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/06/2011,Purchase of  Advertising and Publicity (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1028146,2600
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/06/2011,Translation Services (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1028146,2000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/06/2011,Conference and Exhibition Services (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1028146,2500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/06/2011,Grants - Current - Other,Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1028147,1443.27
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/06/2011,Entertaining Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1028148,221.48
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/06/2011,Entertaining Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1028149,98.96
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,JOLLY HOTEL DU GRAND SABLON,1028154,203.96
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,NH ATLANTA HOTEL,1028155,153.42
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Hotels Overseas,Market and Frameworks Group - Corporate Law and Governance,NH ATLANTA HOTEL,1028156,116.17
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Hotels Overseas,Market and Frameworks Group - Consumer and Competition Policy,NH ATLANTA HOTEL,1028158,133.02
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Hotels Overseas,Knowledge and Innovation Group - Innovation,NH ATLANTA HOTEL,1028159,106.42
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Hotels Overseas,Knowledge and Innovation Group - Innovation,NH ATLANTA HOTEL,1028160,133.02
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Hotels Overseas,Market and Frameworks Group - Europe and World Trade Directorates,NH ATLANTA HOTEL,1028161,153.42
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,NH ATLANTA HOTEL,1028162,193.32
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,NH ATLANTA HOTEL,1028163,148.98
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Hotels Overseas,Business & Skills Group - Advanced Manufacturing Industries,SILKEN BERLAYMONT HOTEL,1028164,198.64
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Hotels Overseas,Business & Skills Group - Advanced Manufacturing Industries,SILKEN BERLAYMONT HOTEL,1028165,198.64
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Hotels Overseas,Business & Skills Group - Advanced Manufacturing Industries,SILKEN BERLAYMONT HOTEL,1028166,198.64
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Hotels Overseas,"Legal, People & Communications Group - Legal Services",SILKEN BERLAYMONT HOTEL,1028167,198.64
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,BRUSSELS EUROPA,1028168,138.34
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Hotels Overseas,Market and Frameworks Group - Europe Directorate,BRUSSELS EUROPA,1028169,173.81
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,BRUSSELS EUROPA,1028170,342.3
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Hotels Overseas,Business & Skills Group - Economic Development Directorate,BRUSSELS EUROPA,1028171,244.76
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Hotels Overseas,Market and Frameworks Group - Europe and World Trade Directorates,BRUSSELS EUROPA,1028172,176.47
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Hotels Overseas,Market and Frameworks Group - Employment Relations,BRUSSELS EUROPA,1028173,342.3
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Hotels Overseas,Market and Frameworks Group - Europe and World Trade Directorates,BRUSSELS EUROPA,1028174,182.68
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Hotels Overseas,Market and Frameworks Group - Employment Relations,BRUSSELS EUROPA,1028175,182.68
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,BRUSSELS EUROPA,1028176,209.28
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Grant in Aid - Current -Other,Knowledge and Innovation Group - Learners,STUDENT LOANS  CO LTD (INVEST TO SAVE),1028177,588065.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Grant in Aid - Current -Other,Knowledge and Innovation Group - Learners,STUDENT LOANS  CO LTD (INVEST TO SAVE),1028177,8133431.24
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/06/2011,Standard Desktop Services (PFI),Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1028189,32.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Other Staff Costs (Programme),Finance & Commercial Group - Finance Group,BADENOCH AND CLARK LTD,1028192,1463.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/06/2011,Outsourced Technical Support (Programme),Business & Skills Group - Enterprise Directorate,BETA TECHNOLOGY LTD,1028207,25800
