UniqueRef,DATE OF TRANSACTION,MERCHANT CATEGORY,MERCHANT CATEGORY DESC,AMOUNT,SortFunction
MODGPC18561,28-Nov-11,Professional Services              , PROFESSIONAL SERVICES - DEF,"2,559.00",18561
MODGPC18562,02-Dec-11,Leisure Activities                 , BANDS/ORCHESTRAS/ENTERTAIN,749,18562
MODGPC18562,28-Nov-11,Professional Services              , PROFESSIONAL SERVICES - DEF,"2,559.00",18562
MODGPC18563,03-Dec-11,Mail Order / Direct Selling        , OTHER DIRECT MARKETERS,848.54,18563
MODGPC18563,16-Nov-11,Professional Services              , ARCHITECTURAL/ENG/SURVEY,"1,483.27",18563
MODGPC18564,12-Dec-11,General Retail and Wholesale       , SPORTING GOODS STORES,"23,020.20",18564
MODGPC18564,25-Nov-11,Miscellaneous Industrial/Commercial," PAINT, VARNISHES & SUPPLIES","1,798.80",18564
MODGPC18565,17-Nov-11,Mail and Courier Services          , POSTAGE STAMPS,"2,701.45",18565
MODGPC18565,06-Dec-11,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"1,383.87",18565
MODGPC18566,25-Nov-11,Mail and Courier Services          , POSTAGE STAMPS,"1,592.84",18566
MODGPC18566,09-Dec-11,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"1,332.00",18566
MODGPC18567,25-Nov-11,Professional Services              , PROFESSIONAL SERVICES - DEF,665,18567
MODGPC18567,09-Dec-11,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"2,766.00",18567
MODGPC18568,29-Nov-11,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,"4,159.80",18568
MODGPC18568,09-Dec-11,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"2,766.00",18568
MODGPC18569,14-Nov-11,Statutory Bodies                   , GOV'T SERV - DEFAULT,"2,227.20",18569
MODGPC18569,09-Dec-11,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"3,906.00",18569
MODGPC18570,06-Dec-11,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,619.2,18570
MODGPC18570,17-Nov-11,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,"1,023.98",18570
MODGPC18571,30-Nov-11,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,"1,226.02",18571
MODGPC18571,13-Dec-11,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"1,267.00",18571
MODGPC18572,25-Nov-11,Miscellaneous Industrial/Commercial, COMMERCIAL EQUIPMENT - DEFAULT,918.6,18572
MODGPC18572,13-Dec-11,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"1,267.00",18572
MODGPC18573,18-Nov-11,Auto Rental                        ,Auto Rental                        ,522,18573
MODGPC18573,13-Dec-11,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"1,267.00",18573
MODGPC18574,23-Nov-11,Auto Rental                        ,Auto Rental                        ,"2,000.00",18574
MODGPC18574,13-Dec-11,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"1,267.00",18574
MODGPC18575,28-Nov-11,Auto Rental                        ,Auto Rental                        ,893.78,18575
MODGPC18575,02-Dec-11,Statutory Bodies                   , GOV'T SERV - DEFAULT,550,18575
MODGPC18576,14-Nov-11,Auto Rental                        ,Auto Rental                        ,598.43,18576
MODGPC18576,09-Dec-11,Statutory Bodies                   , GOV'T SERV - DEFAULT,836,18576
MODGPC18577,15-Nov-11,Auto Rental                        ,Auto Rental                        ,891,18577
MODGPC18577,09-Dec-11,General Retail and Wholesale       ," GIFT, CARD, NOVELTY STORES",991.44,18577
MODGPC18578,07-Dec-11,General Retail and Wholesale       , HARDWARE STORES,980,18578
MODGPC18578,15-Nov-11,"Vehicles, Servicing and Spares     ", AUTO SERVICE SHOPS/NON DEALER,"2,000.00",18578
MODGPC18579,07-Dec-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,996,18579
MODGPC18579,15-Nov-11,"Vehicles, Servicing and Spares     ", AUTO SERVICE SHOPS/NON DEALER,"1,500.00",18579
MODGPC18580,15-Nov-11,Auto Rental                        ,Auto Rental                        ,586.34,18580
MODGPC18580,13-Dec-11,General Retail and Wholesale       , MEN/BOYS CLOTHING/ACC STORES,630,18580
MODGPC18581,15-Nov-11,Auto Rental                        ,Auto Rental                        ,829.41,18581
MODGPC18581,13-Dec-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,999.12,18581
MODGPC18582,08-Dec-11,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,782.4,18582
MODGPC18582,15-Nov-11,"Vehicles, Servicing and Spares     ", AUTO SERVICE SHOPS/NON DEALER,"1,750.00",18582
MODGPC18583,02-Dec-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,675.98,18583
MODGPC18583,15-Nov-11,"Vehicles, Servicing and Spares     ", AUTO SERVICE SHOPS/NON DEALER,875,18583
MODGPC18584,17-Nov-11,Auto Rental                        ,Auto Rental                        ,646.53,18584
MODGPC18584,08-Dec-11,Building Materials                 , GLASS/PAINT/WALLPAPER STORES,616.33,18584
MODGPC18585,17-Nov-11,Auto Rental                        ,Auto Rental                        ,600.67,18585
MODGPC18585,08-Dec-11,General Retail and Wholesale       ," HOBBY, TOY & GAME SHOPS","1,830.00",18585
MODGPC18586,17-Nov-11,Auto Rental                        ,Auto Rental                        ,844.07,18586
MODGPC18586,08-Dec-11,Miscellaneous Industrial/Commercial, COMMERCIAL EQUIPMENT - DEFAULT,"3,378.70",18586
MODGPC18587,09-Dec-11,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,"1,392.00",18587
MODGPC18587,25-Nov-11,"Vehicles, Servicing and Spares     ", CAR & TRUCK DEALERS/NEW/USED,516,18587
MODGPC18588,15-Nov-11,Auto Rental                        ,Auto Rental                        ,"1,129.30",18588
MODGPC18588,01-Dec-11,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,630.24,18588
MODGPC18589,17-Nov-11,Auto Rental                        ,Auto Rental                        ,"1,129.30",18589
MODGPC18589,05-Dec-11,Training and Educational           , SCHOOLS - DEFAULT,"2,200.00",18589
MODGPC18590,09-Dec-11,Mail and Courier Services          , COURIER SERVICES,677.88,18590
MODGPC18590,17-Nov-11,"Vehicles, Servicing and Spares     ", AUTO BODY REPAIR SHOPS,"1,100.00",18590
MODGPC18591,05-Dec-11,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,713.4,18591
MODGPC18591,17-Nov-11,"Vehicles, Servicing and Spares     ", AUTO BODY REPAIR SHOPS,"1,650.00",18591
MODGPC18592,14-Nov-11,Auto Rental                        ,Auto Rental                        ,869.94,18592
MODGPC18592,07-Dec-11,Print and Advertising              , MISC PUBLISHING & PRINTING,"2,436.00",18592
MODGPC18593,15-Nov-11,Auto Rental                        ,Auto Rental                        ,725.58,18593
MODGPC18593,07-Dec-11,Training and Educational           , SCHOOLS - DEFAULT,701.77,18593
MODGPC18594,14-Nov-11,Auto Rental                        ,Auto Rental                        ,"1,092.00",18594
MODGPC18594,07-Dec-11,Print and Advertising              , ADVERTISING SERVICES,"2,187.00",18594
MODGPC18595,14-Nov-11,Auto Rental                        ,Auto Rental                        ,"1,129.30",18595
MODGPC18595,07-Dec-11,Leisure Activities                 , MEMBER CLUBS/SPORT/REC/GOLF,745.99,18595
MODGPC18596,15-Nov-11,Auto Rental                        ,Auto Rental                        ,"1,750.90",18596
MODGPC18596,09-Dec-11,General Retail and Wholesale       , HOUSEHOLD APPLIANCE STORES,739.98,18596
MODGPC18597,17-Nov-11,Auto Rental                        ,Auto Rental                        ,"1,129.30",18597
MODGPC18597,13-Dec-11,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,979.25,18597
MODGPC18598,01-Dec-11,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,"1,341.00",18598
MODGPC18598,14-Nov-11,"Vehicles, Servicing and Spares     ", CAR & TRUCK DEALERS/NEW/USED,"1,175.88",18598
MODGPC18599,02-Dec-11,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,"1,120.34",18599
MODGPC18599,15-Nov-11,"Vehicles, Servicing and Spares     ", CAR & TRUCK DEALERS/NEW/USED,912.96,18599
MODGPC18600,17-Nov-11,Auto Rental                        ,Auto Rental                        ,"1,119.69",18600
MODGPC18600,08-Dec-11,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"4,904.48",18600
MODGPC18601,17-Nov-11,Auto Rental                        ,Auto Rental                        ,"1,639.89",18601
MODGPC18601,08-Dec-11,General Retail and Wholesale       , COMBINATION CATALOG & RETAIL,"1,072.90",18601
MODGPC18602,17-Nov-11,Auto Rental                        ,Auto Rental                        ,702.62,18602
MODGPC18602,08-Dec-11,General Retail and Wholesale       , COMBINATION CATALOG & RETAIL,"1,609.34",18602
MODGPC18603,17-Nov-11,Auto Rental                        ,Auto Rental                        ,791.95,18603
MODGPC18603,13-Dec-11,Medical Supplies and Services      , MED/HEALTH SERVICES - DEF,877.74,18603
MODGPC18604,17-Nov-11,Auto Rental                        ,Auto Rental                        ,"1,245.45",18604
MODGPC18604,02-Dec-11,"Vehicles, Servicing and Spares     ", AUTO SERVICE SHOPS/NON DEALER,631.14,18604
MODGPC18605,17-Nov-11,Auto Rental                        ,Auto Rental                        ,"1,583.90",18605
MODGPC18605,08-Dec-11,Catering and Catering Supplies     , CATERERS,"3,029.40",18605
MODGPC18606,12-Dec-11,Auto Rental                        ,Auto Rental                        ,556.3,18606
MODGPC18606,17-Nov-11,Auto Rental                        ,Auto Rental                        ,"1,710.50",18606
MODGPC18607,18-Nov-11,Auto Rental                        ,Auto Rental                        ,783.94,18607
MODGPC18607,13-Dec-11,Statutory Bodies                   , GOV'T SERV - DEFAULT,"1,080.00",18607
MODGPC18608,18-Nov-11,Auto Rental                        ,Auto Rental                        ,"1,583.90",18608
MODGPC18608,13-Dec-11,Statutory Bodies                   , GOV'T SERV - DEFAULT,"1,080.00",18608
MODGPC18609,25-Nov-11,Auto Rental                        ,Auto Rental                        ,"1,065.84",18609
MODGPC18609,05-Dec-11,Restaurants and Bars               ," HOTELS, RESTAURANTS AND BARS","3,400.00",18609
MODGPC18610,13-Dec-11,Restaurants and Bars               ," HOTELS, RESTAURANTS AND BARS","3,400.00",18610
MODGPC18610,25-Nov-11,"Vehicles, Servicing and Spares     ", CAR & TRUCK DEALERS/NEW/USED,784.44,18610
MODGPC18611,06-Dec-11,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"1,160.00",18611
MODGPC18612,06-Dec-11,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,736.8,18612
MODGPC18613,02-Dec-11,General Retail and Wholesale       , PET STORES/FOOD & SUPPLY,"1,968.99",18613
MODGPC18614,08-Dec-11,Miscellaneous Industrial/Commercial, TOOL HIRE,"1,200.00",18614
MODGPC18615,01-Dec-11,General Retail and Wholesale       , MISC SPECIALTY RETAIL,850.8,18615
MODGPC18616,01-Dec-11,Medical Supplies and Services      , MED/HEALTH SERVICES - DEF,"1,416.00",18616
MODGPC18617,05-Dec-11,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,663.06,18617
MODGPC18618,06-Dec-11,General Retail and Wholesale       , MEN/BOYS CLOTHING/ACC STORES,674.4,18618
MODGPC18619,07-Dec-11,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,910,18619
MODGPC18620,13-Dec-11,Print and Advertising              , MISC PUBLISHING & PRINTING,"8,700.00",18620
MODGPC18621,13-Dec-11,Miscellaneous Industrial/Commercial, NON-DURABLE GOODS - DEFAULT,"1,699.37",18621
MODGPC18622,02-Dec-11,General Retail and Wholesale       , SPORTS/RIDING APPAREL STORES,"1,063.65",18622
MODGPC18623,06-Dec-11,General Retail and Wholesale       , ELECTRONICS STORES,"1,584.00",18623
MODGPC18624,07-Dec-11,Mail Order / Direct Selling        , OTHER DIRECT MARKETERS,531.2,18624
MODGPC18625,09-Dec-11,Mail Order / Direct Selling        , OTHER DIRECT MARKETERS,584.32,18625
MODGPC18626,08-Dec-11,Training and Educational           , SCHOOLS - DEFAULT,"1,158.00",18626
MODGPC18627,06-Dec-11,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,"1,764.47",18627
MODGPC18628,06-Dec-11,Catering and Catering Supplies     , CATERERS,639.98,18628
MODGPC18629,06-Dec-11,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,579,18629
MODGPC18630,08-Dec-11,Mail Order / Direct Selling        , CATALOG MERCHANT,"4,958.47",18630
MODGPC18631,08-Dec-11,Mail Order / Direct Selling        , CATALOG MERCHANT,"4,822.65",18631
MODGPC18632,08-Dec-11,Mail Order / Direct Selling        , CATALOG MERCHANT,"4,689.66",18632
MODGPC18633,08-Dec-11,Mail Order / Direct Selling        , CATALOG MERCHANT,"4,985.78",18633
MODGPC18634,08-Dec-11,Mail Order / Direct Selling        , CATALOG MERCHANT,"4,997.48",18634
MODGPC18635,06-Dec-11,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,528,18635
MODGPC18636,07-Dec-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,831.73,18636
MODGPC18637,07-Dec-11,Print and Advertising              , MISC PUBLISHING & PRINTING,"1,868.38",18637
MODGPC18638,12-Dec-11,Professional Services              , MGMT/CONSULT/PUBLIC REL SER,"3,145.50",18638
MODGPC18639,09-Dec-11,"Vehicles, Servicing and Spares     ", CAR & TRUCK DEALERS/NEW/USED,732.56,18639
MODGPC18640,05-Dec-11,"Vehicles, Servicing and Spares     ", AUTO SERVICE SHOPS/NON DEALER,"2,431.62",18640
MODGPC18641,01-Dec-11,Miscellaneous Industrial/Commercial, TOOL HIRE,"4,968.00",18641
MODGPC18642,07-Dec-11,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,"3,648.00",18642
MODGPC18643,02-Dec-11,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,696,18643
MODGPC18644,06-Dec-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,587.46,18644
MODGPC18645,05-Dec-11,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,556.92,18645
MODGPC18646,07-Dec-11,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,569.57,18646
MODGPC18647,12-Dec-11,Professional Services              , MISC PERSONAL SERV - DEF,727.14,18647
MODGPC18648,08-Dec-11,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,"3,773.18",18648
MODGPC18649,08-Dec-11,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,"1,304.45",18649
MODGPC18650,09-Dec-11,Restaurants and Bars               , BARS/TAVERNS/LOUNGES/DISCOS,"1,220.00",18650
MODGPC18651,07-Dec-11,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,632.02,18651
MODGPC18652,07-Dec-11,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,532.39,18652
MODGPC18653,06-Dec-11,"Vehicles, Servicing and Spares     ", MOTOR VEHICLE SUPPLY/NEW PARTS,531.54,18653
MODGPC18654,08-Dec-11,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,"1,207.34",18654
MODGPC18655,13-Dec-11,Professional Services              , PROFESSIONAL SERVICES - DEF,702,18655
MODGPC18656,06-Dec-11,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,960.02,18656
MODGPC18657,06-Dec-11,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,"1,134.08",18657
MODGPC18658,07-Dec-11,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,"1,964.03",18658
MODGPC18659,06-Dec-11,Utilities and Non Automotive Fuel  , FUEL DEALERS,772.99,18659
MODGPC18660,07-Dec-11,Utilities and Non Automotive Fuel  , FUEL DEALERS,863.36,18660
MODGPC18661,08-Dec-11,Utilities and Non Automotive Fuel  , FUEL DEALERS,936.11,18661
MODGPC18662,09-Dec-11,Utilities and Non Automotive Fuel  , FUEL DEALERS,931.71,18662
MODGPC18663,12-Dec-11,Utilities and Non Automotive Fuel  , FUEL DEALERS,643.67,18663
MODGPC18664,08-Dec-11,Mail Order / Direct Selling        , CATALOG MERCHANT,511.8,18664
MODGPC18665,06-Dec-11,Utilities and Non Automotive Fuel  , FUEL DEALERS,"1,976.46",18665
MODGPC18666,06-Dec-11,Utilities and Non Automotive Fuel  , FUEL DEALERS,"1,225.00",18666
MODGPC18667,06-Dec-11,Utilities and Non Automotive Fuel  , FUEL DEALERS,"2,002.77",18667
MODGPC18668,08-Dec-11,Medical Supplies and Services      , OPTICIANS,985.52,18668
MODGPC18669,09-Dec-11,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"7,336.80",18669
