Department;Family,Entity,Date,Expense;Type,Expense;Area,Supplier,Transaction;Number,Amount,Supplier;Type,Expenditure;Type;;;;;
DCLG,The;Planning;Inspectorate,02/02/2012,Specialist;Contractors,Human;Resources,CAPITA;"RESOURCING,WN70106869,""2,992.26"",Large,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,02/02/2012,Specialist;Contractors,NSI;Fees,THE;TYLER;PARKS;"PARTNERSHIP,10020A,""2,587.20"",Micro,Running";cost;;;
DCLG,The;Planning;Inspectorate,02/02/2012,Specialist;Contractors,Human;Resources,CAPITA;"RESOURCING,WN70106313,""2,393.81"",Large,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,02/02/2012,Office;Consumables,Admin;"Support,XMA,R118216,""2,050.56"",Undefined,Running";cost;;;;;;
DCLG,The;Planning;Inspectorate,02/02/2012,Specialist;Contractors,IS;Projects,CAPITA;"RESOURCING,WN70106870,""1,976.83"",Large,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,02/02/2012,Post;&;Courier,Estates,ROYAL;"MAIL,9037314130,""1,735.94"",Large,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,02/02/2012,Post;&;Courier,Estates,CITY;LINK;"BRISTOL,60912818,""1,517.75"",Large,Running";cost;;;;
DCLG,The;Planning;Inspectorate,02/02/2012,Specialist;Contractors,NSI;Fees,JULIE;"GERMAN,201177,""1,064.00"",Micro,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,02/02/2012,Specialist;Contractors,NSI;Fees,ALISON;ROLAND;TOWN;PLANNERS;LTD,2012/07,987.48,Micro,Running;cost;;
DCLG,The;Planning;Inspectorate,02/02/2012,Specialist;Contractors,NSI;Fees,W;D;M;PLANNING;LTD,339/P,952.00,Micro,Running;cost;;
DCLG,The;Planning;Inspectorate,02/02/2012,Specialist;Contractors,NSI;Fees,W;D;M;PLANNING;LTD,341/P,840.00,Micro,Running;cost;;
DCLG,The;Planning;Inspectorate,03/02/2012,Systems;Delivery,Information;Services,NORTHGATE;ARINSO;UK;"LTD,I2127775,""21,973.03"",Large,Running";cost;;;
DCLG,The;Planning;Inspectorate,03/02/2012,Electricity,Estates,EDF;"ENERGY,113,""11,134.33"",Large,Running";cost;;;;;;;
DCLG,The;Planning;Inspectorate,03/02/2012,Records;Storage,Admin;Support,IRON;"MOUNTAIN,Y214492-Y214495,""1,073.15"",Large,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,06/02/2012,Legal;Services,Quality;Assurance;Unit,TREASURY;SOLICITOR;(FINANCE;"BR,116395,""64,498.93"",Public";Sector,Running;cost;
DCLG,The;Planning;Inspectorate,06/02/2012,Systems;Delivery,Information;Services,SWITCH;COMMUNICATIONS;"LIMITED,75643,""7,773.08"",Small,Running";cost;;;;
DCLG,The;Planning;Inspectorate,06/02/2012,Specialist;Contractors,NSI;Fees,JOHN;L;B;GREENWOOD,PINS;"12a,""1,344.00"",Micro,Running";cost;;
DCLG,The;Planning;Inspectorate,06/02/2012,Specialist;Contractors,Tree;Preservation;Orders,P;G;"BIDDLE,2012/7,""1,232.00"",Micro,Running";cost;;;
DCLG,The;Planning;Inspectorate,06/02/2012,Legal;Services,Quality;Assurance;Unit,TREASURY;SOLICITOR;(FINANCE;BR,116395,988.80,Public;Sector,Running;cost;
DCLG,The;Planning;Inspectorate,06/02/2012,Office;Supplies,Admin;Support,BANNER;BUSINESS;SUPPLIES;LTD,A-24178548,650.30,Large,Running;cost;;;
DCLG,The;Planning;Inspectorate,07/02/2012,Specialist;Contractors,Human;Resources,CAPITA;"RESOURCING,WN70108540,""2,992.26"",Large,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,07/02/2012,Specialist;Contractors,NSI;Fees,CHRISTOPHER;"GETHIN,PINS12-201,""2,604.00"",Micro,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,07/02/2012,Specialist;Contractors,NSI;Fees,CATALYS;"CONSULTING,CC12/1,""1,999.20"",Micro,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,07/02/2012,Specialist;Contractors,IS;Projects,CAPITA;"RESOURCING,WN70108541,""1,945.94"",Large,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,07/02/2012,Specialist;Contractors,Tree;Preservation;Orders,ALDERWOOD;CONSULTING;"LTD,12008,""1,626.24"",Micro,Running";cost;;;
DCLG,The;Planning;Inspectorate,07/02/2012,Specialist;Contractors,NSI;Fees,CAMBRIDGE;HOUSING;&;ENVIRONMENTAL;"CONSULTANTS,12/03,""1,478.40"",Micro,Running";cost;;
DCLG,The;Planning;Inspectorate,07/02/2012,Specialist;Contractors,NSI;Fees,TOWN;PLANNING;CONSULTANCY;"SERVICES,027,""1,330.00"",Micro,Running";cost;;;
DCLG,The;Planning;Inspectorate,07/02/2012,Specialist;Contractors,NSI;Fees,GARY;DEANE;"ASSOCIATES,030212,""1,108.80"",Micro,Running";cost;;;;
DCLG,The;Planning;Inspectorate,07/02/2012,Legal;Services,Director;Wales,TREASURY;SOLICITOR;(FINANCE;BR,116357,907.80,Public;Sector,Running;cost;;
DCLG,The;Planning;Inspectorate,07/02/2012,Specialist;Contractors,NSI;Fees,E;C;PLANNING;&;CONSERVATION;LTD,38,784.00,Micro,Running;cost;
DCLG,The;Planning;Inspectorate,08/02/2012,Systems;Delivery,Information;Services,INPHASE;SOFTWARE;(UK);"LTD,INPUK3142,""11,130.00"",Undefined,Running";cost;;;
DCLG,The;Planning;Inspectorate,08/02/2012,Specialist;Contractors,Tree;Preservation;"Orders,SYMBIOSIS,4252,""1,626.24"",Micro,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,09/02/2012,Specialist;Contractors,NSI;Fees,FITZSIMON;PLANNING;&;"DEVELOPMENT,PINS/12/005,""4,972.80"",Micro,Running";cost;;;
DCLG,The;Planning;Inspectorate,09/02/2012,Post;&;Courier,Estates,ROYAL;"MAIL,9037398296,""1,673.99"",Large,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,09/02/2012,Specialist;Contractors,NSI;Fees,MARTIN;"CHAMPION,257,""1,666.00"",Micro,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,09/02/2012,Specialist;Contractors,NSI;Fees,DESIGN;"2,PDW/JD/03.100/191,""1,478.40"",Micro,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,09/02/2012,Specialist;Contractors,NSI;Fees,IMCH;PLANNING;&;DEVELOPMENT;"CONSULTANCY,02/02,""1,276.80"",Micro,Running";cost;;
DCLG,The;Planning;Inspectorate,09/02/2012,Specialist;Contractors,NSI;Fees,GRESTY;LAND;AGENCY;"LTD,193,""1,120.00"",Micro,Running";cost;;;
DCLG,The;Planning;Inspectorate,09/02/2012,Specialist;Contractors,NSI;Fees,CAMBRIDGE;PLANNING;SERVICES,12,952.00,Micro,Running;cost;;;;
DCLG,The;Planning;Inspectorate,09/02/2012,Specialist;Contractors,NSI;Fees,GRESTY;LAND;AGENCY;LTD,194,840.00,Micro,Running;cost;;;
DCLG,The;Planning;Inspectorate,09/02/2012,Specialist;Contractors,NSI;Fees,NICK;TAYLOR;PLANNING;&;REGENERATION;LTD,004-12,714.00,Micro,Running;cost;
DCLG,The;Planning;Inspectorate,09/02/2012,Office;Supplies,Admin;Support,BANNER;BUSINESS;SUPPLIES;LTD,A-24201795,697.46,Large,Running;cost;;;
DCLG,The;Planning;Inspectorate,10/02/2012,Managed;/;Outsourced;Services,IS;Projects,SYNETRIX;"LTD,INV23340,""82,579.00"",Large,Running";cost;;;
DCLG,The;Planning;Inspectorate,10/02/2012,Managed;/;Outsourced;Services,IS;Projects,SYNETRIX;"LTD,INV23341,""66,063.00"",Large,Running";cost;;;
DCLG,The;Planning;Inspectorate,10/02/2012,Commercial;Services,Business;Planning;&;Finance,BARCLAYCARD;BUSINESS,471532;6490;"57916,""8,711.13"",Large,Running";cost;
DCLG,The;Planning;Inspectorate,10/02/2012,Specialist;Contractors,NSI;Fees,GRAHAM;"SNOWDON,56,""1,484.00"",Micro,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,10/02/2012,Post;&;Courier,Estates,CITY;LINK;"BRISTOL,60922186,""1,426.87"",Large,Running";cost;;;;
DCLG,The;Planning;Inspectorate,10/02/2012,Specialist;Contractors,NSI;Fees,BARRETT;CONSERVATION;&;"PLANNING,PINS/RMB/120109,""1,142.40"",Micro,Running";cost;;;
DCLG,The;Planning;Inspectorate,10/02/2012,Specialist;Contractors,NSI;Fees,GRAHAM;M;"GARNHAM,67,""1,120.00"",Micro,Running";cost;;;;
DCLG,The;Planning;Inspectorate,10/02/2012,Interpretation;&;Translation;Services,Director;"Wales,TROSOL,19151,""1,029.48"",Small,Running";cost;;;;
DCLG,The;Planning;Inspectorate,13/02/2012,Specialist;Contractors,NSI;Fees,JOHN;G;"MILLARD,PINS/1202,""2,184.00"",Micro,Running";cost;;;;
DCLG,The;Planning;Inspectorate,13/02/2012,Specialist;Contractors,NSI;Fees,CROWLINK;CONSULTANCY;"LTD,2011/4,""1,904.00"",Micro,Running";cost;;;;
DCLG,The;Planning;Inspectorate,13/02/2012,Specialist;Contractors,NSI;Fees,JACQUES;"PARTNERSHIP,1830,""1,780.80"",Micro,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,13/02/2012,Specialist;Contractors,NSI;Fees,CHRIS;THOMAS;"PLANNING,055,""1,568.00"",Micro,Running";cost;;;;
DCLG,The;Planning;Inspectorate,13/02/2012,Office;Consumables,Admin;Support,XMA,R162102,873.12,Undefined,Running;cost;;;;;;
DCLG,The;Planning;Inspectorate,14/02/2012,Specialist;Contractors,Human;Resources,CAPITA;"RESOURCING,WN70109184,""2,992.26"",Large,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,14/02/2012,Gas,Estates,CORONA;"ENERGY,06924546,""2,404.72"",Large,Running";cost;;;;;;;
DCLG,The;Planning;Inspectorate,14/02/2012,Specialist;Contractors,IS;Projects,CAPITA;"RESOURCING,WN70109185,""1,961.39"",Large,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,14/02/2012,Specialist;Contractors,NSI;Fees,JIM;"METCALF,PINS/44,""1,456.00"",Micro,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,14/02/2012,Specialist;Contractors,NSI;Fees,GARY;DEANE;"ASSOCIATES,140212,""1,344.00"",Micro,Running";cost;;;;
DCLG,The;Planning;Inspectorate,15/02/2012,Specialist;Contractors,NSI;Fees,MATTOCKS,PINS;"5,""4,928.00"",Micro,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,15/02/2012,Specialist;Contractors,Tree;Preservation;Orders,A;C;S;"CONSULTING,1779,""1,626.24"",Micro,Running";cost;;
DCLG,The;Planning;Inspectorate,15/02/2012,Specialist;Contractors,NSI;Fees,MUSTON;"PLANNING,490,""1,444.80"",Micro,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,15/02/2012,Specialist;Contractors,NSI;Fees,DAVID;"HAINSWORTH,65,""1,075.20"",Micro,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,15/02/2012,Specialist;Contractors,NSI;Fees,H;J;L;PLANNING,PI/054/February;12(1),840.00,Micro,Running;cost;;
DCLG,The;Planning;Inspectorate,16/02/2012,Building;Management,Estates,TAYLOR;WOODROW;"CONSTRUCTION,12020715,""3,133.71"",Large,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,16/02/2012,Specialist;Contractors,NSI;Fees,JOHN;"BENTLEY,5,""2,254.00"",Micro,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,16/02/2012,Post;&;Courier,Estates,CITY;LINK;"BRISTOL,60931495,""2,015.32"",Large,Running";cost;;;;
DCLG,The;Planning;Inspectorate,16/02/2012,Post;&;Courier,Estates,ROYAL;"MAIL,9037488929,""1,270.60"",Large,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,17/02/2012,Specialist;Contractors,NSI;Fees,ROGER;"DEAN,RGD/P/Feb/12,""1,120.00"",Micro,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,17/02/2012,Office;Supplies,Admin;Support,BANNER;BUSINESS;SUPPLIES;LTD,A-24245640,650.30,Large,Running;cost;;;
DCLG,The;Planning;Inspectorate,20/02/2012,Specialist;Contractors,NSI;Fees,SIMON;"PRYCE,11/144m/1,""1,478.40"",Micro,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,20/02/2012,Specialist;Contractors,NSI;Fees,DGW;"PLANNING,90056,""1,142.40"",Micro,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,21/02/2012,Building;Management,Estates,TAYLOR;WOODROW;"CONSTRUCTION,12020723,""43,360.32"",Large,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,21/02/2012,Building;Management,Estates,TAYLOR;WOODROW;"CONSTRUCTION,12020723,""6,292.92"",Large,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,21/02/2012,Pension;Services,Human;Resources,DEPARTMENT;FOR;WORK;&;"PENSIONS,2893915,""4,480.00"",Public";Sector,Running;cost;
DCLG,The;Planning;Inspectorate,21/02/2012,Building;Management,Estates,TAYLOR;WOODROW;"CONSTRUCTION,12020723,""3,971.01"",Large,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,21/02/2012,Telecoms,Admin;Support,VODAFONE;-0;CORPORATE;"LTD,62339302,""1,958.10"",Large,Running";cost;;;;
DCLG,The;Planning;Inspectorate,21/02/2012,Specialist;Contractors,IS;Projects,CAPITA;"RESOURCING,WN70109707,""1,930.50"",Large,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,21/02/2012,Specialist;Contractors,NSI;Fees,KEITH;"RUSHFORTH,3168,""1,774.08"",Micro,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,21/02/2012,Specialist;Contractors,NSI;Fees,E;C;PLANNING;&;CONSERVATION;LTD,00039,714.00,Micro,Running;cost;
DCLG,The;Planning;Inspectorate,22/02/2012,Specialist;Contractors,NSI;Fees,CLIVE;"TOKLEY,79/2012,""2,464.00"",Micro,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,22/02/2012,Staff;Training;&;Development,Information;Services,COMPUTER;"WORLD,3008681,""2,445.00"",Small,Running";cost;;;
DCLG,The;Planning;Inspectorate,22/02/2012,Specialist;Contractors,NSI;Fees,IMCH;PLANNING;&;DEVELOPMENT;"CONSULTANCY,04/02,""1,747.20"",Micro,Running";cost;;
DCLG,The;Planning;Inspectorate,22/02/2012,Specialist;Contractors,NSI;Fees,W;S;C;WADRUP;INDEPENDENT;CONSULTANT;"LTD,246,""1,142.40"",Micro,Running";cost
DCLG,The;Planning;Inspectorate,22/02/2012,Specialist;Contractors,NSI;Fees,WRIGHT;PLANNING,4,773.50,Micro,Running;cost;;;;;
DCLG,The;Planning;Inspectorate,23/02/2012,Specialist;Contractors,NSI;Fees,THE;TYLER;PARKS;"PARTNERSHIP,10063a,""1,478.40"",Micro,Running";cost;;;
DCLG,The;Planning;Inspectorate,23/02/2012,Specialist;Contractors,NSI;Fees,CHRISTOPHER;"GETHIN,PINS12-202,""1,276.80"",Micro,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,23/02/2012,Post;&;Courier,Estates,ROYAL;"MAIL,9037584436,""1,211.86"",Large,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,23/02/2012,Advertising,Rights;Of;Way,PENNA;PLC,428113,717.36,Large,Running;cost;;;;;
DCLG,The;Planning;Inspectorate,24/02/2012,Specialist;Contractors,Human;Resources,CAPITA;"RESOURCING,WN70107924,""2,992.26"",Large,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,24/02/2012,Print,Admin;Support,TAURUS;PRINT;&;DESIGN;"LIMITED,22789,""2,093.04"",Small,Running";cost;;;
DCLG,The;Planning;Inspectorate,24/02/2012,Specialist;Contractors,IS;Projects,CAPITA;"RESOURCING,WN70107925,""1,803.08"",Large,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,24/02/2012,Print,Admin;Support,TAURUS;PRINT;&;DESIGN;"LIMITED,22789,""1,175.63"",Small,Running";cost;;;
DCLG,The;Planning;Inspectorate,24/02/2012,Specialist;Contractors,NSI;Fees,PHILIPPA;"JARVIS,377,""1,008.00"",Micro,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,24/02/2012,Specialist;Contractors,NSI;Fees,MANSELL;JAGGER,48,980.00,Micro,Running;cost;;;;;
DCLG,The;Planning;Inspectorate,24/02/2012,Specialist;Contractors,NSI;Fees,W;D;M;PLANNING;LTD,342/P,980.00,Micro,Running;cost;;
DCLG,The;Planning;Inspectorate,24/02/2012,Specialist;Contractors,NSI;Fees,CAMBRIDGE;PLANNING;SERVICES,13,952.00,Micro,Running;cost;;;;
DCLG,The;Planning;Inspectorate,24/02/2012,Specialist;Contractors,NSI;Fees,BROOKES;ASSOCIATES,PINS2/12,840.00,Micro,Running;cost;;;;;
DCLG,The;Planning;Inspectorate,24/02/2012,Specialist;Contractors,NSI;Fees,W;D;M;PLANNING;LTD,343/P,840.00,Micro,Running;cost;;
DCLG,The;Planning;Inspectorate,24/02/2012,Specialist;Contractors,NSI;Fees,W;D;M;PLANNING;LTD,344/P,840.00,Micro,Running;cost;;
DCLG,The;Planning;Inspectorate,27/02/2012,Learning;&;Development;Materials,Library;&;Decision;Letter;Library,THOMSON;"REUTERS,801540209,""21,414.00"",Large,Running";cost
DCLG,The;Planning;Inspectorate,27/02/2012,Post;&;Courier,Estates,CITY;LINK;"BRISTOL,60940898,""1,961.16"",Large,Running";cost;;;;
DCLG,The;Planning;Inspectorate,27/02/2012,Specialist;Contractors,NSI;Fees,ALAN;J;ENGLEY;&;"ASSOCIATES,509,""1,774.08"",Micro,Running";cost;;
DCLG,The;Planning;Inspectorate,27/02/2012,Specialist;Contractors,NSI;Fees,THE;STEP;CONSULTANCY;"LTD,1276,""1,344.00"",Micro,Running";cost;;;
DCLG,The;Planning;Inspectorate,27/02/2012,Specialist;Contractors,NSI;Fees,WILLIAM;"FIELDHOUSE,WF/NSI/2011-6,""1,316.00"",Micro,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,27/02/2012,Specialist;Contractors,NSI;Fees,DGW;"PLANNING,90057,""1,142.40"",Micro,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,27/02/2012,Specialist;Contractors,NSI;Fees,SCOTTS;PLANNING;SERVICES,11-12(I),952.00,Micro,Running;cost;;;;
DCLG,The;Planning;Inspectorate,28/02/2012,Specialist;Contractors,NSI;Fees,BRIAN;G;CRANE;&;"ASSOCIATES,650,""2,165.28"",Micro,Running";cost;;
DCLG,The;Planning;Inspectorate,28/02/2012,Specialist;Contractors,NSI;"Fees,SYMBIOSIS,4295,""2,143.68"",Micro,Running";cost;;;;;;
DCLG,The;Planning;Inspectorate,28/02/2012,Specialist;Contractors,IS;Projects,CAPITA;"RESOURCING,WN70110893,""1,938.23"",Large,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,28/02/2012,Specialist;Contractors,NSI;Fees,GARY;DEANE;"ASSOCIATES,280212,""1,680.00"",Micro,Running";cost;;;;
DCLG,The;Planning;Inspectorate,28/02/2012,Specialist;Contractors,NSI;Fees,EVANS;PLANNING;&;DEVELOPMENT;"CONSULTANCY,002307,""1,344.00"",Micro,Running";cost;;
,,,,,,,,,;;;;;;;;;;;
,,,,,,,,,;;;;;;;;;;;
,,,,,,,,,;;;;;;;;;;;
,,,,,,,,,;;;;;;;;;;;
,,,,,,,,,;;;;;;;;;;;
,,,,,,,,,;;;;;;;;;;;
,,,,,,,,,;;;;;;;;;;;
,,,,,,,,,;;;;;;;;;;;
,,,,,,,,,;;;;;;;;;;;
,,,,,,;;;;;;;;;;;
,,,,,,;;;;;;;;;;;
,,,,,,;;;;;;;;;;;
,,,,,,;;;;;;;;;;;
,,,,,,;;;;;;;;;;;
,,,,,,;;;;;;;;;;;
,,,,,,;;;;;;;;;;;
,,,,,,;;;;;;;;;;;
,,,,,,;;;;;;;;;;;
,,,,,,;;;;;;;;;;;
,,,,,,;;;;;;;;;;;
,,,,,,;;;;;;;;;;;
,,,,,,;;;;;;;;;;;
,,,,,,;;;;;;;;;;;
,,,,,,;;;;;;;;;;;
,,,,,,;;;;;;;;;;;
,,,,,,;;;;;;;;;;;
,,,,,,;;;;;;;;;;;
,,,,,,;;;;;;;;;;;
,,,,,,;;;;;;;;;;;
,,,,,,;;;;;;;;;;;
,,,,,,;;;;;;;;;;;
,,,,,,;;;;;;;;;;;
,,,,,,;;;;;;;;;;;
,,,,,,;;;;;;;;;;;
,,,,,,;;;;;;;;;;;
,,,,,,;;;;;;;;;;;
,,,,,,;;;;;;;;;;;
,,,,,,;;;;;;;;;;;
,,,,,,;;;;;;;;;;;
