Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount In Sterling
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,M J FERGUSON LTD,993785,-2632.3615
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,995564,8084
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Research & Development Expenditure (Programme),SCIENCE & RESEARCH GROUP - UK Space Agency,OXFORD ECONOMICS LTD,995529,18667
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Outsourced Technical Support (Programme),SCIENCE & RESEARCH GROUP - UK Space Agency,ASTRIUM LTD,989227,-31500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Outsourced Technical Support (Programme),SCIENCE & RESEARCH GROUP - UK Space Agency,ASTRIUM LTD,988887,31500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Grants - Non Statutory - Current - Other,Universities and Skills Group - Learners,FAMILY ACTION,995495,10000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",CHRISTOPHER BADGER,995452,3750.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",CHRISTOPHER BADGER,995453,3767.05
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Communications Directorate",OFFICE ANGELS LTD,995588,-1961.93275
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,995447,645.216
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Communications Directorate",OFFICE ANGELS LTD,995396,3923.85375
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Rail Fares,Finance & Commercial Group - Information and Workplace Strategies,"Personal Expense, Name Witheld",10269227,784.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Hotels Overseas,SCIENCE & RESEARCH GROUP - RESEARCH BASE,"Personal Expense, Name Witheld",10269181,1077.62
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,External Training,Strategy Group - Strategy Directorate,"Personal Expense, Name Witheld",10269182,825
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Hire of Agency Staff (Professional/Management),Universities and Skills Group - USG Admin,Reed Personnel Services Ltd,995474,852.9325
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Hire of Agency Staff (Clerical/Secretariat/Other),Finance & Commercial Group - Information and Workplace Strategies,TFPL LTD,995449,822.5705
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Hire of Agency Staff (Clerical/Secretariat/Other),Finance & Commercial Group - Information and Workplace Strategies,TFPL LTD,995450,1021.122
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,External Training,"Innovation, Enterprise & Better Regulation Executive - Innovation",THE LANCE EDYNBRY PARTNERSHIP,995446,1068
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Internal Training,GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,THE LANCE EDYNBRY PARTNERSHIP,995445,1068
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Stationery,"Legal, People & Communications Group - Legal",VIKING DIRECT LTD,995296,-171.86725
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Stationery,"Legal, People & Communications Group - Legal",VIKING DIRECT LTD,995296,-2.96
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,2E2 UK LTD,994756,8000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,ICT Training,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",ACKNOWLEDGE LTD,995376,6565
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Other Relocation Costs,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",CARTUS  LTD,995520,2705
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,InfoSource Desktop Information and Research Services,Finance & Commercial Group - Information and Workplace Strategies,COMPANIES HOUSE,995372,1306.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,ELAN COMPUTING LTD,995456,-1376.55
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,ELAN COMPUTING LTD,995456,1376.55
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,ELAN COMPUTING LTD,995456,1406.475
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,FCO/COI Dispatches,Finance & Commercial Group - Information and Workplace Strategies,FCO SERVICES,995134,3959.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Other Overseas T&S,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",FOREIGN AND COMMONWEALTH OFFICE (FCO),992954,1640.22
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Other Overseas T&S,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",FOREIGN AND COMMONWEALTH OFFICE (FCO),992956,1640.22
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Other Overseas T&S,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",FOREIGN AND COMMONWEALTH OFFICE (FCO),992957,1640.22
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Interdepartmental Dispatch Services,Finance & Commercial Group - Information and Workplace Strategies,GOVERNMENT CAR AND DESPATCH AGENCY,995572,545
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Interdepartmental Dispatch Services,Finance & Commercial Group - Information and Workplace Strategies,GOVERNMENT CAR AND DESPATCH AGENCY,995567,4299
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Interdepartmental Dispatch Services,Finance & Commercial Group - Information and Workplace Strategies,GOVERNMENT CAR AND DESPATCH AGENCY,995568,18774
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Technical Advice / Services & Support,Finance & Commercial Group - Information and Workplace Strategies,"KING STURGE & COMPANY CONSULTING LTD
",995476,28629
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Senior Civil Service Training,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",LEARNLAB LTD,995496,10728.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,ICT Maintenance & Upkeep (PFI),Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,995563,2802.375
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,995155,9870
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Other IT Costs (Programme),Fair Markets Group Summary - Europe Directorate,METHODS CONSULTING LTD,995167,14922.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Conference and Exhibition Services (Programme),"Business Group - Solutions for Business, Low Carbon & Services",FOREIGN AND COMMONWEALTH OFFICE (FCO),993035,609.26
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Conference and Exhibition Services (Programme),"Business Group - Solutions for Business, Low Carbon & Services",FOREIGN AND COMMONWEALTH OFFICE (FCO),993037,1343.99
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Conference and Exhibition Services (Programme),"Business Group - Solutions for Business, Low Carbon & Services",FOREIGN AND COMMONWEALTH OFFICE (FCO),992960,8845
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Printing (Programme),Business Group - Advanced Manufacturing Industries,PROMOTIONAL LOGISTICS LTD,995574,551.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Grants - Statutory - Current - Other,SCIENCE & RESEARCH GROUP - RESEARCH BASE,BRITISH SCIENCE ASSOCIATION,995448,127583
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Research & Development Expenditure (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,UNIVERSITY OF THE WEST OF ENGLAND,995120,5375
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Research & Development Expenditure (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,UNIVERSITY OF THE WEST OF ENGLAND,995120,10500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Research & Development Expenditure (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,UNIVERSITY OF THE WEST OF ENGLAND,995120,11850
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Grants - Statutory - Current - Other,SCIENCE & RESEARCH GROUP - RESEARCH BASE,BRADFORD COLLEGE,995492,244874.7
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,PIK - POTSDAM-INSTITUT FUR KLIMAFOLGENFORSCHUNG,995043,1529.6481
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,SUE HILL RECRUITMENT & SERVICES LTD,995443,4403.11275
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,UNIVERSITY OF CAMBRIDGE,995441,1000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Grants - Statutory - Current - Other,SCIENCE & RESEARCH GROUP - RESEARCH BASE,FOREIGN AND COMMONWEALTH OFFICE (FCO),992847,1316
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Hotels (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,FOREIGN AND COMMONWEALTH OFFICE (FCO),992803,1150
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Others UK T&S (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,FOREIGN AND COMMONWEALTH OFFICE (FCO),992803,500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Air Fares  - Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,FOREIGN AND COMMONWEALTH OFFICE (FCO),992911,524.49
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Air Fares  - Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,FOREIGN AND COMMONWEALTH OFFICE (FCO),992849,724.64
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Air Fares  - Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,FOREIGN AND COMMONWEALTH OFFICE (FCO),992848,886.76
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Air Fares  - Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,FOREIGN AND COMMONWEALTH OFFICE (FCO),992808,936.13
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Air Fares  - Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,FOREIGN AND COMMONWEALTH OFFICE (FCO),992903,1532.52
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Air Fares  - Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,FOREIGN AND COMMONWEALTH OFFICE (FCO),992913,1779.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Air Fares  - Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,FOREIGN AND COMMONWEALTH OFFICE (FCO),992839,1858
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Air Fares  - Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,FOREIGN AND COMMONWEALTH OFFICE (FCO),992803,2500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Air Fares  - Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,FOREIGN AND COMMONWEALTH OFFICE (FCO),992887,3171.43
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Air Fares  - Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,FOREIGN AND COMMONWEALTH OFFICE (FCO),992802,3750
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Air Fares  - Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,FOREIGN AND COMMONWEALTH OFFICE (FCO),992832,3900.54
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Air Fares  - Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,FOREIGN AND COMMONWEALTH OFFICE (FCO),992807,6500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Taxis- Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,FOREIGN AND COMMONWEALTH OFFICE (FCO),992837,973.24
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Hotels- Overseas  (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,FOREIGN AND COMMONWEALTH OFFICE (FCO),992896,-264.65
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Hotels- Overseas  (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,FOREIGN AND COMMONWEALTH OFFICE (FCO),992887,526.52
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Hotels- Overseas  (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,FOREIGN AND COMMONWEALTH OFFICE (FCO),992878,564.04
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Hotels- Overseas  (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,FOREIGN AND COMMONWEALTH OFFICE (FCO),992878,618.79
