Department family,Entity,Entered On,Expense Type,Expense Area,Supplier Name,Voucher,SumOfAmount
Communities And Local Government,Queen Elizabeth II Conference Centre,26/05/2010,Maintenance,Operations,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,11401,533.5
Communities And Local Government,Queen Elizabeth II Conference Centre,26/05/2010,Consultants,Administration,TICKETT ENTERPRISES LTD,11402,1155
Communities And Local Government,Queen Elizabeth II Conference Centre,27/05/2010,Cleaners & Porters,Event Management,GBM SERVICES LIMITED,11406,2459.54
Communities And Local Government,Queen Elizabeth II Conference Centre,27/05/2010,Disposal Of Waste,Operations,BYWATERS (LEYTON) LTD,11409,944.89
Communities And Local Government,Queen Elizabeth II Conference Centre,27/05/2010,Cost of Sales - Freelance Technicians,Interface,CHRIS BRAUN,11411,808
Communities And Local Government,Queen Elizabeth II Conference Centre,27/05/2010,IT Equipment Maintenance,ITC Department,INSIGHT DIRECT UK LTD,11415,838.38
Communities And Local Government,Queen Elizabeth II Conference Centre,27/05/2010,Cleaners & Porters,Event Management,GBM SERVICES LIMITED,11420,41519.79
Communities And Local Government,Queen Elizabeth II Conference Centre,27/05/2010,Cleaners & Porters,Event Management,GBM SERVICES LIMITED,11421,4398.25
Communities And Local Government,Queen Elizabeth II Conference Centre,28/05/2010,Maintenance,Operations,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,11424,56172.16
Communities And Local Government,Queen Elizabeth II Conference Centre,28/05/2010,Cost of Sales - Sets,Interface,THE KEW WORKSHOP COMPANY LTD,11430,587
Communities And Local Government,Queen Elizabeth II Conference Centre,28/05/2010,Cost of Sales - Freelance Technicians,Interface,THE KEW WORKSHOP COMPANY LTD,11430,600
Communities And Local Government,Queen Elizabeth II Conference Centre,28/05/2010,Maintenance,Interface,CLIP LTD,11431,530.04
Communities And Local Government,Queen Elizabeth II Conference Centre,28/05/2010,Marketing,Commercial,STANLEY PRODUCTIONS LTD,11434,480
Communities And Local Government,Queen Elizabeth II Conference Centre,28/05/2010,Marketing,Commercial,Leith's at the Centre,11435,775.15
Communities And Local Government,Queen Elizabeth II Conference Centre,28/05/2010,Security,Operations,"ISS Facility Services Ltd
T/A ISS Pegasus Security",11437,38495.99
Communities And Local Government,Queen Elizabeth II Conference Centre,28/05/2010,Business Rates,Administration,CITY OF WESTMINSTER,11438,48304
Communities And Local Government,Queen Elizabeth II Conference Centre,01/06/2010,Cost of Sales - Freelance Technicians,Interface,CHRISTOPHER SHEAD T/A Global Idea,11439,600
