Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount In Sterling
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2010,Capital Grants - Other,Business Group - Information Economy,ONE NORTH EAST,1000074,201102.13
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2010,Capital Grants - Other,Business Group - Information Economy,ONE NORTH EAST,1000074,724485.05
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/07/2010,Capital Grants - Other,Business Group - Information Economy,ONE NORTH EAST,1002993,1045019.83
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2010,Grants - Non Statutory - Current - Other,Business Group - Advanced Manufacturing Industries,YORKSHIRE FORWARD,1000682,614
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/07/2010,Grants - Non Statutory - Current - Other,Business Group - Advanced Manufacturing Industries,YORKSHIRE FORWARD,1000898,9922
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2010,Grants - Non Statutory - Current - Other,Business Group - Advanced Manufacturing Industries,YORKSHIRE FORWARD,1000682,31285
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/07/2010,Capital Grants - Other,Business Group - Life Sciences,STEVENAGE BIOSCIENCE PARK,1000391,248886
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2010,Grants - Non Statutory - Current - Other,Fair Markets Group Summary - Europe and World Trade Directorates,CITY OF LONDON POLICE,1000189,34822.55
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/07/2010,Economic Consultancy and Research,Fair Markets Group Summary - Employment Relations,DETICA LTD,1001648,703.13
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/07/2010,Grants - Statutory - Current - Other,Business Group - Advanced Manufacturing Industries,BROOK STREET (UK) LTD,1001206,503.6285
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/07/2010,Grants - Statutory - Current - Other,Business Group - Advanced Manufacturing Industries,BROOK STREET (UK) LTD,1002284,503.6285
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/07/2010,Purchase of  Advertising and Publicity (Programme),"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",ASIAN TRADE PUBLICATIONS LTD,1000836,1600
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/07/2010,Media and Design Services,"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",BELL DESIGN & COMMUNICATIONS LTD,1002729,3530
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/07/2010,Media and Design Services,"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",EMAP LTD,1001213,2278
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/07/2010,Media and Design Services,"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",ENERGY DATA SERVICES LTD T/A PRECISE,1002358,558.53
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/07/2010,Media and Design Services,"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",ENERGY DATA SERVICES LTD T/A PRECISE,1002363,1763.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/07/2010,Media and Design Services,"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",ENERGY DATA SERVICES LTD T/A PRECISE,1002361,3186.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/07/2010,Hospitality - UK (Programme),"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",FOREIGN AND COMMONWEALTH OFFICE (FCO),1002777,3745.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/07/2010,IT Services (Programme),"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",HM REVENUE & CUSTOMS,1001447,-52.17
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/07/2010,Grant in Aid - Current -Other,"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",LOCAL BETTER REGULATION OFFICE,1001365,-887740
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/07/2010,Grant in Aid - Current -Other,"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",LOCAL BETTER REGULATION OFFICE,1001365,-65232
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/07/2010,Grant in Aid - Current -Other,"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",LOCAL BETTER REGULATION OFFICE,1001365,65232
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/07/2010,Grant in Aid - Current -Other,"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",LOCAL BETTER REGULATION OFFICE,1001365,65232
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/07/2010,Grant in Aid - Current -Other,"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",LOCAL BETTER REGULATION OFFICE,1001365,887740
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/07/2010,Grant in Aid - Current -Other,"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",LOCAL BETTER REGULATION OFFICE,1001365,887740
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/07/2010,GPC New Procedures,Corporate Balance,BARCLAYS BANK PLC,1001315,13222.47
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/07/2010,GPC New Procedures,Finance & Commercial Group - Finance Group,BARCLAYS BANK PLC,1001318,39813.83
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/07/2010,GPC New Procedures,Finance & Commercial Group - Finance Group,BARCLAYS BANK PLC,1001316,115695.24
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/07/2010,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,BARCLAYS BANK PLC,1001314,89719.09
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/07/2010,Additions - Enterprise Equity Investments,"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",BERR EQUITY INVESTMENT PROGRAMMES (CAPITAL),1002667,433234
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,BROOK STREET (UK) LTD,1002039,703.5665
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/07/2010,Payment-Recovery of Overpayment re Exits,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",CABINET OFFICE,1001913,1410.99
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/07/2010,Payment-Recovery of Overpayment re Exits,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",CABINET OFFICE,1001915,1780.33
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/07/2010,Payment-Recovery of Overpayment re Exits,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",CABINET OFFICE,1002019,2294.62
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/07/2010,Payment-Recovery of Overpayment re Exits,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",CABINET OFFICE,1001912,3545.11
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/07/2010,Payment-Recovery of Overpayment re Exits,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",CABINET OFFICE,1001918,64396.21
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/07/2010,Payment-Recovery of Overpayment re Exits,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",CABINET OFFICE,1001920,475082.98
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/07/2010,Two-Way Match Accruals (MANUAL),"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",CABINET OFFICE,1001581,1040
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/07/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,CALL SYSTEMS TECHNOLOGY LTD T/A JTECH COMMUNICATIONS,1000284,1086.875
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/07/2010,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,CARLSON WAGONLIT TRAVEL UK LTD,1000319,-42971.75925
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/07/2010,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,CARLSON WAGONLIT TRAVEL UK LTD,1000319,519.87875
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2010,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,CARLSON WAGONLIT TRAVEL UK LTD,1001573,716.92625
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2010,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,CARLSON WAGONLIT TRAVEL UK LTD,1001573,24502.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/07/2010,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,CARLSON WAGONLIT TRAVEL UK LTD,1000319,35909.26
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/07/2010,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,CARLSON WAGONLIT TRAVEL UK LTD,1000319,42971.75925
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,COFELY LTD,1002880,2041.21
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/07/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,COMPUTACENTER plc,999081,923.5735
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/07/2010,Cash CFERs paid over to HMT,Corporate Balance,CONSOLIDATED FUND ACCOUNT 6622,1003144,95000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2010,Recoveries Account,Corporate Balance,DEPARTMENT FOR EDUCATION,1000193,1333332
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/07/2010,Sundry Debtors,Universities and Skills Group - Learners,DEPARTMENT FOR EMPLOYMENT AND LEARNING,1001981,8549.45
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/07/2010,Sundry Debtors,Universities and Skills Group - Learners,DEPARTMENT FOR EMPLOYMENT AND LEARNING,1000453,10002613.58
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/07/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,EC HARRIS LLP,1000905,-53227.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,EC HARRIS LLP,997610,5622.375
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/07/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,EC HARRIS LLP,1000927,5622.375
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,EC HARRIS LLP,997612,5875
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/07/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,EC HARRIS LLP,1000930,5875
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/07/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,EC HARRIS LLP,1000905,53227.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,EC HARRIS LLP,997611,54384.875
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/07/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,EC HARRIS LLP,1000905,54384.875
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/07/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,EV BULLEN & SON LTD,1000534,29137.65
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/07/2010,Payments to Expotel for Hotel Costs Contract,Finance & Commercial Group - Finance Group,EXPOTEL HOTEL RESERVATIONS LTD,1001266,4583.09925
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2010,Payments to Expotel for Hotel Costs Contract,Finance & Commercial Group - Finance Group,EXPOTEL HOTEL RESERVATIONS LTD,1000646,10939.87275
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2010,Payments to Expotel for Hotel Costs Contract,Finance & Commercial Group - Finance Group,EXPOTEL HOTEL RESERVATIONS LTD,1002834,11946.35425
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/07/2010,Payments to Expotel for Hotel Costs Contract,Finance & Commercial Group - Finance Group,EXPOTEL HOTEL RESERVATIONS LTD,1001992,23982.84275
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/07/2010,Payments to Expotel for Hotel Costs Contract,Finance & Commercial Group - Finance Group,EXPOTEL HOTEL RESERVATIONS LTD,1001113,26665.43825
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/07/2010,Payments to Expotel for Hotel Costs Contract,Finance & Commercial Group - Finance Group,EXPOTEL HOTEL RESERVATIONS LTD,999629,55726.7485
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1002011,-20853.0305
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1002010,-20853.0305
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1002011,-20853.0305
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1002554,2271.51
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/07/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1001774,3025.625
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1002010,8610.024
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1002010,12243.0065
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/07/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1002622,13269.61575
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1002818,15933.48175
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1002010,20853.0305
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/07/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1001901,-50
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/07/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1001901,1202
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/07/2010,Season Ticket and Bicycle Loans,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",HOME OFFICE,1002501,793.31
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/07/2010,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,INITIAL CATERING SERVICES LTD T/A AUTOGRAPH,1000598,656.355
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2010,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,INITIAL CATERING SERVICES LTD T/A AUTOGRAPH,1002909,1085.8175
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,INSIGHT DIRECT (UK) LTD,1002953,13359.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/07/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,ISS FACILITY SERVICES LTD T/A ISS PEGASUS SECURITY,1001174,2329.884
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/07/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,JOHN BRADSHAW & SON LTD T/A BCL,1001968,1372.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/07/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,JOHN LOVESEY & PAUL SPINDLER T/A JBA CHARTERED ENGINEERS,1001943,504.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,LOGICA UK LTD,1002864,12167.95925
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/07/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,LOGICA UK LTD,1002567,39155.7
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/07/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,LOGICA UK LTD,1002569,46987.075
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/07/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,MARTIN DAWES SOLUTIONS LTD,1001965,1086.875
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/07/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,METHODS CONSULTING LTD,1000798,9450
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/07/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,METHODS CONSULTING LTD,1000798,12337.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,METHODS CONSULTING LTD,1000690,18797.0625
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/07/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,METHODS CONSULTING LTD,1000815,23441.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/07/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,METHODS CONSULTING LTD,1001057,27759.375
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/07/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,MH ASSOCIATES LTD,1001969,1665.5625
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/07/2010,Sundry Debtors,Universities and Skills Group - Learners,NATIONAL ASSEMBLY FOR WALES,1000454,15137711.36
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/07/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,OFFICE PROJECTS LTD,1001937,1348.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/07/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,OFFICE PROJECTS LTD,1001938,3478.235
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/07/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,OFFICE PROJECTS LTD,1001946,3540.8625
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/07/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,OFFICE PROJECTS LTD,1001932,4146.058
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/07/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,OFFICE PROJECTS LTD,1001930,4189.4155
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/07/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,OFFICE PROJECTS LTD,1001931,4556.75575
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/07/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,OFFICE PROJECTS LTD,1001935,7275.63525
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/07/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,OFFICE PROJECTS LTD,1001942,9105.075
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/07/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,OFFICE PROJECTS LTD,1001927,673103.2385
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,1000709,15938.2875
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/07/2010,UK Advances,Corporate Balance,"Personal Expense, Name Witheld",10271738,-250
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/07/2010,UK Advances,Corporate Balance,"Personal Expense, Name Witheld",10271092,-165.77
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/07/2010,UK Advances,Corporate Balance,"Personal Expense, Name Witheld",10271624,-17.51
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/07/2010,Overseas Advances,Corporate Balance,"Personal Expense, Name Witheld",10271449,-1000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/07/2010,Detached Duty Advances,Corporate Balance,"Personal Expense, Name Witheld",10270962,670
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10271570,-54.11
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10271578,-48.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10271576,-45.99
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10271568,-38.92
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10271577,-37.72
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10271575,-37.43
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10271571,-37.28
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10271566,-33.55
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10271572,-31
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10271567,-30.92
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10271563,-28.68
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/07/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10271104,-25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10271574,-23.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10271569,-20.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10271564,-19.16
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10271573,-13.45
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10271580,-10
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10271579,-7.01
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/07/2010,Payments to Redfern for Rail Travel Contract,Finance & Commercial Group - Finance Group,REDFERN TRAVEL LTD,1000510,1410.11
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/07/2010,Payments to Redfern for Rail Travel Contract,Finance & Commercial Group - Finance Group,REDFERN TRAVEL LTD,1000513,9540.23
