Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Net Total
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/04/2011,Rail Fares,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277296,75.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/04/2011,Subsistence Payments,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277296,2.1
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/04/2011,Rail Fares,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277300,11.1
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/04/2011,Taxis Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277300,39.65
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/04/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277300,134.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/04/2011,Other Overseas Travel & Subsistence,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277300,10
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/04/2011,Rail Fares,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277315,2.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/04/2011,Other UK Travel & Subsistence,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277315,5.24
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/04/2011,Rail Fares Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277315,2.66
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/04/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277315,125.21
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/04/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277315,28.62
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021684,603.58
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Hotels (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021690,573.39
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021690,851.22
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021691,2837.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021691,603.58
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Hotels (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021693,460.17
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Subsistence Payments- Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021694,328.69
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Subsistence Payments- Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021695,460.17
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Hotels (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021696,262.95
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Subsistence Payments- Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021698,460.17
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Subsistence Payments- Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021700,394.43
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Hotels (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021701,10.77
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Subsistence Payments- Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021701,449.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021703,792.85
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021704,982.96
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Media and Design Services,Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021706,283.89
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Subsistence Payments- Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021708,409.94
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Subsistence Payments- Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021709,409.94
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Printing (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021712,110.86
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Entertaining Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021714,37.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Others UK Travel & Subsistence (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021715,19.94
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021718,2603.43
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Interpreters,Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021721,548.09
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Hotels (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021723,600
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021723,375.74
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021723,2800
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021725,53.63
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Translation Services (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021725,370
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021727,578.88
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Translation Services (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021727,700
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021728,146.72
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Entertaining Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021728,7.57
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Printing (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021728,392.43
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021730,6611.58
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021732,5348.15
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Rail Fares - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021733,3466.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021733,3900
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Subsistence Payments- Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021734,170
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Other Overseas Travel & Subsistence (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021734,227.47
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Entertaining Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021735,196.07
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021736,2442.96
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021737,434.36
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021738,970.34
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021739,2322.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Entertaining Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021741,476.34
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021743,201.39
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021744,1470.74
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Hotels (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021854,12.54
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021856,322.85
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Mileage Allowances - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021860,3363.62
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021866,5827.48
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Subsistence Payments- Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021866,15000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Hotels (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021867,48.43
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021869,489.26
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021871,28223.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Hotels (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021872,6.72
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021872,3012.35
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Subsistence Payments- Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021873,1038.83
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Hotels (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021881,56.69
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Hotels (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021882,256.46
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021884,472.76
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021885,406.81
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021888,557.52
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021889,669.03
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021892,104.36
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Entertaining Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021892,74.05
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021893,1152.21
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Entertaining Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021894,828.35
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Entertaining Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021896,929.54
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Printing (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021897,199.12
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Printing (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021898,33.51
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Printing (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021899,58.92
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021901,7898.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Taxis- Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021908,17.33
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021909,285.53
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021910,12.62
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Taxis- Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021911,4.42
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Taxis- Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021913,22.09
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Taxis- Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021914,5.05
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Taxis- Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021915,4.42
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Taxis- Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021917,10.73
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Taxis- Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021918,17.04
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Entertaining Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021919,10.22
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Entertaining Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021920,31.43
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Entertaining Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021921,2.08
