Post Date,Publishable label,Amount,Publishable label is provided by Bank and is industry standard.  May not however give true indication of purchase - additional comment provided as necessary
05/04/2011,Travel - Air/Rail/Road,£715.03,
05/04/2011,Travel - Air/Rail/Road,£988.02,
05/04/2011,Travel - Air/Rail/Road,£643.13,
05/04/2011,Travel - Air/Rail/Road,£734.13,
05/04/2011,Travel - Air/Rail/Road,£734.13,
05/04/2011,Travel - Air/Rail/Road,"£1,952.93",
05/04/2011,Travel - Air/Rail/Road,"£1,263.73",
05/04/2011,Travel - Air/Rail/Road,£547.20,
05/04/2011,Travel - Air/Rail/Road,"-£1,320.47",
05/04/2011,Travel - Air/Rail/Road,£900.63,
05/04/2011,Travel - Air/Rail/Road,£543.72,
05/04/2011,Travel - Air/Rail/Road,£543.72,
05/04/2011,Travel - Air/Rail/Road,£543.72,
05/04/2011,Travel - Air/Rail/Road,"-£1,327.60",
05/04/2011,Travel - Air/Rail/Road,"-£1,327.60",
05/04/2011,Travel - Air/Rail/Road,"-£1,327.60",
05/04/2011,Travel - Air/Rail/Road,"-£1,327.60",
05/04/2011,Travel - Air/Rail/Road,"-£4,346.40",
05/04/2011,Travel - Air/Rail/Road,"-£4,346.40",
05/04/2011,Travel - Air/Rail/Road,"-£4,346.40",
05/04/2011,Travel - Air/Rail/Road,"-£4,346.40",
05/04/2011,Travel - Air/Rail/Road,"-£4,346.40",
05/04/2011,Travel - Air/Rail/Road,"-£4,346.40",
05/04/2011,Travel - Air/Rail/Road,"-£4,345.00",
05/04/2011,Travel - Air/Rail/Road,"£1,304.00",
05/04/2011,Travel - Air/Rail/Road,"-£4,346.40",
05/04/2011,Travel - Air/Rail/Road,"-£4,346.40",
05/04/2011,Travel - Air/Rail/Road,-£543.71,
05/04/2011,Travel - Air/Rail/Road,-£543.71,
05/04/2011,Travel - Air/Rail/Road,"£2,400.00",
05/04/2011,Travel - Air/Rail/Road,£654.51,
05/04/2011,Travel - Air/Rail/Road,£842.13,
05/04/2011,Travel - Air/Rail/Road,£787.13,
05/04/2011,Travel - Air/Rail/Road,£787.13,
05/04/2011,Travel - Air/Rail/Road,"£1,013.13",
05/04/2011,Travel - Air/Rail/Road,"£1,013.13",
05/04/2011,Travel - Air/Rail/Road,"£2,421.43",
05/04/2011,Travel - Air/Rail/Road,£508.50,
05/04/2011,Travel - Air/Rail/Road,"£3,455.33",
05/04/2011,Travel - Air/Rail/Road,"£1,178.73",
05/04/2011,Travel - Air/Rail/Road,"£1,327.02",
05/04/2011,Travel - Air/Rail/Road,"£1,327.02",
05/04/2011,Travel - Air/Rail/Road,£511.02,
05/04/2011,Travel - Air/Rail/Road,"£1,657.60",
05/04/2011,Travel - Air/Rail/Road,£876.95,
05/04/2011,Travel - Air/Rail/Road,"£1,370.80",
05/04/2011,Travel - Air/Rail/Road,"£1,303.73",
05/04/2011,Travel - Air/Rail/Road,"£1,471.46",
05/04/2011,Travel - Air/Rail/Road,£648.16,
05/04/2011,Travel - Air/Rail/Road,£648.16,
05/04/2011,Travel - Air/Rail/Road,£760.41,
05/04/2011,Travel - Air/Rail/Road,£760.41,
06/04/2011,Hotels/Motels/Resorts,£701.80,
06/04/2011,Stationery Stores,"£1,071.75",
06/04/2011,Travel - Air/Rail/Road,£516.66,
06/04/2011,Travel - Air/Rail/Road,£516.66,
06/04/2011,Travel - Air/Rail/Road,£630.63,
06/04/2011,Travel - Air/Rail/Road,£748.43,
06/04/2011,Travel - Air/Rail/Road,£755.47,
06/04/2011,Travel - Air/Rail/Road,"£1,022.66",
06/04/2011,Travel - Air/Rail/Road,"£4,658.40",
06/04/2011,Travel - Air/Rail/Road,£615.33,
06/04/2011,Travel - Air/Rail/Road,£615.33,
06/04/2011,Travel - Air/Rail/Road,£671.30,
06/04/2011,Travel - Air/Rail/Road,£956.50,
06/04/2011,Travel - Air/Rail/Road,£782.60,
06/04/2011,Travel - Air/Rail/Road,"£3,032.04",
06/04/2011,Travel - Air/Rail/Road,"-£2,376.29",
06/04/2011,Travel - Air/Rail/Road,£505.00,
06/04/2011,Travel - Air/Rail/Road,"£2,376.29",
06/04/2011,Travel - Air/Rail/Road,£721.85,
06/04/2011,Travel - Air/Rail/Road,£769.13,
06/04/2011,Travel - Air/Rail/Road,"£1,028.90",
06/04/2011,Travel - Air/Rail/Road,£903.00,
06/04/2011,Travel - Air/Rail/Road,"£3,700.43",
06/04/2011,Travel - Air/Rail/Road,"£3,700.43",
06/04/2011,Travel - Air/Rail/Road,"£2,917.90",
06/04/2011,Travel - Air/Rail/Road,"£2,917.90",
06/04/2011,Travel - Air/Rail/Road,"£2,917.90",
06/04/2011,Travel - Air/Rail/Road,"£2,917.90",
06/04/2011,Travel - Air/Rail/Road,"£2,753.73",
06/04/2011,Travel - Air/Rail/Road,"£1,437.13",
06/04/2011,Travel - Air/Rail/Road,£564.40,
06/04/2011,Travel - Air/Rail/Road,£564.40,
06/04/2011,Travel - Air/Rail/Road,£613.92,
06/04/2011,Travel - Air/Rail/Road,£613.92,
06/04/2011,Travel - Air/Rail/Road,£727.70,
06/04/2011,Travel - Air/Rail/Road,"£2,850.37",
06/04/2011,Travel - Air/Rail/Road,£777.99,
06/04/2011,Travel - Air/Rail/Road,"£2,850.37",
06/04/2011,Travel - Air/Rail/Road,"£3,670.82",
06/04/2011,Travel - Air/Rail/Road,"-£2,850.37",
06/04/2011,Travel - Air/Rail/Road,"-£1,601.37",
07/04/2011,Automobile Rental Agency,"£2,162.76",
07/04/2011,Computer Program/Sys Design,£573.06,
07/04/2011,Travel - Air/Rail/Road,"£2,499.96",
07/04/2011,Travel - Air/Rail/Road,£671.20,
07/04/2011,Travel - Air/Rail/Road,"£1,514.73",
07/04/2011,Travel - Air/Rail/Road,"£1,514.73",
07/04/2011,Travel - Air/Rail/Road,-£673.41,
07/04/2011,Travel - Air/Rail/Road,£694.40,
07/04/2011,Travel - Air/Rail/Road,£744.70,
07/04/2011,Travel - Air/Rail/Road,£577.00,
07/04/2011,Travel - Air/Rail/Road,£528.23,
07/04/2011,Travel - Air/Rail/Road,£606.23,
07/04/2011,Travel - Air/Rail/Road,"£1,879.21",
07/04/2011,Travel - Air/Rail/Road,£727.70,
07/04/2011,Travel - Air/Rail/Road,£527.20,
07/04/2011,Travel - Air/Rail/Road,£533.50,
07/04/2011,Travel - Air/Rail/Road,£606.40,
07/04/2011,Travel - Air/Rail/Road,"£1,048.80",
07/04/2011,Travel - Air/Rail/Road,£822.20,
07/04/2011,Travel - Air/Rail/Road,£944.13,
07/04/2011,Travel - Air/Rail/Road,"£1,965.13",
07/04/2011,Travel - Air/Rail/Road,"£5,983.03",
07/04/2011,Travel - Air/Rail/Road,-£675.80,
07/04/2011,Travel - Air/Rail/Road,"-£3,437.61",
07/04/2011,Travel - Air/Rail/Road,"-£3,437.61",
07/04/2011,Travel - Air/Rail/Road,"-£1,313.50",
07/04/2011,Travel - Air/Rail/Road,-£881.20,
07/04/2011,Travel - Air/Rail/Road,-£881.20,
07/04/2011,Travel - Air/Rail/Road,-£881.20,
07/04/2011,Travel - Air/Rail/Road,"-£2,617.67",
07/04/2011,Travel - Air/Rail/Road,£929.00,
07/04/2011,Travel - Air/Rail/Road,"-£1,778.11",
07/04/2011,Travel - Air/Rail/Road,"-£3,420.00",
07/04/2011,Travel - Air/Rail/Road,"-£3,670.40",
07/04/2011,Travel - Air/Rail/Road,"-£2,543.00",
07/04/2011,Travel - Air/Rail/Road,"£1,965.13",
07/04/2011,Travel - Air/Rail/Road,-£891.47,
07/04/2011,Travel - Air/Rail/Road,-£891.47,
07/04/2011,Travel - Air/Rail/Road,"£2,394.40",
07/04/2011,Travel - Air/Rail/Road,£721.70,
07/04/2011,Travel - Air/Rail/Road,£689.70,
07/04/2011,Travel - Air/Rail/Road,"£1,666.74",
07/04/2011,Travel - Air/Rail/Road,"£1,666.74",
07/04/2011,Travel - Air/Rail/Road,"-£4,804.11",
07/04/2011,Travel - Air/Rail/Road,"£2,641.80",
07/04/2011,Travel - Air/Rail/Road,"£4,359.33",
08/04/2011,Computer Program/Sys Design,£634.29,
08/04/2011,Computer Program/Sys Design,£573.29,
08/04/2011,Computer Program/Sys Design,£547.65,
08/04/2011,Computer Program/Sys Design,£678.83,
08/04/2011,Travel - Air/Rail/Road,£750.00,
08/04/2011,Travel - Air/Rail/Road,£880.59,
08/04/2011,Travel - Air/Rail/Road,£854.10,
08/04/2011,Travel - Air/Rail/Road,"£1,489.08",
08/04/2011,Travel - Air/Rail/Road,£774.30,
08/04/2011,Travel - Air/Rail/Road,£887.43,
08/04/2011,Travel - Air/Rail/Road,£670.45,
08/04/2011,Travel - Air/Rail/Road,£516.10,
08/04/2011,Travel - Air/Rail/Road,"£1,467.28",
08/04/2011,Travel - Air/Rail/Road,£722.00,
08/04/2011,Travel - Air/Rail/Road,£765.33,
08/04/2011,Travel - Air/Rail/Road,"£4,022.00",
08/04/2011,Travel - Air/Rail/Road,£597.40,
08/04/2011,Travel - Air/Rail/Road,£695.12,
08/04/2011,Travel - Air/Rail/Road,"£2,903.33",
08/04/2011,Travel - Air/Rail/Road,£989.03,
08/04/2011,Travel - Air/Rail/Road,£567.30,
08/04/2011,Travel - Air/Rail/Road,-£853.90,
08/04/2011,Travel - Air/Rail/Road,£751.30,
08/04/2011,Travel - Air/Rail/Road,£612.60,
08/04/2011,Travel - Air/Rail/Road,"-£1,484.79",
08/04/2011,Travel - Air/Rail/Road,"-£1,484.79",
08/04/2011,Travel - Air/Rail/Road,"-£1,647.59",
08/04/2011,Travel - Air/Rail/Road,"-£1,845.59",
08/04/2011,Travel - Air/Rail/Road,"-£1,660.49",
09/04/2011,Travel - Air/Rail/Road,£673.55,
09/04/2011,Travel - Air/Rail/Road,"£2,229.21",
09/04/2011,Travel - Air/Rail/Road,-£822.34,
09/04/2011,Travel - Air/Rail/Road,"£1,909.27",
09/04/2011,Travel - Air/Rail/Road,"£3,852.72",
09/04/2011,Travel - Air/Rail/Road,£565.99,
09/04/2011,Travel - Air/Rail/Road,£621.33,
09/04/2011,Travel - Air/Rail/Road,"£1,093.44",
09/04/2011,Travel - Air/Rail/Road,"£1,772.87",
10/04/2011,Travel - Air/Rail/Road,"£1,891.54",
10/04/2011,Travel - Air/Rail/Road,£651.32,
11/04/2011,Business Services - Default,£900.00,
11/04/2011,Colleges/Univ/Jc/Profession,£850.00,
11/04/2011,Computer Program/Sys Design,£530.52,
11/04/2011,Hotels/Motels/Resorts,"£1,628.00",
11/04/2011,Hotels/Motels/Resorts,"£10,398.00",
11/04/2011,Hotels/Motels/Resorts,"£12,480.00",
11/04/2011,Hotels/Motels/Resorts,"£1,150.09",
11/04/2011,Hotels/Motels/Resorts,£648.47,
11/04/2011,Travel - Air/Rail/Road,£510.75,
11/04/2011,Travel - Air/Rail/Road,£614.47,
11/04/2011,Travel - Air/Rail/Road,"£1,005.50",
11/04/2011,Travel - Air/Rail/Road,"£1,284.64",
11/04/2011,Travel - Air/Rail/Road,£756.90,
11/04/2011,Travel - Air/Rail/Road,"£2,632.05",
11/04/2011,Travel - Air/Rail/Road,"£1,541.93",
11/04/2011,Travel - Air/Rail/Road,£507.70,
11/04/2011,Travel - Air/Rail/Road,£912.00,
11/04/2011,Travel - Air/Rail/Road,"£1,094.72",
11/04/2011,Travel - Air/Rail/Road,"£4,699.32",
11/04/2011,Travel - Air/Rail/Road,£809.88,
11/04/2011,Travel - Air/Rail/Road,£717.70,
11/04/2011,Travel - Air/Rail/Road,£659.60,
11/04/2011,Travel - Air/Rail/Road,£623.90,
11/04/2011,Travel - Air/Rail/Road,£928.72,
11/04/2011,Travel - Air/Rail/Road,£758.40,
11/04/2011,Travel - Air/Rail/Road,"-£2,292.37",
11/04/2011,Travel - Air/Rail/Road,-£919.50,
11/04/2011,Travel - Air/Rail/Road,"£1,038.39",
11/04/2011,Travel - Air/Rail/Road,"£1,327.53",
11/04/2011,Travel - Air/Rail/Road,£551.77,
11/04/2011,Travel - Air/Rail/Road,"£1,634.31",
12/04/2011,Advertising Services,£540.00,
12/04/2011,Travel - Air/Rail/Road,£615.80,
12/04/2011,Travel - Air/Rail/Road,"£2,006.83",
12/04/2011,Travel - Air/Rail/Road,-£713.00,
12/04/2011,Travel - Air/Rail/Road,£964.13,
12/04/2011,Travel - Air/Rail/Road,"£1,924.13",
12/04/2011,Travel - Air/Rail/Road,"£2,098.31",
12/04/2011,Travel - Air/Rail/Road,"£1,881.33",
12/04/2011,Travel - Air/Rail/Road,"£3,717.13",
12/04/2011,Travel - Air/Rail/Road,£573.10,
12/04/2011,Travel - Air/Rail/Road,£803.20,
12/04/2011,Travel - Air/Rail/Road,£814.20,
12/04/2011,Travel - Air/Rail/Road,"£1,150.60",
12/04/2011,Travel - Air/Rail/Road,"£1,118.43",
12/04/2011,Travel - Air/Rail/Road,£928.60,
12/04/2011,Travel - Air/Rail/Road,£928.60,
12/04/2011,Travel - Air/Rail/Road,"£1,408.80",
12/04/2011,Travel - Air/Rail/Road,"£1,408.80",
12/04/2011,Travel - Air/Rail/Road,£688.03,
12/04/2011,Travel - Air/Rail/Road,"£1,054.13",
12/04/2011,Travel - Air/Rail/Road,£662.80,
12/04/2011,Travel - Air/Rail/Road,£569.80,
12/04/2011,Travel - Air/Rail/Road,£662.80,
12/04/2011,Travel - Air/Rail/Road,"£1,526.43",
12/04/2011,Travel - Air/Rail/Road,£723.20,
12/04/2011,Travel - Air/Rail/Road,£573.10,
12/04/2011,Travel - Air/Rail/Road,£573.10,
12/04/2011,Travel - Air/Rail/Road,£690.10,
12/04/2011,Travel - Air/Rail/Road,£714.20,
12/04/2011,Travel - Air/Rail/Road,£763.70,
12/04/2011,Travel - Air/Rail/Road,£660.20,
12/04/2011,Travel - Air/Rail/Road,£751.20,
12/04/2011,Travel - Air/Rail/Road,"£2,930.00",
12/04/2011,Travel - Air/Rail/Road,£733.30,
12/04/2011,Travel - Air/Rail/Road,£567.90,
12/04/2011,Travel - Air/Rail/Road,£875.13,
12/04/2011,Travel - Air/Rail/Road,"-£1,504.52",
12/04/2011,Travel - Air/Rail/Road,£684.33,
12/04/2011,Travel - Air/Rail/Road,"£1,221.10",
12/04/2011,Travel - Air/Rail/Road,£714.33,
12/04/2011,Travel - Air/Rail/Road,"£1,321.23",
12/04/2011,Travel - Air/Rail/Road,"-£1,105.47",
12/04/2011,Travel - Air/Rail/Road,"-£1,613.20",
12/04/2011,Travel - Air/Rail/Road,"-£1,654.10",
12/04/2011,Travel - Air/Rail/Road,"-£1,654.10",
12/04/2011,Travel - Air/Rail/Road,"-£1,654.10",
12/04/2011,Travel - Air/Rail/Road,"-£1,654.10",
12/04/2011,Travel - Air/Rail/Road,"-£1,654.10",
12/04/2011,Travel - Air/Rail/Road,"£3,111.73",
12/04/2011,Travel - Air/Rail/Road,"£3,111.73",
12/04/2011,Travel - Air/Rail/Road,"-£2,376.57",
12/04/2011,Travel - Air/Rail/Road,"-£2,376.57",
12/04/2011,Travel - Air/Rail/Road,"-£1,613.20",
12/04/2011,Travel - Air/Rail/Road,"-£1,654.10",
12/04/2011,Travel - Air/Rail/Road,"£1,343.10",
12/04/2011,Travel - Air/Rail/Road,"£1,343.10",
12/04/2011,Travel - Air/Rail/Road,"£2,963.03",
12/04/2011,Travel - Air/Rail/Road,"-£1,471.74",
12/04/2011,Travel - Air/Rail/Road,"£2,438.93",
13/04/2011,Automobile Rental Agency,£558.70,
13/04/2011,Automobile Rental Agency,"£3,356.64",
13/04/2011,Colleges/Univ/Jc/Profession,£625.00,
13/04/2011,Hotels/Motels/Resorts,£827.44,
13/04/2011,Trade/Vocational Schools,£536.35,
13/04/2011,Trade/Vocational Schools,"£1,041.23",
13/04/2011,Travel - Air/Rail/Road,£940.96,
13/04/2011,Travel - Air/Rail/Road,"£2,477.84",
13/04/2011,Travel - Air/Rail/Road,£793.99,
13/04/2011,Travel - Air/Rail/Road,"£1,045.22",
13/04/2011,Travel - Air/Rail/Road,"£1,463.28",
13/04/2011,Travel - Air/Rail/Road,£554.83,
13/04/2011,Travel - Air/Rail/Road,£959.10,
13/04/2011,Travel - Air/Rail/Road,£959.10,
13/04/2011,Travel - Air/Rail/Road,"£1,231.70",
13/04/2011,Travel - Air/Rail/Road,£884.37,
13/04/2011,Travel - Air/Rail/Road,£972.67,
13/04/2011,Travel - Air/Rail/Road,£796.43,
13/04/2011,Travel - Air/Rail/Road,£796.43,
13/04/2011,Travel - Air/Rail/Road,£984.73,
13/04/2011,Travel - Air/Rail/Road,"£1,866.06",
13/04/2011,Travel - Air/Rail/Road,£953.00,
13/04/2011,Travel - Air/Rail/Road,£887.91,
13/04/2011,Travel - Air/Rail/Road,"£1,195.70",
13/04/2011,Travel - Air/Rail/Road,£912.00,
13/04/2011,Travel - Air/Rail/Road,"£2,625.13",
13/04/2011,Travel - Air/Rail/Road,"£1,753.13",
13/04/2011,Travel - Air/Rail/Road,"£2,093.83",
13/04/2011,Travel - Air/Rail/Road,"£1,896.30",
13/04/2011,Travel - Air/Rail/Road,"£1,896.30",
13/04/2011,Travel - Air/Rail/Road,"£1,896.30",
13/04/2011,Travel - Air/Rail/Road,£748.61,
13/04/2011,Travel - Air/Rail/Road,£748.61,
13/04/2011,Travel - Air/Rail/Road,"-£2,930.00",
13/04/2011,Travel - Air/Rail/Road,£550.00,
13/04/2011,Travel - Air/Rail/Road,"£2,389.93",
13/04/2011,Travel - Air/Rail/Road,£816.82,
13/04/2011,Travel - Air/Rail/Road,£816.82,
13/04/2011,Travel - Air/Rail/Road,£816.82,
13/04/2011,Travel - Air/Rail/Road,£895.38,
13/04/2011,Travel - Air/Rail/Road,"£1,090.80",
13/04/2011,Travel - Air/Rail/Road,"£1,090.80",
13/04/2011,Travel - Air/Rail/Road,"-£1,647.59",
14/04/2011,Computer Program/Sys Design,£519.00,
14/04/2011,Computers/Peripherals/Software,£842.88,
14/04/2011,Travel - Air/Rail/Road,"£1,136.32",
14/04/2011,Travel - Air/Rail/Road,£694.83,
14/04/2011,Travel - Air/Rail/Road,£622.01,
14/04/2011,Travel - Air/Rail/Road,£622.02,
14/04/2011,Travel - Air/Rail/Road,£828.50,
14/04/2011,Travel - Air/Rail/Road,"£1,342.70",
14/04/2011,Travel - Air/Rail/Road,£943.70,
14/04/2011,Travel - Air/Rail/Road,"£1,203.90",
14/04/2011,Travel - Air/Rail/Road,-£731.60,
14/04/2011,Travel - Air/Rail/Road,£952.94,
14/04/2011,Travel - Air/Rail/Road,£649.34,
14/04/2011,Travel - Air/Rail/Road,£687.10,
14/04/2011,Travel - Air/Rail/Road,"£1,485.00",
14/04/2011,Travel - Air/Rail/Road,"£1,404.20",
14/04/2011,Travel - Air/Rail/Road,"£1,404.20",
14/04/2011,Travel - Air/Rail/Road,"£1,404.20",
14/04/2011,Travel - Air/Rail/Road,£764.93,
14/04/2011,Travel - Air/Rail/Road,"£2,696.33",
14/04/2011,Travel - Air/Rail/Road,£622.10,
14/04/2011,Travel - Air/Rail/Road,£714.20,
14/04/2011,Travel - Air/Rail/Road,"-£1,372.50",
14/04/2011,Travel - Air/Rail/Road,"-£1,372.50",
14/04/2011,Travel - Air/Rail/Road,"-£2,828.40",
14/04/2011,Travel - Air/Rail/Road,"-£1,378.40",
14/04/2011,Travel - Air/Rail/Road,"-£2,858.10",
14/04/2011,Travel - Air/Rail/Road,"-£2,858.10",
14/04/2011,Travel - Air/Rail/Road,-£921.57,
14/04/2011,Travel - Air/Rail/Road,"£2,895.87",
14/04/2011,Travel - Air/Rail/Road,"£3,414.02",
14/04/2011,Travel - Air/Rail/Road,"£2,610.73",
14/04/2011,Travel - Air/Rail/Road,"£2,459.12",
