Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,Hire of Agency Staff (Professional/Management),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1006423,899.66
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,Hire of Agency Staff (Professional/Management),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1006425,904.87
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Hire of Agency Staff (Professional/Management),"Legal, People & Communications Group - Communications Directorate",COI COMMUNICATIONS,1007054,-15120
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Hire of Agency Staff (Professional/Management),Fair Markets Group Summary - Europe and World Trade Directorates,COI COMMUNICATIONS,1007074,-13875
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Hire of Agency Staff (Professional/Management),Fair Markets Group Summary - Europe and World Trade Directorates,COI COMMUNICATIONS,1007074,-13875
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Hire of Agency Staff (Professional/Management),Fair Markets Group Summary - Europe and World Trade Directorates,COI COMMUNICATIONS,1007074,-693.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Hire of Agency Staff (Professional/Management),Fair Markets Group Summary - Europe and World Trade Directorates,COI COMMUNICATIONS,1007074,-693.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Hire of Agency Staff (Professional/Management),Fair Markets Group Summary - Europe and World Trade Directorates,COI COMMUNICATIONS,1007074,-693.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Hire of Agency Staff (Professional/Management),Fair Markets Group Summary - Europe and World Trade Directorates,COI COMMUNICATIONS,1007074,-693.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Hire of Agency Staff (Professional/Management),Fair Markets Group Summary - Europe and World Trade Directorates,COI COMMUNICATIONS,1007074,693.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Hire of Agency Staff (Professional/Management),Fair Markets Group Summary - Europe and World Trade Directorates,COI COMMUNICATIONS,1007074,693.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Hire of Agency Staff (Professional/Management),Fair Markets Group Summary - Europe and World Trade Directorates,COI COMMUNICATIONS,1007074,693.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2010,Hire of Agency Staff (Professional/Management),"Legal, People & Communications Group - Communications Directorate",COI COMMUNICATIONS,1006346,3748.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2010,Hire of Agency Staff (Professional/Management),"Legal, People & Communications Group - Communications Directorate",COI COMMUNICATIONS,1006356,3874.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Hire of Agency Staff (Professional/Management),Fair Markets Group Summary - Europe and World Trade Directorates,COI COMMUNICATIONS,1007073,5040
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Hire of Agency Staff (Professional/Management),Fair Markets Group Summary - Europe and World Trade Directorates,COI COMMUNICATIONS,1007072,9135
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Hire of Agency Staff (Professional/Management),Fair Markets Group Summary - Europe and World Trade Directorates,COI COMMUNICATIONS,1007074,13875
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Hire of Agency Staff (Professional/Management),"Legal, People & Communications Group - Communications Directorate",COI COMMUNICATIONS,1007054,15120
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Hire of Agency Staff (Professional/Management),"Legal, People & Communications Group - Communications Directorate",COI COMMUNICATIONS,1007054,15120
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2010,Hire of Agency Staff (Professional/Management),"Legal, People & Communications Group - Communications Directorate",COI COMMUNICATIONS,1007053,18259.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/09/2010,Hire of Agency Staff (Professional/Management),"Business Group - Solutions for Business, Low Carbon & Services",CONSTRUCTION INDUSTRY COUNCIL,1007273,11759.16
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,Hire of Agency Staff (Professional/Management),"Legal, People & Communications Group - Communications Directorate",HUDSON GLOBAL RESOURCES LTD,1005156,-1233.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2010,Hire of Agency Staff (Professional/Management),"Legal, People & Communications Group - Communications Directorate",HUDSON GLOBAL RESOURCES LTD,1007795,863.63
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2010,Hire of Agency Staff (Professional/Management),"Legal, People & Communications Group - Communications Directorate",HUDSON GLOBAL RESOURCES LTD,1007145,1110.38
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,Hire of Agency Staff (Professional/Management),"Legal, People & Communications Group - Communications Directorate",HUDSON GLOBAL RESOURCES LTD,1005156,1233.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,Hire of Agency Staff (Professional/Management),"Legal, People & Communications Group - Communications Directorate",HUDSON GLOBAL RESOURCES LTD,1005156,1233.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,Hire of Agency Staff (Professional/Management),"Legal, People & Communications Group - Communications Directorate",HUDSON GLOBAL RESOURCES LTD,1005157,1233.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/09/2010,Hire of Agency Staff (Professional/Management),"Legal, People & Communications Group - Communications Directorate",HUDSON GLOBAL RESOURCES LTD,1006815,1233.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Hire of Agency Staff (Professional/Management),"Legal, People & Communications Group - Communications Directorate",HUDSON GLOBAL RESOURCES LTD,1007433,1233.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/09/2010,Hire of Agency Staff (Professional/Management),Finance & Commercial Group - Finance Group,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,1006520,1587.1
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/09/2010,Hire of Agency Staff (Professional/Management),Finance & Commercial Group - Finance Group,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,1006963,1983.87
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Hire of Agency Staff (Professional/Management),"Legal, People & Communications Group - Communications Directorate",MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,1006517,2022.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/09/2010,Hire of Agency Staff (Professional/Management),Finance & Commercial Group - Finance Group,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,1005962,2231.85
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/09/2010,Hire of Agency Staff (Professional/Management),"Legal, People & Communications Group - Communications Directorate",MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,1005500,2696.53
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/09/2010,Hire of Agency Staff (Professional/Management),"Legal, People & Communications Group - Communications Directorate",MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,1005929,3370.66
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Hire of Agency Staff (Professional/Management),"Legal, People & Communications Group - Communications Directorate",MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,1007306,3370.66
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,Hire of Agency Staff (Professional/Management),"Legal, People & Communications Group - Communications Directorate",SAND RESOURCES LTD,1005958,8388
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/09/2010,Hire of Conference Facilities,Finance & Commercial Group - Information and Workplace Strategies,BAXTERSTOREY LTD,1007556,32875
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Hire of Conference Facilities,GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,CHURCH HOUSE CONFERENCE CENTRE LTD,1007137,1430.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2010,Hire of Conference Facilities,Universities and Skills Group - USG Admin,CLAIRE GONNET,1006263,3626
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,Hire of Conference Facilities,Shareholder Executive - Shareholder Executive,THE QUEEN ELIZABETH II CONFERENCE CENTRE,1007583,1290
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2010,Hire of Conference Facilities,GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,THE ROYAL SOCIETY,1007788,865
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Hire of Conference Facilities (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,WALLACESPACE LTD,1006609,1463
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2010,Hire of Reprographic Equipment,Finance & Commercial Group - Information and Workplace Strategies,ING LEASE (UK) LTD,1007173,-1584.93
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2010,Hire of Reprographic Equipment,Finance & Commercial Group - Information and Workplace Strategies,ING LEASE (UK) LTD,1007173,1516.98
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2010,Hire of Reprographic Equipment,Finance & Commercial Group - Information and Workplace Strategies,ING LEASE (UK) LTD,1007173,1584.93
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Hire of Reprographic Equipment,Finance & Commercial Group - Information and Workplace Strategies,MORGANA SYSTEMS LTD,1006612,962.89
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,Hire of Reprographic Equipment,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,XEROX FINANCE LTD,1007919,590.69
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/09/2010,Hire of Reprographic Equipment,Finance & Commercial Group - Information and Workplace Strategies,XEROX FINANCE LTD,1006976,1259.94
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/09/2010,Hotels,"Legal, People & Communications Group - Priority Projects Drectorate",FOREIGN AND COMMONWEALTH OFFICE (FCO),1007183,1087.61
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/09/2010,Hotels,"Legal, People & Communications Group - Priority Projects Drectorate",FOREIGN AND COMMONWEALTH OFFICE (FCO),1007185,1091.49
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2010,Hotels (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,FOREIGN AND COMMONWEALTH OFFICE (FCO),1005291,944.05
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/09/2010,Hotels (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,FOREIGN AND COMMONWEALTH OFFICE (FCO),1004870,958.32
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Hotels- Overseas  (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,BIOINDUSTRY ASSOCIATION,1006645,2100
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/09/2010,Hotels- Overseas  (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,FOREIGN AND COMMONWEALTH OFFICE (FCO),1004865,-258.56
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2010,Hotels- Overseas  (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,FOREIGN AND COMMONWEALTH OFFICE (FCO),1005293,786.53
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/09/2010,Hotels- Overseas  (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,FOREIGN AND COMMONWEALTH OFFICE (FCO),1004106,1200
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,Hotels- Overseas  (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,NUCLEAR DECOMMISSIONING AUTHORITY,1005779,659.54
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2010,ICT Business Specific Application Services,Finance & Commercial Group - Information and Workplace Strategies,BRITISH TELECOMMUNICATIONS plc (BT),1007394,-100.63
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,ICT Business Specific Application Services,Finance & Commercial Group - Information and Workplace Strategies,BRITISH TELECOMMUNICATIONS plc (BT),1006530,-21
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2010,ICT Business Specific Application Services,Finance & Commercial Group - Information and Workplace Strategies,BRITISH TELECOMMUNICATIONS plc (BT),1007394,-9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/09/2010,ICT Business Specific Application Services,Finance & Commercial Group - Information and Workplace Strategies,IMS LTD (INTEREXPORT MANAGEMENT SYSTEMS LTD),1006757,3980
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,ICT Business Specific Application Services,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,1007563,53991
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,ICT Business Specific Application Services,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,1005224,53992
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,ICT Business Specific Application Services,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,1005243,53992
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,ICT Business Specific Application Services,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,1005249,53992
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,ICT Business Specific Application Services,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,1005257,53992
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/09/2010,ICT Business Specific Application Services (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1006787,-12032
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/09/2010,ICT Business Specific Application Services (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1005679,-1188.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/09/2010,ICT Business Specific Application Services (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1005679,1188.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/09/2010,ICT Business Specific Application Services (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1005679,1188.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,ICT Business Specific Application Services (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1007828,1188.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/09/2010,ICT Business Specific Application Services (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1005615,3142.77
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/09/2010,ICT Business Specific Application Services (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1005632,4388.33
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,ICT Business Specific Application Services (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1007840,4388.33
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/09/2010,ICT Business Specific Application Services (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1005680,6551.68
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,ICT Business Specific Application Services (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1007824,6551.68
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/09/2010,ICT Business Specific Application Services (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1006674,10554.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/09/2010,ICT Business Specific Application Services (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1006781,12032
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/09/2010,ICT Infrastructure Specific Service,Finance & Commercial Group - Information and Workplace Strategies,EDUSERV TECHNOLOGIES LTD,1005328,780
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/09/2010,ICT Infrastructure Specific Service,Finance & Commercial Group - Information and Workplace Strategies,EDUSERV TECHNOLOGIES LTD,1005328,12730.83
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,ICT Infrastructure Specific Service,Finance & Commercial Group - Information and Workplace Strategies,XMA LTD,1006156,603.39
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/09/2010,ICT Infrastructure Specific Service,Finance & Commercial Group - Information and Workplace Strategies,XMA LTD,1007544,869.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,ICT Infrastructure Specific Service,Finance & Commercial Group - Information and Workplace Strategies,XMA LTD,1006169,1120.57
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,ICT Infrastructure Specific Service,Finance & Commercial Group - Information and Workplace Strategies,XMA LTD,1007026,13329.06
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/09/2010,ICT Infrastructure Specific Service (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1005668,530.45
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,ICT Infrastructure Specific Service (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1007856,530.45
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,ICT Infrastructure Specific Service (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1005758,615.92
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2010,ICT Infrastructure Specific Service (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1007791,615.92
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,ICT Infrastructure Specific Service (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1006176,761.26
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2010,ICT Infrastructure Specific Service (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1007655,761.26
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,ICT Infrastructure Specific Service (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1005754,1665.26
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,ICT Infrastructure Specific Service (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1007804,1665.26
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/09/2010,ICT Infrastructure Specific Service (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1005652,4794
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,ICT Infrastructure Specific Service (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1007858,4794
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,BADENOCH AND CLARK LTD,1002324,1200
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,BROOK STREET (UK) LTD,1006487,514.16
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,BROOK STREET (UK) LTD,1007520,589.77
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,BROOK STREET (UK) LTD,1007004,608.66
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,BROOK STREET (UK) LTD,1005874,650.26
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,CAPGEMINI UK plc,1005926,737
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,CAPGEMINI UK plc,1005924,1915.18
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,COMPUTACENTER plc,1006376,-455.28
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,COMPUTACENTER plc,1006376,-183.12
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,COMPUTACENTER plc,1006375,2142
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,COMPUTACENTER plc,1005684,17165
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,EDUSERV TECHNOLOGIES LTD,1005328,-13510.83
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,EDUSERV TECHNOLOGIES LTD,1005326,9950
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,EDUSERV TECHNOLOGIES LTD,1005328,13510.83
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,ELAN COMPUTING LTD,1005788,-9261.35
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,ELAN COMPUTING LTD,1007357,703.24
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,ELAN COMPUTING LTD,1006321,2195.7
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,ELAN COMPUTING LTD,1007357,3464.37
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,ELAN COMPUTING LTD,1006323,7904.52
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,ELAN COMPUTING LTD,1005788,9261.35
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,ELAN COMPUTING LTD,1005788,9261.35
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,ELAN COMPUTING LTD,1006261,9912.3
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,FAIR ISAAC SERVICES LTD,1007360,810.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,METHODS CONSULTING LTD,1005848,9240
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,1007724,1410
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,1006039,1968
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,1006040,6027
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,1007228,9091.68
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,1005953,9940.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,1006001,12122.24
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,1007725,12149.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,1007229,12831
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,1005994,24225
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,RUSSAM GMS LTD,1005999,2205
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,RUSSAM GMS LTD,1005739,2756.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,RUSSAM GMS LTD,1006477,2756.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,RUSSAM GMS LTD,1007104,2756.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,RUSSAM GMS LTD,1007574,2756.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/09/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,SMARTSOURCING PLC,1005846,14205.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,ICT Maintenance & Upkeep (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1005508,-5440.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/09/2010,ICT Maintenance & Upkeep (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1006937,-3326.73
