Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2010,Additions - Bridges Fund Investment,"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",BERR EQUITY INVESTMENT PROGRAMMES (CAPITAL),1007866,10748.53
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/09/2010,Additions - Bridges Fund Investment,"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",BERR EQUITY INVESTMENT PROGRAMMES (CAPITAL),1006831,299158.73
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2010,Additions - Enterprise Equity Investments,"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",BERR EQUITY INVESTMENT PROGRAMMES (CAPITAL),1006286,80000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2010,Additions - Enterprise Equity Investments,"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",BERR EQUITY INVESTMENT PROGRAMMES (CAPITAL),1007868,16666.67
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2010,Additions - Enterprise Equity Investments,"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",BERR EQUITY INVESTMENT PROGRAMMES (CAPITAL),1007868,25800
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/09/2010,Additions - Enterprise Equity Investments,"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",BERR EQUITY INVESTMENT PROGRAMMES (CAPITAL),1007323,130000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/09/2010,Additions - Enterprise Equity Investments,"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",BERR EQUITY INVESTMENT PROGRAMMES (CAPITAL),1006830,133333.33
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Additions Post Office Ltd - Loans from Vote,Shareholder Executive - Shareholder Executive,POST OFFICE LTD C/O ROYAL MAIL,1006655,17000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/09/2010,Additions Post Office Ltd - Loans from Vote,Shareholder Executive - Shareholder Executive,POST OFFICE LTD C/O ROYAL MAIL,1005608,19000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,Additions Post Office Ltd - Loans from Vote,Shareholder Executive - Shareholder Executive,POST OFFICE LTD C/O ROYAL MAIL,1007612,20000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,Additions Post Office Ltd - Loans from Vote,Shareholder Executive - Shareholder Executive,POST OFFICE LTD C/O ROYAL MAIL,1007904,30000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Additions Post Office Ltd - Loans from Vote,Shareholder Executive - Shareholder Executive,POST OFFICE LTD C/O ROYAL MAIL,1007093,40000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2010,Additions Post Office Ltd - Loans from Vote,Shareholder Executive - Shareholder Executive,POST OFFICE LTD C/O ROYAL MAIL,1007197,40000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2010,Additions Post Office Ltd - Loans from Vote,Shareholder Executive - Shareholder Executive,POST OFFICE LTD C/O ROYAL MAIL,1006355,85000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/09/2010,Additions Post Office Ltd - Loans from Vote,Shareholder Executive - Shareholder Executive,POST OFFICE LTD C/O ROYAL MAIL,1006854,95000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2010,Additions Post Office Ltd - Loans from Vote,Shareholder Executive - Shareholder Executive,POST OFFICE LTD C/O ROYAL MAIL,1005834,190000000
