Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments and notes
,,,Admin officers/admin assistants,,Executive Officers,,Higher Executive Officers/Senior Executive Officers,,Grade 6/7,,Senior Civil Service,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
North West Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,..
Office for Fair Access,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",0,0,0,0,4,3.5,1,1,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,5,5,"$14,673.86",,,"$1,147.02","$2,856.31","$1,303.88","$19,981.07",,,$0.00,"$19,981.07",
One North East,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,..
Postal Services Commission,Non-Ministerial Department,"Department for Business, Innovation & Skills",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,.,,,.,.,Ceased to exist from 1/10/11
Science & Technology Facilities Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",129,121.8,256,247.1,923,905.5,324,308.7,36,33.3,32,32,"1,700","1,648",3,3,1,1,2,2,0,0,6,6,"1,706","1,654","$4,825,752.00","$153,754.00","$13,519.00","$129,177.00","$1,249,278.00","$423,535.00","$6,795,015.00","$15,858.00",,"$15,858.00","$6,810,873.00",
Skills Funding Agency,Executive Agency,"Department for Business, Innovation & Skills",151,144.1391892,525,506.8432432,604,588.5743243,172,171.1648649,50,49.20540541,25,23.14864865,"1,527","1,483",11,11,0,0,115,115,0,0,126,126,"1,653","1,609","$5,066,647.76","$136,312.73","$18,417.00",$355.93,"$1,021,613.82","$487,827.48","$6,731,174.72","$1,081,926.76",,"$1,081,926.76","$7,813,101.48",
South East England Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,..
South West of England Regional Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,..
Student Loans Company Ltd,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",1366,1269.3,557,528.98,86,83.5333,9,9,8,8,8,1.06,"2,034","1,900",147,147,0,0,40,40,0,0,187,187,"2,221","2,087","$3,464,704.11","$78,172.59","$10,396.30","$316,070.48","$276,693.04","$298,660.70","$4,444,697.22","$411,527.00",,"$411,527.00","$4,856,224.22",
Technology Strategy Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",0,0,28,28,16,16,64,64,5,5,0,0,113,113,18,18,57,57,0,0,0,0,75,75,188,188,"$422,695.68","$67,052.74",,,"$103,725.36","$50,294.55","$643,768.33","$434,311.30",,"$434,311.30","$1,078,079.63",
UK Commission for Employment & Skills,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",19,18,14,14,48,48,14,14,6,6,0,0,101,100,0,0,0,0,0,0,0,0,0,0,101,100,"$330,834.32",,,,"$62,512.50","$29,159.97","$422,506.79",,,$0.00,"$422,506.79",
UK Intellectual Property Office,Executive Agency,"Department for Business, Innovation & Skills",250,219.77,208,199.66,201,194.76,214,201.84,27,27,0,0,900,843,1,1,0,0,19,19,0,0,20,20,920,863,"$2,079,388.00","$78,482.00","$3,467.00","$71,064.00","$436,857.00","$183,321.00","$2,852,579.00","$183,364.00",,"$183,364.00","$3,035,943.00",
UK Space Agency,Executive Agency,"Department for Business, Innovation & Skills",1,1,5,5,12,11.6,15,14.2,4,4,0,0,37,36,0,0,0,0,1,1,0,0,1,1,38,37,"$56,096.47",,,,,,"$56,096.47","$8,400.00",,"$8,400.00","$64,496.47",
United Kingdom Atomic Energy Authority,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",65,60.55,70,66.15,287,282.16,105,103.79,10,9.6,14,14,551,536,5,5,0,0,330,330,0,0,335,335,886,871,"$1,739,467.00",$0.00,"$62,199.00","$26,581.00","$267,114.00","$166,041.00","$2,261,402.00","$1,799,637.00",,"$1,799,637.00","$4,061,039.00",Allowances are included within Salary Costs. Performance Payments are accrued through the year for payment once a year.
Yorkshire Forward,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,..
Ordance Survey,Non-Ministerial Department,"Department for Business, Innovation & Skills",39,33,533,518,406,396,110,108,6,6,3,1,"1,097","1,062",52,50,2,2,73,73,1,0.67,128,125.67,"1,225","1,188","$2,836,731.19","$61,979.32","$7,250.00","$9,347.53","$553,750.76","$229,671.41","$3,698,730.21","$942,200.00","$9,100.00","$951,300.00","$4,650,030.21",
Met Office,Non-Ministerial Department,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,..
