Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,17.43
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,222.39
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,17.27
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,35.27
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,51.47
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,22.81
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,34.27
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,102.01
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,557.27
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,94.52
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,62.56
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,91.73
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,17.05
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,1.11
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,18.41
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,0.72
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,29.79
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,96.27
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,6.83
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,201.18
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,17.04
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,122.93
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,40.7
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,182.44
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,54.39
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,68.65
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,91.05
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,2.68
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,18.46
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,141.95
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,39.26
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,17.63
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,98.44
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,0.04
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,26.54
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,47.2
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,220.03
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,17.55
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,35.26
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,52.96
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,27.72
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,34.09
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,109.98
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,685.5
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,71.96
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,65.69
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,98.8
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,19.45
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,6.01
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,21.19
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,0.73
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,29.89
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199757,112.94
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199756,1.5
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199757,1.79
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199756,17.51
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199756,34.15
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199756,86.54
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199756,40.38
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199756,62.35
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199756,186.11
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199756,1.87
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199756,70.57
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199756,17.05
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199756,1.09
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199756,44.38
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199756,159.2
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199756,24.12
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199756,41.99
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199756,113.6
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199756,16.46
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199756,18.87
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199756,23.09
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199756,118.55
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199756,36.02
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199756,90.11
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199756,31.38
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199756,65.81
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199756,90.23
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199756,3.91
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199756,192.99
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199756,3.39
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199756,20.96
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199757,21.58
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199757,34.29
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199757,86.77
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199757,39.28
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199757,60.87
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199757,164.26
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199757,3.54
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199757,89.7
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199757,17.04
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199757,46.73
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199757,149.2
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199757,32
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199757,46.34
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199757,100.12
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199757,17.63
