Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,Transaction number,Amount in Sterling,Grant?,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,DORSET POLICE AUTHORITY,,5000161562,"762,985.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,DUDLEY MBC,,5000161566,"4,648,571.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,DURHAM COUNTY COUNCIL,,5000162130,"8,543,422.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,DURHAM POLICE AUTHORITY,,5000161568,"1,610,131.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,EAST RIDING OF YORKS,,5000161586,"3,720,650.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,EAST SUSSEX COUNTY CNCL,,5000161589,"4,274,856.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,EAST SUSSEX FIRE AUTHORITY,,5000161590,"501,973.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,ENFIELD LB,,5000161600,"4,754,627.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,ESSEX COUNTY CNCL,,5000161607,"10,294,382.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,ESSEX FIRE AUTHORITY,,5000161608,"1,172,529.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,ESSEX POLICE AUTHORITY,,5000161609,"2,383,553.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,GATESHEAD MBC,,5000161623,"3,842,656.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,GLOUCESTERSHIRE COUNTY CNCL,,5000161629,"5,001,298.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,GLOUCESTERSHIRE POLICE AUTHORITY,,5000161630,"811,173.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,GREATER LONDON AUTHORITY,,5000161626,"32,577,710.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,GREATER LONDON AUTHORITY-FIRE,,5000162121,"9,131,271.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,GREATER MANCHESTER FIRE,,5000161756,"2,473,792.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,GREATER MANCHESTER POL AUTH,,5000161757,"7,983,705.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,GREENWICH LB,,5000161637,"6,023,703.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,HALTON BC,,5000161643,"2,431,728.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,HAMPSHIRE COUNTY COUNCIL,,5000161649,"6,736,282.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,HAMPSHIRE FIRE & RESCUE AUTHORITY,,5000161650,"1,064,305.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,HAMPSHIRE POLICE AUTHORITY,,5000161651,"2,695,515.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,HARINGEY LB,,5000161654,"5,559,539.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,HARROW LB,,5000161661,"2,544,463.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,HARTLEPOOL BOROUGH COUNCIL,,5000161665,"1,887,138.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,HEREFORD WORCESTER FIRE BRIGADE,,5000161672,"377,616.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,HEREFORDSHIRE DISTRICT COUNCIL,,5000161673,"2,183,980.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,HERTFORDSHIRE CONTY CNCL,,5000161676,"7,282,849.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,HERTFORDSHIRE POLICE AUTH,,5000161675,"1,615,388.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,HULL CITY COUNCIL,,5000161713,"5,657,546.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,HUMBERSIDE FIRE & RESCUE SERVICE,,5000161689,"929,811.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,HUMBERSIDE POLICE,,5000161690,"2,015,172.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,ISLE OF WIGHT CNCL,,5000161695,"2,307,492.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,ISLES OF SCILLY COUNCIL,,5000161699,"94,303.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,KENT & MEDWAY TOWNS FIRE AUTHORITY,,5000161706,"1,031,110.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,KENT COUNTY CNCL,,5000161705,"11,465,406.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,KENT POLICE AUTHORITY,,5000161707,"2,961,759.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,KIRKLEES MBC,,5000161716,"5,776,631.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,KNOWSLEY MBC,,5000161718,"4,291,777.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,LANCASHIRE COMBINED FIRE AUTHORITY,,5000161723,"1,134,015.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,LANCASHIRE COUNTY CNCL,,5000161722,"12,107,483.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,LANCASHIRE POLICE AUTHORITY,,5000161724,"3,365,291.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,LEICESTER CITY CNCL,,5000161729,"6,888,559.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,LEICESTERSHIRE COUNTY CNCL,,5000161733,"3,948,322.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,LEICESTERSHIRE POLICE AUTHORITY,,5000161732,"1,740,837.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,LEICS LEICESTERSHIRE RUTLAND CFA,,5000161731,"660,792.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,LEWISHAM LB,,5000161736,"6,769,301.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,LINCOLNSHIRE COUNTY CNCL,,5000161743,"7,668,288.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,LINCOLNSHIRE POLICE AUTH,,5000161742,"893,117.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,LIVERPOOL CITY COUNCIL,,5000161744,"12,337,682.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,LONDON BOROUGH OF HACKNEY,,5000161642,"8,161,818.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,LONDON BOROUGH OF LAMBETH,,5000161721,"8,011,396.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,LONDON BOROUGH OF NEWHAM,,5000161793,"7,979,615.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,LONDON BOROUGH OF REDBRIDGE,,5000161858,"3,667,857.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,LUTON BC,,5000161746,"3,307,709.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,MERSEYSIDE FIRE & RESCUE SERVICE,,5000161766,"1,520,527.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,MERSEYSIDE POLICE AUTH,,5000161767,"4,843,372.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,MIDDLESBROUGH BC,,5000161777,"3,132,972.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORFOLK COUNTY COUNCIL,,5000161794,"9,322,652.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORFOLK POLICE AUTHORITY,,5000161795,"1,201,937.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORTH TYNESIDE MBC,,5000161813,"3,285,455.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORTH YORKSHIRE CC,,5000161816,"4,435,830.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORTH YORKSHIRE FIRE & RESCUE AUTH,,5000161817,"442,868.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORTH YORKSHIRE POLICE AUTHORITY,,5000161818,"1,150,490.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORTHAMPTONSHIRE COUNTY COUNCIL,,5000161821,"6,114,613.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORTHAMPTONSHIRE POLICE AUTH,,5000161822,"1,045,479.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORTHUMBERLAND,,5000162132,"4,682,847.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORTHUMBRIA POLICE AUTH,,5000161823,"4,597,148.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,NOTTINGHAM CITY COUNCIL,,5000161827,"6,705,419.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,NOTTINGHAMSHIRE COUNTY CNCL,,5000161828,"7,210,705.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,NOTTINGHAMSHIRE POLICE AU,,5000161830,"2,069,142.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,NOTTS & CITY NOTTINGHAM FIRE AUTH,,5000161829,"821,252.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,OLDHAM MBC,,5000161838,"4,441,777.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,OXFORDSHIRE CC,,5000161841,"4,432,506.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,PLYMOUTH CITY CNCL,,5000161847,"4,075,846.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,REDCAR & CLEVELAND BOROUGH COUNCIL,,5000161860,"2,467,129.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,ROCHDALE MBC,,5000161872,"4,192,519.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,ROTHERHAM MBC,,5000161881,"4,469,154.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,ROYAL BERKSHIRE FIRE AUTHORITY,,5000161428,"536,368.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,SALFORD CITY CNCL,,5000161894,"4,921,346.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,SANDWELL MBC,,5000161896,"6,767,060.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,SEFTON MBC,,5000161903,"4,581,692.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,SHEFFIELD CITY CNCL,,5000161908,"10,293,333.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,SHROPSHIRE & WREKIN FIRE AUTHORITY,,5000161912,"271,488.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,SHROPSHIRE COUNCIL,,5000162134,"3,456,133.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,SOMERSET COUNTY CNCL,,5000161917,"4,722,716.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,SOUTH TYNESIDE COUNCIL,,5000161947,"3,267,654.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,SOUTH YORKSHIRE FIRE & CD,,5000161948,"1,207,446.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,SOUTH YORKSHIRE P A,,5000161949,"3,429,602.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,SOUTHEND ON SEA BC,,5000161952,"2,322,687.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,ST HELENS MBC,,5000161963,"3,302,065.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,STAFFORDSHIRE  FIRE & RESCUE SERV,,5000161967,"672,713.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,STAFFORDSHIRE COUNTY CNCL,,5000161966,"6,342,784.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,STAFFORDSHIRE POLICE AUTHORITY,,5000161970,"1,775,402.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,STOKE ON TRENT CITY COUNCIL,,5000161978,"4,719,609.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,SUFFOLK COUNTY CNCL,,5000161983,"6,722,446.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,SUFFOLK POLICE AUTHORITY,,5000161986,"989,220.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,SUNDERLAND DC,,5000161988,"5,736,629.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,SURREY COUNTY CNCL,,5000161989,"5,531,607.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,SURREY POLICE AUTHORITY,,5000161992,"1,279,499.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,SUSSEX POLICE AUTHORITY,,5000161993,"2,389,389.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,TAMESIDE MBC,,5000162001,"3,872,407.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,THAMES VALLEY POLICE AUTHORITY,,5000162018,"3,243,710.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,TORBAY BC,,5000162028,"2,264,947.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,TYNE & WEAR FIRE AUTHORITY,,5000162037,"1,168,013.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,W YORKSHIRE FIRE & RESCUE AUTH,,5000162086,"1,894,567.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,WALSALL MBC,,5000162044,"4,974,829.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,WALTHAM FOREST LB,,5000162047,"4,569,245.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,WANDSWORTH LB,,5000162048,"5,539,858.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,WARWICKSHIRE COUNTY CNCL,,5000162054,"3,894,208.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,WARWICKSHIRE POLICE AUTHORITY,,5000162055,"729,321.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,WEST MERCIA POLICE AUTH,,5000162078,"1,888,971.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,WEST MIDLANDS FIRE & CIVIL DEFENCE,,5000162079,"2,653,681.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,WEST MIDLANDS POLICE AUTH,,5000162080,"8,160,239.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,WEST SUSSEX CC,,5000162085,"4,391,895.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,WEST YORKSHIRE POLICE AUTHORITY,,5000162087,"5,474,645.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,WIGAN MBC,,5000162093,"4,898,893.00",Yes,
