Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Total
Ministry of Defence,Ministry of Defence,24/08/2011,Design services and minor equipment purchases,Defence Equipment & Support,POLAR SHIP INVEST II AS,N5809,3000005858,1257490
Ministry of Defence,Ministry of Defence,18/08/2011,Estate management,Defence Infrastructure Organisation ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,833670,1218214.66
Ministry of Defence,Ministry of Defence,10/08/2011,Estate management,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,830004,1200000
Ministry of Defence,Ministry of Defence,09/08/2011,Grants to NDPBs,Land Forces,THE GURKHA WELFARE TRUST,SP2 2EX,829859,1172000
Ministry of Defence,Ministry of Defence,26/08/2011,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,837078,1128498.02
Ministry of Defence,Ministry of Defence,17/08/2011,Estate management,Defence Infrastructure Organisation ,SODEXO LTD,M50 0AL,832974,1123396.21
Ministry of Defence,Ministry of Defence,30/08/2011,Property leases,Defence Infrastructure Organisation ,ASPIRE DEFENCE LIMITED,SP9 7QD,837201,1111322.36
Ministry of Defence,Ministry of Defence,05/08/2011,Estate management,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,828561,1108475.65
Ministry of Defence,Ministry of Defence,11/08/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,TURNER ESTATE SOLUTIONS LIMITED,KY11 2BL,830907,1060688.4
Ministry of Defence,Ministry of Defence,18/08/2011,Property leases,Central TLB,MINERVA EDUCATION AND TRAINING  LIMITED,RG10 9JU,833437,1048467.34
Ministry of Defence,Ministry of Defence,12/08/2011,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,831461,1018188.04
Ministry of Defence,Ministry of Defence,11/08/2011,Property leases,Defence Infrastructure Organisation ,VEOLIA WATER NEVIS LIMITED,KY11 8UU,830925,991572.15
