Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Total
Ministry of Defence,Ministry of Defence,22/08/2011,Fuel for military use,Air Command,EXXONMOBIL PETROLEUM & CHEMICAL BVBA,KT22 8UX,2000012524,16879.09
Ministry of Defence,Ministry of Defence,04/08/2011,Payment of utilities,Central TLB,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,828186,16848.43
Ministry of Defence,Ministry of Defence,01/08/2011,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,CV2 2TX,826137,16747.65
Ministry of Defence,Ministry of Defence,02/08/2011,Purchase of inventory and services ,Defence Equipment & Support,CORPORATE DOCUMENT SERVICES  LIMITED,LS2 7LY,826773,16743.55
Ministry of Defence,Ministry of Defence,19/08/2011,Medical treatment & stores and welfare services,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK19 7BH,833912,16729.49
Ministry of Defence,Ministry of Defence,09/08/2011,"Transporation of personnel, freight and travel expenses",Central TLB,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,829776,16645.4
Ministry of Defence,Ministry of Defence,05/08/2011,Design services and minor equipment purchases,Defence Equipment & Support,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,RG27 9XA,828498,16619
Ministry of Defence,Ministry of Defence,02/08/2011,Fuel for military use,Land Forces,ARAL AG.,,5000060467,16613.4
Ministry of Defence,Ministry of Defence,31/08/2011,Design services and minor equipment purchases,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,837916,16607.27
Ministry of Defence,Ministry of Defence,09/08/2011,Purchase of inventory and services ,Defence Equipment & Support,CORPORATE DOCUMENT SERVICES  LIMITED,LS2 7LY,829524,16583.9
Ministry of Defence,Ministry of Defence,04/08/2011,Rent and rates,Defence Infrastructure Organisation ,SVO VERTRIEB GMBH,,5000060731,16515.93
Ministry of Defence,Ministry of Defence,31/08/2011,Rent and rates,Defence Infrastructure Organisation ,SVO VERTRIEB GMBH,,5000061879,16515.93
Ministry of Defence,Ministry of Defence,18/08/2011,Externally delivered education and training,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2.00E+11,16432.45
Ministry of Defence,Ministry of Defence,05/08/2011,Payment of utilities,Central TLB,GB OILS LIMITED,FK5 4RB,828463,16423.79
Ministry of Defence,Ministry of Defence,17/08/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,WYG MANAGEMENT SERVICES LIMITED,L2 6RE,833042,16409
Ministry of Defence,Ministry of Defence,04/08/2011,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,CV2 2TX,827642,16403.15
Ministry of Defence,Ministry of Defence,24/08/2011,Payment of utilities,Defence Equipment & Support,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,835917,16345.71
Ministry of Defence,Ministry of Defence,15/08/2011,Estate management,Navy Command,OCS GROUP UK LIMITED,LA3 3BJ,831883,16325.3
Ministry of Defence,Ministry of Defence,26/08/2011,Transport hire charges,Land Forces,RYDER PUBLIC LIMITED COMPANY,SK16 4UL,837041,16240.18
Ministry of Defence,Ministry of Defence,19/08/2011,Medical treatment & stores and welfare services,Land Forces,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,833967,16219.44
Ministry of Defence,Ministry of Defence,26/08/2011,Design services and minor equipment purchases,Air Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,836630,16208.58
Ministry of Defence,Ministry of Defence,05/08/2011,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,CV2 2TX,828269,16137.44
Ministry of Defence,Ministry of Defence,12/08/2011,Medical treatment & stores and welfare services,Land Forces,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,831173,16083.2
Ministry of Defence,Ministry of Defence,31/08/2011,Fees for professional services,Central TLB,SERCO LIMITED,RG27 9UY,838165,15837.47
Ministry of Defence,Ministry of Defence,01/08/2011,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,CV2 2TX,826137,15834.64
Ministry of Defence,Ministry of Defence,15/08/2011,Payment of utilities,Defence Infrastructure Organisation ,DCC ENERGY LTD,BT3 9ED,33105,15734.4
Ministry of Defence,Ministry of Defence,04/08/2011,Purchase of inventory and services ,Defence Equipment & Support,C F ANDERSON & SON LIMITED,C06 1HD,827733,15705.48
Ministry of Defence,Ministry of Defence,23/08/2011,Design services and minor equipment purchases,Defence Equipment & Support,TRUSTMARQUE SOLUTIONS LIMITED,YO32 9WN,835452,15656
Ministry of Defence,Ministry of Defence,24/08/2011,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,CV2 2TX,835480,15639.34
Ministry of Defence,Ministry of Defence,31/08/2011,Payment of utilities,Air Command,GB OILS LIMITED,FK5 4RB,837957,15575.7
Ministry of Defence,Ministry of Defence,15/08/2011,Purchase of inventory and services ,Land Forces,XMA LTD,NG11 7EP,832051,15508.3
Ministry of Defence,Ministry of Defence,03/08/2011,Transport hire charges,Defence Infrastructure Organisation ,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,827137,15506.55
Ministry of Defence,Ministry of Defence,25/08/2011,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,CV2 2TX,836015,15483.1
Ministry of Defence,Ministry of Defence,30/08/2011,Purchase of inventory and services ,Defence Equipment & Support,BOC LIMITED,M28 2UT,837240,15398.94
Ministry of Defence,Ministry of Defence,23/08/2011,Fees for professional services,Land Forces,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,835188,15384.02
Ministry of Defence,Ministry of Defence,24/08/2011,Estate management,Land Forces,ISS MEDICLEAN LIMITED,GU21 5RW,835691,15383.89
Ministry of Defence,Ministry of Defence,31/08/2011,Payment of utilities,Central TLB,GB OILS LIMITED,FK5 4RB,837957,15380.64
Ministry of Defence,Ministry of Defence,05/08/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,RMPA SERVICES PLC,CO2 7ST,828667,15375
Ministry of Defence,Ministry of Defence,02/08/2011,Food and clothing,Defence Equipment & Support,SERCO LIMITED,RG27 9UY,827011,15314.05
Ministry of Defence,Ministry of Defence,17/08/2011,Estate management,Defence Equipment & Support,AVENANCE PLC,SK11 6ET,832611,15307.92
Ministry of Defence,Ministry of Defence,03/08/2011,"Transporation of personnel, freight and travel expenses",Land Forces,DSV AIR & SEA LIMITED,M22 4NY,827262,15254.24
Ministry of Defence,Ministry of Defence,08/08/2011,Purchase of inventory and services ,Land Forces,XMA LTD,NG11 7EP,829397,15228.82
Ministry of Defence,Ministry of Defence,22/08/2011,Estate management,Land Forces,QINETIQ LIMITED,PO12 2AG,834795,15144
Ministry of Defence,Ministry of Defence,08/08/2011,Purchase of inventory and services ,Defence Equipment & Support,XMA LTD,NG11 7EP,829397,15090.15
Ministry of Defence,Ministry of Defence,02/08/2011,Purchase of inventory and services ,Central TLB,CORPORATE DOCUMENT SERVICES  LIMITED,LS2 7LY,826773,15080.2
Ministry of Defence,Ministry of Defence,23/08/2011,Research and development,Defence Equipment & Support,QINETIQ LIMITED,PO12 2AG,835366,15000
Ministry of Defence,British Defence Staff -United States,19/08/2011,Medical treatment & stores and welfare services,Defence Equipment & Support,MERITAIN HEALTH,,281655,14854.81
Ministry of Defence,Ministry of Defence,05/08/2011,Purchase of inventory and services ,Land Forces,XMA LTD,NG11 7EP,828782,14828.38
Ministry of Defence,Ministry of Defence,15/08/2011,Estate management,Defence Equipment & Support,INTERSERVE (DEFENCE) LTD,BS34 8YU,831763,14827
Ministry of Defence,Ministry of Defence,02/08/2011,"Transporation of personnel, freight and travel expenses",Air Command,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,826988,14779
Ministry of Defence,Ministry of Defence,04/08/2011,IT and communication services,Defence Equipment & Support,S.COM GROUP LTD,LU1 3BA,828156,14707.2
Ministry of Defence,Ministry of Defence,25/08/2011,Purchase of inventory and services ,Land Forces,XMA LTD,NG11 7EP,836566,14602.46
Ministry of Defence,Ministry of Defence,04/08/2011,Purchase of inventory and services ,Defence Infrastructure Organisation ,C F ANDERSON & SON LIMITED,C06 1HD,827733,14592.62
Ministry of Defence,Ministry of Defence,15/08/2011,Medical treatment & stores and welfare services,Land Forces,HAYS SPECIALIST RECRUITMENT LIMITED,SW1W 0NT,831747,14583.21
Ministry of Defence,Ministry of Defence,09/08/2011,Purchase of buildings and military equipment ,Air Command,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,829874,14409.78
Ministry of Defence,Ministry of Defence,04/08/2011,General services and support,Land Forces,CANON (UK) LIMITED,RH2 8BF,827741,14407.3
Ministry of Defence,Ministry of Defence,04/08/2011,Design services and minor equipment purchases,Defence Equipment & Support,BAE SYSTEMS INTEGRATED SYSTEM TECHNOLOGIES LIMITED,CM1 1QW,827698,14336.82
Ministry of Defence,Ministry of Defence,12/08/2011,Medical treatment & stores and welfare services,Land Forces,SERVICES SOUND & VISION CORPORATION,SL9 8TN,831435,14334
Ministry of Defence,Ministry of Defence,24/08/2011,Design services and minor equipment purchases,Air Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,835517,14306.05
Ministry of Defence,Ministry of Defence,26/08/2011,Purchase of inventory and services ,Defence Equipment & Support,BOC LIMITED,M28 2UT,836652,14282.43
Ministry of Defence,Ministry of Defence,31/08/2011,Purchase of inventory and services ,Defence Equipment & Support,XMA LTD,NG11 7EP,838235,14276.53
Ministry of Defence,Ministry of Defence,22/08/2011,Estate management,Land Forces,ASPIRE DEFENCE LIMITED,SP9 7QD,834307,14234.96
Ministry of Defence,Ministry of Defence,11/08/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,BEZIRKSREGIERUNG DUESSELDORF,,5000061033,14183.48
Ministry of Defence,Ministry of Defence,05/08/2011,Purchase of inventory and services ,Defence Equipment & Support,XMA LTD,NG11 7EP,828782,14087.9
Ministry of Defence,Ministry of Defence,05/08/2011,Estate management,Defence Equipment & Support,VT FLAGSHIP LTD,PO6 4PR,828773,13987.63
Ministry of Defence,Ministry of Defence,09/08/2011,Estate management,Air Command,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,829874,13925.49
Ministry of Defence,Ministry of Defence,15/08/2011,Food and clothing,Navy Command,TURNER VIRR & CO. LTD,LS25 2DY,832015,13781.84
Ministry of Defence,Ministry of Defence,05/08/2011,Purchase of inventory and services ,Air Command,XMA LTD,NG11 7EP,828782,13770.28
Ministry of Defence,Ministry of Defence,12/08/2011,Purchase of inventory and services ,Central TLB,SERCO LIMITED,RG27 9UY,831433,13744.5
Ministry of Defence,Ministry of Defence,05/08/2011,Medical treatment & stores and welfare services,Land Forces,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,828496,13664.25
Ministry of Defence,Ministry of Defence,11/08/2011,Estate management,Land Forces,SODEXO LTD,M50 0AL,830843,13602.35
Ministry of Defence,Ministry of Defence,19/08/2011,Fees for professional services,Land Forces,HAYS SPECIALIST RECRUITMENT LIMITED,SW1W 0NT,833952,13591.25
Ministry of Defence,Ministry of Defence,18/08/2011,IT and communication services,Defence Equipment & Support,VEGA CONSULTING SERVICES LTD,AL7 1TW,833691,13566
Ministry of Defence,United Kingdom Hydrographic Office,22/08/2011,Computer maintenance & hire,ICT Delivery Business Group,CARIS B.V.,,1500012556,13555.29
Ministry of Defence,Ministry of Defence,04/08/2011,Purchase of inventory and services ,Defence Equipment & Support,HENRY SCHEIN UK HOLDINGS LIMITED,ME8 0SB,827881,13502.34
Ministry of Defence,Ministry of Defence,15/08/2011,Transport hire charges,Command Joint Operations,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,831589,13466.55
Ministry of Defence,Ministry of Defence,19/08/2011,IT and communication services,Central TLB,LOGICA UK LIMITED,CF31 9AP,833997,13463.5
Ministry of Defence,Ministry of Defence,26/08/2011,"Transporation of personnel, freight and travel expenses",Defence Equipment & Support,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,836716,13460.72
Ministry of Defence,Ministry of Defence,23/08/2011,Purchase of inventory and services ,Land Forces,XMA LTD,NG11 7EP,835474,13460.61
Ministry of Defence,Ministry of Defence,01/08/2011,Fees for professional services,Land Forces,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,826362,13393.62
Ministry of Defence,Ministry of Defence,25/08/2011,"Public relations, including marketing and advertising.",Central TLB,CENTRAL OFFICE OF INFORMATION,SE1 7DU,836130,13375
Ministry of Defence,Ministry of Defence,16/08/2011,Estate management,Defence Infrastructure Organisation ,SECURITAS SECURITY PERSONNEL LIMITED,NN8 6GR,832491,13345.54
Ministry of Defence,Ministry of Defence,03/08/2011,Payment of utilities,Air Command,GB OILS LIMITED,FK5 4RB,827299,13337.52
Ministry of Defence,Ministry of Defence,24/08/2011,Food and clothing,Air Command,AVENANCE PLC,SK11 6ET,835512,13305.05
Ministry of Defence,Ministry of Defence,16/08/2011,Estate management,Defence Infrastructure Organisation ,COMPASS CONTRACT SERVICES (U K)LIMITED,B45 9PZ,832160,13213.19
Ministry of Defence,Ministry of Defence,24/08/2011,Design services and minor equipment purchases,Defence Equipment & Support,HALE HAMILTON (VALVES) LTD,UB8 2AF,835662,13204
Ministry of Defence,Ministry of Defence,09/08/2011,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,CV2 2TX,829409,13148.63
Ministry of Defence,Ministry of Defence,30/08/2011,Purchase of inventory and services ,Air Command,CORPORATE DOCUMENT SERVICES  LIMITED,LS2 7LY,837293,13047.86
Ministry of Defence,Ministry of Defence,10/08/2011,Food and clothing,Land Forces,SODEXO LTD,M50 0AL,830298,13043.96
Ministry of Defence,Ministry of Defence,02/08/2011,Purchase of inventory and services ,Defence Equipment & Support,XMA LTD,NG11 7EP,827068,13019.17
Ministry of Defence,Ministry of Defence,05/08/2011,Purchase of inventory and services ,Navy Command,CANON (UK) LIMITED,RH2 8BF,828362,13016.06
Ministry of Defence,Ministry of Defence,04/08/2011,Payment of utilities,Air Command,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,828186,12942.19
Ministry of Defence,Ministry of Defence,16/08/2011,Medical treatment & stores and welfare services,Land Forces,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,832266,12859.84
Ministry of Defence,Ministry of Defence,26/08/2011,Purchase of inventory and services ,Air Command,XMA LTD,NG11 7EP,837157,12793.9
Ministry of Defence,Ministry of Defence,18/08/2011,Design services and minor equipment purchases,Land Forces,SAFESKYS LTD,HP11 1LT,833579,12779.29
Ministry of Defence,Ministry of Defence,24/08/2011,"Transporation of personnel, freight and travel expenses",Air Command,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2.00E+11,12721.27
Ministry of Defence,Ministry of Defence,04/08/2011,"Transporation of personnel, freight and travel expenses",Command Joint Operations,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,827790,12696.11
Ministry of Defence,Ministry of Defence,18/08/2011,Estate management,Air Command,QINETIQ LIMITED,PO12 2AG,833545,12591.71
Ministry of Defence,Ministry of Defence,22/08/2011,Purchase of inventory and services ,Land Forces,XMA LTD,NG11 7EP,834992,12588.63
Ministry of Defence,Ministry of Defence,09/08/2011,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,CV2 2TX,829409,12571.77
Ministry of Defence,Ministry of Defence,31/08/2011,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,CV2 2TX,837807,12559.61
Ministry of Defence,Ministry of Defence,12/08/2011,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,CV2 2TX,830974,12522.15
Ministry of Defence,Ministry of Defence,18/08/2011,Payment of utilities,Defence Equipment & Support,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,833621,12473.43
Ministry of Defence,Ministry of Defence,22/08/2011,"Adminstration, claims, compensation and awards",Central TLB,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,SN6 8TS,834426,12471.11
Ministry of Defence,Ministry of Defence,03/08/2011,Property leases,Navy Command,FALCON SUPPORT SERVICES LIMITED,RG10 9JU,827283,12466.85
Ministry of Defence,Ministry of Defence,19/08/2011,Estate management,Land Forces,SODEXO LTD,M50 0AL,834173,12454.69
Ministry of Defence,Ministry of Defence,08/08/2011,Medical treatment & stores and welfare services,Central TLB,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,828933,12400
Ministry of Defence,Ministry of Defence,17/08/2011,Medical treatment & stores and welfare services,Land Forces,THE SOLDIERS  SAILORS  AIRMEN AND FAMILIES ASS - FORCES HELP,SE1 2LP,833004,12392
Ministry of Defence,Ministry of Defence,03/08/2011,Medical treatment & stores and welfare services,Land Forces,SERCO LIMITED,RG27 9UY,827531,12390
Ministry of Defence,Ministry of Defence,22/08/2011,Fees for professional services,Central TLB,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,SN6 8TS,834426,12324.07
Ministry of Defence,Defence Science and Technology Laboratory,19/08/2011,Consumable Materials,Corporate,BARCLAYCARD,,G - 9000135415 - 00116695,12278.42
Ministry of Defence,Ministry of Defence,04/08/2011,Food and clothing,Land Forces,ARAMARK LTD,LS16 6QY,827668,12240.9
Ministry of Defence,Ministry of Defence,08/08/2011,Design services and minor equipment purchases,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,828933,12164.64
Ministry of Defence,Ministry of Defence,19/08/2011,Food and clothing,Central TLB,SODEXO LTD,M50 0AL,834173,12122.78
Ministry of Defence,Ministry of Defence,30/08/2011,"Transporation of personnel, freight and travel expenses",Land Forces,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,837309,12110.06
Ministry of Defence,Ministry of Defence,04/08/2011,"Transporation of personnel, freight and travel expenses",Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2.00E+11,12108.69
Ministry of Defence,Ministry of Defence,19/08/2011,Purchase of inventory and services ,Land Forces,XMA LTD,NG11 7EP,834271,12065.82
Ministry of Defence,Ministry of Defence,03/08/2011,Design services and minor equipment purchases,Defence Equipment & Support,AVIATION REQUIREMENTS LTD,DT9 4JW,827126,12000
Ministry of Defence,Ministry of Defence,12/08/2011,Design services and minor equipment purchases,Defence Equipment & Support,SERCO LIMITED,RG27 9UY,831433,12000
Ministry of Defence,Ministry of Defence,31/08/2011,Medical treatment & stores and welfare services,Land Forces,HAYS SPECIALIST RECRUITMENT LIMITED,SW1W 0NT,837966,11968.1
Ministry of Defence,Ministry of Defence,02/08/2011,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,CV2 2TX,826679,11912.93
Ministry of Defence,Ministry of Defence,03/08/2011,Estate management,Air Command,SAFESKYS LTD,HP11 1LT,827516,11839.18
Ministry of Defence,Ministry of Defence,23/08/2011,Purchase of inventory and services ,Defence Equipment & Support,XMA LTD,NG11 7EP,835474,11785.31
Ministry of Defence,Ministry of Defence,08/08/2011,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,CV2 2TX,828795,11712.53
Ministry of Defence,Ministry of Defence,01/08/2011,Fees for professional services,Defence Infrastructure Organisation ,AMEC ENVIRONMENT & INFRASTRUCTURE UK LIMITED,NE3 3PX,162173,11704.16
Ministry of Defence,Ministry of Defence,31/08/2011,Payment of utilities,Defence Infrastructure Organisation ,GB OILS LIMITED,FK5 4RB,837957,11667.34
Ministry of Defence,Ministry of Defence,02/08/2011,Purchase of inventory and services ,Central TLB,XMA LTD,NG11 7EP,827068,11648.47
Ministry of Defence,Ministry of Defence,03/08/2011,"Transporation of personnel, freight and travel expenses",Air Command,DSV AIR & SEA LIMITED,M22 4NY,827262,11647.88
Ministry of Defence,Ministry of Defence,09/08/2011,Purchase of inventory and services ,Defence Equipment & Support,C F ANDERSON & SON LIMITED,C06 1HD,829495,11639.76
Ministry of Defence,Ministry of Defence,11/08/2011,Payment of utilities,Land Forces,WATSON PETROLEUM LTD,SN15 5DN,830935,11544.15
Ministry of Defence,Ministry of Defence,03/08/2011,Nuclear decommissioning and restoration,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,827244,11515.5
Ministry of Defence,Ministry of Defence,08/08/2011,Purchase of inventory and services ,Air Command,BOC LIMITED,M28 2UT,828869,11493.27
Ministry of Defence,Ministry of Defence,03/08/2011,Fees for professional services,Land Forces,L.A. INTERNATIONAL COMPUTER  CONSULTANTS LIMITED,ST1 5UB,827368,11460
Ministry of Defence,Ministry of Defence,19/08/2011,Design services and minor equipment purchases,Defence Equipment & Support,G3 SYSTEMS LIMITED,DT5 1PY,833923,11420.85
Ministry of Defence,Ministry of Defence,31/08/2011,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,CV2 2TX,837807,11405.39
Ministry of Defence,Ministry of Defence,23/08/2011,Purchase of inventory and services ,Defence Equipment & Support,MARKET & OPINION RESEARCH INTERNATIONAL,W1U 6NS,835239,11400
Ministry of Defence,Ministry of Defence,22/08/2011,Transport hire charges,Land Forces,RYDER PUBLIC LIMITED COMPANY,SK16 4UL,834836,11339.88
Ministry of Defence,Ministry of Defence,04/08/2011,Transport hire charges,Air Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,827691,11319.17
Ministry of Defence,Ministry of Defence,24/08/2011,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PO9 5DD,835916,11301.52
Ministry of Defence,Ministry of Defence,09/08/2011,"Transporation of personnel, freight and travel expenses",Air Command,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,829776,11298.3
Ministry of Defence,Ministry of Defence,02/08/2011,"Transporation of personnel, freight and travel expenses",Navy Command,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,826988,11211.4
Ministry of Defence,Ministry of Defence,19/08/2011,Medical treatment & stores and welfare services,Land Forces,HAYS SPECIALIST RECRUITMENT LIMITED,SW1W 0NT,833952,11159.5
Ministry of Defence,Ministry of Defence,22/08/2011,Fees for professional services,Land Forces,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,834534,11148.75
Ministry of Defence,Ministry of Defence,18/08/2011,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,CV2 2TX,833048,11095.46
Ministry of Defence,Ministry of Defence,08/08/2011,Medical treatment & stores and welfare services,Land Forces,CASTLEROCK RECRUITMENT GROUP LIMITED,WA9 1UA,828897,11010.35
Ministry of Defence,Ministry of Defence,30/08/2011,Design services and minor equipment purchases,Defence Equipment & Support,SYSTEMS CONSULTANTS SERVICES  LIMITED,RG7 4SA,837721,10998
Ministry of Defence,Ministry of Defence,26/08/2011,IT and communication services,Defence Equipment & Support,L.A. INTERNATIONAL COMPUTER  CONSULTANTS LIMITED,ST1 5UB,836835,10957.6
Ministry of Defence,Ministry of Defence,22/08/2011,Medical treatment & stores and welfare services,Command Joint Operations,WRVS SERVICES WELFARE LIMITED,CF23 8RP,834988,10948.78
Ministry of Defence,Ministry of Defence,25/08/2011,Purchase of inventory and services ,Air Command,BOC LIMITED,M28 2UT,836089,10926.6
Ministry of Defence,Ministry of Defence,16/08/2011,Purchase of inventory and services ,Air Command,XMA LTD,NG11 7EP,832570,10894.74
Ministry of Defence,Ministry of Defence,05/08/2011,Payment of utilities,Air Command,PACE FUELCARE LIMITED,TW20 9AB,828626,10811.47
Ministry of Defence,Ministry of Defence,25/08/2011,Fees for professional services,Land Forces,HAYS SPECIALIST RECRUITMENT LIMITED,SW1W 0NT,836259,10740
Ministry of Defence,Ministry of Defence,03/08/2011,Purchase of inventory and services ,Air Command,CARWOOD MOTOR UNITS LTD,CV3 2RQ,827195,10724.05
Ministry of Defence,Ministry of Defence,02/08/2011,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,CV2 2TX,826679,10711.85
Ministry of Defence,Ministry of Defence,31/08/2011,"Transporation of personnel, freight and travel expenses",Defence Equipment & Support,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,838139,10592.9
Ministry of Defence,Ministry of Defence,11/08/2011,Food and clothing,Air Command,AVENANCE PLC,SK11 6ET,830423,10563.49
Ministry of Defence,Ministry of Defence,04/08/2011,Design services and minor equipment purchases,Defence Equipment & Support,SYSTEMS CONSULTANTS SERVICES  LIMITED,RG7 4SA,828200,10557.2
Ministry of Defence,Ministry of Defence,19/08/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,VEGA CONSULTING SERVICES LTD,AL7 1TW,834256,10436.52
Ministry of Defence,Ministry of Defence,31/08/2011,Design services and minor equipment purchases,Air Command,EQUIPMENT HIRE SERVICES LTD,OL9 7AH,837937,10413.45
Ministry of Defence,Ministry of Defence,03/08/2011,Estate management,Air Command,SECURITAS SECURITY PERSONNEL LIMITED,NN8 6GR,827527,10379.7
Ministry of Defence,Ministry of Defence,05/08/2011,Estate management,Defence Infrastructure Organisation ,AVENANCE PLC,SK11 6ET,828302,10375.9
Ministry of Defence,Ministry of Defence,04/08/2011,Purchase of inventory and services ,Navy Command,CANON (UK) LIMITED,RH2 8BF,827741,10355.33
Ministry of Defence,Ministry of Defence,10/08/2011,Design services and minor equipment purchases,Air Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,829948,10334.57
Ministry of Defence,Ministry of Defence,15/08/2011,Design services and minor equipment purchases,Air Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,831589,10317.5
Ministry of Defence,Ministry of Defence,23/08/2011,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,835423,10280.99
Ministry of Defence,Ministry of Defence,30/08/2011,Medical treatment & stores and welfare services,Land Forces,CASTLEROCK RECRUITMENT GROUP LIMITED,WA9 1UA,837274,10276.72
Ministry of Defence,Ministry of Defence,19/08/2011,Transport hire charges,Defence Infrastructure Organisation ,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,833763,10251.92
Ministry of Defence,Ministry of Defence,23/08/2011,Estate management,Defence Infrastructure Organisation ,ARAMARK LTD,LS16 6QY,835032,10221.43
Ministry of Defence,Ministry of Defence,24/08/2011,Estate management,Air Command,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,835973,10217.34
Ministry of Defence,Ministry of Defence,18/08/2011,"Transporation of personnel, freight and travel expenses",Central TLB,CARTUS LTD,SN5 8RS,833196,10156.66
Ministry of Defence,Ministry of Defence,31/08/2011,Purchase of inventory and services ,Air Command,XMA LTD,NG11 7EP,838235,10151.2
Ministry of Defence,Ministry of Defence,10/08/2011,Medical treatment & stores and welfare services,Land Forces,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,830131,10076.37
Ministry of Defence,Ministry of Defence,30/08/2011,Purchase of inventory and services ,Air Command,XMA LTD,NG11 7EP,837797,10061.29
Ministry of Defence,Ministry of Defence,04/08/2011,Design services and minor equipment purchases,Air Command,FLUGHAFEN HANNOVER LANGENHAGEN GMBH,,5000060682,10005.93
Ministry of Defence,Ministry of Defence,10/08/2011,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,CV2 2TX,829904,10000.94
Ministry of Defence,Ministry of Defence,16/08/2011,Purchase of buildings and military equipment ,Land Forces,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,832263,10000
Ministry of Defence,Ministry of Defence,30/08/2011,Purchase of inventory and services ,Air Command,OFFICE DEPOT UK LTD,SP10 4JZ,837604,9980.69
Ministry of Defence,Ministry of Defence,17/08/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,JACOBS U.K. LTD,G2 7HX,832753,9930
