Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Ministry of Defence,Ministry of Defence,28/05/2010,Food and clothing,Land Forces,TURNER VIRR & CO. LTD,642596,728.51
Ministry of Defence,Ministry of Defence,28/05/2010,Food and clothing,Navy Command,TURNER VIRR & CO. LTD,642596,47898.81
Ministry of Defence,Ministry of Defence,18/05/2010,Fees for professional services,Land Forces,TWOFOUR COMMUNICATIONS LIMITED,636101,24104.00
Ministry of Defence,Defence Science and Technology Laboratory,28/05/2010,Professional Services,Operations,UK DEFENCE PROCUREMENT OFFICE,V - 0000000412 - 00082176,25685.07
Ministry of Defence,Ministry of Defence,26/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,ULTRA ELECTRONICS LIMITED,641162,69023.53
Ministry of Defence,Ministry of Defence,17/05/2010,Payments on behalf of Defence Support Group,Central TLB,UNIPART GROUP LIMITED,635436,13379.97
Ministry of Defence,Ministry of Defence,17/05/2010,Purchase of inventory and services ,Air Command,UNIPART GROUP LIMITED,635436,5631.26
Ministry of Defence,Ministry of Defence,17/05/2010,Purchase of inventory and services ,Land Forces,UNIPART GROUP LIMITED,635436,19909.56
Ministry of Defence,Ministry of Defence,14/05/2010,Medical treatment & stores and welfare services.,Central TLB,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,634679,1635812.84
Ministry of Defence,Ministry of Defence,18/05/2010,Externally delivered education and training.,Central TLB,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,636108,300.00
Ministry of Defence,Ministry of Defence,18/05/2010,Medical treatment & stores and welfare services.,Central TLB,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,636108,1802538.48
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Sub Contracted Work,Operations,UNIVERSITY OF BRISTOL,V - 9000122989 - 00080255,29159.00
Ministry of Defence,Ministry of Defence,19/05/2010,Externally delivered education and training.,Air Command,UNIVERSITY OF LINCOLN,636845,67426.00
Ministry of Defence,Defence Science and Technology Laboratory,14/05/2010,Professional Services,Programme Office,UNIVERSITY OF ST ANDREWS,V - 9000122775 - 00080570,80081.18
Ministry of Defence,Defence Science and Technology Laboratory,14/05/2010,Sub Contracted Work,Operations,UNIVERSITY OF YORK,V - 9000122774 - 00080854,30556.00
Ministry of Defence,Ministry of Defence,21/05/2010,Rent and rates,Defence Estates,UTTLESFORD DISTRICT COUNCIL,638342,27736.73
Ministry of Defence,Ministry of Defence,21/05/2010,Rent and rates,Defence Estates,VALE OF GLAMORGAN COUNCIL,638345,33903.01
Ministry of Defence,Ministry of Defence,21/05/2010,Rent and rates,Defence Estates,VALE OF WHITE HORSE DISTRICT COUNCIL,638346,140045.68
Ministry of Defence,Ministry of Defence,12/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,VECTOR AEROSPACE INTERNATIONAL  LIMITED,633169,1387948.99
Ministry of Defence,Ministry of Defence,26/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,VECTOR AEROSPACE INTERNATIONAL  LIMITED,641174,995733.83
Ministry of Defence,Ministry of Defence,13/05/2010,IT and communication services,Central TLB,VEGA CONSULTING SERVICES LTD,633905,7578.00
Ministry of Defence,Ministry of Defence,21/05/2010,IT and communication services,Central TLB,VEGA CONSULTING SERVICES LTD,638348,42322.50
Ministry of Defence,Ministry of Defence,25/05/2010,IT and communication services,Air Command,VEGA CONSULTING SERVICES LTD,640382,603.00
Ministry of Defence,Ministry of Defence,20/05/2010,Payments on behalf of Defence Support Group,Central TLB,VEOLIA ES (UK) LIMITED,637507,6457.23
Ministry of Defence,Ministry of Defence,20/05/2010,Estate management,Air Command,VEOLIA ES (UK) LIMITED,637507,7586.50
Ministry of Defence,Ministry of Defence,20/05/2010,Estate management,Land Forces,VEOLIA ES (UK) LIMITED,637507,9995.92
Ministry of Defence,Ministry of Defence,21/05/2010,Estate management,Command Joint Operations,VEOLIA ES (UK) LIMITED,638350,34568.82
Ministry of Defence,Ministry of Defence,21/05/2010,Estate management,Land Forces,VEOLIA ES (UK) LIMITED,638350,510.50
Ministry of Defence,Ministry of Defence,21/05/2010,Miscellaneous Administration Costs,Air Command,VEOLIA ES (UK) LIMITED,638350,1117.90
