post_date,Publishable Label,trans_amnt,,Publishable label is provided by Bank and is industry standard.  May not however give true indication of purchase- additional comment provided as necessary,,,,
07/10/2011,Travel Agencies,969.3,,,,,,
07/10/2011,Travel Agencies,-969.92,,,,,,
07/10/2011,Hotels/Motels/Resorts,590,,,,,,
07/10/2011,Hotels/Motels/Resorts,924.44,,,,,,
07/10/2011,Hotels/Motels/Resorts,1109.33,,,,,,
07/10/2011,Combination Catalog & Retail,517,,,,,,
10/10/2011,Travel Agencies,1323.73,,,,,,
10/10/2011,Travel Agencies,1256.2,,,,,,
10/10/2011,Travel Agencies,3051.19,,,,,,
10/10/2011,Travel Agencies,1256.2,,,,,,
10/10/2011,Travel Agencies,1323.73,,,,,,
10/10/2011,Hotels/Motels/Resorts,700,,,,,,
10/10/2011,Hotels/Motels/Resorts,760,,,,,,
10/10/2011,Hotels/Motels/Resorts,1194.46,,,,,,
10/10/2011,Automobile Rental Agency,799.54,,,,,,
10/10/2011,Airlines,677.02,,,,,,
10/10/2011,Travel Agencies,2849.72,,,,,,
10/10/2011,Airlines,541.7,,,,,,
10/10/2011,Airlines,541.7,,,,,,
10/10/2011,Airlines,4796.3,,,,,,
10/10/2011,Hotels/Motels/Resorts,1818,,,,,,
10/10/2011,Hotels/Motels/Resorts,1804,,,,,,
10/10/2011,Hotels/Motels/Resorts,1788,,,,,,
10/10/2011,Airlines,550.73,,,,,,
10/10/2011,Airlines,529.5,,,,,,
10/10/2011,Airlines,539.63,,,,,,
10/10/2011,Airlines,1572.1,,,,,,
10/10/2011,Airlines,1716.73,,,,,,
10/10/2011,Airlines,2486.63,,,,,,
10/10/2011,Men/Boys Clothing/Acc Stores,539,,,,,,
10/10/2011,Airlines,3070.63,,,,,,
10/10/2011,Airlines,2370.63,,,,,,
10/10/2011,Business/Secretarial School,1314,,,,,,
10/10/2011,Airlines,1458.33,,,,,,
10/10/2011,Airlines,1458.33,,,,,,
10/10/2011,Airlines,1458.33,,,,,,
10/10/2011,Airlines,729.68,,,,,,
10/10/2011,Airlines,3911.2,,,,,,
10/10/2011,Airlines,820.4,,,,,,
10/10/2011,Airlines,891.11,,,,,,
10/10/2011,Travel Agencies,732.42,,,,,,
10/10/2011,Travel Agencies,697.82,,,,,,
10/10/2011,Airlines,706.8,,,,,,
10/10/2011,Airlines,625.7,,,,,,
10/10/2011,Airlines,1435.53,,,,,,
10/10/2011,Airlines,-737.4,,,,,,
10/10/2011,Travel Agencies,-1256.2,,,,,,
10/10/2011,Travel Agencies,-1323.73,,,,,,
10/10/2011,Travel Agencies,-1119,,,,,,
10/10/2011,Travel Agencies,-1005.5,,,,,,
10/10/2011,Airlines,1647.2,,,,,,
10/10/2011,Airlines,3465.13,,,,,,
10/10/2011,Airlines,624.92,,,,,,
10/10/2011,Airlines,624.92,,,,,,
10/10/2011,Airlines,803.65,,,,,,
10/10/2011,Airlines,803.65,,,,,,
10/10/2011,Airlines,656.65,,,,,,
10/10/2011,Airlines,656.65,,,,,,
10/10/2011,Airlines,656.65,,,,,,
10/10/2011,Airlines,656.65,,,,,,
10/10/2011,Airlines,655.45,,,,,,
10/10/2011,Airlines,803.65,,,,,,
10/10/2011,Airlines,803.65,,,,,,
10/10/2011,Airlines,535.5,,,,,,
11/10/2011,Airlines,562.8,,,,,,
11/10/2011,Airlines,4475.29,,,,,,
11/10/2011,Airlines,586.1,,,,,,
11/10/2011,Airlines,586.1,,,,,,
11/10/2011,Airlines,586.1,,,,,,
11/10/2011,Airlines,586.1,,,,,,
11/10/2011,Airlines,-2011.33,,,,,,
11/10/2011,Furniture/Equip Stores,1108.8,,,,,,
11/10/2011,Airlines,1414.21,,,,,,
11/10/2011,Airlines,824.13,,,,,,
11/10/2011,Airlines,835.1,,,,,,
11/10/2011,Airlines,3045.23,,,,,,
11/10/2011,Airlines,3045.23,,,,,,
11/10/2011,Airlines,542.84,,,,,,
11/10/2011,Airlines,1462.23,,,,,,
11/10/2011,Airlines,677.1,,,,,,
12/10/2011,Airlines,964.13,,,,,,
12/10/2011,Airlines,3045.23,,,,,,
12/10/2011,Airlines,696.1,,,,,,
12/10/2011,Airlines,696.1,,,,,,
12/10/2011,Airlines,653.1,,,,,,
12/10/2011,Airlines,-1864.6,,,,,,
12/10/2011,Airlines,-1864.6,,,,,,
12/10/2011,Travel Agencies,1200.07,,,,,,
12/10/2011,Travel Agencies,519.6,,,,,,
12/10/2011,Travel Agencies,519.6,,,,,,
12/10/2011,Travel Agencies,519.6,,,,,,
12/10/2011,Travel Agencies,1739.14,,,,,,
12/10/2011,Travel Agencies,1739.14,,,,,,
12/10/2011,Travel Agencies,519.6,,,,,,
12/10/2011,Airlines,748.53,,,,,,
12/10/2011,Airlines,623.4,,,,,,
12/10/2011,Airlines,577.13,,,,,,
12/10/2011,Airlines,1852.7,,,,,,
12/10/2011,Airlines,1374.33,,,,,,
12/10/2011,Airlines,980.13,,,,,,
12/10/2011,Airlines,731.33,,,,,,
12/10/2011,Airlines,2416.93,,,,,,
12/10/2011,Airlines,2582.93,,,,,,
12/10/2011,Airlines,2416.93,,,,,,
12/10/2011,Other Direct Marketers,586.47,,,,,,
12/10/2011,Other Direct Marketers,3984.84,,,,,,
12/10/2011,Other Direct Marketers,1789.61,,,,,,
12/10/2011,Other Direct Marketers,1636.97,,,,,,
12/10/2011,Other Direct Marketers,1895.09,,,,,,
12/10/2011,Other Direct Marketers,1903.42,,,,,,
12/10/2011,Other Direct Marketers,2232.15,,,,,,
12/10/2011,Other Direct Marketers,658.74,,,,,,
12/10/2011,Other Direct Marketers,564.45,,,,,,
12/10/2011,Other Direct Marketers,653.63,,,,,,
12/10/2011,Other Direct Marketers,691.98,,,,,,
12/10/2011,Other Direct Marketers,520.89,,,,,,
12/10/2011,Other Direct Marketers,943.58,,,,,,
12/10/2011,Other Direct Marketers,1158.7,,,,,,
12/10/2011,Other Direct Marketers,687.89,,,,,,
13/10/2011,Travel Agencies,874.62,,,,,,
13/10/2011,Travel Agencies,874.62,,,,,,
13/10/2011,Airlines,2716.33,,,,,,
13/10/2011,Airlines,2716.33,,,,,,
13/10/2011,Airlines,1374.33,,,,,,
13/10/2011,Airlines,1716.73,,,,,,
13/10/2011,Airlines,756.33,,,,,,
13/10/2011,Airlines,668.63,,,,,,
13/10/2011,Airlines,1374.33,,,,,,
13/10/2011,Hotels/Motels/Resorts,791.5,,,,,,
13/10/2011,Travel Agencies,874.62,,,,,,
13/10/2011,Travel Agencies,874.62,,,,,,
13/10/2011,Travel Agencies,874.62,,,,,,
13/10/2011,Travel Agencies,874.62,,,,,,
13/10/2011,Travel Agencies,874.62,,,,,,
13/10/2011,Travel Agencies,874.62,,,,,,
13/10/2011,Travel Agencies,874.62,,,,,,
13/10/2011,Travel Agencies,874.62,,,,,,
13/10/2011,Travel Agencies,874.62,,,,,,
13/10/2011,Travel Agencies,874.62,,,,,,
13/10/2011,Travel Agencies,874.62,,,,,,
13/10/2011,Airlines,866.03,,,,,,
13/10/2011,Airlines,584.4,,,,,,
13/10/2011,Airlines,1022.2,,,,,,
13/10/2011,Airlines,685.53,,,,,,
13/10/2011,Airlines,755.13,,,,,,
13/10/2011,Airlines,964.13,,,,,,
13/10/2011,Airlines,964.13,,,,,,
14/10/2011,Airlines,692.8,,,,,,
14/10/2011,Airlines,692.8,,,,,,
14/10/2011,Airlines,718.63,,,,,,
14/10/2011,Airlines,1392.13,,,,,,
14/10/2011,Airlines,1573.13,,,,,,
14/10/2011,Airlines,1596.13,,,,,,
14/10/2011,Airlines,3747.63,,,,,,
14/10/2011,Airlines,723.63,,,,,,
14/10/2011,Electrical Parts/Equipment,513.14,,,,,,
14/10/2011,Airlines,887.41,,,,,,
14/10/2011,Hotels/Motels/Resorts,1236,,,,,,
14/10/2011,Hotels/Motels/Resorts,1236,,,,,,
14/10/2011,Hotels/Motels/Resorts,2508,,,,,,
14/10/2011,Airlines,744.83,,,,,,
14/10/2011,Airlines,744.83,,,,,,
14/10/2011,Airlines,744.83,,,,,,
14/10/2011,Airlines,513.2,,,,,,
14/10/2011,Airlines,1598.8,,,,,,
14/10/2011,Travel Agencies,1723.71,,,,,,
14/10/2011,Travel Agencies,2026.71,,,,,,
14/10/2011,Travel Agencies,2026.71,,,,,,
14/10/2011,Travel Agencies,2026.71,,,,,,
14/10/2011,Travel Agencies,1589.63,,,,,,
14/10/2011,Travel Agencies,2655,,,,,,
14/10/2011,Hotels/Motels/Resorts,600,,,,,,
14/10/2011,Schools - Default,1158.3,,,,,,
14/10/2011,Schools - Default,1158.3,,,,,,
14/10/2011,Airlines,-821.5,,,,,,
14/10/2011,Airlines,1685.4,,,,,,
14/10/2011,Airlines,902.13,,,,,,
14/10/2011,Airlines,902.13,,,,,,
14/10/2011,Airlines,2747.53,,,,,,
14/10/2011,Airlines,710.63,,,,,,
14/10/2011,Airlines,2815.53,,,,,,
14/10/2011,Airlines,748.3,,,,,,
14/10/2011,Airlines,3578.33,,,,,,
14/10/2011,Airlines,767.39,,,,,,
14/10/2011,Airlines,2831.9,,,,,,
14/10/2011,Hotels/Motels/Resorts,639.99,,,,,,
14/10/2011,Transportation Svcs - Default,500,,,,,,
14/10/2011,Airlines,569.4,,,,,,
14/10/2011,Airlines,569.4,,,,,,
14/10/2011,Airlines,1305.02,,,,,,
14/10/2011,Business Services - Default,961.8,,,,,,
14/10/2011,Airlines,559.19,,,,,,
14/10/2011,Airlines,1587.02,,,,,,
17/10/2011,Airlines,518.09,,,,,,
17/10/2011,Gov'T Serv - Default,888,,,,,,
17/10/2011,Airlines,1423.63,,,,,,
17/10/2011,Airlines,1423.63,,,,,,
17/10/2011,Airlines,2604.9,,,,,,
17/10/2011,Airlines,2604.9,,,,,,
17/10/2011,Airlines,745.63,,,,,,
17/10/2011,Airlines,745.63,,,,,,
17/10/2011,Airlines,650.49,,,,,,
17/10/2011,Airlines,650.49,,,,,,
17/10/2011,Airlines,1187.4,,,,,,
17/10/2011,Airlines,1187.4,,,,,,
17/10/2011,Airlines,-1481.13,,,,,,
17/10/2011,Airlines,-1220.1,,,,,,
17/10/2011,Airlines,6427.83,,,,,,
17/10/2011,Airlines,6427.83,,,,,,
17/10/2011,Airlines,-5109.7,,,,,,
17/10/2011,Airlines,-5109.7,,,,,,
17/10/2011,Airlines,-2978.3,,,,,,
17/10/2011,Airlines,500,,,,,,
17/10/2011,Airlines,708.67,,,,,,
17/10/2011,Airlines,803.43,,,,,,
17/10/2011,Airlines,3252.63,,,,,,
17/10/2011,Airlines,-2483.2,,,,,,
17/10/2011,Hotels/Motels/Resorts,653.98,,,,,,
17/10/2011,Hotels/Motels/Resorts,712.8,,,,,,
17/10/2011,Hotels/Motels/Resorts,628.4,,,,,,
17/10/2011,Hotels/Motels/Resorts,596,,,,,,
17/10/2011,Hotels/Motels/Resorts,596,,,,,,
17/10/2011,Hotels/Motels/Resorts,596,,,,,,
17/10/2011,Colleges/Univ/Jc/Profession,1595,,,,,,
17/10/2011,Hotels/Motels/Resorts,14943.89,,,,,,
17/10/2011,Hotels/Motels/Resorts,1620,,,,,,
17/10/2011,Hotels/Motels/Resorts,1120,,,,,,
17/10/2011,Hotels/Motels/Resorts,1120,,,,,,
17/10/2011,Hotels/Motels/Resorts,1120,,,,,,
17/10/2011,Airlines,656.33,,,,,,
17/10/2011,Airlines,1695.02,,,,,,
17/10/2011,Airlines,1695.02,,,,,,
17/10/2011,Airlines,1695.02,,,,,,
17/10/2011,Airlines,-1695.02,,,,,,
17/10/2011,Airlines,-1695.02,,,,,,
17/10/2011,Airlines,-1695.02,,,,,,
18/10/2011,Airlines,754.13,,,,,,
18/10/2011,Travel Agencies,1705.55,,,,,,
18/10/2011,Airlines,704.1,,,,,,
18/10/2011,Airlines,1708.43,,,,,,
18/10/2011,Airlines,1708.43,,,,,,
18/10/2011,Airlines,3076.13,,,,,,
18/10/2011,Airlines,3858.63,,,,,,
18/10/2011,Airlines,3858.63,,,,,,
18/10/2011,Airlines,2101.73,,,,,,
18/10/2011,Airlines,1959.03,,,,,,
18/10/2011,Hotels/Motels/Resorts,4000,,,,,,
18/10/2011,Hotels/Motels/Resorts,4596.8,,,,,,
18/10/2011,Airlines,-1238.3,,,,,,
18/10/2011,Computer Program/Sys Design,720,,,,,,
18/10/2011,Travel Agencies,597.68,,,,,,
18/10/2011,Travel Agencies,1111.66,,,,,,
18/10/2011,Travel Agencies,761.6,,,,,,
18/10/2011,Travel Agencies,678.9,,,,,,
18/10/2011,Travel Agencies,1622.6,,,,,,
18/10/2011,Travel Agencies,2678.71,,,,,,
18/10/2011,Travel Agencies,3169.29,,,,,,
18/10/2011,Airlines,730.63,,,,,,
18/10/2011,Airlines,730.63,,,,,,
18/10/2011,Airlines,5032.83,,,,,,
18/10/2011,Airlines,942.62,,,,,,
18/10/2011,Airlines,942.62,,,,,,
18/10/2011,Airlines,942.62,,,,,,
18/10/2011,Airlines,942.62,,,,,,
18/10/2011,Airlines,942.62,,,,,,
18/10/2011,Airlines,942.62,,,,,,
18/10/2011,Airlines,824.42,,,,,,
18/10/2011,Airlines,701.02,,,,,,
18/10/2011,Airlines,588.2,,,,,,
18/10/2011,Airlines,807.43,,,,,,
18/10/2011,Airlines,2747.53,,,,,,
18/10/2011,Airlines,2747.53,,,,,,
18/10/2011,Airlines,2468.53,,,,,,
18/10/2011,Airlines,820.13,,,,,,
18/10/2011,Airlines,2747.53,,,,,,
18/10/2011,Airlines,670.23,,,,,,
18/10/2011,Airlines,2747.53,,,,,,
18/10/2011,Airlines,820.13,,,,,,
18/10/2011,Airlines,2747.53,,,,,,
18/10/2011,Airlines,644.21,,,,,,
18/10/2011,Airlines,644.21,,,,,,
18/10/2011,Airlines,592.83,,,,,,
18/10/2011,Airlines,1070,,,,,,
18/10/2011,Airlines,678.12,,,,,,
18/10/2011,Airlines,-8207.43,,,,,,
19/10/2011,Airlines,8028.93,,,,,,
19/10/2011,Airlines,676.52,,,,,,
19/10/2011,Airlines,603.52,,,,,,
19/10/2011,Airlines,501.41,,,,,,
19/10/2011,Airlines,2740.53,,,,,,
19/10/2011,Airlines,503.13,,,,,,
19/10/2011,Airlines,2370.13,,,,,,
19/10/2011,Airlines,-5032.83,,,,,,
19/10/2011,Travel Agencies,1170.73,,,,,,
19/10/2011,Travel Agencies,1170.73,,,,,,
19/10/2011,Travel Agencies,1026.23,,,,,,
19/10/2011,Travel Agencies,3890.16,,,,,,
19/10/2011,Travel Agencies,1551.04,,,,,,
19/10/2011,Airlines,1324.33,,,,,,
19/10/2011,Hotels/Motels/Resorts,3628.8,,,,,,
19/10/2011,Airlines,543.7,,,,,,
20/10/2011,Airlines,1152.33,,,,,,
20/10/2011,Hardware Equipment/Supplies,706,,,,,,
20/10/2011,Airlines,1120.73,,,,,,
20/10/2011,Airlines,950.03,,,,,,
20/10/2011,Airlines,503.7,,,,,,
20/10/2011,Airlines,692.63,,,,,,
20/10/2011,Airlines,4773.13,,,,,,
20/10/2011,Telecommunication Equipment,504.74,,,,,,
20/10/2011,Travel Agencies,555.7,,,,,,
20/10/2011,Travel Agencies,-1392.88,,,,,,
20/10/2011,Computer Program/Sys Design,502.87,,,,,,
20/10/2011,Automobile Rental Agency,1860.84,,,,,,
20/10/2011,Airlines,845.5,,,,,,
20/10/2011,Airlines,845.5,,,,,,
20/10/2011,Computer Software Stores,1197,,,,,,
20/10/2011,Computer Software Stores,798,,,,,,
20/10/2011,Airlines,1006,,,,,,
20/10/2011,Airlines,892.87,,,,,,
20/10/2011,Airlines,3609.1,,,,,,
20/10/2011,Fast Food Restaurants,889.2,,FCO Internal Catering,,,,
20/10/2011,Fast Food Restaurants,502.5,,FCO Internal Catering,,,,
20/10/2011,Airlines,2040,,,,,,
20/10/2011,Airlines,1294.02,,,,,,
20/10/2011,Department Stores,-1800,,Refund on official furniture purchase.,,,,
21/10/2011,Misc Publishing & Printing,598.8,,,,,,
21/10/2011,Travel Agencies,870.42,,,,,,
21/10/2011,Travel Agencies,1196.8,,,,,,
21/10/2011,Travel Agencies,4084.76,,,,,,
21/10/2011,Airlines,2469.9,,,,,,
21/10/2011,Airlines,-3609.1,,,,,,
21/10/2011,Airlines,601.19,,,,,,
21/10/2011,Airlines,622.13,,,,,,
21/10/2011,Airlines,1754.51,,,,,,
21/10/2011,Airlines,581.8,,,,,,
21/10/2011,Airlines,1305.93,,,,,,
21/10/2011,Airlines,919.52,,,,,,
21/10/2011,Airlines,863.81,,,,,,
21/10/2011,Mgmt/Consult/Public Rel Ser,720,,,,,,
21/10/2011,Automobile Rental Agency,4097.34,,,,,,
21/10/2011,Automobile Rental Agency,4481.16,,,,,,
21/10/2011,Hotels/Motels/Resorts,862.28,,,,,,
21/10/2011,Travel Agencies,828.33,,,,,,
21/10/2011,Travel Agencies,3904,,,,,,
21/10/2011,Travel Agencies,2936.58,,,,,,
21/10/2011,Airlines,4236.53,,,,,,
21/10/2011,Airlines,4236.53,,,,,,
21/10/2011,Airlines,6345.73,,,,,,
21/10/2011,Airlines,6345.73,,,,,,
21/10/2011,Airlines,4296.17,,,,,,
21/10/2011,Airlines,1038.83,,,,,,
21/10/2011,Airlines,1038.83,,,,,,
24/10/2011,Hotels/Motels/Resorts,1829.52,,,,,,
24/10/2011,Hotels/Motels/Resorts,1829.52,,,,,,
24/10/2011,Computer Program/Sys Design,972.47,,,,,,
24/10/2011,Automobile Rental Agency,2473.85,,,,,,
24/10/2011,Airlines,590.79,,,,,,
24/10/2011,Airlines,2444.23,,,,,,
24/10/2011,Airlines,1057.63,,,,,,
24/10/2011,Airlines,2871.13,,,,,,
24/10/2011,Airlines,2609.63,,,,,,
24/10/2011,Airlines,1057.63,,,,,,
24/10/2011,Airlines,822.43,,,,,,
24/10/2011,Airlines,949.83,,,,,,
24/10/2011,Airlines,2048.43,,,,,,
24/10/2011,Cash,1099.69,,Purchase of Foreign currency at the airport prior to official travel. Credit card usage not widely available in country.,,,,
24/10/2011,Airlines,1295.93,,,,,,
24/10/2011,Airlines,1095.93,,,,,,
24/10/2011,Airlines,895,,,,,,
24/10/2011,Airlines,892.87,,,,,,
24/10/2011,Airlines,1036.52,,,,,,
24/10/2011,Airlines,1570.43,,,,,,
24/10/2011,Airlines,1041.4,,,,,,
24/10/2011,Airlines,619.9,,,,,,
24/10/2011,Airlines,-1012.69,,,,,,
24/10/2011,Airlines,1370.13,,,,,,
24/10/2011,Airlines,964.53,,,,,,
24/10/2011,Airlines,964.53,,,,,,
24/10/2011,Airlines,964.53,,,,,,
