ALB,Public Sector Procurement Expenditure Survey Category ,Supplier,Net Amount £
West Northamptonshire Development Corporation,FINANCIAL CONSULTANCY,NATIONAL AUDIT OFFICE,"24,000.00"
West Northamptonshire Development Corporation,FINANCIAL CONSULTANCY,Northamptonshire County Council,"2,050.00"
West Northamptonshire Development Corporation,FINANCIAL CONSULTANCY,Oval Insurance Broking,678.06
West Northamptonshire Development Corporation,HOTELS,Barcelo Harrogate Majestic Hotel,60
West Northamptonshire Development Corporation,HOTELS,Northampton Marriott,"1,260.00"
West Northamptonshire Development Corporation,HOTELS,Holiday Inn London - Camden Lock,921.78
West Northamptonshire Development Corporation,HR CONSULTANCY,Floyd Graham & Co Ltd,"97,253.00"
West Northamptonshire Development Corporation,HR CONSULTANCY,Haymarket Publishing Services,"9,959.00"
West Northamptonshire Development Corporation,HR CONSULTANCY,HAYS INFORMATION TECHNOLOGY,"7,603.76"
West Northamptonshire Development Corporation,HR CONSULTANCY,Hutchinsons Solicitors,500
West Northamptonshire Development Corporation,HR CONSULTANCY,Johnson Underwood Limited,"1,850.00"
West Northamptonshire Development Corporation,HR CONSULTANCY,London Communciations Agency,"2,486.64"
West Northamptonshire Development Corporation,HR CONSULTANCY,MICHAEL PAGE,"15,545.80"
West Northamptonshire Development Corporation,HR CONSULTANCY,Morgan Hunt Public Sector Ltd,"2,252.20"
West Northamptonshire Development Corporation,HR CONSULTANCY,Paradise Computing Limited,147.5
West Northamptonshire Development Corporation,HR CONSULTANCY,Pertemps Recruitment Partnership Ltd,"6,572.00"
West Northamptonshire Development Corporation,HR CONSULTANCY,Reed Employment Plc,"3,788.13"
West Northamptonshire Development Corporation,HR CONSULTANCY,Rockpools,"60,958.19"
West Northamptonshire Development Corporation,HR CONSULTANCY,SAGE PUBLICATIONS LTD,140
West Northamptonshire Development Corporation,IT CONSULTANCY,MyStakeholders,"1,097.90"
West Northamptonshire Development Corporation,IT CONSULTANCY,Optimize BPM Limited,"1,175.00"
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,Aid Training & Operations Ltd,900
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,Aspire Europe Ltd,"22,508.75"
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,Business Continuity Training Ltd,"2,154.00"
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,Business Systems Group,"1,820.00"
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,CABE,360
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,Castalia Coaching Ltd,"2,718.75"
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,Centre for Public Policy Seminars,345
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,CIPD ENTERPRISES,115.5
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,City and Financial Conferences,295
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,Connaught Gasforce Ltd,"2,810.00"
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,DMC Software Solutions,750
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,eQuality Networks Ltd,135
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,Excitech Limited,265
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,GOVNET COMMUNICATIONS,225
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,Haymarket Publishing Services,399
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,HCA Leaders Network,250
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,Henley Business School,"14,783.50"
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,Holiday Inn London - Camden Lock,153.05
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,IDM Training ltd,0
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,Idox Information Services Ltd,"5,497.50"
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,IT Governance Ltd,295
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,Leicester City Council,50.44
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,Media Training,870
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,NATIONAL SCHOOL OF GOVERNMENT,"1,060.00"
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,Northampton Borough Council,300
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,Northampton RFC Ltd,"3,958.15"
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,Northamptonshire Chamber of Commerce,925
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,Northamptonshire County Council,500
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,Oxford Brookes University,"2,810.00"
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,Pallas Athena,"1,380.00"
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,Paradise Computing Limited,878.5
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,PDP,355
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,PWM Training,450
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,QA TRAINING,876
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,REED TRAINING,831.4
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,RTPI Conferences,"16,603.64"
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,S&M Solutions Ltd,800
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,SAS Event Management Ltd,"4,350.00"
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,Seeda,"6,927.00"
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,ST JOHN AMBULANCE MANCHESTER,"1,935.00"
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,TenAlps Publishing,590
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,The University of Northampton,"2,550.00"
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,Thomas International UK Ltd,"7,437.00"
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,Thomas Telford Ltd,590
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,Training Link,559
West Northamptonshire Development Corporation,LEARNING AND DEVELOPMENT SERVICES,Trevor Roberts Associates Ltd,175
West Northamptonshire Development Corporation,LEGAL CONSULTANCY,Clarke Wilmott,"1,380.00"
West Northamptonshire Development Corporation,LEGAL CONSULTANCY,Denton Wilde Sapte,"53,327.47"
West Northamptonshire Development Corporation,LEGAL CONSULTANCY,EVERSHEDS,"291,153.21"
West Northamptonshire Development Corporation,LEGAL CONSULTANCY,RPS Planning & Development Ltd,"14,796.74"
West Northamptonshire Development Corporation,MAIN CONTRACTORS,Consarc Architects,"81,869.28"
West Northamptonshire Development Corporation,MANAGED / OUTSOURCED SERVICES,Allied Images Limited,158
West Northamptonshire Development Corporation,MANAGED / OUTSOURCED SERVICES,Atkins Mangement consultants,"19,479.00"
West Northamptonshire Development Corporation,MANAGED / OUTSOURCED SERVICES,Bright Starr Limited,890
West Northamptonshire Development Corporation,MANAGED / OUTSOURCED SERVICES,Complete I.T,"89,915.65"
West Northamptonshire Development Corporation,MANAGED / OUTSOURCED SERVICES,The Danwood Group Limited,"3,980.81"
West Northamptonshire Development Corporation,MANAGED / OUTSOURCED SERVICES,DMC Software Solutions,"28,304.37"
West Northamptonshire Development Corporation,MANAGED / OUTSOURCED SERVICES,Haymarket Publishing Services,"1,509.38"
West Northamptonshire Development Corporation,MANAGED / OUTSOURCED SERVICES,Idox Information Services Ltd,"102,638.87"
West Northamptonshire Development Corporation,MANAGED / OUTSOURCED SERVICES,Irwin Mitchell,"2,492.50"
West Northamptonshire Development Corporation,MANAGED / OUTSOURCED SERVICES,Ordnance Survey,"14,225.59"
West Northamptonshire Development Corporation,MANAGED / OUTSOURCED SERVICES,Pallas Athena,"3,312.00"
West Northamptonshire Development Corporation,MANAGED / OUTSOURCED SERVICES,Paradise Computing Limited,400
West Northamptonshire Development Corporation,MANAGED / OUTSOURCED SERVICES,Primary Presentations Limited,"27,124.00"
West Northamptonshire Development Corporation,MANAGED / OUTSOURCED SERVICES,S&M Solutions Ltd,"9,488.00"
West Northamptonshire Development Corporation,MANAGED / OUTSOURCED SERVICES,SAGE PUBLICATIONS LTD,"1,916.44"
West Northamptonshire Development Corporation,MANAGED / OUTSOURCED SERVICES,SEAREACH,95
West Northamptonshire Development Corporation,MANAGED / OUTSOURCED SERVICES,Uniform Systems Consultancy,402.5
West Northamptonshire Development Corporation,MANAGED / OUTSOURCED SERVICES,VODAFONE CORPORATE LTD,258
West Northamptonshire Development Corporation,MARKETING,Alpine Carpet Warehouse,398
West Northamptonshire Development Corporation,MARKETING,Atkins Mangement consultants,122.98
West Northamptonshire Development Corporation,MARKETING,Breeze Strategy  Ltd,"14,200.00"
West Northamptonshire Development Corporation,MARKETING,CJS Event Solutions Ltd,850
West Northamptonshire Development Corporation,MARKETING,Complete I.T,125
West Northamptonshire Development Corporation,MARKETING,Direct Painting Solutions Ltd,200
West Northamptonshire Development Corporation,MARKETING,DURRANTS PRESS CUTTINGS LTD,"3,448.90"
West Northamptonshire Development Corporation,MARKETING,Engine,"18,510.00"
West Northamptonshire Development Corporation,MARKETING,Horton Smith Consultants Ltd,"3,855.40"
West Northamptonshire Development Corporation,MARKETING,John Courtney Photography,175
West Northamptonshire Development Corporation,MARKETING,Northampton Borough Council,"10,000.00"
West Northamptonshire Development Corporation,MARKETING,Northampton RFC Ltd,121.74
West Northamptonshire Development Corporation,MARKETING,Northamptonshire Chamber of Commerce,"2,575.00"
West Northamptonshire Development Corporation,MARKETING,Redweb Limited,"16,616.00"
West Northamptonshire Development Corporation,OFFICE CONSUMABLES,Access Self Storage - Northampton,"2,141.24"
West Northamptonshire Development Corporation,OFFICE CONSUMABLES,Adcock Refrigeration & Air Conditioning Ltd,269.5
West Northamptonshire Development Corporation,OFFICE CONSUMABLES,Allied Images Limited,56
West Northamptonshire Development Corporation,OFFICE CONSUMABLES,Auxitlity (UK) Ltd,66.32
West Northamptonshire Development Corporation,OFFICE CONSUMABLES,BACA Direct,"2,138.01"
West Northamptonshire Development Corporation,OFFICE CONSUMABLES,Benn Security  Services,490.5
West Northamptonshire Development Corporation,OFFICE CONSUMABLES,Bluefish Office Products,"9,932.29"
West Northamptonshire Development Corporation,OFFICE CONSUMABLES,Brown's of Northampton,"1,042.52"
West Northamptonshire Development Corporation,OFFICE CONSUMABLES,CIT Vendor Finance,842.62
West Northamptonshire Development Corporation,OFFICE CONSUMABLES,Connect Water Systems,258.18
West Northamptonshire Development Corporation,OFFICE CONSUMABLES,The Danwood Group Limited,"9,326.60"
West Northamptonshire Development Corporation,OFFICE CONSUMABLES,DX Network Services Ltd,575
West Northamptonshire Development Corporation,OFFICE CONSUMABLES,E7 Contracting Ltd,325
West Northamptonshire Development Corporation,OFFICE CONSUMABLES,Filterpure Ltd,472.14
West Northamptonshire Development Corporation,OFFICE CONSUMABLES,GB-Office Group Ltd,191.28
West Northamptonshire Development Corporation,OFFICE CONSUMABLES,GOfers (Northampton),176.5
West Northamptonshire Development Corporation,OFFICE CONSUMABLES,Halcyon Computer Supplies Ltd,"3,408.02"
West Northamptonshire Development Corporation,OFFICE CONSUMABLES,Hewlett-Packard Limited,"1,428.48"
West Northamptonshire Development Corporation,OFFICE CONSUMABLES,Neopost Limited,631.72
West Northamptonshire Development Corporation,OFFICE CONSUMABLES,Norman News,"2,933.04"
West Northamptonshire Development Corporation,OFFICE CONSUMABLES,Northampton RFC Ltd,62.5
West Northamptonshire Development Corporation,OFFICE CONSUMABLES,Office Depot (UK) Ltd,"2,396.64"
West Northamptonshire Development Corporation,OFFICE CONSUMABLES,Plant Plan,996.84
West Northamptonshire Development Corporation,OFFICE CONSUMABLES,Refreshment Systems Ltd,643.82
West Northamptonshire Development Corporation,OFFICE CONSUMABLES,ROYAL MAIL GROUP PLC,251.5
West Northamptonshire Development Corporation,OFFICE CONSUMABLES,S&M Solutions Ltd,90
West Northamptonshire Development Corporation,OFFICE CONSUMABLES,SAGE PUBLICATIONS LTD,132.8
West Northamptonshire Development Corporation,OFFICE CONSUMABLES,ST JOHN AMBULANCE MANCHESTER,63.49
West Northamptonshire Development Corporation,OFFICE CONSUMABLES,Stamps Direct Limited,170.4
West Northamptonshire Development Corporation,OFFICE CONSUMABLES,The Cooler Company (Midlands) Ltd,474.75
West Northamptonshire Development Corporation,OFFICE CONSUMABLES,Viking Direct Ltd,399.81
West Northamptonshire Development Corporation,OFFICE CONSUMABLES,Wardle & Keach Ltd,"1,482.00"
West Northamptonshire Development Corporation,OFFICE SERVICES,A Day Recycling Group Ltd,667.38
West Northamptonshire Development Corporation,OFFICE SERVICES,Adcock Refrigeration & Air Conditioning Ltd,627.25
West Northamptonshire Development Corporation,OFFICE SERVICES,Alpine Carpet Warehouse,90
West Northamptonshire Development Corporation,OFFICE SERVICES,Connect Water Systems,86.06
West Northamptonshire Development Corporation,OFFICE SERVICES,The Danwood Group Limited,"1,713.03"
West Northamptonshire Development Corporation,OFFICE SERVICES,GOfers (Northampton),221.34
West Northamptonshire Development Corporation,OFFICE SERVICES,Plant Plan,996.84
West Northamptonshire Development Corporation,OFFICE SERVICES,Refreshment Systems Ltd,224.98
West Northamptonshire Development Corporation,OFFICE SERVICES,The Cooler Company (Midlands) Ltd,39.75
West Northamptonshire Development Corporation,OFFICE SERVICES,Wardle & Keach Ltd,65
West Northamptonshire Development Corporation,POST AND COURIER,GOfers (Northampton),112.7
West Northamptonshire Development Corporation,PPM CONSULTANCY,Capita Symonds Ltd,"1,780.00"
West Northamptonshire Development Corporation,PPM CONSULTANCY,CRE8 Management Ltd,"239,103.68"
West Northamptonshire Development Corporation,PPM CONSULTANCY,EC Harris LLp,"196,733.57"
West Northamptonshire Development Corporation,PPM CONSULTANCY,Greenend Project Services Ltd,"8,640.00"
West Northamptonshire Development Corporation,PPM CONSULTANCY,Horton Smith Consultants Ltd,"138,848.52"
West Northamptonshire Development Corporation,PRINT,Alan Baxter & Associates LLP,"3,147.14"
West Northamptonshire Development Corporation,PRINT,Beach Marketing Ltd,270
West Northamptonshire Development Corporation,PRINT,Business Times,850
West Northamptonshire Development Corporation,PRINT,CCS Digital Ltd,"4,138.58"
West Northamptonshire Development Corporation,PRINT,Complete I.T,325
West Northamptonshire Development Corporation,PRINT,Design Depot Limited,"22,457.80"
West Northamptonshire Development Corporation,PRINT,Dovetail Foks,640
West Northamptonshire Development Corporation,PRINT,Dun and Bradstreet Limited,350
West Northamptonshire Development Corporation,PRINT,DURRANTS PRESS CUTTINGS LTD,"2,523.80"
West Northamptonshire Development Corporation,PRINT,Engine,"9,431.76"
West Northamptonshire Development Corporation,PRINT,Grants Online,99
West Northamptonshire Development Corporation,PRINT,Haymarket Publishing Services,"1,180.80"
West Northamptonshire Development Corporation,PRINT,IHM Ltd,360
West Northamptonshire Development Corporation,PRINT,James Smith,400
West Northamptonshire Development Corporation,PRINT,Johnston Press Midlands Division,"1,015.07"
West Northamptonshire Development Corporation,PRINT,LDA Design,"44,410.00"
West Northamptonshire Development Corporation,PRINT,LSN Media Limited,"12,642.58"
West Northamptonshire Development Corporation,PRINT,Northampton Borough Council,"3,521.00"
West Northamptonshire Development Corporation,PRINT,Northampton RFC Ltd,341.75
West Northamptonshire Development Corporation,PRINT,Northamptonshire Chamber of Commerce,882
West Northamptonshire Development Corporation,PRINT,PRONTAPRINT (MANCHESTER),581.8
West Northamptonshire Development Corporation,PRINT,Rubber Mallet Ltd,"1,427.50"
West Northamptonshire Development Corporation,PRINT,RUDI Subscriptions,150
West Northamptonshire Development Corporation,PRINT,Simon Stanford Photography,"1,293.60"
West Northamptonshire Development Corporation,PRINT,Site Computers Ltd,"3,828.00"
West Northamptonshire Development Corporation,PRINT,South Northamptonshire Council,"4,810.00"
West Northamptonshire Development Corporation,PRINT,SWEET AND MAXWELL,"1,535.00"
West Northamptonshire Development Corporation,PRINT,The Newspaper Licensing Agency Ltd,"1,019.00"
West Northamptonshire Development Corporation,PRINT,THE STATIONERY OFFICE,"2,780.09"
West Northamptonshire Development Corporation,PRINT,The Works Technical Limited,50
West Northamptonshire Development Corporation,PRINT,Wings Events Limited,"1,735.00"
West Northamptonshire Development Corporation,PRINT,Yell Limited,191.25
West Northamptonshire Development Corporation,PROCUREMENT CONSULTANCY,SBV Ltd,"23,373.00"
West Northamptonshire Development Corporation,PROMOTION,A Word in Edgeways LLP,187.8
West Northamptonshire Development Corporation,PROMOTION,Abbott Signs (Northampton) Ltd,"2,646.28"
West Northamptonshire Development Corporation,PROMOTION,Design Depot Limited,"1,500.00"
West Northamptonshire Development Corporation,PROMOTION,Engine,"2,770.00"
West Northamptonshire Development Corporation,PROMOTION,Gordon Poole Agency Ltd,"2,800.00"
West Northamptonshire Development Corporation,PROMOTION,HRG (UK) Limited,"4,470.00"
West Northamptonshire Development Corporation,PROMOTION,Johnston Press Midlands Division,"1,750.00"
West Northamptonshire Development Corporation,PROMOTION,KenSigns Ltd,156
West Northamptonshire Development Corporation,PROMOTION,LSN Media Limited,"1,500.00"
West Northamptonshire Development Corporation,PROMOTION,Northampton RFC Ltd,961.81
West Northamptonshire Development Corporation,PROMOTION,Northamptonshire County Council,"7,000.00"
West Northamptonshire Development Corporation,PROMOTION,The Northampton Theatres Trust Ltd,625
West Northamptonshire Development Corporation,PROPERTY SERVICES / ESTATES CONSULTANCY,C B Richard Ellis,"103,098.55"
West Northamptonshire Development Corporation,PROPERTY SERVICES / ESTATES CONSULTANCY,Chown Commercial Limited,"24,423.45"
West Northamptonshire Development Corporation,PROPERTY SERVICES / ESTATES CONSULTANCY,National Grid Gas plc,642
West Northamptonshire Development Corporation,STAFF HEALTH AND SAFETY,Beneden Healthcare Society,"6,006.00"
West Northamptonshire Development Corporation,STAFF HEALTH AND SAFETY,Evacusafe UK Limited,"1,215.00"
West Northamptonshire Development Corporation,STRATEGIC CONSULTANCY,Alan Baxter & Associates LLP,"75,764.62"
West Northamptonshire Development Corporation,STRATEGIC CONSULTANCY,AMTEC Consulting plc,"23,938.93"
West Northamptonshire Development Corporation,STRATEGIC CONSULTANCY,Aspire Europe Ltd,"27,519.28"
West Northamptonshire Development Corporation,STRATEGIC CONSULTANCY,Chelgate Ltd,"79,594.51"
West Northamptonshire Development Corporation,STRATEGIC CONSULTANCY,David Lock Associates Limited,"72,064.05"
West Northamptonshire Development Corporation,STRATEGIC CONSULTANCY,Elev8 International Limited,"11,575.00"
West Northamptonshire Development Corporation,STRATEGIC CONSULTANCY,Jacobs Engineering UK Ltd,"13,802.25"
West Northamptonshire Development Corporation,STRATEGIC CONSULTANCY,Jeff Channing,"3,522.80"
West Northamptonshire Development Corporation,STRATEGIC CONSULTANCY,Market & Opinion Research International Ltd,"3,650.00"
West Northamptonshire Development Corporation,STRATEGIC CONSULTANCY,Northampton RFC Ltd,"2,247.42"
West Northamptonshire Development Corporation,STRATEGIC CONSULTANCY,PACEC Ltd,"41,430.00"
West Northamptonshire Development Corporation,STRATEGIC CONSULTANCY,PRONTAPRINT (MANCHESTER),178.9
West Northamptonshire Development Corporation,STRATEGIC CONSULTANCY,The University of Northampton,"7,000.00"
West Northamptonshire Development Corporation,STRATEGIC CONSULTANCY,Tribal Consulting Ltd,"39,122.27"
West Northamptonshire Development Corporation,STRATEGIC CONSULTANCY,Vanguard Consulting,"8,100.00"
West Northamptonshire Development Corporation,STRATEGIC CONSULTANCY,Vincent Goodstadt,"23,133.10"
West Northamptonshire Development Corporation,TAXI,Amber Cars,26
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,AECOM Limited,"49,488.82"
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,BA Surveys Ltd,150
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,Boughton Trees,800
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,BRITISH GAS,329.68
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,Broadway Malyan Limited,"24,180.00"
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,Building Design Partnership,"33,359.16"
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,Building Research Establishment Ltd,"32,635.25"
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,Chantrey Vellacott DFK LLP,"4,800.00"
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,Chown Commercial Limited,"4,500.00"
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,Cube Surveys Ltd,"2,950.00"
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,David Shevill,"2,337.50"
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,Elev8 International Limited,"108,470.90"
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,Entec UK Limited,"69,385.68"
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,ERM Limited,"107,162.25"
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,Genecon LLP,"12,635.70"
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,Gleeds,"16,000.00"
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,Halcrow Group Limited,"51,635.88"
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,Illman Young Landscape Desing Ltd,"13,795.00"
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,Independent Cinema Office,"1,500.00"
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,Integrated Services & Utilities Ltd,"26,237.60"
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,IOM Consulting Limited,"1,070.00"
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,Lambert Smith Hampton Group Ltd,"3,048.50"
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,MVA Consultancy Ltd,"21,993.00"
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,Network Rail,"530,188.70"
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,Northamptonshire County Council,"30,000.00"
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,Pegasus Planning Group LLP,"17,197.58"
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,Persona Associates,"2,472.00"
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,Pricewaterhousecoopers Llp,"5,000.00"
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,RIDER LEVELL BUCKNALL,"5,067.00"
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,River Nene Regional Park,"5,890.00"
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,Rob Ballantyne,350
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,RPS Planning & Development Ltd,"18,178.94"
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,Savell Bird & Axon,"137,467.63"
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,The Rail Estate Consultancy Limited,"5,419.50"
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,The Wildlife Trust BCNP,"7,673.00"
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,TransForm MKSM,"4,410.00"
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,University of Leicester,975
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,Urban Delivery Limited,"14,000.00"
West Northamptonshire Development Corporation,TECHNICAL CONSULTANCY,Utility Partnership Ltd,"25,525.00"
