Post Date,Publishable Label,Transaction Amount,"Publishable label is provided by Bank and is industry standard.  May not, however, give true indication of purchase - additional comment provided as necessary",,
07/02/12,Airlines,911.13,,,
07/02/12,Airlines,2551.20,,,
07/02/12,Airlines,2551.20,,,
07/02/12,Airlines,-2661.83,,,
07/02/12,Airlines,1101.00,,,
07/02/12,Airlines,630.02,,,
08/02/12,Airlines,602.13,,,
08/02/12,Airlines,530.63,,,
08/02/12,Airlines,652.40,,,
08/02/12,Airlines,2546.83,,,
08/02/12,Airlines,4513.33,,,
08/02/12,Airlines,777.13,,,
08/02/12,Airlines,1067.93,,,
08/02/12,Airlines,-694.83,,,
08/02/12,Airlines,759.80,,,
08/02/12,Airlines,1384.73,,,
08/02/12,Airlines,2508.46,,,
08/02/12,Airlines,2510.73,,,
08/02/12,Airlines,2508.46,,,
08/02/12,Airlines,-3151.57,,,
08/02/12,Airlines,557.60,,,
08/02/12,Airlines,778.80,,,
08/02/12,Airlines,927.43,,,
09/02/12,Airlines,4656.63,,,
09/02/12,Airlines,927.43,,,
09/02/12,Airlines,4686.00,,,
09/02/12,Airlines,2493.60,,,
09/02/12,Airlines,2493.60,,,
09/02/12,Airlines,579.81,,,
09/02/12,Airlines,-700.90,,,
09/02/12,Airlines,819.73,,,
09/02/12,Airlines,-2493.31,,,
09/02/12,Airlines,1419.42,,,
09/02/12,Airlines,921.32,,,
09/02/12,Airlines,566.00,,,
09/02/12,Airlines,777.13,,,
09/02/12,Airlines,1013.00,,,
09/02/12,Airlines,607.28,,,
09/02/12,Airlines,776.73,,,
09/02/12,Airlines,4155.83,,,
09/02/12,Airlines,3457.73,,,
09/02/12,Airlines,-1521.60,,,
09/02/12,Airlines,1538.93,,,
09/02/12,Airlines,2809.07,,,
09/02/12,Airlines,1212.60,,,
09/02/12,Airlines,-1927.97,,,
09/02/12,Airlines,-1927.97,,,
10/02/12,Airlines,-555.52,,,
10/02/12,Airlines,683.70,,,
10/02/12,Airlines,1236.51,,,
10/02/12,Airlines,1733.36,,,
10/02/12,Airlines,693.13,,,
10/02/12,Airlines,3953.93,,,
10/02/12,Airlines,649.00,,,
10/02/12,Airlines,620.10,,,
10/02/12,Airlines,4511.53,,,
10/02/12,Airlines,1103.53,,,
10/02/12,Airlines,1832.33,,,
10/02/12,Airlines,783.10,,,
10/02/12,Airlines,806.13,,,
10/02/12,Airlines,508.30,,,
10/02/12,Airlines,508.30,,,
10/02/12,Airlines,907.65,,,
10/02/12,Airlines,1117.70,,,
10/02/12,Airlines,715.30,,,
10/02/12,Airlines,662.02,,,
10/02/12,Airlines,829.33,,,
10/02/12,Airlines,3051.83,,,
10/02/12,Airlines,1397.30,,,
10/02/12,Airlines,862.20,,,
10/02/12,Airlines,4669.53,,,
10/02/12,Airlines,4669.53,,,
13/02/12,Airlines,4259.93,,,
13/02/12,Airlines,548.31,,,
13/02/12,Airlines,682.43,,,
13/02/12,Airlines,1056.00,,,
13/02/12,Airlines,968.60,,,
13/02/12,Airlines,968.60,,,
13/02/12,Airlines,-1002.13,,,
13/02/12,Airlines,2584.33,,,
13/02/12,Airlines,604.93,,,
13/02/12,Airlines,604.93,,,
13/02/12,Airlines,594.93,,,
13/02/12,Airlines,929.82,,,
13/02/12,Airlines,1597.20,,,
13/02/12,Airlines,709.20,,,
13/02/12,Airlines,1419.43,,,
13/02/12,Airlines,1106.83,,,
13/02/12,Airlines,1002.20,,,
13/02/12,Airlines,712.40,,,
13/02/12,Airlines,712.40,,,
13/02/12,Airlines,3667.33,,,
13/02/12,Airlines,1086.73,,,
13/02/12,Airlines,711.26,,,
13/02/12,Airlines,711.26,,,
13/02/12,Airlines,692.83,,,
13/02/12,Airlines,1826.00,,,
13/02/12,Airlines,1826.00,,,
13/02/12,Airlines,651.26,,,
13/02/12,Airlines,4484.63,,,
13/02/12,Airlines,4844.63,,,
13/02/12,Airlines,3854.11,,,
13/02/12,Airlines,746.30,,,
