Department family,Entity,Date,Expense type,Expense area,Supplier,Post Code,Transaction number,Total
Ministry of Defence,Ministry of Defence,08/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,MBDA UK LIMITED,SG1 2DA,817110,"712,730.00"
Ministry of Defence,Ministry of Defence,18/07/2011,Medical treatment & stores and welfare services,Central TLB,PETERBOROUGH AND STAMFORD  HOSPITALS NHS FOUNDATION TRUST,WF1 1WE,820779,"706,813.77"
Ministry of Defence,Ministry of Defence,07/07/2011,Estate management,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,816441,"705,883.53"
Ministry of Defence,Ministry of Defence,12/07/2011,Fees for professional services,Central TLB,TNT UK LIMITED,BL0 9AR,818560,"697,353.69"
Ministry of Defence,Ministry of Defence,25/07/2011,Administration,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK19 7BH,2E+11,"690,000.00"
Ministry of Defence,Ministry of Defence,22/07/2011,Transport hire charges,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,822778,"679,407.32"
Ministry of Defence,Ministry of Defence,06/07/2011,Medical treatment & stores and welfare services,Land Forces,SSAFA GSTT CARE LLP,SE1 2LP,5000058924,"656,607.07"
Ministry of Defence,Ministry of Defence,13/07/2011,Payment of utilities,Defence Equipment & Support,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,819131,"642,646.46"
Ministry of Defence,Ministry of Defence,20/07/2011,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,822086,"632,571.39"
Ministry of Defence,Ministry of Defence,26/07/2011,IT and communication services,Central TLB,LOGICA UK LIMITED,CF31 9AP,824169,"625,089.39"
Ministry of Defence,Ministry of Defence,05/07/2011,Estate management,Defence Infrastructure Organisation ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,815354,"616,496.87"
Ministry of Defence,Ministry of Defence,28/07/2011,Payment of utilities,Defence Equipment & Support,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,825441,"609,063.13"
Ministry of Defence,Ministry of Defence,18/07/2011,Property leases,Defence Infrastructure Organisation ,ASPIRE DEFENCE LIMITED,SP9 7QD,820397,"607,301.43"
Ministry of Defence,Ministry of Defence,29/07/2011,Estate management,Land Forces,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,825773,"604,492.97"
Ministry of Defence,Ministry of Defence,27/07/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,COLAS LTD,RH10 4NF,824530,"600,755.51"
Ministry of Defence,Ministry of Defence,20/07/2011,Estate management,Defence Infrastructure Organisation ,LEND LEASE CONSTRUCTION (EMEA) LIMITED,BA1 5AB,161863,"600,000.00"
Ministry of Defence,Ministry of Defence,05/07/2011,Fuel for military use,Land Forces,ARVAL UK LTD,SN5 6PE,814413,"598,303.76"
Ministry of Defence,Ministry of Defence,25/07/2011,Estate management,Defence Infrastructure Organisation ,SKANSKA CONSTRUCTION UK LIMITED,GU21 6HJ,823802,"597,656.40"
Ministry of Defence,Ministry of Defence,22/07/2011,Payment of utilities,Defence Infrastructure Organisation ,STADT PADERBORN,,5000059972,"585,110.54"
Ministry of Defence,Ministry of Defence,08/07/2011,Fees for professional services,Land Forces,BABCOCK LAND LIMITED,BH23 9BS,816823,"584,496.00"
Ministry of Defence,Ministry of Defence,19/07/2011,Grants to Reserves Forces and Cadets Association,Land Forces,THE ARMY CADET FORCE ASSOCIATION,EC2A 4DW,821458,"584,012.07"
Ministry of Defence,Ministry of Defence,04/07/2011,Estate management,Land Forces,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,813998,"577,679.88"
Ministry of Defence,Ministry of Defence,13/07/2011,Payment of utilities,Air Command,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,819131,"575,249.95"
Ministry of Defence,Ministry of Defence,21/07/2011,Payment of utilities,Air Command,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,822640,"570,851.79"
Ministry of Defence,Ministry of Defence,20/07/2011,Design services and minor equipment purchases,Air Command,FBS LIMITED,RG24 8AG,821728,"566,565.07"
Ministry of Defence,Ministry of Defence,13/07/2011,Payment of utilities,Defence Infrastructure Organisation ,ELECTRICITY AUTHORITY OF CYPRUS,BFPO 53,4000005466,"566,138.74"
Ministry of Defence,Ministry of Defence,11/07/2011,Design services and minor equipment purchases,Air Command,SERCO LIMITED,RG27 9UY,817987,"564,616.43"
Ministry of Defence,Ministry of Defence,20/07/2011,Fuel for military use,Land Forces,ARVAL UK LTD,SN5 6PE,821535,"559,618.89"
Ministry of Defence,Ministry of Defence,29/07/2011,Property leases,Defence Infrastructure Organisation ,ASPIRE DEFENCE LIMITED,SP9 7QD,825563,"535,548.68"
Ministry of Defence,Ministry of Defence,06/07/2011,Purchase of information and communications technology,Defence Equipment & Support,LOCKHEED MARTIN UK LIMITED,GU14 6TQ,2000012102,"535,161.88"
Ministry of Defence,Ministry of Defence,11/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,AGUSTAWESTLAND LIMITED,BA20 2YB,817484,"525,008.32"
Ministry of Defence,Ministry of Defence,21/07/2011,Food and clothing,Defence Infrastructure Organisation ,ARAMARK LTD,LS16 6QY,822211,"524,114.22"
Ministry of Defence,Ministry of Defence,19/07/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,BABCOCK DYNCORP LIMITED,PE28 2EA,821009,"517,299.60"
Ministry of Defence,Ministry of Defence,11/07/2011,Estate management,Defence Infrastructure Organisation ,INTERSERVE (DEFENCE) LTD,BS34 8YU,5000059121,"511,786.50"
Ministry of Defence,Ministry of Defence,22/07/2011,Design services and minor equipment purchases,Air Command,COMPASS GROUP UK AND IRELAND LIMITED,B45 9PZ,822865,"511,281.38"
Ministry of Defence,Ministry of Defence,12/07/2011,Fees for professional services,Defence Infrastructure Organisation ,GVA GRIMLEY LIMITED,B1 2JB,818283,"508,863.62"
Ministry of Defence,Ministry of Defence,11/07/2011,Grants to NDPBs,Land Forces,NATIONAL ARMY MUSEUM,SW3 4HT,817853,"500,000.00"
Ministry of Defence,Ministry of Defence,08/07/2011,Medical treatment & stores and welfare services,Central TLB,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,GU16 7UJ,817006,"495,881.55"
Ministry of Defence,Ministry of Defence,11/07/2011,Estate management,Defence Infrastructure Organisation ,PRIDE (SERP) LTD,GU11 2ER,817936,"494,583.11"
Ministry of Defence,Ministry of Defence,22/07/2011,Fees for professional services,Central TLB,DEPARTMENT FOR WORK AND PENSIONS,FY5 3TA,822882,"493,354.60"
Ministry of Defence,Ministry of Defence,11/07/2011,Estate management,Defence Equipment & Support,BAE SYSTEMS SURFACE SHIPS SUPPORT LIMITED,PO1 3LS,817539,"492,986.63"
Ministry of Defence,Ministry of Defence,04/07/2011,Food and clothing,Defence Infrastructure Organisation ,SODEXO LTD,M50 0AL,814263,"490,920.12"
Ministry of Defence,Ministry of Defence,22/07/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,B. BRAUN MEDICAL LTD,S35 2PW,822773,"483,413.36"
Ministry of Defence,Ministry of Defence,20/07/2011,Payment of utilities,Air Command,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,822086,"482,753.53"
Ministry of Defence,Ministry of Defence,22/07/2011,Food and clothing,Defence Infrastructure Organisation ,SODEXO LTD,M50 0AL,823209,"475,651.07"
Ministry of Defence,Ministry of Defence,19/07/2011,Externally delivered education and training,Land Forces,G4S FSI LIMITED,SM1 4LD,821142,"472,155.53"
Ministry of Defence,Ministry of Defence,21/07/2011,Payment of utilities,Defence Infrastructure Organisation ,STADTWERKE MUNSTER GMBH,,5000059890,"469,204.36"
Ministry of Defence,Ministry of Defence,07/07/2011,Estate management,Air Command,SERCO LIMITED,RG27 9UY,816618,"467,236.82"
Ministry of Defence,Ministry of Defence,08/07/2011,Estate management,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,817120,"465,716.80"
Ministry of Defence,Ministry of Defence,19/07/2011,"Purchase of munitions, other inventory or fuel",Air Command,BP INTERNATIONAL LIMITED,HP2 4UL,2000012209,"459,874.75"
Ministry of Defence,Ministry of Defence,21/07/2011,Payment of utilities,Defence Infrastructure Organisation ,E.ON WESTFALEN WESE VETRIEB GMBH,,5000059830,"459,738.29"
Ministry of Defence,Ministry of Defence,28/07/2011,Purchase of buildings - Dwellings,Defence Infrastructure Organisation ,DAVITT JONES BOULD LTD,TA1 4EB,825068,"455,590.00"
Ministry of Defence,Ministry of Defence,25/07/2011,Fees for professional services,Defence Equipment & Support,ALIXPARTNERS LTD,W1K 6WE,823321,"455,390.00"
Ministry of Defence,Ministry of Defence,14/07/2011,Rental of plant and machinery,Defence Equipment & Support,BARLOWORLD HANDLING LTD,WA3 3JD,819247,"452,732.35"
Ministry of Defence,Ministry of Defence,26/07/2011,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,824351,"452,083.80"
Ministry of Defence,Ministry of Defence,19/07/2011,Estate management,Defence Infrastructure Organisation ,COMPASS CONTRACT SERVICES (U K)LIMITED,B45 9PZ,821094,"451,344.77"
Ministry of Defence,Ministry of Defence,07/07/2011,Estate management,Defence Infrastructure Organisation ,BEZIRKSREGIERUNG DUESSELDORF,,5000058953,"450,911.32"
Ministry of Defence,Ministry of Defence,14/07/2011,Transport hire charges,Land Forces,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,819234,"450,806.71"
Ministry of Defence,Ministry of Defence,11/07/2011,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,817941,"445,245.36"
Ministry of Defence,Ministry of Defence,14/07/2011,Estate management,Defence Infrastructure Organisation ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,819707,"441,973.31"
Ministry of Defence,Ministry of Defence,27/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,THALES MISSILE ELECTRONICS LTD,RG21 4HJ,824881,"437,379.00"
Ministry of Defence,Ministry of Defence,18/07/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,820461,"431,500.03"
