Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Profession
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Middle East & North Africa Directorate,11300,D6,43084,55782,Policy Adviser,64,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Middle East & North Africa Directorate,11300,D7,54340,67861,Policy Adviser,24,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Middle East & North Africa Directorate,11300,SMS1,58200,117750,Policy Adviser,21,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Eastern Europe and Central Asia Directorate,11400,A1,16135,17166,Policy Adviser,2,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Eastern Europe and Central Asia Directorate,11400,A2,18525,21696,Policy Adviser,19,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Eastern Europe and Central Asia Directorate,11400,B3,21432,27385,Policy Adviser,29,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Eastern Europe and Central Asia Directorate,11400,C4,26102,32509,Policy Adviser,29,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Eastern Europe and Central Asia Directorate,11400,C5,32748,40500,Policy Adviser,11,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Eastern Europe and Central Asia Directorate,11400,D6,43084,55782,Policy Adviser,17,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Eastern Europe and Central Asia Directorate,11400,D7,54340,67861,Policy Adviser,17,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Eastern Europe and Central Asia Directorate,11400,SMS1,58200,117750,Policy Adviser,6,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,DG Political support and Resouce Management Unit,11000,A1,16135,17166,Policy Support Officer,1,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,DG Political support and Resouce Management Unit,11000,A2,18525,21696,Policy Support Officer,3,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,DG Political support and Resouce Management Unit,11000,B3,21432,27385,Policy Support Officer,3,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,DG Political support and Resouce Management Unit,11000,C4,26102,32509,Policy Support Officer,5,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,DG Political support and Resouce Management Unit,11000,D6,43084,55782,Policy Support Officer,1,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,DG Political support and Resouce Management Unit,11000,D7,54340,67861,Policy Support Officer,1,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Intelligence & National Security Directorate,12100,A1,16135,17166,Policy Adviser,5,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Intelligence & National Security Directorate,12100,A2,18525,21696,Policy Adviser,4,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Intelligence & National Security Directorate,12100,B3,21432,27385,Policy Adviser,3,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Intelligence & National Security Directorate,12100,C5,32748,40500,Policy Adviser,2,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Intelligence & National Security Directorate,12100,D6,43084,55782,Policy Adviser,3,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Intelligence & National Security Directorate,12100,D7,54340,67861,Policy Adviser,1,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Americas Directorate,12200,A1,16135,17166,Policy Adviser,1,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Americas Directorate,12200,A2,18525,21696,Policy Adviser,41,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Americas Directorate,12200,B3,21432,27385,Policy Adviser,24,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Americas Directorate,12200,C4,26102,32509,Policy Adviser,53,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Americas Directorate,12200,C5,32748,40500,Policy Adviser,34,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Americas Directorate,12200,D6,43084,55782,Policy Adviser,56,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Americas Directorate,12200,D7,54340,67861,Policy Adviser,22,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Americas Directorate,12200,SMS1,58200,117750,Policy Adviser,23,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Defence and Strategic Threats Directorate,12300,A1,16135,17166,Policy Adviser,8,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Defence and Strategic Threats Directorate,12300,A2,18525,21696,Policy Adviser,31,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Defence and Strategic Threats Directorate,12300,B3,21432,27385,Policy Adviser,41,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Defence and Strategic Threats Directorate,12300,C4,26102,32509,Policy Adviser,54,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Defence and Strategic Threats Directorate,12300,C5,32748,40500,Policy Adviser,15,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Defence and Strategic Threats Directorate,12300,D6,43084,55782,Policy Adviser,26,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Defence and Strategic Threats Directorate,12300,D7,54340,67861,Policy Adviser,11,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Defence and Strategic Threats Directorate,12300,SMS1,58200,117750,Policy Adviser,4,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Overseas Territories Directorate,12000,A1,16135,17166,Policy Adviser,2,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Overseas Territories Directorate,12000,A2,18525,21696,Policy Adviser,9,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Overseas Territories Directorate,12000,B3,21432,27385,Policy Adviser,16,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Overseas Territories Directorate,12000,C4,26102,32509,Policy Adviser,5,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Overseas Territories Directorate,12000,C5,32748,40500,Policy Adviser,12,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Overseas Territories Directorate,12000,D6,43084,55782,Policy Adviser,13,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Overseas Territories Directorate,12000,D7,54340,67861,Policy Adviser,5,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Overseas Territories Directorate,12000,SMS1,58200,117750,Policy Adviser,5,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,DG Defence & Intelligence support and Resource Management Unit,12000,A2,18525,21696,Policy Support Officer,2,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,DG Defence & Intelligence support and Resource Management Unit,12000,B3,21432,27385,Policy Support Officer,1,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,DG Defence & Intelligence support and Resource Management Unit,12000,C4,26102,32509,Policy Support Officer,3,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,DG Defence & Intelligence support and Resource Management Unit,12000,C5,32748,40500,Policy Support Officer,1,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Global & Economic Issues Directorate,13100,A1,16135,17166,Policy Adviser,1,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Global & Economic Issues Directorate,13100,A2,18525,21696,Policy Adviser,9,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Global & Economic Issues Directorate,13100,B3,21432,27385,Policy Adviser,10,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Global & Economic Issues Directorate,13100,C4,26102,32509,Policy Adviser,27,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Global & Economic Issues Directorate,13100,C5,32748,40500,Policy Adviser,3,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Global & Economic Issues Directorate,13100,D6,43084,55782,Policy Adviser,20,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Global & Economic Issues Directorate,13100,D7,54340,67861,Policy Adviser,8,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Global & Economic Issues Directorate,13100,SMS1,58200,117750,Policy Adviser,5,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Africa Directorate,13200,A1,16135,17166,Policy Adviser,1,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Africa Directorate,13200,A2,18525,21696,Policy Adviser,42,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Africa Directorate,13200,B3,21432,27385,Policy Adviser,40,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Africa Directorate,13200,C4,26102,32509,Policy Adviser,75,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Africa Directorate,13200,C5,32748,40500,Policy Adviser,19,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Africa Directorate,13200,D6,43084,55782,Policy Adviser,59,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Africa Directorate,13200,D7,54340,67861,Policy Adviser,22,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Africa Directorate,13200,SMS1,58200,117750,Policy Adviser,22,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Europe Directorate,13300,A1,16135,17166,Policy Adviser,1,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Europe Directorate,13300,A2,18525,21696,Policy Adviser,95,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Europe Directorate,13300,B3,21432,27385,Policy Adviser,64,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Europe Directorate,13300,C4,26102,32509,Policy Adviser,122,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Europe Directorate,13300,C5,32748,40500,Policy Adviser,47,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Europe Directorate,13300,D6,43084,55782,Policy Adviser,122,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Europe Directorate,13300,D7,54340,67861,Policy Adviser,40,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Europe Directorate,13300,SMS1,58200,117750,Policy Adviser,55,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Asia Pacific Directorate,13400,A1,16135,17166,Policy Adviser,1,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Asia Pacific Directorate,13400,A2,18525,21696,Policy Adviser,49,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Asia Pacific Directorate,13400,B3,21432,27385,Policy Adviser,23,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Asia Pacific Directorate,13400,C4,26102,32509,Policy Adviser,69,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Asia Pacific Directorate,13400,C5,32748,40500,Policy Adviser,25,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Asia Pacific Directorate,13400,D6,43084,55782,Policy Adviser,60,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Asia Pacific Directorate,13400,D7,54340,67861,Policy Adviser,15,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Asia Pacific Directorate,13400,SMS1,58200,117750,Policy Adviser,23,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Consular Directorate,13500,A1,16135,17166,Policy Adviser,6,Operational Delivery
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Consular Directorate,13500,A2,18525,21696,Policy Adviser,71,Operational Delivery
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Consular Directorate,13500,B3,21432,27385,Policy Adviser,120,Operational Delivery
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Consular Directorate,13500,C4,26102,32509,Policy Adviser,45,Operational Delivery
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Consular Directorate,13500,C5,32748,40500,Policy Adviser,30,Operational Delivery
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Consular Directorate,13500,D6,43084,55782,Policy Adviser,24,Operational Delivery
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Consular Directorate,13500,D7,54340,67861,Policy Adviser,6,Operational Delivery
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Consular Directorate,13500,SMS1,58200,117750,Policy Adviser,3,Operational Delivery
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Migration Directorate,13000,A2,18525,21696,Policy Adviser,4,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Migration Directorate,13000,B3,21432,27385,Policy Adviser,1,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Migration Directorate,13000,C4,26102,32509,Policy Adviser,10,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Migration Directorate,13000,C5,32748,40500,Policy Adviser,7,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Migration Directorate,13000,D6,43084,55782,Policy Adviser,8,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Migration Directorate,13000,D7,54340,67861,Policy Adviser,1,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Migration Directorate,13000,SMS1,58200,117750,Policy Adviser,2,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,DG Europe and Globalisation support and Resource Management Unit,13000,A2,18525,21696,Policy Support Officer,4,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,DG Europe and Globalisation support and Resource Management Unit,13000,B3,21432,27385,Policy Support Officer,5,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,DG Europe and Globalisation support and Resource Management Unit,13000,C4,26102,32509,Policy Support Officer,5,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,DG Europe and Globalisation support and Resource Management Unit,13000,C5,32748,40500,Policy Support Officer,1,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,DG Europe and Globalisation support and Resource Management Unit,13000,D6,43084,55782,Policy Support Officer,3,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,DG Europe and Globalisation support and Resource Management Unit,13000,SMS1,58200,117750,HR Officer,1,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Human Resources Directorate,14100,A1,16135,17166,HR Officer,31,Human Resources
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Human Resources Directorate,14100,A2,18525,21696,HR Officer,108,Human Resources
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Human Resources Directorate,14100,B3,21432,27385,HR Officer,100,Human Resources
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Human Resources Directorate,14100,C4,26102,32509,HR Officer,46,Human Resources
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Human Resources Directorate,14100,C5,32748,40500,HR Officer,48,Human Resources
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Human Resources Directorate,14100,D6,43084,55782,HR Officer,45,Human Resources
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Human Resources Directorate,14100,D7,54340,67861,HR Officer,36,Human Resources
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Human Resources Directorate,14100,SMS1,58200,117750,HR Officer,10,Human Resources
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Corporate Services Directorate,14200,A2,18525,21696,Operations Support Officer,68,Operational Delivery
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Corporate Services Directorate,14200,B3,21432,27385,Operations Support Officer,44,Operational Delivery
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Corporate Services Directorate,14200,C4,26102,32509,Operations Support Officer,14,Operational Delivery
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Corporate Services Directorate,14200,C5,32748,40500,Operations Support Officer,11,Operational Delivery
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Corporate Services Directorate,14200,D6,43084,55782,Operations Support Officer,12,Operational Delivery
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Corporate Services Directorate,14200,D7,54340,67861,Operations Support Officer,3,Operational Delivery
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Corporate Services Directorate,14200,SMS1,58200,117750,Operations Support Officer,1,Operational Delivery
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Finance Directorate,14300,A2,18525,21696,Finance Officer,6,Finance
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Finance Directorate,14300,B3,21432,27385,Finance Officer,21,Finance
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Finance Directorate,14300,C4,26102,32509,Finance Officer,20,Finance
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Finance Directorate,14300,C5,32748,40500,Finance Officer,15,Finance
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Finance Directorate,14300,D6,43084,55782,Finance Officer,10,Finance
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Finance Directorate,14300,D7,54340,67861,Finance Officer,9,Finance
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Finance Directorate,14300,SMS1,58200,117750,Finance Officer,5,Finance
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Estates & Security Directorate,14400,A2,18525,21696,Operations Support Officer,14,Operational Delivery
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Estates & Security Directorate,14400,B3,21432,27385,Operations Support Officer,57,Operational Delivery
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Estates & Security Directorate,14400,C4,26102,32509,Operations Support Officer,33,Operational Delivery
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Estates & Security Directorate,14400,C5,32748,40500,Operations Support Officer,13,Operational Delivery
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Estates & Security Directorate,14400,D6,43084,55782,Operations Support Officer,25,Operational Delivery
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Estates & Security Directorate,14400,D7,54340,67861,Operations Support Officer,9,Operational Delivery
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Estates & Security Directorate,14400,SMS1,58200,117750,Operations Support Officer,5,Operational Delivery
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Information & Technology Directorate,14500,A1,16135,17166,IT Manager,9,Information Technology
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Information & Technology Directorate,14500,A2,18525,21696,IT Manager,20,Information Technology
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Information & Technology Directorate,14500,B3,21432,27385,IT Manager,52,Information Technology
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Information & Technology Directorate,14500,C4,26102,32509,IT Manager,34,Information Technology
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Information & Technology Directorate,14500,C5,32748,40500,IT Manager,35,Information Technology
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Information & Technology Directorate,14500,D6,43084,55782,IT Manager,16,Information Technology
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Information & Technology Directorate,14500,D7,54340,67861,IT Manager,11,Information Technology
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Information & Technology Directorate,14500,SMS1,58200,117750,IT Manager,2,Information Technology
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Protocol Directorate,14000,A1,16135,17166,Policy Adviser,3,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Protocol Directorate,14000,A2,18525,21696,Policy Adviser,20,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Protocol Directorate,14000,B3,21432,27385,Policy Adviser,26,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Protocol Directorate,14000,C4,26102,32509,Policy Adviser,8,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Protocol Directorate,14000,C5,32748,40500,Policy Adviser,4,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Protocol Directorate,14000,D6,43084,55782,Policy Adviser,4,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Protocol Directorate,14000,D7,54340,67861,Policy Adviser,1,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Protocol Directorate,14000,SMS1,58200,117750,Policy Adviser,1,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,"DG Operations support, Resource Management Unit and corporate positions",14000,A1,16135,17166,Operations Support Officer,5,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,"DG Operations support, Resource Management Unit and corporate positions",14000,A2,18525,21696,Operations Support Officer,45,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,"DG Operations support, Resource Management Unit and corporate positions",14000,B3,21432,27385,Operations Support Officer,62,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,"DG Operations support, Resource Management Unit and corporate positions",14000,C4,26102,32509,Operations Support Officer,75,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,"DG Operations support, Resource Management Unit and corporate positions",14000,C5,32748,40500,Operations Support Officer,17,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,"DG Operations support, Resource Management Unit and corporate positions",14000,D6,43084,55782,Operations Support Officer,44,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,"DG Operations support, Resource Management Unit and corporate positions",14000,D7,54340,67861,Operations Support Officer,17,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,"DG Operations support, Resource Management Unit and corporate positions",14000,SMS1,58200,117750,Operations Support Officer,15,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Legal Advisers,16000,A1,16135,17166,Legal Adviser,3,Law
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Legal Advisers,16000,A2,18525,21696,Legal Adviser,14,Law
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Legal Advisers,16000,B3,21432,27385,Legal Adviser,6,Law
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Legal Advisers,16000,C4,26102,32509,Legal Adviser,4,Law
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Legal Advisers,16000,C5,32748,40500,Legal Adviser,1,Law
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Legal Advisers,16000,D6,43084,55782,Legal Adviser,9,Law
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Legal Advisers,16000,D7,54340,67861,Legal Adviser,12,Law
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Legal Advisers,16000,SMS1,58200,117750,Legal Adviser,8,Law
Foreign and Commonwealth Office,Foreign and Commonwealth Office,UK Trade & Investment,18000,A2,18525,21696,Operations Support Officer,3,Operational Delivery
Foreign and Commonwealth Office,Foreign and Commonwealth Office,UK Trade & Investment,18000,B3,21432,27385,Operations Support Officer,10,Operational Delivery
Foreign and Commonwealth Office,Foreign and Commonwealth Office,UK Trade & Investment,18000,C4,26102,32509,Operations Support Officer,69,Operational Delivery
Foreign and Commonwealth Office,Foreign and Commonwealth Office,UK Trade & Investment,18000,C5,32748,40500,Operations Support Officer,35,Operational Delivery
Foreign and Commonwealth Office,Foreign and Commonwealth Office,UK Trade & Investment,18000,D6,43084,55782,Operations Support Officer,47,Operational Delivery
Foreign and Commonwealth Office,Foreign and Commonwealth Office,UK Trade & Investment,18000,D7,54340,67861,Operations Support Officer,11,Operational Delivery
Foreign and Commonwealth Office,Foreign and Commonwealth Office,UK Trade & Investment,18000,SMS1,58200,117750,Operations Support Officer,16,Operational Delivery
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Communications Directorate,19100,A1,16135,17166,Communications Manager,1,Communications
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Communications Directorate,19100,A2,18525,21696,Communications Manager,10,Communications
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Communications Directorate,19100,B3,21432,27385,Communications Manager,20,Communications
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Communications Directorate,19100,C4,26102,32509,Communications Manager,18,Communications
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Communications Directorate,19100,C5,32748,40500,Communications Manager,10,Communications
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Communications Directorate,19100,D6,43084,55782,Communications Manager,16,Communications
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Communications Directorate,19100,D7,54340,67861,Communications Manager,7,Communications
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Communications Directorate,19100,SMS1,58200,117750,Communications Manager,5,Communications
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Strategy,19200,A1,16135,17166,Policy Adviser,1,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Strategy,19200,A2,18525,21696,Policy Adviser,1,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Strategy,19200,B3,21432,27385,Policy Adviser,4,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Strategy,19200,C5,32748,40500,Policy Adviser,1,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Strategy,19200,D6,43084,55782,Policy Adviser,5,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Strategy,19200,D7,54340,67861,Policy Adviser,2,Policy
