ALB Code,Public Sector Procurement Expenditure Survey Category ,Supplier,Net Amount £
Community Development Foundation,TECHNICAL CONSULTANCY,GOVIRAL LTD,"6,000.00"
Community Development Foundation,TECHNICAL CONSULTANCY,GRAY-KING & GRAY LTD,"16,481.06"
Community Development Foundation,TECHNICAL CONSULTANCY,GREEN ALLIANCE,"7,150.00"
Community Development Foundation,TECHNICAL CONSULTANCY,GROUPS WORK LTD,"22,839.69"
Community Development Foundation,TECHNICAL CONSULTANCY,HELEN WHITE,"7,048.00"
Community Development Foundation,TECHNICAL CONSULTANCY,HIPPO CREATIVE SOLUTIONS LTD,"28,500.00"
Community Development Foundation,TECHNICAL CONSULTANCY,IAN OWERS,"20,408.13"
Community Development Foundation,TECHNICAL CONSULTANCY,IDEAL WORD,"2,500.00"
Community Development Foundation,TECHNICAL CONSULTANCY,INFOCORP LTD,"1,860.00"
Community Development Foundation,TECHNICAL CONSULTANCY,INSIGHT DEVELOPMENT & CONSULTANCY,"11,300.00"
Community Development Foundation,TECHNICAL CONSULTANCY,INSTITUTE FOR VOLUNTARY ACTION RESEARCH,"135,250.00"
Community Development Foundation,TECHNICAL CONSULTANCY,INVOLVE,"59,402.88"
Community Development Foundation,TECHNICAL CONSULTANCY,INVOLVE,"10,137.50"
Community Development Foundation,TECHNICAL CONSULTANCY,J.R.SANDERS,"1,425.00"
Community Development Foundation,TECHNICAL CONSULTANCY,JACKI REASON,"1,045.00"
Community Development Foundation,TECHNICAL CONSULTANCY,JAN HENDERSON,681.38
Community Development Foundation,TECHNICAL CONSULTANCY,JAN MCHARRY,800
Community Development Foundation,TECHNICAL CONSULTANCY,JANET THOMAS,"1,000.00"
Community Development Foundation,TECHNICAL CONSULTANCY,JANICE CRAWLEY,900
Community Development Foundation,TECHNICAL CONSULTANCY,JANICE NEEDHAM,"12,897.10"
Community Development Foundation,TECHNICAL CONSULTANCY,JASSY DENISON,"4,000.00"
Community Development Foundation,TECHNICAL CONSULTANCY,JOAN BENNETT,"3,381.00"
Community Development Foundation,TECHNICAL CONSULTANCY,JOANNA KENNEDY,"6,185.00"
Community Development Foundation,TECHNICAL CONSULTANCY,JONATHAN DREDGE,"5,840.00"
Community Development Foundation,TECHNICAL CONSULTANCY,JUTEXPO LTD,"3,324.50"
Community Development Foundation,TECHNICAL CONSULTANCY,LAKE FINANCIAL SYSTEMS,"1,045.00"
Community Development Foundation,TECHNICAL CONSULTANCY,LEEDS METROPOLITAN UNIVERSITY,"5,000.00"
Community Development Foundation,TECHNICAL CONSULTANCY,LIKE CUBE,"2,475.00"
Community Development Foundation,TECHNICAL CONSULTANCY,LINDA CLARK,"12,188.50"
Community Development Foundation,TECHNICAL CONSULTANCY,LOCAL GOVERNMENT INFORMATION UNIT,"60,533.00"
Community Development Foundation,TECHNICAL CONSULTANCY,LWTT CONSULTANCY & RESEARCH LTD,"5,550.00"
Community Development Foundation,TECHNICAL CONSULTANCY,MAKE MODE LTD,"20,404.01"
Community Development Foundation,TECHNICAL CONSULTANCY,MARGARET LINDSAY,"21,102.50"
Community Development Foundation,TECHNICAL CONSULTANCY,MARKETING MEANS LTD,"58,974.35"
Community Development Foundation,TECHNICAL CONSULTANCY,MARLER HALEY,956
Community Development Foundation,TECHNICAL CONSULTANCY,MEDIA TRUST,"1,700.00"
Community Development Foundation,TECHNICAL CONSULTANCY,MIDAS CHARITY APPEALS,"5,097.00"
Community Development Foundation,TECHNICAL CONSULTANCY,MPOWA,"7,015.22"
Community Development Foundation,TECHNICAL CONSULTANCY,NADEEM SIDDIQUE,"16,994.40"
Community Development Foundation,TECHNICAL CONSULTANCY,NATIONAL EXTENSION COLLEGE,"27,624.49"
Community Development Foundation,TECHNICAL CONSULTANCY,NAVARRO TRAINING & CONSULTANCY,"1,000.00"
Community Development Foundation,TECHNICAL CONSULTANCY,NEF CONSULTING LTD,"12,550.00"
Community Development Foundation,TECHNICAL CONSULTANCY,NOEL WILLIAMS,"2,446.20"
Community Development Foundation,TECHNICAL CONSULTANCY,NOVAS SCARMAN GROUP,"122,054.69"
Community Development Foundation,TECHNICAL CONSULTANCY,OPEN COMMUNITIES LTD,"7,689.60"
Community Development Foundation,TECHNICAL CONSULTANCY,PEACH BUSINESS CONSULTANCY,"5,185.16"
Community Development Foundation,TECHNICAL CONSULTANCY,PETER D. TAYLOR,"19,632.15"
Community Development Foundation,TECHNICAL CONSULTANCY,PHOENIX HSC (UK) LTD,545
Community Development Foundation,TECHNICAL CONSULTANCY,QUILLS CONSULTANCY,"2,400.00"
Community Development Foundation,TECHNICAL CONSULTANCY,RED OCHRE,"10,106.38"
Community Development Foundation,TECHNICAL CONSULTANCY,RESOURCES FOR CHANGE LTD,"72,098.58"
Community Development Foundation,TECHNICAL CONSULTANCY,ROB STEAD,"1,199.82"
Community Development Foundation,TECHNICAL CONSULTANCY,ROYDS SOLICITORS,"1,700.00"
Community Development Foundation,TECHNICAL CONSULTANCY,RUNIMA KAKATI,"3,696.90"
Community Development Foundation,TECHNICAL CONSULTANCY,SAGE (UK) LTD,"1,820.00"
Community Development Foundation,TECHNICAL CONSULTANCY,SEAN CONRY LTD,"3,075.00"
Community Development Foundation,TECHNICAL CONSULTANCY,SHAMSHUR KAUR CHOHAN,"2,967.50"
Community Development Foundation,TECHNICAL CONSULTANCY,SIMON C MADDISON,"1,640.85"
Community Development Foundation,TECHNICAL CONSULTANCY,SOLACE,"7,500.00"
Community Development Foundation,TECHNICAL CONSULTANCY,SOUTH WEST FOUNDATION,"11,336.00"
Community Development Foundation,TECHNICAL CONSULTANCY,STAFF EXPENSES,"5,151.10"
Community Development Foundation,TECHNICAL CONSULTANCY,STEPHANIE VARAH DEVELOPMENT SOLUTIONS LTD,"19,651.34"
Community Development Foundation,TECHNICAL CONSULTANCY,SUSAN BROWN,"6,747.00"
Community Development Foundation,TECHNICAL CONSULTANCY,TAKE PART NETWORK,"35,000.00"
Community Development Foundation,TECHNICAL CONSULTANCY,TANK CONSULTING,"58,569.99"
Community Development Foundation,TECHNICAL CONSULTANCY,THE EVALUATION TRUST,"10,400.00"
Community Development Foundation,TECHNICAL CONSULTANCY,THE EVALUATION TRUST,"7,657.25"
Community Development Foundation,TECHNICAL CONSULTANCY,THE GUILD (EASTERN REGION) LLP,"25,602.20"
Community Development Foundation,TECHNICAL CONSULTANCY,THE PAUL LUSK CONSULTANCY,"13,880.40"
Community Development Foundation,TECHNICAL CONSULTANCY,TIM MORTON ASSOCIATES,"8,062.00"
Community Development Foundation,TECHNICAL CONSULTANCY,UPSET MEDIA  LTD TRADING AS UPSET TV,"5,750.00"
Community Development Foundation,TECHNICAL CONSULTANCY,WORKERS EDUCATIONAL ASSOCIATION,"13,708.40"
Community Development Foundation,TECHNICAL CONSULTANCY,WSA COMMUNITY CONSULTANTS,"7,615.00"
Community Development Foundation,TELECOMS,ARGYLL BUSINESS SERVICES LTD,"2,218.63"
Community Development Foundation,TELECOMS,BRITISH TELECOMMUNICATION PLC,"12,683.06"
Community Development Foundation,TELECOMS,BT CONFERENCING,"2,125.79"
Community Development Foundation,TELECOMS,DATAPHONE COMMUNICATIONS,"1,989.30"
Community Development Foundation,TELECOMS,NATIONAL EXTENSION COLLEGE,"2,664.65"
Community Development Foundation,TELECOMS,O2 (UK)LTD,"7,669.64"
Community Development Foundation,TELECOMS,SWAINS PLC,"2,204.25"
Community Development Foundation,TELECOMS,T MOBILE UK LTD,"2,092.75"
Community Development Foundation,UNCLASSIFIED,ALISON GILCHRIST,"1,800.00"
Community Development Foundation,UNCLASSIFIED,BASSAC,500
Community Development Foundation,UNCLASSIFIED,BLUEFIN INSURANCE SERVICES LTD,"9,189.11"
Community Development Foundation,UNCLASSIFIED,C B RICHARD ELLIS,675.48
Community Development Foundation,UNCLASSIFIED,CENTRAL DAIRIES,759.6
Community Development Foundation,UNCLASSIFIED,CERIDIAN CENTREFILE LIMITED (DD),"4,354.98"
Community Development Foundation,UNCLASSIFIED,CUCINA CATERING,992.57
Community Development Foundation,UNCLASSIFIED,EASY GOURMET,"1,346.45"
Community Development Foundation,UNCLASSIFIED,EMAP,"1,000.00"
Community Development Foundation,UNCLASSIFIED,ENSIFORM TYPE PRODUCTS,"1,290.30"
Community Development Foundation,UNCLASSIFIED,FIG & OLIVE,939.57
Community Development Foundation,UNCLASSIFIED,FRIENDS HOUSE HOSPITALITY,"1,088.30"
Community Development Foundation,UNCLASSIFIED,HDA ASSOCIATES LTD,"1,250.00"
Community Development Foundation,UNCLASSIFIED,LONDON ARTSCOM LIMITED,"1,650.00"
Community Development Foundation,UNCLASSIFIED,LUNCHTOGO,"1,165.57"
Community Development Foundation,UNCLASSIFIED,MARLER HALEY,935
Community Development Foundation,UNCLASSIFIED,MS CITY STORES,838.65
Community Development Foundation,UNCLASSIFIED,NATIONAL EXTENSION COLLEGE,708.5
Community Development Foundation,UNCLASSIFIED,NCVO (TRADING) LTD,645
Community Development Foundation,UNCLASSIFIED,NETWORK FLOW,611.3
Community Development Foundation,UNCLASSIFIED,NEW HORIZONS COMPUTER LEARNING CENTRES UK,"1,100.00"
Community Development Foundation,UNCLASSIFIED,PHOENIX SOFTWARE LIMITED,"1,543.74"
Community Development Foundation,UNCLASSIFIED,REED BUSINESS INFORMATION LTD,"1,295.00"
Community Development Foundation,UNCLASSIFIED,REED LEARNING,-515
Community Development Foundation,UNCLASSIFIED,SAGE (UK) LTD,"6,336.24"
Community Development Foundation,UNCLASSIFIED,SHEFFIELD HALLAM UNIVERSITY,"1,000.00"
Community Development Foundation,UNCLASSIFIED,STAFF EXPENSES,"1,721.66"
Community Development Foundation,UNCLASSIFIED,STREAMLINE GROUP,"6,509.40"
Community Development Foundation,UNCLASSIFIED,TRADE UNION CONGRESS,"5,888.20"
Community Development Foundation,UNCLASSIFIED,VENUE OPTIONS,"1,066.12"
Community Development Foundation,UNCLASSIFIED,VOCUS EUROPE LTD,"5,200.00"
Community Development Foundation,UNCLASSIFIED,WAKLEYS,"3,852.85"
Community Development Foundation,UNCLASSIFIED,WORLDAPP,"7,895.00"
Community Development Foundation,UNCLASSIFIED,ZEPBROOK LTD,842.64
Community Development Foundation,WATER,YORKSHIRE WATER,"1,762.18"
