"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1086570","OF2","37916","45090","Front Line Military","228.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1086570","OF3","47760","57200","Front Line Military","128.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1086570","OF4","67032","77617","Front Line Military","47.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1086570","OF5","81310","89408","Front Line Military","8.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1086570","OR1-3","17265","28940","Front Line Military","395.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1086570","OR1-3","17265","28940","Front Line Military","1557.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1086570","OR4","26405","33182","Front Line Military","1146.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1086570","OR5-6","30013","36929","Front Line Military","565.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1086570","OR7-8","33223","43252","Front Line Military","354.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1086570","OR7-8","33223","43252","Front Line Military","104.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1086570","OR9","38600","46753","Front Line Military","37.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1591647","E1","18370","22124","Personal Secretary","2.00","Operational Delivery"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1591647","E2","15623","18815","Administrative Support","1.00","Operational Delivery"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1591647","OF2","37916","45090","Front Line Military","113.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1591647","OF3","47760","57200","Front Line Military","39.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1591647","OF4","67032","77617","Front Line Military","14.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1591647","OF5","81310","89408","Front Line Military","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1591647","OR1-3","17265","28940","Front Line Military","107.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1591647","OR1-3","17265","28940","Front Line Military","456.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1591647","OR4","26405","33182","Front Line Military","290.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1591647","OR5-6","30013","36929","Front Line Military","153.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1591647","OR7-8","33223","43252","Front Line Military","162.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1591647","OR7-8","33223","43252","Front Line Military","55.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1591647","OR9","38600","46753","Front Line Military","17.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1123122","D","23427","29092","Administrator","2.00","Operational Delivery"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1123122","E1","18370","22124","Administrator","3.00","Operational Delivery"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1123122","E2","15623","18815","Administrator","1.00","Operational Delivery"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1123122","Fast Stream Grade Band C1","35648","44268","Administrator","1.00","Operational Delivery"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1123122","OR4","26405","33182","Front Line Military","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1123122","OR5-6","30013","36929","Front Line Military","2.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1123122","OR7-8","33223","43252","Front Line Military","2.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1123122","OR7-8","33223","43252","Front Line Military","2.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1123122","OF2","37916","45090","Front Line Military","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1123122","OF3","47760","57200","Front Line Military","2.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1123122","OF4","67032","77617","Front Line Military","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1123122","OF2","37916","45090","Front Line Military","2.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1123122","OF3","47760","57200","Front Line Military","4.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1123122","OF4","67032","77617","Front Line Military","3.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1123122","OF5","81310","89408","Front Line Military","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1123122","OF2","37916","45090","Front Line Military","57.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1123122","OF3","47760","57200","Front Line Military","43.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1123122","OF4","67032","77617","Front Line Military","17.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1123122","OF5","81310","89408","Front Line Military","3.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1123122","OR1-3","17265","28940","Front Line Military","52.00","Military"
