Minister,Date,Name of External Organisation,Purpose of meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","July, 2010","Airbus, AeroSpace, Defence, and Security (ADS), Air India, Airbus, Thales, Guest, Keen and Nettlefolds (GKN)",To discuss aerospace
"Minister of State (Business and Enterprise), Mark Prisk MP","July, 2010",JC Bamford,To discuss manufacturing
"Minister of State (Business and Enterprise), Mark Prisk MP","July, 2010",Barclays,To discuss banking
"Minister of State (Business and Enterprise), Mark Prisk MP","July, 2010",Trades Union Congress,To discuss Regional Development Agencies
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","June, 2010",Association of Colleges,General catch up
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","June, 2010",Association of learning providers,General catch up
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","June, 2010",Microsoft,To discuss skills and apprenticeships
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","June, 2010",157 Group,General catch up
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","June, 2010","Alliance of Sector Skills Councils,National Express East Anglia, Summit Skills SSC, Improve Ltd",Introductory meeting
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","June, 2010",Meeting with Federation of Awarding Bodies and Joint Council for Qualifications,Introductory meeting
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","June, 2010",Alliance of Sector Skills Councils,General catch up
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","June, 2010","Pearson Uk, Federation of Awarding Bodies",Introductory meeting
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","July, 2010",Association of teachers and lecturers,Introductory meeting
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","July, 2010","National Union of Students, National institute for adult continuous education, Institute for Learning, Association of Colleges, Association of Learning Providers, Association of Learning Providers, CBI, 6th Form College Forum, 157 Group, City & Islington College, Local Government Association, Tertiary Colleges Group,  Universities and Colleges Union",To discuss Further Education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","July, 2010","the Open University, Birmingham Metropolitan College, Richmond Adult and Community College, Association of Colleges, Leicester College, Ford of Britain, SKOPE, Trafford College, Trades Union Congress, DavyMarkham, Beyond Standards Ltd, National Institute of Adult Continuing Education, University of London, King’s College London",To discuss Further Education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","July, 2010","Coventry University, London School of Economics, the Open University, Henley Business School, University of Reading, Imperial College, Enlightenment Economics, Bristol University, Aston University, Birkbeck College, University of London,BPP Law School, Bedford College, University of Oxford, Dialight plc, the Council For Industry and Higher Education",To discuss Higher Education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","July, 2010",National Institute of Adult Continuing Education,To discuss Adult learning
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","July, 2010",Universities and colleges union,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","June, 2010",Post Office Ltd,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","June, 2010",Royal Mail Pension Fund Trustees,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","June, 2010",Communication Workers Union,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","June, 2010",National Federation of Sub Postmasters,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","June, 2010",Trades Union Congress,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","June, 2010",Royal Mail,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","June, 2010",UK Mail,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","June, 2010",Employee Ownership Association,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","June, 2010",TNT Post UK,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","June, 2010",Confederation of British Industry/ CBI,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","June, 2010",Bank of Ireland,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","June, 2010",DX Group (Document Exchange Group),Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","June, 2010",Carers UK,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","June, 2010",DHL Global Mail,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","June, 2010","Tesco, Standard Chartered Bank, Quoted Companies Alliance, Institute of Directors",To discuss corporate governance
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","July, 2010",Post Office Ltd,To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","July, 2010","Sustainable Investment and Finance Association, Fidelity Investments, Black Rock, Railpen, F&C Investments",To discuss corporate governance
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","July, 2010",British Chambers of Commerce,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","July, 2010","The Corporate Responsibility (CORE) Coalition, Amnesty International, Traidcraft, TUC",To discuss corporate governance
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","July, 2010",Association of British Credit Unions Limited/ ABCUL,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","July, 2010","Grocery Market Action Group, British Brands Group, Traidcraft, Action Aid, National Farmers Union, Association of Conveniences Stores",To discuss consumer issues
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","July, 2010",Trades Union Congress,Regular meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","July, 2010",Royal Mail,To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","July, 2010",Mail Competition Forum,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","July, 2010",Mail Users Association,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","July, 2010",Institute of Directors/ IoD,To discuss employment issues
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","July, 2010",Post Bank Coalition,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","July, 2010",Royal Mail,To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","July, 2010",Belgium Post,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","July, 2010",Post Office Ltd,To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","July, 2010",Royal Mail Pension Trustees Limited,Regular meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","July, 2010",National Federation of SubPostmasters,To discuss postal affairs issues
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","July, 2010",National Farmers Union,To discuss consumer issues
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","July, 2010",Association of British Insurers,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","July, 2010",Royal Mail Pension Trustees Limited,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","July, 2010",Engineering Employers Federation,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","July, 2010",British Retail Consortium,To discuss consumer issues
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","July, 2010","Wonga, Auto Money, Provident Financial",To discuss consumer issues
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","July, 2010",British Export Association,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","July, 2010","Finance and Leasing Association, British Bankers Association, UK Cards Association, Lending Standards Board",To discuss consumer issues
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","June, 2010",Phonographic Performance Limited (PPL),To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","July, 2010","UK Music, British Phonographic Industry (BPI), PRS for Music, Phonographic Performance Ltd (PPL), British Academy of Songwriters, Composers and Authors, Music Publishers’ Association, Music Managers’ Forum, Association of Independent Music, Music Producers’ Guild.",To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","July, 2010",Phonographic Performance Limited (PPL) and PRS for Music,To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","July, 2010",British Screen Advisory Council,To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","July, 2010",PRS for Music,To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","July, 2010",British Art Market Federation,To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","July, 2010","Entertainment and Leisure Software Publishers Association, International Federation of Spirits Producers Europe, Anti-Counterfeiting Group, UK Electronics Alliance, Sports Rights Owners Coalition, Publishers' Association, Educational Recording Agency",To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","July, 2010",Copyright Licensing Agency,To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","July, 2010",Alliance Against IP theft,To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","July, 2010",Design and Artists Copyright Society,To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","July, 2010",British Phonographic Industry,To discuss Intellectual Property
"Parliamentary Under Secretary of State (Minister for Culture, Communications and Creative Industries), The Hon Ed Vaizey MP","June, 2010",Race Online 2012,Introductory Meeting
"Parliamentary Under Secretary of State (Minister for Culture, Communications and Creative Industries), The Hon Ed Vaizey MP","June, 2010",Design and Artists Copyright Society,Introductory Meeting
"Parliamentary Under Secretary of State (Minister for Culture, Communications and Creative Industries), The Hon Ed Vaizey MP","June, 2010",British Phonographic Industries,Introductory Meeting
"Parliamentary Under Secretary of State (Minister for Culture, Communications and Creative Industries), The Hon Ed Vaizey MP","June, 2010",Warner Bros,General catch up
"Parliamentary Under Secretary of State (Minister for Culture, Communications and Creative Industries), The Hon Ed Vaizey MP","June, 2010",Apple,Introductory Meeting
"Parliamentary Under Secretary of State (Minister for Culture, Communications and Creative Industries), The Hon Ed Vaizey MP","June, 2010",Everything Everywhere,Introductory Meeting
"Parliamentary Under Secretary of State (Minister for Culture, Communications and Creative Industries), The Hon Ed Vaizey MP","June, 2010",The Entertainment and Leisure Software Publishers Association,Introductory Meeting
"Parliamentary Under Secretary of State (Minister for Culture, Communications and Creative Industries), The Hon Ed Vaizey MP","July, 2010",3UK,Introductory Meeting
"Parliamentary Under Secretary of State (Minister for Culture, Communications and Creative Industries), The Hon Ed Vaizey MP","July, 2010",O2,Introductory Meeting
"Parliamentary Under Secretary of State (Minister for Culture, Communications and Creative Industries), The Hon Ed Vaizey MP","July, 2010",Research in Motion,Introductory Meeting
"Parliamentary Under Secretary of State (Minister for Culture, Communications and Creative Industries), The Hon Ed Vaizey MP","July, 2010",Carphone Warehouse,Introductory Meeting
"Parliamentary Under Secretary of State (Minister for Culture, Communications and Creative Industries), The Hon Ed Vaizey MP","July, 2010",Vodafone,Introductory Meeting
"Parliamentary Under Secretary of State (Minister for Culture, Communications and Creative Industries), The Hon Ed Vaizey MP","July, 2010",Virgin Media,Introductory Meeting
"Parliamentary Under Secretary of State (Minister for Culture, Communications and Creative Industries), The Hon Ed Vaizey MP","July, 2010",Periodical Publishers Association/Publishers Association/Newspaper Society,General catch up
"Parliamentary Under Secretary of State (Minister for Culture, Communications and Creative Industries), The Hon Ed Vaizey MP","July, 2010",Virgin Media,General catch up
"Parliamentary Under Secretary of State (Minister for Culture, Communications and Creative Industries), The Hon Ed Vaizey MP","July, 2010",British Phonographic Industries,General catch up
"Parliamentary Under Secretary of State (Minister for Culture, Communications and Creative Industries), The Hon Ed Vaizey MP","July, 2010",Babel Media/Sony UK Ltd/ Revolution Software/ Mastertronic Group/Frontier Developments Ltd/Six to Start/Eidos/Blitz Games/ The Entertainment and Leisure Software Publishers Association/TIGA/Ubisoft Reflections/Square Enix Europe/ Playfish/Codemasters/Mind Candy/Electronic Arts,To discuss video games
