UniqueRef,DATE OF TRANSACTION,MERCHANT CATEGORY,MERCHANT CATEGORY DESC,AMOUNT,SortFunction
MODGPC118,28-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,555.61,118
MODGPC119,14-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,841.96,119
MODGPC120,14-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,629.91,120
MODGPC121,14-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"1,169.72",121
MODGPC122,12-May-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,970.2,122
MODGPC123,04-May-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,501.99,123
MODGPC124,26-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,808.94,124
MODGPC125,26-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,800.5,125
MODGPC126,26-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"1,082.88",126
MODGPC127,26-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,879.84,127
MODGPC128,07-May-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,640,128
MODGPC129,23-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,528.52,129
MODGPC130,30-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,738.96,130
MODGPC131,11-May-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,935.53,131
MODGPC132,14-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"2,359.99",132
MODGPC133,14-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"1,839.46",133
MODGPC134,15-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,928.54,134
MODGPC135,23-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,928.54,135
MODGPC136,21-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,787.99,136
MODGPC137,20-Apr-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"1,125.31",137
MODGPC138,11-May-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,565.53,138
MODGPC139,20-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"1,002.88",139
MODGPC140,06-May-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"1,119.28",140
MODGPC141,07-May-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,775.79,141
MODGPC142,19-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"1,057.50",142
MODGPC143,22-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,658,143
