"MEETINGS WITH EXTERNAL ORGANISATIONS (INCLUDING MEETINGS WITH NEWSPAPER AND OTHER MEDIA PROPRIETORS, EDITORS AND SENIOR EXECUTIVES)",,,
Minister,Date,Name of External Organisation*,Purpose of meeting
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Nov-11,Bristol Local Enterprise Partnership board,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Nov-11,Birmingham and Solihull Local Enterprise Partnership,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Nov-11,The Times,General discussion
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Nov-11,Daily Telegraph,General discussion
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Nov-11,Country Land & Business Association,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Nov-11,Birmingham City Council,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Nov-11,Amber Rudd MP and the East Sussex Energy Infrastructure and Development Limited ,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Nov-11,Berwin Leighton Paisner,Localism
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Dec-11,Prince’s Foundation for the Built Environment,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Dec-11,Alan Duncan MP and local councillors,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Dec-11,English Heritage,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Dec-11,Jeremy Hunt MP and local councillors.,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Dec-11,Newcastle City Council,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Dec-11,Gateshead Council,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Dec-11,North East Local Enterprise Partnership,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Dec-11,Local Government Association,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Dec-11,Association of Convenience Stores,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Dec-11,Liverpool City Council,Cities policy
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Oct-11,Thames Reach,Homelessness issues
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Oct-11,Localis,TSA stocktake
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Oct-11,Trevor and Graham Reeves ,Riots
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Oct-11,LGA ,Local Government issues
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Nov-11,"Thames Reach and, The People Newspaper and homeless service users",Discussion on tackling homelessness
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Nov-11,"Daniel Kawczynski MP, Phillip Dunne MP, Shropshire Council, Shropshire Housing Group, Severnside Housing",Various housing issues in Shropshire
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Nov-11,National Housing Federation ,Housing Strategy
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Nov-11,Confederation of British Industry,Housing Strategy
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Nov-11,Shelter,Housing Strategy
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Nov-11,Chartered Institute for Housing,Housing Strategy
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Nov-11,Council of Mortgage Lenders,Housing Strategy
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Nov-11,Home Builders Federation,Housing Strategy
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Nov-11,"Douglas Carswell MP, Ian Davidson, Tendring District Council",Private Rented Sector Standards for Homeless Households
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Nov-11,"Paul Waugh, Politics Home",Housing issues
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Nov-11,"Mark Lancaster MP, Iain Stewart MP and Milton Keynes Council",HCA function and assets in Milton Keynes
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Nov-11,"Tim Montgomerie, Conservative Home",General discussion
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Nov-11,Huffington Post,General discussion
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Dec-11,The Spectator,General discussion
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Dec-11,Lunch with The Times,General discussion
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Dec-11,"Summit: Packaging, Local Government Association, Federation of Small Businesses, British Retail Consortium, the Industry Council for Packaging and the Environment, Advisory Committee on Packaging, Food and Drink Federation, Aluminium Packaging Recycling Organisation, Environmental Services Association, Bournemouth Borough Council, Hackney Council, East Northamptonshire Council, Kent Waste Partnership, Morrisons, Sainsbury's, Tesco, B&Q Plc",Recycling and Local Authority Waste
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Oct-11,Chartered Institute of Environmental Health,Discuss impact of climate change and sustainable development
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Oct-11,Ahmaddiya Muslim Association,Introductory Meeting
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Oct-11,"British Muslims for Secular Democracy, Al-Khoei Foundation, Islington Somali Forum, Faith Matters, Theologian and Community Activist, Centre for Spirituality and Cultural Advancement, The Dialogue Society, Muslim Youth Helpline, Faith Regeneration, Karimia Institute",Big Society Roundtable
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Nov-11,Cuerden Valley Park Trust,Progress update
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Nov-11,UK Green Building Council,Discuss carbon emissions reduction
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Nov-11,Christian Nightlife Initiative and More than Gold,General discussion 
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Dec-11,Kingfisher PLC,Discuss low carbon economy
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Dec-11,Total Politics,Big Society discussion
"Bob Neill MP, Parliamentary Under-Secretary of State",Oct-11,Fire Brigades Union (FBU),Fire & Rescue Service
"Bob Neill MP, Parliamentary Under-Secretary of State",Oct-11,Renewable UK,Private Round Table Event
"Bob Neill MP, Parliamentary Under-Secretary of State",Oct-11,Prospect,Wholesale review of public audit
"Bob Neill MP, Parliamentary Under-Secretary of State",Oct-11,The Campaign for Real Ale (CAMRA),Pubs and Consumers
"Bob Neill MP, Parliamentary Under-Secretary of State",Oct-11,DTZ and Stanhope plc.,Olympics & Thames gateway
"Bob Neill MP, Parliamentary Under-Secretary of State",Oct-11,Berkeley Group,Rights of Light (Planning)
"Bob Neill MP, Parliamentary Under-Secretary of State",Nov-11,Pegasus Planning Group.,Planning reform
"Bob Neill MP, Parliamentary Under-Secretary of State",Nov-11,Chartered Institute of Public Finance and Accountancy (CIPFA),Business Rates and Community Budgets
"Bob Neill MP, Parliamentary Under-Secretary of State",Nov-11,Evance Wind Turbines Ltd.,Planning System
"Bob Neill MP, Parliamentary Under-Secretary of State",Nov-11,Fire Brigade Union (FBU),Fire & Rescue Service
"Bob Neill MP, Parliamentary Under-Secretary of State",Dec-11,Kilbride Group,NPPF
"Bob Neill MP, Parliamentary Under-Secretary of State",Dec-11,LandProp (part of the Inter IKEA Group),Planning System
"Bob Neill MP, Parliamentary Under-Secretary of State",Dec-11,VESTAS,Natural Environment White Paper and the Localism Bill.
"Bob Neill MP, Parliamentary Under-Secretary of State",Dec-11,Fire Brigade Union (FBU),Fire & Rescue Service
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",nil return,nil return,nil return

"Does not normally include meetings with Government bodies such as other Government Departments, NDPBs, Non-Ministerial Departments, Agencies, Government reviews and representatives of devolved or foreign governments.",,,
