ALB Code,Public Sector Procurement Expenditure Survey Category ,Supplier,Net Amount £
Housing Ombusdman Service,HARDWARE,MONTAL COMPUTER SERVICES LTD,"65,036.25"
Housing Ombusdman Service,HOTELS,BARCLAYCARD,"4,050.23"
Housing Ombusdman Service,HOTELS,GRANTS HOTEL,834.00
Housing Ombusdman Service,HOTELS,KINGSWAY HALL,"2,700.47"
Housing Ombusdman Service,HR CONSULTANCY,BINDI DHOLAKIA,"1,897.50"
Housing Ombusdman Service,HR CONSULTANCY,GATENBYSANDERSON,"34,924.17"
Housing Ombusdman Service,HR CONSULTANCY,INSTITUTE FOR EMPLOYMENT STUDIES,"11,500.00"
Housing Ombusdman Service,HR CONSULTANCY,TRIBAL CONSULTING LTD,"21,271.75"
Housing Ombusdman Service,INTERPRETATION AND TRANSLATION SERVICES,NEWCOM (UK) LTD,"1,918.48"
Housing Ombusdman Service,LEARNING AND DEVELOPMENT SERVICES,BOND SALON TRAINING LTD,"2,359.99"
Housing Ombusdman Service,LEARNING AND DEVELOPMENT SERVICES,BPP PROFESSIONAL EDUCATION,"2,820.00"
Housing Ombusdman Service,LEARNING AND DEVELOPMENT SERVICES,CHARTERED INSTITUTE OF HOUSING,"1,052.25"
Housing Ombusdman Service,LEARNING AND DEVELOPMENT SERVICES,CIMA,667.00
Housing Ombusdman Service,LEARNING AND DEVELOPMENT SERVICES,CULLEN SCHOLEFIELD,"2,300.00"
Housing Ombusdman Service,LEARNING AND DEVELOPMENT SERVICES,CUNDIFF & MILLS CONSULTING LLT,"1,795.84"
Housing Ombusdman Service,LEARNING AND DEVELOPMENT SERVICES,G4S ASSESSMENT SERVICES,"1,269.00"
Housing Ombusdman Service,LEARNING AND DEVELOPMENT SERVICES,HEMSLEY FRASER TRAINING GROUP,"1,091.35"
Housing Ombusdman Service,LEARNING AND DEVELOPMENT SERVICES,LEADERSHIP DEVELOPMENT LTD,"1,470.09"
Housing Ombusdman Service,LEARNING AND DEVELOPMENT SERVICES,LIVING POTENTIAL CONSULTING,"1,615.63"
Housing Ombusdman Service,LEARNING AND DEVELOPMENT SERVICES,METASKIL,"6,697.50"
Housing Ombusdman Service,LEARNING AND DEVELOPMENT SERVICES,MORGAN COLE,"1,035.00"
Housing Ombusdman Service,LEARNING AND DEVELOPMENT SERVICES,NATIONAL SCHOOL OF GOVERNMENT,"10,113.00"
Housing Ombusdman Service,LEARNING AND DEVELOPMENT SERVICES,THE MIND GYM LTD,"3,496.00"
Housing Ombusdman Service,LEGAL CONSULTANCY,ACAS,"1,282.25"
Housing Ombusdman Service,LEGAL CONSULTANCY,MORGAN COLE,"21,708.78"
Housing Ombusdman Service,MAINTENANCE AND SUPPORT,BARCLAYCARD,899.02
Housing Ombusdman Service,MAINTENANCE AND SUPPORT,CREATIVE SOLUTIONS,"9,973.05"
Housing Ombusdman Service,MAINTENANCE AND SUPPORT,INFORMATION PROCESSING LIMITED,"13,915.00"
Housing Ombusdman Service,MAINTENANCE AND SUPPORT,TECHNOLOGY SERVICES GROUP LTD,"3,290.00"
Housing Ombusdman Service,MANAGED / OUTSOURCED SERVICES,MONTAL COMPUTER SERVICES LTD,"11,902.75"
Housing Ombusdman Service,OFFICE CONSUMABLES,BARCLAY'S PRINT,"1,014.30"
Housing Ombusdman Service,OFFICE CONSUMABLES,BARCLAYCARD,777.53
Housing Ombusdman Service,OFFICE CONSUMABLES,DIXON & ROE,826.58
Housing Ombusdman Service,OFFICE CONSUMABLES,RICOH UK LTD,"1,170.03"
Housing Ombusdman Service,OFFICE CONSUMABLES,SOS OFFICE SUPPLIES LTD,"4,850.70"
Housing Ombusdman Service,OFFICE FURNITURE,CANDOVER CONTRACTS,752.49
Housing Ombusdman Service,OFFICE FURNITURE,CHUBB FIRE LIMITED,515.06
Housing Ombusdman Service,OFFICE FURNITURE,MARGOLIS OFFICE INTERIORS LTD,711.17
Housing Ombusdman Service,OFFICE FURNITURE,WALDRON OFFICE FURNITURE LTD,881.61
Housing Ombusdman Service,OFFICE FURNITURE,ZIP HEATERS,504.00
Housing Ombusdman Service,OFFICE MACHINES,CREATIVE SOLUTIONS,"4,140.00"
Housing Ombusdman Service,OFFICE MACHINES,THE DANWOOD GROUP LIMITED,"7,568.00"
Housing Ombusdman Service,OFFICE SERVICES,BRITISH & IRISH OMBUDSMAN ASSC,"2,892.00"
Housing Ombusdman Service,OFFICE SERVICES,BRITISH QUALITY FOUNDATION,575.00
Housing Ombusdman Service,OFFICE SERVICES,CHARTERED INSTITUTE OF HOUSING,557.75
Housing Ombusdman Service,OFFICE SERVICES,CMI ENTERPRISES LTD,"1,180.00"
Housing Ombusdman Service,OFFICE SERVICES,SWEET & MAXWELL LIMITED,"2,587.85"
Housing Ombusdman Service,OFFICE SERVICES,WOLTERS KLUWER (UK) LIMITED,"1,426.81"
Housing Ombusdman Service,OFFICE SUPPLIES,BARCLAYCARD,919.28
Housing Ombusdman Service,OFFICE SUPPLIES,WOLTERS KLUWER (UK) LIMITED,"1,127.94"
Housing Ombusdman Service,POST AND COURIER,GREATER LONDON HIRE LTD,"1,955.38"
Housing Ombusdman Service,POST AND COURIER,NEOPOST LIMITED,"11,486.74"
Housing Ombusdman Service,POST AND COURIER,ROYAL MAIL,735.49
Housing Ombusdman Service,PRINT,BARCLAY'S PRINT,"24,229.89"
Housing Ombusdman Service,PRINT,M & I M FROST,"9,093.62"
Housing Ombusdman Service,PRINT,PLAIN LANGUAGE COMMISSION,"2,254.67"
Housing Ombusdman Service,PROMOTION,BARCLAY'S PRINT,"2,293.10"
Housing Ombusdman Service,PROMOTION,BARCLAYCARD,"1,071.07"
Housing Ombusdman Service,PROMOTION,CARLEX,500.00
Housing Ombusdman Service,PROMOTION,CHARTERED INSTITUTE OF HOUSING,"5,750.00"
Housing Ombusdman Service,PROMOTION,FOREMARKE EXHIBITIONS,"11,191.46"
Housing Ombusdman Service,PROMOTION,GREATER LONDON HIRE LTD,748.46
Housing Ombusdman Service,PROMOTION,LOGOX,"5,066.93"
Housing Ombusdman Service,PROMOTION,M & I M FROST,"3,549.93"
Housing Ombusdman Service,PROMOTION,OCEAN MEDIA GROUP LTD,"2,134.40"
Housing Ombusdman Service,PROMOTION,PLAIN LANGUAGE COMMISSION,851.00
Housing Ombusdman Service,PROMOTION,TAROE,"1,500.00"
Housing Ombusdman Service,PROMOTION,THE PUBLIC LAW PROJECT,"1,150.00"
Housing Ombusdman Service,PROMOTION,TPAS LTD,"1,207.50"
Housing Ombusdman Service,RAIL,BARCLAYCARD,"7,406.76"
Housing Ombusdman Service,RAIL,STATESMAN TRAVEL LIMITED,"1,346.90"
Housing Ombusdman Service,RAIL,TPAS LTD,516.35
Housing Ombusdman Service,RECORDS STORAGE,CROWN RECORDS MANAGEMENT,"3,954.60"
Housing Ombusdman Service,RECORDS STORAGE,IRON MOUNTAIN (UK) LTD,"1,340.20"
Housing Ombusdman Service,RECORDS STORAGE,SOS OFFICE SUPPLIES LTD,"1,284.29"
Housing Ombusdman Service,SECURITY,EUROTECH MONITORING SERVICES,508.30
Housing Ombusdman Service,SECURITY,EUROTECH SECURITY SYSTEMS,"1,026.95"
Housing Ombusdman Service,SPECIALIST CONTRACTORS,FIRST PEOPLE SOLUTIONS GROUP,"5,875.00"
Housing Ombusdman Service,SPECIALIST CONTRACTORS,MORGAN LAW RECRUITMENT CONSULT,"11,851.56"
Housing Ombusdman Service,STAFF HEALTH AND SAFETY,SMARTER SAFETY MANAGEMENT LTD,"1,356.21"
Housing Ombusdman Service,STAFF MEDICAL CARE,BUPA WELLNESS,"9,029.39"
Housing Ombusdman Service,STRATEGIC CONSULTANCY,APCO WORLDWIDE,"12,400.40"
Housing Ombusdman Service,TECHNICAL SERVICES,BARCLAY'S PRINT,861.28
Housing Ombusdman Service,TECHNICAL SERVICES,CAMPBELL TICKELL LTD,"1,150.00"
Housing Ombusdman Service,TECHNICAL SERVICES,M & I M FROST,"5,021.37"
Housing Ombusdman Service,TECHNICAL SERVICES,OLU DARE,"2,475.00"
Housing Ombusdman Service,TECHNICAL SERVICES,REAL RESOURCING LIMITED,"20,141.36"
Housing Ombusdman Service,TECHNICAL SERVICES,THE COPYRIGHT LICENSING AGENCY LTD,"1,006.25"
Housing Ombusdman Service,TELECOMS,BARCLAYCARD,"1,145.61"
Housing Ombusdman Service,TELECOMS,BRITISH TELECOMMUNICATIONS PLC,"9,561.29"
Housing Ombusdman Service,TELECOMS,EASYNET LTD,"1,495.23"
Housing Ombusdman Service,TELECOMS,MESSAGEBASE SERVICE,"19,066.54"
Housing Ombusdman Service,TELECOMS,VODAFONE LTD,"1,673.72"
Housing Ombusdman Service,UNCLASSIFIED,CERIDIAN UK LTD,"2,751.62"
Housing Ombusdman Service,UNCLASSIFIED,CHARTERED INSTITUTE OF HOUSING,519.00
Housing Ombusdman Service,UNCLASSIFIED,LAW SOCIETY,"1,440.00"
Housing Ombusdman Service,UNCLASSIFIED,LUCAS FETTES & PARTNERS LTD,"12,207.13"
