Minister,Date,Name of External Organisation,Purpose of meeting
"Minister of State (Trade and Investment), Lord Green","February, 2012",British Bankers Association ,General catch up
"Minister of State (Trade and Investment), Lord Green","February, 2012",Hutchinson Whampoa (Europe) ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","February, 2012",OCRobotics,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","February, 2012",Sciteb,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","February, 2012","The Enterprise Forum, Eversheds, Association Of British Insurers, AeroSpace, Defence & Security Group, Alliance Boots GmbH, BAE Systems, BASF Corporation, BG Group, British Insurance Brokers Association, Bircham Dyson Bell, British Airways, BT, Clifford Chance, Construction Products Association, Everything Everywhere, Hewlett Packard, G4S, IBM, Intellect UK, Ladbrokes, Marks and Spencer, Microsoft, Reed Elsevier, The Royal Institute of Chartered Surveyors, Shell International, Thales Group ",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","February, 2012","Squire Sanders, Cleone Foods, British American Business Council, PricewaterhouseCoopers, BSA Machine Tools, East End Foods, HSBC, Birmingham Chamber of Commerce ",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","February, 2012",Perfection Foods ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","February, 2012","Scotch Whisky Association, Beam Global Spirits & Wine Inc, Bird & Bird, Chivas Brothers, Diageo, The Edrington Group, Glen Grant, The Glenmorangie Company, Inver House",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","February, 2012",World Vision ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","March, 2012",Zeeko ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","March, 2012",IriSys Inc,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","March, 2012",British Insurance Brokersí Association ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","March, 2012",British Chambers of Commerce ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","March, 2012","PRS for Music, Music Sales Group",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","March, 2012",Satellite Services ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","March, 2012",British Fashion Council,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","March, 2012",BHP Billiton,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","March, 2012",Federation of Small Businesses,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","March, 2012",EADS UK,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","March, 2012",London & Partners,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","March, 2012",Suncorp-Metway ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","March, 2012",BBC Trust,General catch up
"Minister of State (Trade and Investment), Lord Green","March, 2012","SELEX Galileo, Stopford Projects, BAE Systems, Olive Group, Flybrid Systems, Roke Manor Research, Bombardier, Atkins, Astrium UK, Finmeccanica S.P.A, Thales UK, Universities UK, British Educational Suppliers Association, Guildhouse UK, The British United Provident Association Limited, Assura Group, Rolls-Royce Holdings, Mace, Wates Group, Benoy, Atkins, Mott MacDonald Group, RenewableUK, Fluor, AMEC, General Dynamics UK, Shell International",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","March, 2012",Siemens,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","March, 2012",Lloydís of London ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","March, 2012",Palestine Invesment Fund ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","March, 2012",Valerie Wark Associates,To discuss business
"Minister of State (Trade and Investment), Lord Green","March, 2012",Swire Group ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","March, 2012",Charter International,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","March, 2012",Interros Company,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","March, 2012",China-Britain Business Council ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","March, 2012","Marsh & McLennan Companies, Russell Reynolds Associates, American European Business Association, British Airways, Rio Tinto, Fairmont Hotels & Resorts, Raffles Hotel & Resorts, Swiss‘tels Hotels & Resorts, Industry Forum, PA Consulting Group",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","March, 2012","Standard Chartered Capital Markets, Pakistan British Trade & Investment Forum ",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","March, 2012","Union of Greek Shipowners, Maritime London ",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","March, 2012",Excelsyn,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","March, 2012","Jubilee Debt Campaign, Plane Stupid, Amnesty International ",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","March, 2012",Hutchinson Whampoa (Europe),To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","March, 2012",Statoil ,To discuss trade and investment
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","January, 2012","Post Office Ltd, Local Government Authority",To discuss postal affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","January, 2012",Federation of Licensed Victuallers Associations,To discuss consumer and competition affairs 
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","January, 2012",The Hundred Group ,To discuss corporate governance
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","January, 2012",Citizens Advice ,To discuss consumer affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","January, 2012","Working Families, Confederation of British Industry, Women Like Us, Chartered Institute of Personnel and Development, Trades Union Congress, The Manufacturersí Organisation, British Chamber of Commerce",To discuss employment relations
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","January, 2012","Tesco, Marks and Spencer, Arcadia, BT Retail, John Lewis",To discuss employment relations
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","January, 2012","Open Rights Group, dxw, Placr, Openly Local",To discuss transparency
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","January, 2012",Trades Union Congress,Regular meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","January, 2012",National Black Womenís Network,To discuss business
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","January, 2012",R3 Association of Business Recovery Professionals ,To discuss insolvency
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","January, 2012","Post Office Limited, National Federation of Sub Postmasters, Convention of Scottish Local Authorities",To discuss postal affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","January, 2012",Institute of Directors Scotland ,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","January, 2012","British Healthcare Trades Association, Carpet Foundation",To discuss consumer affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","January, 2012","British Bankersí Association, Bank of Ireland, Lloyds Banking Group, Royal Bank of Scotland, HSBC, Santander, Capital One, Barclays",To discuss consumer affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","January, 2012",Publish What You Pay,To discuss transparency
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","January, 2012",Energy Retail Association,To discuss consumer affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","January, 2012",Royal Mail,To discuss postal affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","January, 2012",Communication Workers Union,Regular meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","January, 2012",Royal Mail,To discuss postal affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","January, 2012","Trading Standards Institute, Association of Chief Trading Standards Officers",To discuss consumer affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","January, 2012",National Farmers Union,To discuss competition affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","January, 2012",Ombudsman Services Ltd,To discuss consumer affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","January, 2012",Bank of Ireland,To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","January, 2012",Post Office Ltd,To discuss postal affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","February, 2012",Consumer Focus,To discuss consumer affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","February, 2012",Foster and Partners,To discuss infrastructure
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Norman Lamb MP","February, 2012",Circle Health,To discuss corporate governance
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Norman Lamb MP","March, 2012",Royal Mail,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Norman Lamb MP","March, 2012","Catholic Agency for Overseas Development, Global Witness, Revenue Watch Institute, Publish What You Pay, International Chamber of Commerce UK, Rio Tinto, Xtrata, BP, BHP Billiton, Conoco Phillips Ltd, Shell, Anglo American, ExxonMobil, Glencore International Plc, BG Group, Chevron, Timber Trade Federation, Confederation of Forestry Industries  ",To discuss transparency
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Norman Lamb MP","March, 2012",Trades Union Congress,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Norman Lamb MP","March, 2012",Post Office Ltd,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Norman Lamb MP","March, 2012",Which?,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Norman Lamb MP","March, 2012",European Employers Group,To discuss employment relations
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Norman Lamb MP","March, 2012",Financial Reporting Council,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Norman Lamb MP","March, 2012","British Retail Consortium, Asda",To discuss  competition
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Norman Lamb MP","March, 2012",Citizens Advice Bureau,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Norman Lamb MP","March, 2012","Food and Drink Federation, British Brands Group",To discuss competition 
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Norman Lamb MP","March, 2012",Consumer Focus,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Norman Lamb MP","March, 2012",National Federation of Sub Postmasters,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Norman Lamb MP","March, 2012",Communication Workers Union,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Norman Lamb MP","March, 2012",Royal Mail Pensions Trustees,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Norman Lamb MP","March, 2012",Confederation of British Industry,Introductory meeting
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","January, 2012",UK Music,Introductory meeting
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","January, 2012",Open Rights Group,To discuss intellectual property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","January, 2012",Designs and Artists Copyright Society,General catch up
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","February, 2012",Getty Images,To discuss orphan works
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","February, 2012","British Phonographic Industry, Association of Independent Music, UK Music",To discuss intellectual property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","February, 2012","Association of Colleges, Universities UK,",To discuss intellectual property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","February, 2012","Motion Picture Association of America, British Phonographic Industry, Association of Independent Music, UK Music, Stop 43, United Kingdom Premier League, Alliance Against Intellectual  Property Theft, British Video Association",To discuss creative industries
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","March, 2012",Phonographic Performance Limited,To discuss intellectual property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","March, 2012","Motion Picture Association, British Advisory Council, ITV, BBC",To discuss intellectual property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","March, 2012","Musicians Union, Featured Artists Coalition, National Union of Journalists, Music Publishers Association, Creative Coalition Campaign",To discuss intellectual property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","March, 2012","Authorsí Licensing and Collecting Society, Copyright Licensing Agency, Educational Recording Agency, Publishers Association",To discuss intellectual property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","March, 2012","Publishers Association, Pearson,  Publishing, Reed Elsevier",To discuss intellectual property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","March, 2012",PRS for Music ,General catch up
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","March, 2012",US MBA Students,To discuss business in the UK
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","March, 2012","Federation of Small Businesses, British Chamber of Commerce, Confederation of British Industry",To discuss intellectual property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","March, 2012","Open Rights Group, Consumer Focus",To discuss intellectual property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","March, 2012","Libraries & Archive Copyright Alliance, British Library,  Universities UK, Wellcome Trust",To discuss intellectual property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","March, 2012","The Coalition for a Digital Economy, We7, Amazon, Google",To discuss intellectual property
