Post Date,Publishable Label,Transaction Amount,"Publishable Label is provided by the Bank and is industry standard.  May not, however, give true indication of purchase - additional comment as necessary",,
18/07/12,Airlines,797.93,,,
18/07/12,Airlines,992.49,,,
18/07/12,Airlines,854.49,,,
18/07/12,Airlines,572.20,,,
18/07/12,Airlines,528.05,,,
18/07/12,Airlines,528.05,,,
18/07/12,Airlines,683.89,,,
18/07/12,Airlines,-1895.89,,,
19/07/12,Airlines,1547.59,,,
19/07/12,Airlines,637.60,,,
19/07/12,Airlines,998.79,,,
19/07/12,Airlines,1489.53,,,
19/07/12,Airlines,1840.00,,,
19/07/12,Airlines,1840.00,,,
19/07/12,Airlines,752.59,,,
19/07/12,Airlines,752.59,,,
19/07/12,Airlines,752.59,,,
19/07/12,Airlines,3254.26,,,
19/07/12,Airlines,1210.50,,,
19/07/12,Airlines,1032.99,,,
19/07/12,Airlines,1226.59,,,
19/07/12,Airlines,780.46,,,
19/07/12,Airlines,780.46,,,
19/07/12,Airlines,-2073.59,,,
19/07/12,Airlines,6785.09,,,
19/07/12,Airlines,6785.09,,,
19/07/12,Airlines,1418.79,,,
19/07/12,Airlines,1373.59,,,
19/07/12,Airlines,774.29,,,
19/07/12,Airlines,626.90,,,
20/07/12,Airlines,-600.46,,,
20/07/12,Airlines,3195.18,,,
20/07/12,Airlines,1510.59,,,
20/07/12,Airlines,549.13,,,
20/07/12,Airlines,5279.19,,,
20/07/12,Airlines,924.09,,,
20/07/12,Airlines,1152.29,,,
20/07/12,Airlines,1519.59,,,
20/07/12,Airlines,526.49,,,
20/07/12,Airlines,1518.29,,,
20/07/12,Airlines,1763.29,,,
20/07/12,Airlines,1660.59,,,
20/07/12,Airlines,2954.19,,,
20/07/12,Airlines,683.79,,,
20/07/12,Airlines,-562.57,,,
20/07/12,Airlines,-562.57,,,
20/07/12,Airlines,-562.57,,,
20/07/12,Airlines,-562.57,,,
20/07/12,Airlines,-562.57,,,
20/07/12,Airlines,-562.57,,,
20/07/12,Airlines,-1566.39,,,
20/07/12,Airlines,1286.00,,,
23/07/12,Airlines,2083.59,,,
23/07/12,Airlines,1482.40,,,
23/07/12,Airlines,2674.19,,,
23/07/12,Airlines,761.99,,,
23/07/12,Airlines,773.09,,,
23/07/12,Airlines,910.29,,,
23/07/12,Airlines,798.79,,,
23/07/12,Airlines,2280.00,,,
23/07/12,Airlines,642.75,,,
23/07/12,Airlines,-898.80,,,
23/07/12,Airlines,-726.30,,,
