Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME,Sole Trader,Transaction number,Narrative,Amount in Sterling,Grant?
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,DURHAM UNITARY AUTHORITY,,,,5000169454,Grant Payable by Exchequer,"205,972.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,EALING LB,,,,5000169294,Grant Payable by Exchequer,"113,959.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,EAST CAMBRIDGESHIRE DC,,,,5000169135,Grant Payable by Exchequer,"5,605.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,EAST DEVON DC,,,,5000169136,Grant Payable by Exchequer,"8,288.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,EAST DORSET DC,,,,5000169295,Grant Payable by Exchequer,"5,955.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,EAST HAMPSHIRE DC,,,,5000169137,Grant Payable by Exchequer,"8,989.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,EAST HERTFORDSHIRE DC,,,,5000169138,Grant Payable by Exchequer,"4,166.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,EAST LINDSEY DC,,,,5000169139,Grant Payable by Exchequer,"8,288.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,EAST NORTHAMPTONSHIRE COUNCIL,,,,5000169140,Grant Payable by Exchequer,"4,166.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,EAST RIDING OF YORKS (HSG),,,,5000169141,Grant Payable by Exchequer,"90,361.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,EAST STAFFORDSHIRE BC,,,,5000169142,Grant Payable by Exchequer,"4,166.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,EAST SUSSEX COUNTY CNCL,,,,5000169296,Grant Payable by Exchequer,"132,180.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,EASTBOURNE BC,,,,5000169297,Grant Payable by Exchequer,"15,288.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,EASTLEIGH BOROUGH COUNCIL,,,,5000169298,Grant Payable by Exchequer,"4,166.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,EDEN DC (HSG),,,,5000169143,Grant Payable by Exchequer,"10,622.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,ELMBRIDGE BC (HSG),,,,5000169144,Grant Payable by Exchequer,"7,705.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,ENFIELD LB,,,,5000169299,Grant Payable by Exchequer,"66,841.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,EPPING FOREST DC,,,,5000169300,Grant Payable by Exchequer,"9,456.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,EPSOM & EWELL BC,,,,5000169301,Grant Payable by Exchequer,"11,206.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,EREWASH BC,,,,5000169302,Grant Payable by Exchequer,"8,288.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,ESSEX COUNTY CNCL,,,,5000169303,Grant Payable by Exchequer,"262,178.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,EXETER CITY CNCL,,,,5000169304,Grant Payable by Exchequer,"42,121.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,FAREHAM BC,,,,5000169145,Grant Payable by Exchequer,"4,789.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,FENLAND DC,,,,5000169146,Grant Payable by Exchequer,"40,613.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,FOREST HEATH DISTRICT COUNCIL,,,,5000169147,Grant Payable by Exchequer,"4,166.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,FOREST OF DEAN DC,,,,5000169148,Grant Payable by Exchequer,"4,166.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,FYLDE BC,,,,5000169305,Grant Payable by Exchequer,"4,166.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,GATESHEAD MBC,,,,5000169306,Grant Payable by Exchequer,"51,867.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,GEDLING BC,,,,5000169307,Grant Payable by Exchequer,"6,539.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,GLOUCESTER CITY CNCL,,,,5000169308,Grant Payable by Exchequer,"31,621.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,GLOUCESTERSHIRE COUNTY CNCL,,,,5000169309,Grant Payable by Exchequer,"113,168.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,GMRB,,,,5000169270,Grant Payable by Exchequer,"74,723.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,GOSPORT BOROUGH COUNCIL,,,,5000169310,Grant Payable by Exchequer,"7,239.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,GRAVESHAM BC,,,,5000169311,Grant Payable by Exchequer,"8,288.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,GREAT YARMOUTH BC,,,,5000169312,Grant Payable by Exchequer,"314,783.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,GREATER LONDON AUTHORITY,,,,5000169455,Grant Payable by Exchequer,"881,379.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,GREENWICH LB,,,,5000169313,Grant Payable by Exchequer,"61,314.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,GUILDFORD BC,,,,5000169149,Grant Payable by Exchequer,"31,038.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,HALTON BC (HSG),,,,5000169150,Grant Payable by Exchequer,"51,744.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,HAMBLETON DC (HSG),,,,5000169151,Grant Payable by Exchequer,"5,955.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,HAMMERSMITH & FULHAM LB,,,,5000169315,Grant Payable by Exchequer,"161,391.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,HAMPSHIRE COUNTY COUNCIL,,,,5000169316,Grant Payable by Exchequer,"189,305.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,HARBOROUGH DC (HSG),,,,5000169152,Grant Payable by Exchequer,"7,705.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,HARINGEY LB,,,,5000169317,Grant Payable by Exchequer,"89,626.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,HARLOW DISTRICT COUNCIL,,,,5000169318,Grant Payable by Exchequer,"23,995.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,HARROGATE BC,,,,5000169153,Grant Payable by Exchequer,"8,333.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,HARROW LB,,,,5000169319,Grant Payable by Exchequer,"61,103.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,HART DC,,,,5000169320,Grant Payable by Exchequer,"14,938.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,HARTLEPOOL BOROUGH COUNCIL,,,,5000169321,Grant Payable by Exchequer,"190,034.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,HASTINGS BC,,,,5000169322,Grant Payable by Exchequer,"249,533.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,HAVANT BC,,,,5000169323,Grant Payable by Exchequer,"8,406.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,HAVERING LB,,,,5000169324,Grant Payable by Exchequer,"56,562.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,HEREFORDSHIRE COUNCIL,,,,5000169154,Grant Payable by Exchequer,"79,037.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,HERTFORDSHIRE COUNTY CNCL,,,,5000169325,Grant Payable by Exchequer,"172,692.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,HERTSMERE BC,,,,5000169326,Grant Payable by Exchequer,"5,955.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,HIGH PEAK BC,,,,5000169155,Grant Payable by Exchequer,"12,372.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,HILLINGDON LB,,,,5000169327,Grant Payable by Exchequer,"64,090.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,HINCKLEY & BOSWORTH BC,,,,5000169156,Grant Payable by Exchequer,"4,166.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,HORSHAM DC,,,,5000169157,Grant Payable by Exchequer,"8,873.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,HOUNSLOW LB,,,,5000169328,Grant Payable by Exchequer,"67,707.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,HULL CITY COUNCIL,,,,5000169337,Grant Payable by Exchequer,"310,506.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,HUNTINGDONSHIRE DC,,,,5000169158,Grant Payable by Exchequer,"7,122.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,HYNDBURN BC,,,,5000169329,Grant Payable by Exchequer,"232,624.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,IPSWICH BC,,,,5000169330,Grant Payable by Exchequer,"10,622.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,ISLE OF WIGHT CNCL,,,,5000169331,Grant Payable by Exchequer,"70,556.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,ISLES OF SCILLY COUNCIL,,,,5000169332,Grant Payable by Exchequer,"25,586.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,ISLINGTON LB,,,,5000169333,Grant Payable by Exchequer,"98,933.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,KENT COUNTY CNCL,,,,5000169335,Grant Payable by Exchequer,"265,852.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,KETTERING BC,,,,5000169336,Grant Payable by Exchequer,"9,456.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,KINGS LYNN & WEST NORFOLK BC,,,,5000169159,Grant Payable by Exchequer,"10,622.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,KINGSTON UPON THAMES  (HSG),,,,5000169160,Grant Payable by Exchequer,"52,735.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,KIRKLEES COUNCIL (HSG),,,,5000169161,Grant Payable by Exchequer,"70,792.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,KNOWSLEY MBC,,,,5000169338,Grant Payable by Exchequer,"394,342.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,LANCASHIRE COUNTY CNCL,,,,5000169340,Grant Payable by Exchequer,"253,143.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,LANCASTER CITY CNCL,,,,5000169162,Grant Payable by Exchequer,"7,822.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,LEEDS CITY CNCL,,,,5000169341,Grant Payable by Exchequer,"206,671.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,LEICESTER CITY CNCL (HSG),,,,5000169163,Grant Payable by Exchequer,"105,980.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,LEICESTERSHIRE COUNTY CNCL,,,,5000169342,Grant Payable by Exchequer,"117,661.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,LEWES DC,,,,5000169164,Grant Payable by Exchequer,"9,456.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,LEWISHAM LB (HSG),,,,5000169165,Grant Payable by Exchequer,"69,756.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,LICHFIELD DC,,,,5000169343,Grant Payable by Exchequer,"5,955.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,LINCOLNSHIRE COUNTY CNCL,,,,5000169345,Grant Payable by Exchequer,"140,542.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,LIVERPOOL CITY COUNCIL,,,,5000169346,Grant Payable by Exchequer,"1,482,141.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,LONDON BOROUGH OF HACKNEY,,,,5000169314,Grant Payable by Exchequer,"621,427.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,LONDON BOROUGH OF LAMBETH,,,,5000169339,Grant Payable by Exchequer,"261,131.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,LONDON BOROUGH OF NEWHAM,,,,5000169355,Grant Payable by Exchequer,"594,479.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,LONDON BOROUGH OF REDBRIDGE,,,,5000169377,Grant Payable by Exchequer,"56,194.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,LUTON BC,,,,5000169347,Grant Payable by Exchequer,"55,784.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,MAIDSTONE BC,,,,5000169166,Grant Payable by Exchequer,"10,039.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,MALDON DC,,,,5000169167,Grant Payable by Exchequer,"10,789.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,MALVERN HILLS DC,,,,5000169348,Grant Payable by Exchequer,"8,523.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,MANCHESTER CITY CNCL (HSG),,,,5000169168,Grant Payable by Exchequer,"1,298,436.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,MANSFIELD DC,,,,5000169349,Grant Payable by Exchequer,"11,455.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,MEDWAY TOWNS D C (HSG),,,,5000169169,Grant Payable by Exchequer,"62,198.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,MELTON BC,,,,5000169170,Grant Payable by Exchequer,"5,955.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,MENDIP DISTRICT COUNCIL,,,,5000169171,Grant Payable by Exchequer,"17,039.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,MERTON LB,,,,5000169350,Grant Payable by Exchequer,"52,703.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,MID DEVON DC,,,,5000169172,Grant Payable by Exchequer,"4,789.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,MID SUFFOLK DC,,,,5000169173,Grant Payable by Exchequer,"4,789.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,MID SUSSEX DC,,,,5000169174,Grant Payable by Exchequer,"7,122.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,MIDDLESBROUGH BC,,,,5000169351,Grant Payable by Exchequer,"101,934.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,MILTON KEYNES BC,,,,5000169352,Grant Payable by Exchequer,"64,367.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,MOLE VALLEY DC,,,,5000169175,Grant Payable by Exchequer,"4,166.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,NEW FOREST DC,,,,5000169176,Grant Payable by Exchequer,"6,539.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,NEWARK & SHERWOOD DC (HSG),,,,5000169177,Grant Payable by Exchequer,"6,539.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,NEWCASTLE UNDER LYME BC,,,,5000169353,Grant Payable by Exchequer,"10,622.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,NEWCASTLE UPON TYNE DC,,,,5000169354,Grant Payable by Exchequer,"81,419.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,NORFOLK COUNTY COUNCIL,,,,5000169356,Grant Payable by Exchequer,"145,386.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,NORTH DEVON DC,,,,5000169178,Grant Payable by Exchequer,"35,605.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,NORTH DORSET DC,,,,5000169179,Grant Payable by Exchequer,"4,166.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,NORTH EAST DERBYSHIRE DC,,,,5000169357,Grant Payable by Exchequer,"8,873.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,NORTH EAST LINCOLN DC (HSG),,,,5000169180,Grant Payable by Exchequer,"97,698.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,NORTH HERTS DC (HOUSING) (HSG),,,,5000169181,Grant Payable by Exchequer,"7,355.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,NORTH KESTEVEN DC,,,,5000169358,Grant Payable by Exchequer,"6,539.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,NORTH LINCOLNSHIRE DC (HSG),,,,5000169182,Grant Payable by Exchequer,"71,297.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,NORTH NORFOLK DC,,,,5000169183,Grant Payable by Exchequer,"10,039.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,NORTH SOMERSET DC,,,,5000169359,Grant Payable by Exchequer,"68,144.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,NORTH TYNESIDE MBC,,,,5000169360,Grant Payable by Exchequer,"50,621.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,NORTH WARWICKSHIRE BC,,Large,,5000169184,Grant Payable by Exchequer,"4,789.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,NORTH WEST LEICESTER DC,,,,5000169185,Grant Payable by Exchequer,"4,166.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,NORTH YORKSHIRE CC (DL7 8AL),,,,5000169361,Grant Payable by Exchequer,"108,604.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,NORTHAMPTON BOROUGH COUNCIL,,,,5000169362,Grant Payable by Exchequer,"15,288.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,NORTHAMPTONSHIRE COUNTY COUNCIL,,,,5000169363,Grant Payable by Exchequer,"109,731.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,NORTHUMBERLAND COUNTY COUNCIL,,,,5000169447,Grant Payable by Exchequer,"114,347.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,NORWICH CITY CNCL,,,,5000169364,Grant Payable by Exchequer,"101,590.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,NOTTINGHAM CITY COUNCIL,,,,5000169365,Grant Payable by Exchequer,"113,732.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,NOTTINGHAMSHIRE COUNTY CNCL,,,,5000169366,Grant Payable by Exchequer,"142,556.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,NUNEATON & BEDWORTH BC,,,,5000169367,Grant Payable by Exchequer,"6,539.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,OADBY & WIGSTON BC (HSG),,,,5000169186,Grant Payable by Exchequer,"4,166.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,OLDHAM MBC,,,,5000169368,Grant Payable by Exchequer,"46,571.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,OXFORD CITY COUNCIL,,,,5000169369,Grant Payable by Exchequer,"86,869.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,OXFORDSHIRE CC,,,,5000169370,Grant Payable by Exchequer,"112,905.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,PENDLE BC,,,,5000169371,Grant Payable by Exchequer,"244,189.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,PETERBOROUGH CITY CNCL,,,,5000169372,Grant Payable by Exchequer,"59,771.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,PLYMOUTH CITY CNCL,,,,5000169373,Grant Payable by Exchequer,"92,128.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,POOLE BC (HSG),,,,5000169187,Grant Payable by Exchequer,"37,828.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,PORTSMOUTH CITY COUNCIL,,,,5000169374,Grant Payable by Exchequer,"82,388.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,PRESTON BC,,,,5000169375,Grant Payable by Exchequer,"203,320.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,PURBECK DC,,,,5000169188,Grant Payable by Exchequer,"4,166.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,READING BC,,,,5000169376,Grant Payable by Exchequer,"75,542.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,REDCAR & CLEVELAND BOROUGH COUNCIL,,,,5000169378,Grant Payable by Exchequer,"54,057.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,REDDITCH BC,,,,5000169379,Grant Payable by Exchequer,"8,288.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,REIGATE & BANSTEAD BC,,,,5000169380,Grant Payable by Exchequer,"4,789.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,RIBBLE VALLEY BC,,,,5000169189,Grant Payable by Exchequer,"4,166.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,RICHMOND UPON THAMES LB,,,,5000169381,Grant Payable by Exchequer,"70,295.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,RICHMONDSHIRE DC,,,,5000169190,Grant Payable by Exchequer,"6,548.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,ROCHDALE MBC,,,,5000169382,Grant Payable by Exchequer,"145,390.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,ROCHFORD DISTRICT COUNCIL,,,,5000169383,Grant Payable by Exchequer,"4,166.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,ROSSENDALE BC,,,,5000169384,Grant Payable by Exchequer,"25,730.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,ROTHER DC (HSG),,,,5000169191,Grant Payable by Exchequer,"8,873.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,ROTHERHAM MBC,,,,5000169385,Grant Payable by Exchequer,"65,563.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,ROYAL BOROUGH OF KENSINGTON & CHELS,,,,5000169334,Grant Payable by Exchequer,"231,332.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,RUGBY BC,,,,5000169386,Grant Payable by Exchequer,"5,955.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,RUNNYMEDE BOROUGH COUNCIL,,,,5000169387,Grant Payable by Exchequer,"7,122.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,RUSHCLIFFE BOROUGH COUNCIL,,,,5000169192,Grant Payable by Exchequer,"4,166.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,RUSHMOOR BC,,,,5000169388,Grant Payable by Exchequer,"8,288.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,RUTLAND CC,,,,5000169389,Grant Payable by Exchequer,"23,979.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,RYEDALE DC,,,,5000169193,Grant Payable by Exchequer,"7,122.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SALFORD CITY CNCL,,,,5000169390,Grant Payable by Exchequer,"87,314.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SANDWELL MBC,,,,5000169391,Grant Payable by Exchequer,"56,091.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SCARBOROUGH BC,,Large,,5000169194,Grant Payable by Exchequer,"5,489.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SEDGEMOOR DC,,,,5000169195,Grant Payable by Exchequer,"10,039.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SEFTON MBC,,,,5000169392,Grant Payable by Exchequer,"48,711.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SELBY DC,,,,5000169196,Grant Payable by Exchequer,"9,456.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SEVENOAKS DC,,,,5000169197,Grant Payable by Exchequer,"7,705.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SHEFFIELD CITY CNCL,,,,5000169393,Grant Payable by Exchequer,"124,241.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SHEPWAY DISTRICT COUNCIL,,,,5000169198,Grant Payable by Exchequer,"36,954.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SHROPSHIRE UNITARY AUTHORITY,,,,5000169452,Grant Payable by Exchequer,"93,104.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SLOUGH BOROUGH COUNCIL,,,,5000169394,Grant Payable by Exchequer,"50,986.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SOLIHULL MBC,,,,5000169395,Grant Payable by Exchequer,"74,282.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SOMERSET COUNTY CNCL,,,,5000169396,Grant Payable by Exchequer,"106,876.00",Yes
