Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount In Sterling
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/08/2010,Conference and Exhibition Services (Programme),"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",UBM INFORMATION LTD,1004293,-9999.99
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/08/2010,Conference and Exhibition Services (Programme),"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",UBM INFORMATION LTD,1004293,-9999.01
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/08/2010,Conference and Exhibition Services (Programme),"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",UBM INFORMATION LTD,1004293,9999.01
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/08/2010,Conference and Exhibition Services (Programme),"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",UBM INFORMATION LTD,1004293,9999.99
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/08/2010,Conference and Exhibition Services (Programme),"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",UBM INFORMATION LTD,1004293,9999.99
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/08/2010,Intangible Software clearing account,Finance & Commercial Group - Information and Workplace Strategies,LOGICA UK LTD,1005433,8794.875
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1002011,-20853.0305
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/08/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1003658,-11503.485
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/08/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1003658,-7925.8685
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,INSIGHT IT TRAINING LTD,1004758,3231.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/08/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,LOGICA UK LTD,1004445,7567
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/08/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1003658,7925.8685
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/08/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1003658,7925.8685
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/08/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1003658,11503.485
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/08/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1003658,11503.485
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/08/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1005506,11547.72
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/08/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,LOGICA UK LTD,1002966,13204.0625
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/08/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,METHODS CONSULTING LTD,1003902,18379.35
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,1003864,19125.945
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/08/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1004377,19975
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/08/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,LOGICA UK LTD,1005437,22661.53175
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1003707,23757.3015
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/08/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,METHODS CONSULTING LTD,1003912,25908.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/08/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,LOGICA UK LTD,1005437,74909.29325
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/08/2010,Furniture F & F - Clearing,Finance & Commercial Group - Information and Workplace Strategies,SENATOR INTERNATIONAL LTD,1005209,940.188
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2010,Furniture F & F - Clearing,Finance & Commercial Group - Information and Workplace Strategies,CALL SYSTEMS TECHNOLOGY LTD T/A JTECH COMMUNICATIONS,1003586,4606
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2010,Furniture F & F - Clearing,Finance & Commercial Group - Information and Workplace Strategies,SENATOR INTERNATIONAL LTD,1004152,16156.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,COFELY LTD,1004242,-163695.4275
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/08/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,SALTASH ENTERPRISES LTD,1005039,-51750
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/08/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,SALTASH ENTERPRISES LTD,1005039,-46000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/08/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,EC HARRIS LLP,1003630,-12093.653
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/08/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,ISS FACILITY SERVICES LTD T/A ISS PEGASUS SECURITY,1005016,582.471
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/08/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,BT CONFERENCING,1005424,646.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/08/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,EVOLUTION RESOURCE LTD,1005038,822.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/08/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,DRAKE A-V VIDEO LTD,1005020,1048.1
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,COFELY LTD,1004244,1071.13
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/08/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,ISS FACILITY SERVICES LTD T/A ISS PEGASUS SECURITY,1005017,1599.504
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/08/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,OFFICE PROJECTS LTD,1005047,3189.185
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FCO SERVICES,1004202,4130.454
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/08/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,SALTASH ENTERPRISES LTD,1005039,5127.888
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,EC HARRIS LLP,1003629,5622.375
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,EC HARRIS LLP,1003634,5875
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/08/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,OFFICE PROJECTS LTD,1005048,7170.84875
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/08/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,OFFICE PROJECTS LTD,1005042,7592.4975
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/08/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,OFFICE PROJECTS LTD,1005045,8184.73275
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,EC HARRIS LLP,1003010,10907.7835
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FCO SERVICES,1004250,11764.72275
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/08/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,EC HARRIS LLP,1003630,12093.653
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/08/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,EC HARRIS LLP,1003630,12356.5585
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/08/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,OFFICE PROJECTS LTD,1005045,15112.55625
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/08/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,EC HARRIS LLP,1003630,42028.3165
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/08/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,SALTASH ENTERPRISES LTD,1005039,46000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/08/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,SALTASH ENTERPRISES LTD,1005039,47000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/08/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,SALTASH ENTERPRISES LTD,1005039,51750
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,COFELY LTD,1004242,51823.2575
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/08/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,SALTASH ENTERPRISES LTD,1005039,52875
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,COFELY LTD,1004243,150420.6683
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,COFELY LTD,1004242,163695.4275
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,COFELY LTD,1004242,167254.0238
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/08/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,OFFICE PROJECTS LTD,1005043,188000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/08/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,OFFICE PROJECTS LTD,1005043,211167.3575
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2010,Recoverable VAT Input,Corporate Payments,UK INTELLECTUAL PROPERTY OFFICE,1003738,152496.04
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2010,Recoverable VAT Input,Corporate Payments,UK TRADE & INVESTMENT,1003741,532705.07
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2010,Recoverable VAT Input,Corporate Payments,OPG COMPANIES HOUSE [40004],1003737,830333.68
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2010,Recoverable VAT Input,Corporate Payments,SKILLS FUNDING AGENCY,1003742,836834.52
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2010,Recoverable VAT Input,Corporate Payments,THE INSOLVENCY SERVICE,1003740,1024797.87
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2010,Recoverable VAT Input,Corporate Payments,NATIONAL MEASUREMENT OFFICE,1003739,1645537.43
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/08/2010,GPC New Procedures,Corporate Payments,BARCLAYS BANK PLC,1004478,4957.61
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/08/2010,GPC New Procedures,Finance & Commercial Group - Finance Group,BARCLAYS BANK PLC,1004480,44922.21
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/08/2010,GPC New Procedures,Finance & Commercial Group - Finance Group,BARCLAYS BANK PLC,1004479,73749.3
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2010,Payment-Recovery of Overpayment re Exits,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",CABINET OFFICE,1004856,1410.99
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2010,Payment-Recovery of Overpayment re Exits,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",CABINET OFFICE,1004858,1780.33
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2010,Payment-Recovery of Overpayment re Exits,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",CABINET OFFICE,1004859,2675.74
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2010,Payment-Recovery of Overpayment re Exits,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",CABINET OFFICE,1004854,3545.11
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2010,Payment-Recovery of Overpayment re Exits,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",CABINET OFFICE,1004861,180117
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2010,Payment-Recovery of Overpayment re Exits,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",CABINET OFFICE,1004860,600327.54
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2010,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,BANNER BUSINESS SERVICES LTD,1004251,-1087.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2010,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,CARLSON WAGONLIT TRAVEL UK LTD,1003344,579.3455
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2010,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,BANNER BUSINESS SERVICES LTD,1004251,1087.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2010,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,BANNER BUSINESS SERVICES LTD,1004251,1278.36475
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/08/2010,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,CARLSON WAGONLIT TRAVEL UK LTD,1004634,13763.77
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2010,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,CARLSON WAGONLIT TRAVEL UK LTD,1003344,19185.07
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/08/2010,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,BARCLAYS BANK PLC,1004481,68380.59
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2010,Payments to Redfern for Rail Travel Contract,Finance & Commercial Group - Finance Group,REDFERN TRAVEL LTD,1003407,6997.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2010,Payments to Redfern for Rail Travel Contract,Finance & Commercial Group - Finance Group,REDFERN TRAVEL LTD,1003405,39174.18
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2010,Payments to Expotel for Hotel Costs Contract,Finance & Commercial Group - Finance Group,EXPOTEL HOTEL RESERVATIONS LTD,1004257,-7222.45475
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/08/2010,Payments to Expotel for Hotel Costs Contract,Finance & Commercial Group - Finance Group,EXPOTEL HOTEL RESERVATIONS LTD,1004619,5751.42525
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2010,Payments to Expotel for Hotel Costs Contract,Finance & Commercial Group - Finance Group,EXPOTEL HOTEL RESERVATIONS LTD,1004257,7222.45475
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2010,Payments to Expotel for Hotel Costs Contract,Finance & Commercial Group - Finance Group,EXPOTEL HOTEL RESERVATIONS LTD,1004257,7222.45475
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2010,Payments to Expotel for Hotel Costs Contract,Finance & Commercial Group - Finance Group,EXPOTEL HOTEL RESERVATIONS LTD,1003352,8504.039
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2010,Payments to Expotel for Hotel Costs Contract,Finance & Commercial Group - Finance Group,EXPOTEL HOTEL RESERVATIONS LTD,1005180,9657.17225
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/08/2010,Sundry Debtors,Universities and Skills Group - Learners,DEPARTMENT FOR EMPLOYMENT AND LEARNING,1005208,5808.92
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/08/2010,Sundry Debtors,Universities and Skills Group - Learners,STUDENT AWARDS AGENCY FOR SCOTLAND (SAAS),1005207,21940.77
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/08/2010,UK Advances,Corporate Payments,"Personal Expense, Name Witheld",10272307,600
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/08/2010,Detached Duty Advances,Corporate Payments,"Personal Expense, Name Witheld",10271896,670
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/08/2010,BIS Tax Deductions,Corporate Payments,"Personal Expense, Name Witheld",10272451,-54.11
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/08/2010,BIS Tax Deductions,Corporate Payments,"Personal Expense, Name Witheld",10272459,-48.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/08/2010,BIS Tax Deductions,Corporate Payments,"Personal Expense, Name Witheld",10272457,-45.99
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/08/2010,BIS Tax Deductions,Corporate Payments,"Personal Expense, Name Witheld",10272449,-38.92
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/08/2010,BIS Tax Deductions,Corporate Payments,"Personal Expense, Name Witheld",10272458,-37.72
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/08/2010,BIS Tax Deductions,Corporate Payments,"Personal Expense, Name Witheld",10272456,-37.43
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/08/2010,BIS Tax Deductions,Corporate Payments,"Personal Expense, Name Witheld",10272452,-37.28
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/08/2010,BIS Tax Deductions,Corporate Payments,"Personal Expense, Name Witheld",10272450,-34.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/08/2010,BIS Tax Deductions,Corporate Payments,"Personal Expense, Name Witheld",10272447,-33.55
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/08/2010,BIS Tax Deductions,Corporate Payments,"Personal Expense, Name Witheld",10272453,-31
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/08/2010,BIS Tax Deductions,Corporate Payments,"Personal Expense, Name Witheld",10272448,-30.92
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/08/2010,BIS Tax Deductions,Corporate Payments,"Personal Expense, Name Witheld",10272443,-28.68
