Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/05/2011,"Furniture, Fixtures & Fittings - Clearing",Finance & Commercial Group - Commercial Directorate,SIGN SUPPLY LTD,1026257,1479.1
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/05/2011,Recoveries Account,Corporate Payment,LONDON PROBATION TRUST,1026277,406.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/05/2011,Computer Equipment - Clearing,Finance & Commercial Group - Commercial Directorate,METHODS CONSULTING LTD,1026285,17280
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/05/2011,Police Negotiating Board Funding,Office of Manpower Economics - Office of Manpower Economics,BAXTERSTOREY LTD,1026519,13.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,LESLIE J FERGUY T/A  L F ASSOCIATES,1026637,6145.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/05/2011,Payments to Expotel for Hotel Costs Contract,Finance & Commercial Group - Finance Group,EXPOTEL HOTEL RESERVATIONS LTD,1026753,2640.65
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/05/2011,Payments to Expotel for Hotel Costs Contract,Finance & Commercial Group - Finance Group,EXPOTEL HOTEL RESERVATIONS LTD,1026753,262.11
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/05/2011,Recoveries Account,Corporate Payment,AMEC NUCLEAR UK LTD,1026798,44721.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/05/2011,Recoverable VAT Input,Corporate Payment,INTELLECTUAL PROPERTY OFFICE,1026799,210954.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/05/2011,Recoverable VAT Input,Corporate Payment,SKILLS FUNDING AGENCY,1026800,1995773.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/05/2011,Recoverable VAT Input,Corporate Payment,NATIONAL MEASUREMENT OFFICE,1026802,2646213.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/05/2011,Recoverable VAT Input,Corporate Payment,COMPANIES HOUSE,1026804,723266.13
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/05/2011,Recoverable VAT Input,Corporate Payment,THE INSOLVENCY SERVICE,1026805,1366275.83
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/2011,Government Procurement Card New Procedures,Finance & Commercial Group - Finance Group,BARCLAYS BANK PLC,1026917,49445.11
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/2011,Government Procurement Card New Procedures,Finance & Commercial Group - Finance Group,BARCLAYS BANK PLC,1026918,76903.23
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/2011,Government Procurement Card New Procedures,Corporate Payment,BARCLAYS BANK PLC,1026920,8719.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/2011,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,BARCLAYS BANK PLC,1026922,192853.93
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/05/2011,Payments to Expotel for Hotel Costs Contract,Finance & Commercial Group - Finance Group,EXPOTEL HOTEL RESERVATIONS LTD,1027155,264.62
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/05/2011,Payments to Expotel for Hotel Costs Contract,Finance & Commercial Group - Finance Group,EXPOTEL HOTEL RESERVATIONS LTD,1027155,4688.84
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/05/2011,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,CARLSON WAGONLIT TRAVEL UK LTD,1027177,167.15
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,OFFICE PROJECTS LTD,1027245,1849.92
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,OFFICE PROJECTS LTD,1027246,1131.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,OFFICE PROJECTS LTD,1027247,2814.24
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,OFFICE PROJECTS LTD,1027248,2115.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,OFFICE PROJECTS LTD,1027249,8879.24
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,OFFICE PROJECTS LTD,1027250,153166.52
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,OFFICE PROJECTS LTD,1027251,10218.84
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,SIGN SUPPLY LTD,1027274,1026.78
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,OFFICE PROJECTS LTD,1027290,1525.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,OFFICE PROJECTS LTD,1027292,40397.12
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/05/2011,Recoveries Account,Corporate Payment,UK TRADE & INVESTMENT,1027298,240
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,QUESTMARK,1027308,2922
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,QUESTMARK,1027308,432
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,ISS FACILITY SERVICES LTD T/A ISS PEGASUS SECURITY,1027332,422.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,OFFICE PROJECTS LTD,1027334,3092.22
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,ISS FACILITY SERVICES LTD T/A ISS PEGASUS SECURITY,1027337,6198.08
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,OFFICE PROJECTS LTD,1027338,2991.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,ISS FACILITY SERVICES LTD T/A ISS PEGASUS SECURITY,1027339,363.46
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,ISS FACILITY SERVICES LTD T/A ISS PEGASUS SECURITY,1027340,211.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,ISS FACILITY SERVICES LTD T/A ISS PEGASUS SECURITY,1027344,844.99
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,GBM SERVICES LTD,1027364,1855.02
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,EXCITECH LTD,1027366,1020
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,QUESTMARK,1027368,6557.88
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,SECURITY SERVICES GROUP,1027372,1990.56
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,OFFICE PROJECTS LTD,1027378,114943.04
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,OFFICE PROJECTS LTD,1027381,16318.62
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,OFFICE PROJECTS LTD,1027381,198675.72
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,OFFICE PROJECTS LTD,1027404,100886.89
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,M J FERGUSON LTD,1027421,52790.26
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2011,"Furniture, Fixtures & Fittings - Clearing",Finance & Commercial Group - Commercial Directorate,SENATOR INTERNATIONAL LTD,1027456,1535.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2011,"Furniture, Fixtures & Fittings - Clearing",Finance & Commercial Group - Commercial Directorate,SENATOR INTERNATIONAL LTD,1027458,186
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2011,"Furniture, Fixtures & Fittings - Clearing",Finance & Commercial Group - Commercial Directorate,SENATOR INTERNATIONAL LTD,1027461,679.68
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/05/2011,Board Members Tax Deductions (Suspense Account),Corporate Payment,HM REVENUE & CUSTOMS,1027493,11657.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/05/2011,Board Members National Insurance Deductions (Suspense Account),Corporate Payment,HM REVENUE & CUSTOMS,1027494,4212.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/05/2011,BIS Tax Deductions,Corporate Payment,HM REVENUE & CUSTOMS,1027495,540.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/05/2011,Payment-Recovery of Overpayment re Exits,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",CABINET OFFICE,1027560,499.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/05/2011,Payment-Recovery of Overpayment re Exits,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",CABINET OFFICE,1027561,520.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/05/2011,Payment-Recovery of Overpayment re Exits,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",CABINET OFFICE,1027563,1780.33
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/05/2011,Payment-Recovery of Overpayment re Exits,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",CABINET OFFICE,1027564,2336.13
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/05/2011,Payment-Recovery of Overpayment re Exits,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",CABINET OFFICE,1027565,11254.23
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/05/2011,Payment-Recovery of Overpayment re Exits,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",CABINET OFFICE,1027566,159390.32
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/05/2011,Payment-Recovery of Overpayment re Exits,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",CABINET OFFICE,1027568,213709.28
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/05/2011,Payment-Recovery of Overpayment re Exits,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",CABINET OFFICE,1027569,351347.83
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/05/2011,Payment-Recovery of Overpayment re Exits,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",CABINET OFFICE,1027569,71421.22
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/05/2011,Payment-Recovery of Overpayment re Exits,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",CABINET OFFICE,1027570,912293.83
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/05/2011,Season Ticket and Bicycle Loans,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT,1027588,1496
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/05/2011,Two-Way Match Accruals (MANUAL),"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT,1027588,2252.17
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/05/2011,Season Ticket and Bicycle Loans,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT,1027594,874
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/05/2011,Season Ticket and Bicycle Loans,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT,1027594,576
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/05/2011,Season Ticket and Bicycle Loans,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT,1027594,124
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1027689,29186.46
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1027691,7550.32
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/05/2011,Payments to Expotel for Hotel Costs Contract,Finance & Commercial Group - Finance Group,EXPOTEL HOTEL RESERVATIONS LTD,1027813,9414.05
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/05/2011,Payments to Expotel for Hotel Costs Contract,Finance & Commercial Group - Finance Group,EXPOTEL HOTEL RESERVATIONS LTD,1027813,155.69
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,EC HARRIS LLP,1027927,5804.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,ISS FACILITY SERVICES LTD T/A ISS PEGASUS SECURITY,1028006,5316.41
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,ISS FACILITY SERVICES LTD T/A ISS PEGASUS SECURITY,1028010,3471.26
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,LESLIE J FERGUY T/A  L F ASSOCIATES,1028064,6276
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,LESLIE J FERGUY T/A  L F ASSOCIATES,1028064,-6145.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/05/2011,Cash Consolidated Fund Extra Receipts Paid Over to HM Treasury,Corporate Payment,CONSOLIDATED FUND ACCOUNT 6622,1028298,15000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/05/2011,Overseas Advances,Corporate Payment,"Personal expense, Name withheld",4505841,400
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/05/2011,Overseas Advances,Corporate Payment,"Personal expense, Name withheld",4505842,330
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/05/2011,UK Advances,Corporate Payment,"Personal expense, Name withheld",10277445,95
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/05/2011,UK Advances,Corporate Payment,"Personal expense, Name withheld",10277539,294
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/05/2011,Board Members National Insurance Deductions (Suspense Account),Corporate Payment,"Personal expense, Name withheld",10277551,9.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2011,Board Members National Insurance Deductions (Suspense Account),Corporate Payment,"Personal expense, Name withheld",10277582,60.17
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2011,Board Members National Insurance Deductions (Suspense Account),Corporate Payment,"Personal expense, Name withheld",10277582,57.64
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2011,Board Members National Insurance Deductions (Suspense Account),Corporate Payment,"Personal expense, Name withheld",10277582,332.64
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/05/2011,Overseas Advances,Corporate Payment,"Personal expense, Name withheld",10277615,240
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/05/2011,Board Members National Insurance Deductions (Suspense Account),Corporate Payment,"Personal expense, Name withheld",10277655,299.64
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/05/2011,BIS Tax Deductions,Corporate Payment,"Personal expense, Name withheld",10277656,-28.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/05/2011,BIS Tax Deductions,Corporate Payment,"Personal expense, Name withheld",10277657,-19.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/05/2011,BIS Tax Deductions,Corporate Payment,"Personal expense, Name withheld",10277659,-33.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/05/2011,BIS Tax Deductions,Corporate Payment,"Personal expense, Name withheld",10277660,-31
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/05/2011,BIS Tax Deductions,Corporate Payment,"Personal expense, Name withheld",10277661,-39
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/05/2011,BIS Tax Deductions,Corporate Payment,"Personal expense, Name withheld",10277662,-34.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/05/2011,BIS Tax Deductions,Corporate Payment,"Personal expense, Name withheld",10277663,-54.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/05/2011,BIS Tax Deductions,Corporate Payment,"Personal expense, Name withheld",10277664,-37.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/05/2011,BIS Tax Deductions,Corporate Payment,"Personal expense, Name withheld",10277665,-31
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/05/2011,BIS Tax Deductions,Corporate Payment,"Personal expense, Name withheld",10277666,-13.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/05/2011,BIS Tax Deductions,Corporate Payment,"Personal expense, Name withheld",10277667,-34.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/05/2011,BIS Tax Deductions,Corporate Payment,"Personal expense, Name withheld",10277668,-37.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/05/2011,BIS Tax Deductions,Corporate Payment,"Personal expense, Name withheld",10277669,-46
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/05/2011,BIS Tax Deductions,Corporate Payment,"Personal expense, Name withheld",10277672,-37.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/05/2011,BIS Tax Deductions,Corporate Payment,"Personal expense, Name withheld",10277675,-48.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/05/2011,BIS Tax Deductions,Corporate Payment,"Personal expense, Name withheld",10277678,-7
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/05/2011,BIS Tax Deductions,Corporate Payment,"Personal expense, Name withheld",10277679,-10
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/05/2011,Overseas Advances,Corporate Payment,"Personal expense, Name withheld",10277702,-330
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/05/2011,Overseas Advances,Corporate Payment,"Personal expense, Name withheld",10277720,-400
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/05/2011,UK Advances,Corporate Payment,"Personal expense, Name withheld",,-10
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/05/2011,UK Advances,Corporate Payment,"Personal expense, Name withheld",,10
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/05/2011,Outsourced Programme Management Services,Business & Skills Group - Further Education & Skills Investment,EMQC LTD,1026577,17520
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/05/2011,Outsourced Programme Management Services,Business & Skills Group - Further Education & Skills Investment,CORE ACHIEVEMENT LTD,1027571,2450
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/05/2011,Telephone Helpline Services,Market and Frameworks Group - Consumer and Competition Policy,OFFICE OF FAIR TRADING,1027481,258434.28
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/2011,Grants - Non Statutory - Current - Other,Market and Frameworks Group - Consumer and Competition Policy,BRISTOL CITY COUNCIL,1026815,139246.45
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/05/2011,Grants - Non Statutory - Current - Other,Market and Frameworks Group - Consumer and Competition Policy,REDCAR & CLEVELAND BOROUGH COUNCIL,1027743,81842.74
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/05/2011,Grants - Non Statutory - Current - Other,Market and Frameworks Group - Consumer and Competition Policy,GLASGOW CITY COUNCIL,1028201,106143.02
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/05/2011,Media and Design Services,Knowledge and Innovation Group - Innovation,WORDLINK LTD,1028093,1000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/05/2011,Media and Design Services,Knowledge and Innovation Group - Innovation,WORDLINK LTD,1028094,775
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/05/2011,Financial Advice and Services,Knowledge and Innovation Group - Innovation,CAPITAL FOR ENTERPRISE LTD,1027509,8333.33
