Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number, Net Total 
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Rail Fares,Business & Skills Group - Economic Development Directorate,"Personal Expense, Name Witheld.",10275440,18
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Taxis Overseas,Business & Skills Group - Economic Development Directorate,"Personal Expense, Name Witheld.",10275440,24.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Subsistence Payments Overseas,Business & Skills Group - Economic Development Directorate,"Personal Expense, Name Witheld.",10275440,8.19
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Other Overseas Travel & Subsistence,Business & Skills Group - Economic Development Directorate,"Personal Expense, Name Witheld.",10275440,13
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Coaching,Business & Skills Group - Enterprise Directorate,LEARNLAB LTD,1017934,533.3
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Mileage Allowances,Business & Skills Group - Enterprise Directorate,"Personal Expense, Name Witheld.",10275438,123.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Subsistence Payments,Business & Skills Group - Enterprise Directorate,"Personal Expense, Name Witheld.",10275438,10
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Rail Fares,Business & Skills Group - Information Economy,"Personal Expense, Name Witheld.",10275444,189
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Rail Fares Overseas,Business & Skills Group - Information Economy,"Personal Expense, Name Witheld.",10275444,10.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Hotels Overseas,Business & Skills Group - Information Economy,"Personal Expense, Name Witheld.",10275444,86.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Subsistence Payments Overseas,Business & Skills Group - Information Economy,"Personal Expense, Name Witheld.",10275444,10.73
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Other Overseas Travel & Subsistence,Business & Skills Group - Information Economy,"Personal Expense, Name Witheld.",10275444,10.01
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Economic Consultancy & Research,Business & Skills Group - Life Sciences,CELS BUSINESS SERVICES LTD,1017927,20394
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Economic Consultancy & Research,Business & Skills Group - Life Sciences,CELS BUSINESS SERVICES LTD,1017927,5350
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Other Services,Business & Skills Group - USG Admin,ROGER MCCLURE,1018024,373.46
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Corporate Management Consultancy,Chief Economic Advisor &BRE Group - Better Regulation Executive (BRE),SIR DONALD CURRY,1018036,5634
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Taxis,Finance & Commercial Group - Finance Group,HUDSONS TAXIS,1018048,113
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Taxis,Finance & Commercial Group - Finance Group,HUDSONS TAXIS,1018048,82
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Other Training Costs,Finance & Commercial Group - Finance Group,ISACA,1017754,1543.17
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Other Training Costs,Finance & Commercial Group - Finance Group,ISACA,1017756,1543.17
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Other Training Costs,Finance & Commercial Group - Finance Group,ISACA,1017757,1543.17
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Mobile Phones,Finance & Commercial Group - Finance Group,VODAFONE LTD,1017930,5.81
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Mobile Phones,Finance & Commercial Group - Finance Group,VODAFONE LTD,1017930,16.28
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Other Accommodation Charges,Knowledge and Innovation Group - Innovation,PHONOGRAPHIC PERFORMANCE LTD,1018033,122.27
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1015306,4.64
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Rail Fares Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10275443,5.15
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10275443,63.01
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Other Overseas Travel & Subsistence,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10275443,20.03
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Other UK Travel & Subsistence,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10275445,2.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Rail Fares Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10275445,2.96
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10275445,43.61
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Rail Fares,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10275446,3.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Other UK Travel & Subsistence,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10275446,6.69
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10275446,76.92
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10275446,10
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Rail Fares,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10275451,75.55
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Taxis,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10275451,9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Other UK Travel & Subsistence,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10275451,1.7
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Communications Directorate",ADECCO UK LTD,1018016,691.01
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Communications Directorate",ADECCO UK LTD,1018019,625.91
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Media Services,"Legal, People & Communications Group - Communications Directorate",GORKANA LTD,1018029,7000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Telecommunications,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",VODAFONE LTD,1017135,41.83
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Telecommunications,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",VODAFONE LTD,1017135,81.64
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Telecommunications,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",VODAFONE LTD,1017135,34.84
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Telecommunications,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",VODAFONE LTD,1017158,6.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Telecommunications,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",VODAFONE LTD,1017158,0.22
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Mobile Phones,"Legal, People & Communications Group - Legal",VODAFONE LTD,1018021,7.34
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Mobile Phones,"Legal, People & Communications Group - Legal",VODAFONE LTD,1018021,13.03
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Hire of Agency Staff (Professional/Management),"Legal, People & Communications Group - Legal",BADENOCH AND CLARK LTD,1018051,1875
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Postage,"Legal, People & Communications Group - Legal",PITNEY BOWES PURCHASE POWER A TRADING DIVISION OF PITNEY BOWES LTD,1018043,105.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Other Overseas Travel & Subsistence,Market and Frameworks Group - Europe and World Trade Directorates,FOREIGN AND COMMONWEALTH OFFICE (FCO),1015282,392.48
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Other Overseas Travel & Subsistence,Market and Frameworks Group - Europe and World Trade Directorates,FOREIGN AND COMMONWEALTH OFFICE (FCO),1015284,33.82
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Rail Fares Overseas,Market and Frameworks Group - Europe and World Trade Directorates,"Personal Expense, Name Witheld.",10275442,6.29
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Subsistence Payments Overseas,Market and Frameworks Group - Europe and World Trade Directorates,"Personal Expense, Name Witheld.",10275442,14.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Other Overseas Travel & Subsistence,Market and Frameworks Group - Europe and World Trade Directorates,"Personal Expense, Name Witheld.",10275442,4.91
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Taxis,Market and Frameworks Group - Europe and World Trade Directorates,HUDSONS TAXIS,1018048,44
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1018011,752.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Rail Fares,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,WELSH ASSEMBLY GOVERNMENT,1017783,86.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1018009,625.91
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1018012,598.02
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1018015,650.94
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1018032,605.48
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Hire of Reprographic Equipment,Office of Manpower Economics - Office of Manpower Economics,INFORMATION COMMISSIONERS OFFICE,1017929,35
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Catering Services,Office of Manpower Economics - Office of Manpower Economics,SPOILT FOR CHOICE LTD,1017979,142.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Stationery,Shareholder Executive - Shareholder Executive,LYRECO UK LTD,1017920,194.98
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,ICT Infrastructure Specific Service,Finance & Commercial Group - Information and Workplace Strategies,XMA LTD,1017476,4205.66
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,GTN Services,Finance & Commercial Group - Information and Workplace Strategies,CABLE & WIRELESS COMMUNICATIONS,1017684,1206
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,1018050,33844.71
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Hire of Reprographic Equipment,Finance & Commercial Group - Information and Workplace Strategies,XEROX (UK) LTD,1018041,327.28
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Courier Services,Finance & Commercial Group - Information and Workplace Strategies,TNT UK LTD,1018004,60.62
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Security Policy Service,Finance & Commercial Group - Information and Workplace Strategies,FCO SERVICES,1016744,8525
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,InfoSource Desktop Information and Research Services,Finance & Commercial Group - Information and Workplace Strategies,ACKNOWLEDGE LTD,1017991,1800
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Special Adjustments,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",JANETTE NIMMO,1018038,94.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Special Adjustments,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",JANETTE NIMMO,1018039,8.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Special Adjustments,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",JANETTE NIMMO,1018039,246.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Non-Grant in Aid Funding of Bodies (Departmental and Non-Departmental),Business & Skills Group - Further Education & Skills Investment,SKILLS FUNDING AGENCY,1017612,357579000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Grant in Aid - Current -Other,Knowledge and Innovation Group - Learners,STUDENT LOANS  CO LTD (INVEST TO SAVE),1017634,1122168.69
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Grant in Aid - Current -Other,Knowledge and Innovation Group - Learners,STUDENT LOANS  CO LTD (INVEST TO SAVE),1017634,8311132.99
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Grant in Aid - Current -Other,Knowledge and Innovation Group - Learners,STUDENT LOANS  CO LTD (INVEST TO SAVE),1017634,267732.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Grant in Aid - Current -Other,Knowledge and Innovation Group - Learners,STUDENT LOANS  CO LTD (INVEST TO SAVE),1017634,45498.73
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Grant in Aid - Current -Other,Knowledge and Innovation Group - Learners,STUDENT LOANS  CO LTD (INVEST TO SAVE),1017634,29205.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Grant in Aid - Current -Other,Knowledge and Innovation Group - Learners,STUDENT LOANS  CO LTD (INVEST TO SAVE),1017634,109395.34
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Grant in Aid - Current -Other,Knowledge and Innovation Group - Learners,STUDENT LOANS  CO LTD (INVEST TO SAVE),1017634,29361.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Grant in Aid - Current -Other,Knowledge and Innovation Group - Learners,STUDENT LOANS  CO LTD (INVEST TO SAVE),1017634,49593.05
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Grants - Statutory - Current - Other,Knowledge and Innovation Group - Research Base,THE SCIENCE COUNCIL,1017947,9500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Grants - Statutory - Current - Other,Knowledge and Innovation Group - Research Base,BRADFORD COLLEGE,1018007,207518.3
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Grants - Statutory - Current - Other,Knowledge and Innovation Group - Research Base,"STEMNET (THE SCIENCE, TECHNOLOGY, ENGINEERING AND MATHEMATICS NETWORK)",1017953,71423.09
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Grants - Statutory - Current - Other,Knowledge and Innovation Group - Research Base,"STEMNET (THE SCIENCE, TECHNOLOGY, ENGINEERING AND MATHEMATICS NETWORK)",1017953,52094.81
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Catering Services (Programme),Knowledge and Innovation Group - Government Office For Science,KULIMA INTEGRATED DEVELOPMENT SOLUTIONS (PTY) LTD,1017102,23310.41
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,UNIVERSITY OF SUSSEX,1017932,9740
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,UNIVERSITY OF SUSSEX,1017932,10000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1015294,204.43
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1015295,733.77
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1015296,159.18
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Hire of Conference Facilities (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1015300,287.59
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1015301,227.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1015302,676.3
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1015303,259.57
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1015304,895.71
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Outsourced Programme Management Services,Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1015305,13200
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Rail Fares - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1015307,52.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1015307,2466
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Others UK T&S (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1015310,55.88
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Others UK T&S (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1015311,37.5
