Post Date,Publishable Label,Transaction Amount,"Publishable label is provided by the Bank and is industry standard.  May not, however, give true indication of purchase - additional comment as necessary."
18/05/12,Airlines,624.59,
18/05/12,Airlines,550.99,
18/05/12,Airlines,550.99,
18/05/12,Airlines,527.05,
18/05/12,Airlines,1053.79,
18/05/12,Airlines,1982.99,
18/05/12,Airlines,527.05,
18/05/12,Airlines,1197.70,
18/05/12,Airlines,1197.70,
18/05/12,Airlines,1262.16,
18/05/12,Airlines,1436.09,
18/05/12,Airlines,601.49,
18/05/12,Airlines,-530.90,
21/05/12,Airlines,507.09,
21/05/12,Airlines,931.40,
21/05/12,Airlines,3962.90,
21/05/12,Airlines,1255.46,
21/05/12,Airlines,1175.49,
21/05/12,Airlines,925.49,
21/05/12,Airlines,1703.99,
21/05/12,Airlines,2824.79,
21/05/12,Airlines,1417.19,
21/05/12,Airlines,2836.49,
21/05/12,Airlines,2309.10,
21/05/12,Airlines,2309.10,
21/05/12,Airlines,725.86,
21/05/12,Airlines,725.86,
21/05/12,Airlines,1054.39,
21/05/12,Airlines,2389.89,
21/05/12,Airlines,943.29,
21/05/12,Airlines,1788.79,
21/05/12,Airlines,943.29,
21/05/12,Airlines,1788.79,
21/05/12,Airlines,943.29,
21/05/12,Airlines,1788.79,
21/05/12,Airlines,943.29,
21/05/12,Airlines,1075.59,
21/05/12,Airlines,1075.59,
21/05/12,Airlines,2608.00,
21/05/12,Airlines,2608.00,
21/05/12,Airlines,573.49,
21/05/12,Airlines,-513.88,
21/05/12,Airlines,-588.30,
21/05/12,Airlines,538.55,
21/05/12,Airlines,605.79,
21/05/12,Airlines,566.79,
21/05/12,Airlines,2825.49,
21/05/12,Airlines,923.49,
21/05/12,Airlines,1074.49,
21/05/12,Airlines,794.49,
21/05/12,Airlines,937.99,
21/05/12,Airlines,937.99,
21/05/12,Airlines,3963.16,
21/05/12,Airlines,1523.39,
21/05/12,Airlines,3404.59,
21/05/12,Airlines,1419.60,
21/05/12,Airlines,3598.36,
21/05/12,Airlines,3560.49,
21/05/12,Airlines,792.69,
