Parent Department,Organisation,Unit,Reporting SCS post reference,Grade,Payscale minimum,Payscale maximum,Generic job title,Number of such posts in FTE,Notes
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111803,C2,,,CIO-ISP-POL ICADGov4,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111803,C2,,,CIO-ISP-POL ICADGov5,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111803,C2,,,CIO-ISP-POL ICADMetadata4,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111803,C2,,,CIO-ISP-POL Info Pol 2,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111803,C2,,,CIO-ISP-POL Info Pol 3,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111803,C2,,,CIO-ISP-SKILLS Dev 1a,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111803,Band D,,,CIO-ISP-Head ResMgr,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111803,Band D,,,CIO-ISP-POL AF2,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111803,Band D,,,CIO-ISP-POL ICADAccess5,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111803,E1,,,CIO-ISP-Head PA,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111803,E1,,,CIO-ISP-POL AF3,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111803,E1,,,CIO-ISP-POL ICAD Helpdesk1,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111803,E1,,,CIO-ISP-SKILLS Trg Comms 1a,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111803,E2,,,CIO-ISP-SKILLS Dev 1b,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111803,OF1,,,CIO-ISP-STRAT Exploit 1a,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111803,OF3,,,CIO-ISP-Head Coord CET,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111803,OF3,,,CIO-ISP-STRAT Exploit 1,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111803,OF3,,,CIO-ISP-POL ICAD MilRep1,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111803,OF3,,,CIO-ISP-SKILLS Trg Comms Co-ord,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111803,OF4,,,CIO-ISP-STRAT Exploit AstHd,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111803,OF4,,,CIO-ISP-POL ICAD AstHd,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111803,OF4,,,CIO-ISP-SKILLS Trg Comms AstHd,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111803,OF5,,,CIO-ISP-STRAT DepHd,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111803,OF5,,,CIO-ISP-POL DepHd,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111804,B2,,,CIO-J6-Ops4,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111804,B2,,,CIO-J6-RTM,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111804,B2,,,CIO-J6-RTM1,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111804,C1,,,CIO-Sec J6,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111804,C1,,,CIO-J6-Ops4a,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111804,C1,,,CIO-J6-RTM2,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111804,E1,,,CIO-J6-Head PA,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111804,E1,,,CIO-J6 Clk1,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111804,OF3,,,CIO-J6-NEC5,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111804,OF3,,,CIO-J6-Ops1a,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111804,OF3,,,CIO-J6-Ops2a,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111804,OF3,,,CIO-J6-Ops2b,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111804,OF3,,,CIO-J6-Ops3a,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111804,OF4,,,CIO-J6-NEC1,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111804,OF4,,,CIO-J6-NEC2,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111804,OF4,,,CIO-J6-NEC3,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111804,OF4,,,CIO-J6-NEC4,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111804,OF4,,,CIO-J6-Ops1,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111804,OF4,,,CIO-J6-Ops2,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111804,OF4,,,CIO-J6-Ops3,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111804,OF4,,,CIO-J6-Ops5,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111804,OF5,,,CIO-J6-NEC DepHd,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111804,OF5,,,CIO-J6-Ops DepHd,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111804,OR6,,,CIO-J6 ChClk,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111804,OR7,,,CIO-J6-Ops5a,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,111804,OR8,,,CIO-J6-Ops1b,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,105230 Defence Science & Technology Strategy Director,B1,,,,5
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105230 Defence Science & Technology Strategy Director,B2,,,,6
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105230 Defence Science & Technology Strategy Director,C1,,,,8
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105230 Defence Science & Technology Strategy Director,C2,,,,7
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105230 Defence Science & Technology Strategy Director,Band D,,,,6
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105234 Defence Science & Technology Strategic Technologies Director,B1,,,,5
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105234 Defence Science & Technology Strategic Technologies Director,B2,,,,5
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105234 Defence Science & Technology Strategic Technologies Director,C1,,,,3
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105234 Defence Science & Technology Strategic Technologies Director,C2,,,,3
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105234 Defence Science & Technology Strategic Technologies Director,Band D,,,,4
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105234 Defence Science & Technology Strategic Technologies Director,E1,,,,2
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105234 Defence Science & Technology Strategic Technologies Director,E2,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,178447 Defence Science & Technology Strategic Technologies Head,B1,,,,3
Ministry of Defence,Ministry of Defence,Central Top Level Budget,178447 Defence Science & Technology Strategic Technologies Head,B2,,,,4
Ministry of Defence,Ministry of Defence,Central Top Level Budget,178447 Defence Science & Technology Strategic Technologies Head,C1,,,,3
Ministry of Defence,Ministry of Defence,Central Top Level Budget,178447 Defence Science & Technology Strategic Technologies Head,E1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,00137261 - Director of Media and Communications,Band D,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137262 - Head of News,B1,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137262 - Head of News,B2,,,,3
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137262 - Head of News,B2,,,,7
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137262 - Head of News,C1,,,,3
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137262 - Head of News,C2,,,,13
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137262 - Head of News,OF4,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137262 - Head of News,D,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137262 - Head of News,E1,,,,2
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137262 - Head of News,E1,,,,3
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137262 - Head of News,E2,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137262 - Head of News,OF4,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137262 - Head of News,OF4,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137262 - Head of News,OF3,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137262 - Head of News,OF3,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137262 - Head of News,OF4,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,B2,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,B2,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,C1,,,,11
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,C1,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,C2,,,,6
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,OF2,,,,3
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,OF5,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,OF4,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,OF4,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,OF5,,,,2
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,OF5,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,Cpl - Army,,,,5
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,Cpl - RAF,,,,2
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,Cpl - RM,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,CPO,,,,2
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,Band D,,,,3
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,E1,,,,5
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,E1,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,OF2,,,,2
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,OF5,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,LCpl - Army,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,LH - RN,,,,3
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,OF2,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,OF2,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,OF4,,,,3
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,OF4,,,,3
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,OF4,,,,3
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,OF4,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,OF4,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,OF3,,,,3
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,OF3,,,,3
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,OF3,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,OF3,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,PO,,,,2
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,PO,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,SAC,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,Sgt,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,Sgt,,,,2
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,OF3,,,,3
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,OF3,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,SSgt,,,,3
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,OF4,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137265 -  Head of Operational Communications,WO2,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137266 - Head of Secretariat and New Media,B1,,,,2
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137266 - Head of Secretariat and New Media,B2,,,,2
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137266 - Head of Secretariat and New Media,C1,,,,10
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137266 - Head of Secretariat and New Media,C2,,,,12
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137266 - Head of Secretariat and New Media,D,,,,8
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137266 - Head of Secretariat and New Media,E1,,,,5
Ministry of Defence,Ministry of Defence,Central Top Level Budget,00137266 - Head of Secretariat and New Media,OF4,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,125818,B1,,,MOD legal Advisor,1
Ministry of Defence,Ministry of Defence,Central Top level Budget,139073,C1,,,CLS Business Manager,1
Ministry of Defence,Ministry of Defence,Central Top level Budget,139073,Band D,,,CLS Executive Assistant,1
Ministry of Defence,Ministry of Defence,Central Top level Budget,139074,B1,,,MOD legal Advisor,2
Ministry of Defence,Ministry of Defence,Central Top level Budget,139074,B2,,,MOD legal Advisor,1
Ministry of Defence,Ministry of Defence,Central Top level Budget,139074,C2,,,Legislation Support Officer,1
Ministry of Defence,Ministry of Defence,Central Top level Budget,139074,OF4,,,MOD legal Advisor,1
Ministry of Defence,Ministry of Defence,Central Top level Budget,139074,Band D,,,Legislation Support Officer,1
Ministry of Defence,Ministry of Defence,Central Top level Budget,139074,Band D,,,Legal Trainee,1
Ministry of Defence,Ministry of Defence,Central Top level Budget,139074,E1,,,Team Personal Assistant,1
Ministry of Defence,Ministry of Defence,Central Top level Budget,139074,OF5,,,MOD legal Advisor,1
Ministry of Defence,Ministry of Defence,Central Top level Budget,139083,B1,,,MOD legal Advisor,3,
Ministry of Defence,Ministry of Defence,Central Top level Budget,139083,B2,,,MOD legal Advisor,2,
Ministry of Defence,Ministry of Defence,Central Top level Budget,139083,E1,,,Team Personal Assistant,1,Pooled resource for 2 teams
Ministry of Defence,Ministry of Defence,Central Top level Budget,139084,B1,,,MOD Legal Advisor,9,
Ministry of Defence,Ministry of Defence,Central Top level Budget,139084,B2,,,MOD Legal Advisor,15,
Ministry of Defence,Ministry of Defence,Central Top level Budget,139084,C1,,,Legal Executives,4,
Ministry of Defence,Ministry of Defence,Central Top level Budget,139084,C2,,,Legal Executives,4,
Ministry of Defence,Ministry of Defence,Central Top level Budget,139084,Band D,,,Executive Assistant,2,
Ministry of Defence,Ministry of Defence,Central Top level Budget,139084,E1,,,Team Personal Assistant and Admin Support,6,2 Admin Suport Officers job share one post
Ministry of Defence,Ministry of Defence,Central Top level Budget,139085,B1,,,MOD legal Advisor,7,
Ministry of Defence,Ministry of Defence,Central Top level Budget,139085,B2,,,MOD legal Advisor,3,
Ministry of Defence,Ministry of Defence,Central Top level Budget,139085,E1,,,Team Personal Assistant,1,
Ministry of Defence,Ministry of Defence,Central Top level Budget,139085,OF4,,,MOD legal Advisor,1,
Ministry of Defence,Ministry of Defence,Central Top level Budget,139086,B1,,,MOD legal Advisor,5,
Ministry of Defence,Ministry of Defence,Central Top level Budget,139086,B2,,,MOD legal Advisor,1,
Ministry of Defence,Ministry of Defence,Central Top level Budget,139086,C1,,,MOD legal Officer,1,
Ministry of Defence,Ministry of Defence,Central Top level Budget,139073,Band D,,,Business Management Support,1
Ministry of Defence,Ministry of Defence,Permanent Joint HQ,139151,B1,,,MOD legal Advisor,4
Ministry of Defence,Ministry of Defence,Central Top level Budget,139073,E2,,,Admin Support Officer,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,191217,OF2,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,191217,OF4,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,191217,OF3,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,164078,OF3,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,191217,Sgt,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,164078,WO1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,191185,B2,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,191217,B2,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,164078,B2,,,,3
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,191185,C1,,,,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,191217,C1,,,,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,164078,C1,,,,23
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,191185,C2,,,,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,191217,C2,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,164078,C2,,,,24
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,191217,C2 (MSF),,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,191185,OF4,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,191185,Band D,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,191217,Band D,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,164078,Band D,,,,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,191185,E1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,191217,E1,,,,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,164078,E1,,,,9
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,191217,E2,,,,3
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,191185,OF5,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,191185,OF2,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,191185,OF4,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,164078,Chf Tech,,,,6
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,191217,OF2,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,164078,OF2,,,,5
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,164078,RAF Flight Sergeant,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,191217,OF1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,191217,OF5,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,164078,OF5,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,164078,Sgt,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,185281,OF3,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,191217,OF3,,,,19
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,164078,OF3,,,,11
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,164078,WO,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,191217,OF4,,,,8
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,164078,OF4,,,,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,191217,Retired Officer 1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,191217,Retired Officer 2,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,191185,OF4,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,191217,OF5,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,164078,CPO,,,,5
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,191217,OF4,,,,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,164078,OF4,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,164078,OF2,,,,6
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,191191,OF3,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,191217,OF3,,,,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,164078,OF3,,,,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,191185,OF4,,,,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,10600,C1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,10600,Band D,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105238,Band D,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106008,E1,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106008,E1,,,Business Management,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106008,B2,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106008,C1,,,,2
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106008,C2,,,,2
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106008,Band D,,,,3
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106008,B2,,,Asst Hd - Business Partner/Management,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106008,C1,,,Business Management,2
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106008,C2,,,Business Management,2
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106008,Band D,,,Business Management,3
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106013,B1,,,Deputy Head - Finance,3
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106013,E1,,,Admin Support,6
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106013,E1,,,PS,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106013,B2,,,Asst Hd - Finance,8
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106013,C1,,,Finance,16
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106013,C2,,,Finance,16
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106013,Band D,,,Finance,9
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106027,B1,,,Deputy Head Internal Audit (Audit),2
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106027,E1,,,Finance,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106027,E1,,,Training,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106027,E1,,,Administration,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106027,E1,,,Business Solutions,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106027,E1,,,Personal Secretary,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106027,B2,,,Assistant Head Audit,5
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106027,B2,,,Assistant Head Fraud,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106027,C1,,,Corporate Services Manager,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106027,C1,,,Business Solutions Manager,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106027,C1,,,Senior Counter Fraud Specialist,4
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106027,C1,,,Forensic Accountant,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106027,C1,,,Audit Manager,23
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106027,C2,,,Corporate Services,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106027,C2,,,Counter Fraud Specialist,5
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106027,C2,,,Auditor,49
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106027,C2 ,,,Audit Data Analyst,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106027,Band D,,,Assistant Counter Fraud Specialist,5
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106027,Band D,,,Training,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106027,Band D,,,Administration,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106027,Band D,,,Business Solutions,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106027,Band D,,,Finance,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,16039,Band D,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106043,E1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106043,OF4,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106043,OF4,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106043,B1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106043,B2,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106043,C1,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106043,C2,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106043,OF5,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106043,Band D,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106044,B1,,,,3
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106044,E1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106044,OF4,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106044,B2,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106044,C1,,,,8,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106044,C2,,,,10,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,106044,Band D,,,,1,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,107359,E1,,,Statistician,2,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,107359,E1,,,Information Service Provision,4,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,107359,E1,,,Administration,1,RDP
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,107359,B1,,,Statistician,1,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,107359,B2,,,Statistician,1,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,107359,B2,,,Information Service Provision,1,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,107359,C1,,,Information Service Provision,3,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,107359,C1,,,Business Management,1,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,107359,C1,,,Statistician,2,
