Parent Department,Organisation,Unit,Reporting SCS post reference,Grade,Payscale minimum,Payscale maximum,Generic job title,Number of such posts in FTE,Notes
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1239190 - DEFAC-CMT-TD HEAD,B2,,,DEFAC-CMT-TD CBTTECH LETHAL SO1,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1239190 - DEFAC-CMT-TD HEAD,C1,,,DEFAC-CMT-TD CBTTECH GND MAN SO1,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1239190 - DEFAC-CMT-TD HEAD,C2,,,DEFAC-CMT-TD CBTTECH DEV SO1,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1239190 - DEFAC-CMT-TD HEAD,Band D,,,DEFAC-CMT-TD CBTTECH AMMOEXP SO1,3
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1239190 - DEFAC-CMT-TD HEAD,SZ3,,,DEFAC-CMT-TD EN TECH IM SO1,3
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1239190 - DEFAC-CMT-TD HEAD,OF2,,,DEFAC-CMT-TD EN TECH NEC SO1,3
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1239190 - DEFAC-CMT-TD HEAD,OF3,,,DEFAC-CMT-TD EN TECH DEP HD,6
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1239190 - DEFAC-CMT-TD HEAD,OF4,,,DEFAC-CMT-TD CBTTECH MOBSURV SO1,10
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1239190 - DEFAC-CMT-TD HEAD,OF5,,,DEFAC-CMT-TD CBTTECH LETHAL SO1,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1239190 - DEFAC-CMT-TD HEAD,OR4,,,DEFAC-CMT-TD CBTTECH GND MAN SO1,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1239190 - DEFAC-CMT-TD HEAD,OR6,,,DEFAC-CMT-TD CBTTECH GND MAN SO1,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1239190 - DEFAC-CMT-TD HEAD,OR7,,,DEFAC-CMT-TD CBTTECH GND MAN SO1,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1239190 - DEFAC-CMT-TD HEAD,OR8,,,DEFAC-CMT-TD CBTTECH DEV SO1,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1239190 - DEFAC-CMT-TD HEAD,OR9,,,DEFAC-CMT-TD CBTTECH AMMOEXP SO1,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,153171 - DEFAC-JSCSC-HQ-COMDT,C2,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,153171 - DEFAC-JSCSC-HQ-COMDT,Band D,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,153171 - DEFAC-JSCSC-HQ-COMDT,E1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,153171 - DEFAC-JSCSC-HQ-COMDT,OF2,,,,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,153171 - DEFAC-JSCSC-HQ-COMDT,OF3,,,,5
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,153171 - DEFAC-JSCSC-HQ-COMDT,OF4,,,,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,153171 - DEFAC-JSCSC-HQ-COMDT,OF5,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,153171 - DEFAC-JSCSC-HQ-COMDT,OR4,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,153171 - DEFAC-JSCSC-HQ-COMDT,OR9,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,153171 - DEFAC-JSCSC-HQ ACOMDT LAND,B2,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,153171 - DEFAC-JSCSC-HQ ACOMDT LAND,OF4,,,,58
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,153171 - DEFAC-JSCSC-HQ ACOMDT LAND,OF5,,,,5
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,153171 - DEFAC-JSCSC-HQ ACOMDT LAND,OF3,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1240790 DEFAC-JSCSC ARMY DIV DIR,C1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1240790 DEFAC-JSCSC ARMY DIV DIR,C2,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1240790 DEFAC-JSCSC ARMY DIV DIR,OF3,,,,32
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1240790 DEFAC-JSCSC ARMY DIV DIR,OF4,,,,12
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1240790 DEFAC-JSCSC ARMY DIV DIR,OF5,,,,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1240790 DEFAC-JSCSC ARMY DIV DIR,OR9,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1063002 DEFAC-JSCSC HQ ACOMDT AIR,C2,,,,11
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1063002 DEFAC-JSCSC HQ ACOMDT AIR,OF3,,,,29
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1063002 DEFAC-JSCSC HQ ACOMDT AIR,OF4,,,,3
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1063002 DEFAC-JSCSC HQ ACOMDT AIR,OF5,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1063002 DEFAC-JSCSC HQ ACOMDT AIR,OR6,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1063002 DEFAC-JSCSC HQ ACOMDT AIR,OR9,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1117089 DEFAC-JSCSC HQ ACOMDT MARITIME,OF2,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1117089 DEFAC-JSCSC HQ ACOMDT MARITIME,OF3,,,,6
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1117089 DEFAC-JSCSC HQ ACOMDT MARITIME,OF4,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1117089 DEFAC-JSCSC HQ ACOMDT MARITIME,OF5,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,154906 - DEFAC-CMT-HQ DIRECTOR,B1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,154906 - DEFAC-CMT-HQ DIRECTOR,B2,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,154906 - DEFAC-CMT-HQ DIRECTOR,C1,,,,7
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,154906 - DEFAC-CMT-HQ DIRECTOR,C2,,,,18
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,154906 - DEFAC-CMT-HQ DIRECTOR,Band D,,,,10
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,154906 - DEFAC-CMT-HQ DIRECTOR,E1,,,,8
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,154906 - DEFAC-CMT-HQ DIRECTOR,OF2,,,,5
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,154906 - DEFAC-CMT-HQ DIRECTOR,OF3,,,,3
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,154906 - DEFAC-CMT-HQ DIRECTOR,OF4,,,,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,154906 - DEFAC-CMT-HQ DIRECTOR,OF5,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,154906 - DEFAC-CMT-HQ DIRECTOR,OR4,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,154906 - DEFAC-CMT-HQ DIRECTOR,OR6,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,154906 - DEFAC-CMT-HQ DIRECTOR,OR9,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,185057 - Director Plans,B1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,185057 - Director Plans,B2,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,185057 - Director Plans,C1,,,,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,185057 - Director Plans,C2,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,185057 - Director Plans,E1,,,,3
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,185057 - Director Plans,OF3,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,185057 - Director Plans,OF4,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,185057 - Director Plans,OF5,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,70503 - DEFAC-CMT-ND HEAD,C1,,,,16
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,70503 - DEFAC-CMT-ND HEAD,C2,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,70503 - DEFAC-CMT-ND HEAD,Band D,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,70503 - DEFAC-CMT-ND HEAD,E1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,70503 - DEFAC-CMT-ND HEAD,OF2,,,,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,70503 - DEFAC-CMT-ND HEAD,OR4,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,70503 - DEFAC-CMT-ND HEAD,OR6,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,182746,B1,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,105516,B1,,,,3
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,105517,B1,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,183178,B1,,,,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1058715,B1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1058725,B1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1058158,B1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1058719,B2,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,182746,B2,,,,5
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,105516,B2,,,,10
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,105517,B2,,,,5
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,183178,B2,,,,6
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1058725,B2,,,,5
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1058158,B2,,,,18
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1058711,C1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,182746,C1,,,,23
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,105516,C1,,,,37
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,105517,C1,,,,33
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,183178,C1,,,,29
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1058715,C1,,,,9
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1058725,C1,,,,10
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1058158,C1,,,,92
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1143483,C1,,,,5
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,182746,C2,,,,7
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,105516,C2,,,,64
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,105517,C2,,,,10
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,183178,C2,,,,11
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1058725,C2,,,,6
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1058158,C2,,,,230
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1143483,C2,,,,19
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,105516,Ctr,,,,7
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,105517,Ctr,,,,32
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,183178,Ctr,,,,3
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,182746,Band D,,,,7
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,105516,Band D,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,105517,Band D,,,,7
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,183178,Band D,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1058725,Band D,,,,3
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1058158,Band D,,,,265
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1143483,Band D,,,,38
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,182746,E1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,105517,E1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1058725,E1,,,,2
